"","Table 3#11#6# Real National Defense Consumption Expenditures and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"22","4","    Value added","W086RX1","296,806.0","286,844.0","278,362.0","270,894.0","265,434.0","263,491.0","264,153.0","269,090.0","276,822.0","281,939.0","284,393.0","282,985.0","284,438.0","295,761.0","314,019.0","324,693.0"
"23","5","      Compensation of general government employees","B237RX1","227,608.0","217,959.0","210,062.0","203,441.0","198,529.0","197,202.0","198,591.0","203,863.0","211,130.0","215,008.0","215,706.0","212,380.0","211,621.0","219,787.0","234,308.0","241,640.0"
"24","6","        Military","B4080X1","144,427.0","139,141.0","135,401.0","132,349.0","129,992.0","131,119.0","133,781.0","138,704.0","146,255.0","147,933.0","147,045.0","143,602.0","142,474.0","148,817.0","160,291.0","162,875.0"
"25","7","        Civilian","W090RX1","82,194.0","77,931.0","73,897.0","70,456.0","67,990.0","65,731.0","64,629.0","65,087.0","64,949.0","67,107.0","68,661.0","68,793.0","69,184.0","70,963.0","73,925.0","78,749.0"
"26","8","      Consumption of general government fixed capital \2\","B432RX1","70,200.0","69,182.0","68,148.0","67,023.0","66,264.0","65,685.0","65,160.0","65,099.0","65,720.0","66,956.0","68,687.0","70,632.0","72,922.0","76,098.0","79,776.0","83,179.0"
"27","9","    Intermediate goods and services purchased \3\","W087RX1","138,972.0","142,208.0","142,821.0","138,626.0","148,979.0","147,192.0","160,658.0","182,690.0","212,516.0","232,234.0","235,803.0","241,657.0","248,526.0","269,519.0","283,008.0","289,829.0"
"28","10","      Durable goods","A998RX1","21,678.0","21,510.0","21,595.0","21,775.0","23,134.0","22,905.0","23,066.0","24,015.0","26,345.0","29,226.0","29,548.0","32,018.0","35,207.0","41,306.0","43,736.0","45,287.0"
"29","11","        Aircraft","B999RX1","9,321.0","9,244.0","9,878.0","10,486.0","11,073.0","10,308.0","10,168.0","10,202.0","11,462.0","12,028.0","10,740.0","10,725.0","11,118.0","12,471.0","14,348.0","15,451.0"
"30","12","        Missiles","B277RX1","2,957.0","2,767.0","2,455.0","2,441.0","2,377.0","2,610.0","2,771.0","2,573.0","2,456.0","2,643.0","3,270.0","3,914.0","4,302.0","4,414.0","4,217.0","4,264.0"
"31","13","        Ships","B278RX1","1,239.0","958.0","998.0","910.0","1,290.0","1,410.0","1,302.0","1,369.0","1,349.0","1,468.0","1,380.0","1,366.0","1,099.0","751.0","659.0","714.0"
"32","14","        Vehicles","B288RX1","1,532.0","1,322.0","1,530.0","1,141.0","862.0","715.0","773.0","752.0","771.0","808.0","1,123.0","1,658.0","2,303.0","2,976.0","3,301.0","3,323.0"
"33","15","        Electronics","B388RX1","2,052.0","2,144.0","2,162.0","2,127.0","2,467.0","2,738.0","2,833.0","3,164.0","3,713.0","4,378.0","5,372.0","6,274.0","7,702.0","10,662.0","10,861.0","11,108.0"
"34","16","        Other durable goods","B389RX1","4,822.0","5,237.0","4,781.0","4,819.0","5,150.0","5,167.0","5,256.0","5,974.0","6,595.0","7,905.0","7,663.0","8,085.0","8,701.0","10,096.0","10,456.0","10,556.0"
"35","17","      Nondurable goods","A725RX1","10,788.0","11,911.0","11,996.0","12,393.0","13,850.0","14,531.0","14,946.0","17,072.0","18,021.0","20,757.0","20,889.0","20,129.0","20,873.0","21,395.0","22,492.0","21,498.0"
"36","18","        Petroleum products","B780RX1","8,592.0","8,686.0","7,798.0","7,612.0","8,418.0","7,770.0","9,081.0","10,464.0","9,521.0","10,367.0","10,088.0","9,692.0","10,070.0","10,036.0","10,258.0","10,139.0"
"37","19","        Ammunition","B781RX1","1,284.0","1,504.0","1,847.0","2,092.0","2,129.0","2,024.0","2,312.0","2,812.0","2,909.0","3,815.0","3,971.0","3,901.0","3,653.0","3,739.0","3,531.0","3,550.0"
"38","20","        Other nondurable goods","B783RX1","2,736.0","3,256.0","3,347.0","3,431.0","4,073.0","4,950.0","4,290.0","4,693.0","5,812.0","6,629.0","6,830.0","6,537.0","7,167.0","7,744.0","8,935.0","7,998.0"
"39","21","      Services","A489RX1","105,649.0","108,255.0","108,705.0","103,995.0","111,700.0","109,657.0","122,588.0","141,747.0","168,002.0","182,261.0","185,366.0","189,558.0","192,534.0","207,305.0","217,323.0","223,696.0"
"40","22","        Research and development","B784RX1","31,505.0","34,315.0","34,431.0","32,321.0","32,140.0","31,243.0","33,834.0","41,190.0","46,849.0","52,965.0","53,939.0","55,857.0","53,047.0","54,433.0","53,330.0","52,082.0"
"41","23","        Installation support","B911RX1","32,411.0","32,599.0","31,397.0","29,665.0","30,571.0","30,477.0","32,301.0","34,900.0","38,868.0","37,528.0","35,331.0","35,252.0","34,128.0","37,202.0","39,837.0","40,716.0"
"42","24","        Weapons support","B912RX1","10,260.0","9,066.0","10,462.0","9,996.0","11,423.0","11,340.0","14,474.0","17,678.0","22,150.0","22,085.0","24,370.0","24,939.0","25,066.0","26,707.0","28,157.0","29,300.0"
"43","25","        Personnel support","B913RX1","19,997.0","20,797.0","22,009.0","21,478.0","26,394.0","25,868.0","30,635.0","36,638.0","42,526.0","52,293.0","55,828.0","59,145.0","61,570.0","71,458.0","75,258.0","80,328.0"
"44","26","        Transportation of material","B786RX1","6,145.0","6,386.0","5,238.0","5,426.0","5,684.0","5,360.0","5,765.0","5,818.0","10,823.0","9,424.0","7,705.0","7,397.0","11,122.0","10,483.0","12,636.0","12,932.0"
"45","27","        Travel of persons","B785RX1","5,719.0","5,506.0","5,479.0","5,456.0","5,894.0","5,764.0","5,847.0","5,671.0","6,883.0","7,998.0","8,193.0","6,982.0","7,671.0","7,201.0","8,300.0","8,603.0"
"46","28","  Less: Own-account investment \4\","W088RX1","2,293.0","2,127.0","2,028.0","1,929.0","1,730.0","1,432.0","1,827.0","2,445.0","2,357.0","2,172.0","2,055.0","2,011.0","1,916.0","2,005.0","2,090.0","2,230.0"
"47","29","        Sales to other sectors","W089RX1","3,010.0","3,520.0","2,684.0","2,208.0","2,144.0","2,381.0","2,376.0","2,441.0","2,616.0","2,641.0","3,304.0","3,524.0","2,937.0","3,330.0","3,193.0","3,124.0"
"48","30","Gross investment \5\","A788RX1","52,770.0","52,298.0","46,766.0","47,534.0","49,273.0","50,299.0","52,744.0","59,641.0","65,306.0","71,103.0","74,210.0","79,374.0","84,002.0","98,679.0","104,848.0","110,213.0"
"49","31","  Structures","A808RX1","10,065.0","9,205.0","8,684.0","8,058.0","7,152.0","6,867.0","6,523.0","6,972.0","8,460.0","7,806.0","7,452.0","7,450.0","8,789.0","11,493.0","14,555.0","14,745.0"
"50","32","  Equipment and software","A873RX1","43,726.0","43,837.0","38,893.0","40,078.0","42,427.0","43,641.0","46,307.0","52,705.0","56,989.0","63,323.0","66,758.0","71,940.0","75,146.0","86,959.0","89,728.0","94,946.0"
"51","33","    Aircraft","B874RX1","7,902.0","7,690.0","5,347.0","5,382.0","5,605.0","6,533.0","7,634.0","8,801.0","8,736.0","10,778.0","13,520.0","13,735.0","13,083.0","13,304.0","13,604.0","16,621.0"
"52","34","    Missiles","B875RX1","4,426.0","3,964.0","2,934.0","3,302.0","2,995.0","2,822.0","3,541.0","3,537.0","3,647.0","4,143.0","4,011.0","4,478.0","4,224.0","4,255.0","4,948.0","5,594.0"
"53","35","    Ships","B876RX1","9,753.0","8,239.0","7,311.0","7,730.0","8,190.0","7,795.0","8,542.0","10,214.0","11,067.0","10,643.0","9,812.0","9,674.0","9,011.0","8,964.0","9,578.0","9,652.0"
"54","36","    Vehicles","B877RX1","1,070.0","1,158.0","1,338.0","1,489.0","1,658.0","1,845.0","1,974.0","2,677.0","3,172.0","2,812.0","3,869.0","4,965.0","6,020.0","8,862.0","8,468.0","9,107.0"
"55","37","    Electronics and software","B878RX1","6,637.0","7,126.0","7,481.0","7,934.0","8,722.0","9,029.0","8,922.0","9,388.0","10,167.0","11,318.0","12,643.0","14,386.0","16,774.0","21,126.0","21,222.0","21,758.0"
"56","38","    Other equipment","B879RX1","14,723.0","16,192.0","14,897.0","14,630.0","15,633.0","15,679.0","15,745.0","18,253.0","20,454.0","23,741.0","22,903.0","24,742.0","26,208.0","30,921.0","32,306.0","32,636.0"
"57","39","Residual","A975RX1","-9,800.0","-7,600.0","-7,200.0","-6,000.0","-4,800.0","-3,500.0","-3,100.0","-2,800.0","-1,200.0","-200.0","0.0","-400.0","-900.0","-2,300.0","-1,900.0","-2,400.0"
"58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","1. National defense consumption expenditures are defense services produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","are valued at their cost of production. Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","2. Consumption of fixed capital, or depreciation, is included in government gross output as",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","a partial measure of the services of general government fixed assets; the use of depreciation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","assumes a zero net return on these assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","3. Includes general government intermediate inputs for goods and services sold to other sectors and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","for own-account investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","4. Own-account investment is measured in current dollars by compensation of general government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","employees and related expenditures for goods and services and is classified as investment in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","structures and in software.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","5. Gross government investment consists of general government and government enterprise expenditures for fixed assets; inventory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","investment is included in government consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Note. Chained (2005) dollar series are calculated as the product of the chain-type quantity index",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","and the 2005 current-dollar value of the corresponding series, divided by 100. Because the formula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","for the chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","estimates are usually not additive. The residual line is the difference between the first line and the sum of the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
