"","Table 1#1#6# Real Gross Domestic Product, Chained Dollars       ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1947","1947","1947","1947","1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969","1969"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2"
"20","1","    Gross domestic product","A191RX1","1,770,691.0","1,767,976.0","1,766,523.0","1,793,310.0","1,821,809.0","1,855,345.0","1,865,320.0","1,868,184.0","1,842,240.0","1,835,512.0","1,856,103.0","1,838,679.0","1,912,998.0","1,971,217.0","2,048,351.0","2,084,390.0","2,110,731.0","2,145,746.0","2,188,503.0","2,192,210.0","2,214,268.0","2,216,709.0","2,231,561.0","2,305,276.0","2,348,408.0","2,366,180.0","2,351,793.0","2,314,567.0","2,303,523.0","2,306,413.0","2,332,418.0","2,379,125.0","2,447,657.0","2,488,149.0","2,521,394.0","2,535,472.0","2,523,902.0","2,543,752.0","2,540,555.0","2,582,070.0","2,597,939.0","2,591,671.0","2,616,638.0","2,589,110.0","2,519,019.0","2,534,480.0","2,593,867.0","2,654,348.0","2,708,036.0","2,776,430.0","2,773,119.0","2,782,827.0","2,845,268.0","2,831,971.0","2,836,599.0","2,800,224.0","2,816,858.0","2,869,554.0","2,915,929.0","2,975,288.0","3,028,654.0","3,062,094.0","3,090,408.0","3,097,917.0","3,138,407.0","3,177,733.0","3,237,567.0","3,262,180.0","3,335,397.0","3,373,705.0","3,419,548.0","3,429,028.0","3,513,250.0","3,560,919.0","3,633,182.0","3,720,836.0","3,812,167.0","3,824,857.0","3,850,012.0","3,881,205.0","3,915,396.0","3,916,211.0","3,947,455.0","3,977,573.0","4,059,545.0","4,128,472.0","4,156,717.0","4,174,727.0","4,240,478.0","4,252,828.0"
"21","2","Personal consumption expenditures","DPCERX1","1,130,937.0","1,149,715.0","1,153,427.0","1,153,794.0","1,159,559.0","1,173,044.0","1,174,760.0","1,184,117.0","1,186,004.0","1,204,146.0","1,206,863.0","1,224,528.0","1,244,879.0","1,265,371.0","1,330,304.0","1,290,212.0","1,321,429.0","1,284,126.0","1,299,081.0","1,306,655.0","1,309,569.0","1,335,280.0","1,341,776.0","1,389,170.0","1,405,710.0","1,414,232.0","1,410,962.0","1,401,565.0","1,406,675.0","1,425,023.0","1,444,360.0","1,474,693.0","1,507,777.0","1,536,644.0","1,555,639.0","1,575,187.0","1,577,759.0","1,583,023.0","1,586,610.0","1,608,441.0","1,619,539.0","1,622,418.0","1,635,308.0","1,636,139.0","1,613,880.0","1,627,125.0","1,653,770.0","1,675,628.0","1,706,652.0","1,732,926.0","1,750,966.0","1,752,941.0","1,769,739.0","1,792,132.0","1,784,993.0","1,787,368.0","1,786,857.0","1,813,445.0","1,822,242.0","1,858,744.0","1,878,500.0","1,901,593.0","1,917,016.0","1,944,198.0","1,957,312.0","1,976,011.0","2,002,937.0","2,019,644.0","2,059,515.0","2,095,776.0","2,134,273.0","2,140,243.0","2,187,828.0","2,211,987.0","2,250,002.0","2,313,230.0","2,347,382.0","2,353,458.0","2,380,366.0","2,390,285.0","2,404,225.0","2,437,030.0","2,449,522.0","2,464,608.0","2,523,425.0","2,562,134.0","2,610,348.0","2,622,295.0","2,651,653.0","2,668,610.0"
"22","3","  Goods","DGDSRX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"23","4","    Durable goods","DDURRX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"24","5","    Nondurable goods","DNDGRX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"25","6","  Services","DSERRX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"26","7","Gross private domestic investment","A006RX1","188,675.0","173,485.0","167,924.0","202,712.0","224,682.0","239,489.0","242,053.0","230,008.0","194,233.0","167,057.0","181,690.0","171,768.0","214,858.0","238,901.0","260,418.0","295,027.0","263,917.0","270,439.0","249,543.0","228,293.0","233,627.0","214,227.0","225,626.0","241,811.0","246,627.0","247,460.0","241,654.0","222,626.0","220,749.0","219,991.0","231,237.0","241,873.0","267,675.0","284,591.0","288,662.0","294,916.0","284,997.0","281,763.0","278,458.0","275,169.0","270,733.0","270,368.0","276,824.0","253,694.0","234,847.0","229,288.0","248,199.0","270,587.0","285,852.0","309,726.0","288,171.0","298,264.0","330,513.0","297,065.0","295,294.0","258,817.0","265,434.0","285,203.0","309,097.0","314,313.0","333,053.0","329,832.0","335,734.0","324,463.0","342,468.0","347,458.0","358,789.0","363,205.0","378,139.0","376,401.0","385,344.0","388,488.0","427,581.0","427,555.0","442,824.0","444,865.0","482,478.0","473,675.0","468,981.0","471,233.0","458,330.0","438,787.0","451,381.0","461,147.0","471,183.0","490,232.0","474,318.0","479,245.0","510,817.0","506,747.0"
"27","8","  Fixed investment","A007RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"28","9","    Nonresidential","A008RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"29","10","      Structures","B009RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"30","11","      Equipment and software","B010RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"31","12","    Residential","A011RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"32","13","  Change in private inventories","A014RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"33","14","Net exports of goods and services","A019RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"34","15","  Exports","A020RX1","85,247.0","84,172.0","79,900.0","70,848.0","67,616.0","61,296.0","62,737.0","60,525.0","67,767.0","67,186.0","61,574.0","53,302.0","52,424.0","53,056.0","54,431.0","58,842.0","61,784.0","67,865.0","69,532.0","68,879.0","72,544.0","64,570.0","59,472.0","59,880.0","58,867.0","59,233.0","61,607.0","59,577.0","56,905.0","65,080.0","62,990.0","65,890.0","68,339.0","66,745.0","71,124.0","71,444.0","74,835.0","79,878.0","82,538.0","86,240.0","91,863.0","89,140.0","86,642.0","84,050.0","75,707.0","76,066.0","76,308.0","76,070.0","81,099.0","83,798.0","86,459.0","84,147.0","94,686.0","100,703.0","98,161.0","100,195.0","99,508.0","98,124.0","97,592.0","100,609.0","100,363.0","109,994.0","103,844.0","101,600.0","103,980.0","116,149.0","109,944.0","115,462.0","122,537.0","124,563.0","123,603.0","127,288.0","113,556.0","134,876.0","127,152.0","136,366.0","133,971.0","139,843.0","134,586.0","139,027.0","141,711.0","140,422.0","137,005.0","140,908.0","145,002.0","147,889.0","156,583.0","154,587.0","136,035.0","166,531.0"
"35","16","    Goods","A253RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"36","17","    Services","A646RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"37","18","  Imports","A021RX1","50,985.0","51,967.0","46,088.0","48,573.0","54,774.0","56,945.0","59,918.0","58,945.0","57,178.0","56,345.0","54,048.0","54,860.0","56,393.0","59,507.0","73,433.0","73,571.0","73,573.0","71,135.0","65,113.0","63,411.0","70,768.0","70,401.0","74,707.0","81,405.0","79,399.0","83,517.0","83,199.0","79,107.0","74,538.0","81,243.0","76,342.0","77,066.0","81,620.0","86,248.0","87,699.0","90,877.0","94,692.0","94,200.0","95,018.0","90,657.0","97,868.0","98,632.0","96,731.0","97,063.0","98,508.0","102,718.0","101,158.0","106,451.0","109,195.0","114,477.0","115,553.0","112,617.0","116,885.0","117,763.0","114,298.0","108,907.0","108,377.0","109,698.0","116,963.0","119,744.0","123,389.0","126,082.0","127,681.0","129,242.0","126,250.0","129,223.0","132,503.0","132,069.0","131,945.0","134,915.0","138,535.0","142,282.0","137,159.0","153,346.0","153,976.0","161,492.0","165,659.0","169,777.0","179,293.0","181,297.0","184,158.0","182,680.0","185,071.0","194,829.0","206,314.0","209,465.0","222,056.0","220,185.0","199,416.0","238,757.0"
"38","19","    Goods","A255RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"39","20","    Services","B656RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
