"","Table 4#2#6# Real Exports and Imports of Goods and Services by T","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1995","1995","1995","1995","1996","1996","1996","1996","1997","1997","1997","1997","1998","1998","1998","1998","1999","1999","1999","1999","2000","2000","2000","2000","2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009","2010","2010","2010","2010","2011","2011"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2"
"20","1","    Exports of goods and services","A020RX1","815,571.0","826,811.0","862,768.0","875,221.0","886,246.0","901,103.0","908,392.0","965,337.0","983,725.0","1,022,681.0","1,046,441.0","1,044,536.0","1,049,464.0","1,037,368.0","1,032,553.0","1,071,490.0","1,063,257.0","1,075,482.0","1,103,688.0","1,131,347.0","1,150,846.0","1,183,524.0","1,212,403.0","1,202,850.0","1,187,080.0","1,148,337.0","1,089,225.0","1,058,512.0","1,075,428.0","1,104,619.0","1,112,318.0","1,100,990.0","1,090,816.0","1,087,282.0","1,116,797.0","1,169,134.0","1,196,955.0","1,215,706.0","1,224,735.0","1,252,757.0","1,276,163.0","1,303,552.0","1,303,868.0","1,336,645.0","1,388,725.0","1,412,078.0","1,414,153.0","1,473,461.0","1,496,530.0","1,521,318.0","1,577,950.0","1,621,932.0","1,643,924.0","1,693,878.0","1,678,712.0","1,580,583.0","1,451,105.0","1,449,366.0","1,497,266.0","1,578,344.0","1,606,189.0","1,645,013.0","1,684,844.0","1,716,819.0","1,749,573.0","1,764,961.0"
"21","2","Exports of goods \1\","A253RX1","554,954.0","564,258.0","585,913.0","594,008.0","606,487.0","612,941.0","624,317.0","658,165.0","680,934.0","712,635.0","733,484.0","734,555.0","736,555.0","719,159.0","720,462.0","749,276.0","734,612.0","742,871.0","767,044.0","792,234.0","809,885.0","835,239.0","870,709.0","857,719.0","846,308.0","808,045.0","763,903.0","746,462.0","745,929.0","772,046.0","775,594.0","757,256.0","760,463.0","760,026.0","774,744.0","810,351.0","823,636.0","837,430.0","847,967.0","861,432.0","879,213.0","908,186.0","905,694.0","931,250.0","970,174.0","987,787.0","988,343.0","1,019,634.0","1,050,725.0","1,070,093.0","1,102,678.0","1,128,976.0","1,154,302.0","1,193,009.0","1,185,865.0","1,094,777.0","983,372.0","976,063.0","1,024,440.0","1,090,490.0","1,122,050.0","1,153,814.0","1,178,777.0","1,204,948.0","1,235,562.0","1,243,206.0"
"22","3","  Foods, feeds, and beverages","B638RX1","55,100.0","55,260.0","56,420.0","51,153.0","54,474.0","52,607.0","52,362.0","55,018.0","53,458.0","52,767.0","53,019.0","56,556.0","56,020.0","52,704.0","49,860.0","55,014.0","51,586.0","54,468.0","57,576.0","56,211.0","56,246.0","57,339.0","61,600.0","57,461.0","59,709.0","60,680.0","58,767.0","59,860.0","59,561.0","59,845.0","58,303.0","56,483.0","59,151.0","58,548.0","60,466.0","60,019.0","55,565.0","51,760.0","55,485.0","60,616.0","58,456.0","60,191.0","57,392.0","59,782.0","61,588.0","64,115.0","64,923.0","63,953.0","64,774.0","66,093.0","71,835.0","74,021.0","75,833.0","75,989.0","73,657.0","69,558.0","66,691.0","70,378.0","69,224.0","75,567.0","78,557.0","73,918.0","77,302.0","81,292.0","79,267.0","77,760.0"
"23","4","  Industrial supplies and materials","A639RX1","164,586.0","165,008.0","171,128.0","173,145.0","174,405.0","173,038.0","176,795.0","183,812.0","185,498.0","193,293.0","196,206.0","194,769.0","194,542.0","189,567.0","187,224.0","189,975.0","184,971.0","189,410.0","191,739.0","201,815.0","206,330.0","206,588.0","215,761.0","214,555.0","208,907.0","202,615.0","199,417.0","198,567.0","197,900.0","205,790.0","204,315.0","203,895.0","208,610.0","205,580.0","207,146.0","211,202.0","218,996.0","222,382.0","220,940.0","224,251.0","226,641.0","233,418.0","227,431.0","222,542.0","237,961.0","245,647.0","242,524.0","252,275.0","261,155.0","265,743.0","270,830.0","279,000.0","292,563.0","307,676.0","306,881.0","287,004.0","260,261.0","266,483.0","288,804.0","296,877.0","309,435.0","322,093.0","322,633.0","331,259.0","343,296.0","337,871.0"
"24","5","    Durable goods","B686RX1","56,074.0","56,932.0","59,794.0","57,915.0","58,469.0","60,640.0","62,259.0","63,189.0","64,247.0","66,881.0","67,451.0","68,403.0","70,442.0","67,181.0","65,999.0","67,842.0","67,166.0","68,766.0","70,170.0","74,388.0","79,179.0","80,279.0","81,181.0","81,627.0","78,480.0","74,375.0","71,399.0","69,821.0","66,139.0","70,076.0","69,643.0","69,122.0","69,900.0","71,119.0","69,998.0","71,061.0","76,182.0","76,962.0","75,939.0","76,570.0","77,576.0","80,944.0","84,138.0","86,095.0","88,609.0","89,423.0","88,786.0","93,255.0","92,475.0","93,737.0","95,969.0","98,311.0","100,874.0","109,490.0","108,624.0","101,510.0","87,089.0","87,127.0","92,950.0","97,569.0","101,066.0","108,419.0","106,835.0","109,879.0","111,562.0","111,833.0"
"25","6","    Nondurable goods","B687RX1","108,781.0","108,310.0","111,547.0","115,628.0","116,339.0","112,574.0","114,703.0","120,904.0","121,510.0","126,687.0","129,060.0","126,562.0","124,139.0","122,527.0","121,395.0","122,225.0","117,793.0","120,647.0","121,541.0","127,378.0","127,026.0","126,181.0","134,445.0","132,821.0","130,331.0","128,133.0","127,929.0","128,694.0","131,919.0","135,771.0","134,710.0","134,818.0","138,770.0","134,524.0","137,229.0","140,233.0","142,856.0","145,471.0","145,060.0","147,741.0","149,097.0","152,454.0","143,274.0","136,452.0","149,319.0","156,222.0","153,700.0","158,927.0","168,840.0","172,141.0","174,944.0","180,743.0","191,684.0","198,378.0","198,364.0","185,594.0","173,075.0","179,234.0","195,699.0","199,149.0","208,207.0","213,597.0","215,648.0","221,238.0","231,404.0","225,943.0"
"26","7","  Capital goods, except automotive","A640RX1","177,686.0","188,736.0","198,688.0","208,139.0","213,791.0","219,376.0","221,830.0","241,191.0","256,072.0","273,124.0","285,456.0","283,916.0","285,454.0","278,564.0","284,854.0","296,387.0","291,642.0","291,782.0","307,405.0","317,788.0","322,178.0","348,242.0","364,188.0","358,163.0","353,893.0","322,592.0","295,316.0","283,285.0","279,997.0","289,295.0","293,488.0","283,392.0","281,075.0","281,695.0","293,447.0","317,123.0","322,903.0","327,042.0","330,716.0","332,585.0","341,652.0","357,612.0","357,145.0","377,291.0","391,555.0","401,234.0","400,035.0","411,986.0","416,908.0","423,654.0","441,490.0","452,330.0","458,712.0","472,965.0","474,003.0","432,667.0","394,840.0","379,243.0","385,889.0","409,363.0","421,696.0","440,887.0","457,294.0","468,769.0","474,360.0","491,990.0"
"27","8","    Civilian aircraft, engines, and parts","B688RX1","35,438.0","40,128.0","37,457.0","35,057.0","36,296.0","41,654.0","40,756.0","49,115.0","52,291.0","55,568.0","56,301.0","53,796.0","63,041.0","62,274.0","73,273.0","80,029.0","72,539.0","63,670.0","66,816.0","66,369.0","54,755.0","63,180.0","58,589.0","56,917.0","65,770.0","63,143.0","58,004.0","54,738.0","55,830.0","56,722.0","59,736.0","53,120.0","50,419.0","47,450.0","49,039.0","55,107.0","49,794.0","46,803.0","48,213.0","47,629.0","52,393.0","60,228.0","53,372.0","57,562.0","60,875.0","61,688.0","60,278.0","64,973.0","64,149.0","63,838.0","69,673.0","70,774.0","67,944.0","68,667.0","68,758.0","54,177.0","65,381.0","62,063.0","59,714.0","62,768.0","57,890.0","56,897.0","60,186.0","59,253.0","57,824.0","60,479.0"
"28","9","    Computers, peripherals, and parts \2\","ZZZZZZ1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"29","10","    Other","B689RX1","131,532.0","138,541.0","146,671.0","154,145.0","155,873.0","157,770.0","159,598.0","171,108.0","178,992.0","189,784.0","199,243.0","200,602.0","196,842.0","189,692.0","186,698.0","190,920.0","191,643.0","195,974.0","206,893.0","216,454.0","226,329.0","240,614.0","256,507.0","253,533.0","243,487.0","220,164.0","200,648.0","193,983.0","192,056.0","199,190.0","201,285.0","196,017.0","196,369.0","200,190.0","207,560.0","223,416.0","235,033.0","241,858.0","242,527.0","243,619.0","246,342.0","251,793.0","257,272.0","272,595.0","281,526.0","289,359.0","290,827.0","295,898.0","300,352.0","309,189.0","319,678.0","329,490.0","337,865.0","347,527.0","348,139.0","329,886.0","279,857.0","268,858.0","276,022.0","294,240.0","310,346.0","328,779.0","339,385.0","350,623.0","355,811.0","367,652.0"
"30","11","  Automotive vehicles, engines, and parts","B641RX1","68,198.0","63,794.0","65,929.0","65,195.0","65,746.0","66,576.0","71,405.0","69,101.0","73,631.0","76,344.0","79,706.0","79,143.0","80,671.0","75,336.0","70,596.0","78,018.0","76,640.0","78,083.0","79,276.0","80,218.0","86,679.0","83,077.0","81,868.0","81,123.0","75,981.0","79,157.0","78,870.0","77,296.0","77,202.0","83,330.0","82,776.0","80,833.0","81,403.0","83,648.0","79,798.0","83,900.0","85,187.0","88,795.0","93,067.0","93,834.0","95,307.0","95,643.0","98,708.0","103,968.0","106,009.0","104,457.0","105,018.0","108,399.0","112,528.0","119,576.0","121,117.0","120,521.0","118,524.0","122,100.0","125,534.0","102,577.0","66,133.0","65,105.0","85,147.0","97,353.0","102,385.0","106,398.0","108,644.0","110,271.0","121,662.0","121,369.0"
"31","12","  Consumer goods, except automotive","A642RX1","65,415.0","66,068.0","67,607.0","67,641.0","69,342.0","70,285.0","71,059.0","73,783.0","76,133.0","79,012.0","78,966.0","79,663.0","79,162.0","81,148.0","81,874.0","81,088.0","80,569.0","81,232.0","82,835.0","86,103.0","89,150.0","90,276.0","93,099.0","91,276.0","94,617.0","93,683.0","86,928.0","85,604.0","84,823.0","86,740.0","87,722.0","87,080.0","88,892.0","89,758.0","92,940.0","95,478.0","99,152.0","104,096.0","105,103.0","109,192.0","111,687.0","114,159.0","116,066.0","119,226.0","123,418.0","125,703.0","127,270.0","133,426.0","137,838.0","139,510.0","142,773.0","144,532.0","150,254.0","155,683.0","158,128.0","146,776.0","137,757.0","137,890.0","141,800.0","149,542.0","152,685.0","151,334.0","154,701.0","161,474.0","157,052.0","162,713.0"
"32","13","    Durable goods","B690RX1","33,483.0","33,663.0","33,713.0","33,849.0","34,373.0","35,234.0","36,137.0","37,636.0","38,229.0","40,643.0","40,893.0","40,613.0","40,456.0","41,488.0","42,137.0","41,771.0","40,279.0","41,920.0","43,067.0","45,819.0","47,513.0","46,726.0","48,452.0","47,145.0","49,967.0","49,333.0","45,384.0","43,601.0","44,190.0","44,932.0","45,581.0","44,127.0","44,123.0","45,363.0","47,389.0","49,887.0","50,613.0","53,884.0","55,689.0","57,656.0","59,656.0","60,913.0","63,297.0","64,474.0","67,226.0","69,850.0","70,363.0","74,315.0","77,242.0","79,740.0","81,865.0","85,594.0","88,843.0","91,765.0","90,355.0","77,910.0","69,833.0","68,949.0","73,644.0","77,869.0","79,937.0","84,727.0","86,917.0","89,992.0","91,245.0","93,837.0"
"33","14","    Nondurable goods","B691RX1","31,927.0","32,402.0","33,893.0","33,790.0","34,969.0","35,049.0","34,918.0","36,143.0","37,905.0","38,361.0","38,062.0","39,044.0","38,700.0","39,653.0","39,730.0","39,310.0","40,280.0","39,306.0","39,762.0","40,279.0","41,630.0","43,544.0","44,638.0","44,123.0","44,634.0","44,336.0","41,537.0","42,012.0","40,624.0","41,805.0","42,138.0","42,966.0","44,795.0","44,410.0","45,561.0","45,584.0","48,543.0","50,214.0","49,415.0","51,536.0","52,031.0","53,246.0","52,769.0","54,753.0","56,195.0","55,864.0","56,913.0","59,116.0","60,604.0","59,814.0","60,960.0","59,094.0","61,571.0","64,070.0","67,802.0","68,738.0","67,735.0","68,721.0","67,977.0","71,475.0","72,553.0","66,769.0","67,964.0","71,614.0","66,196.0","69,231.0"
"34","15","  Other","A643RX1","35,020.0","33,548.0","33,692.0","34,859.0","34,221.0","35,788.0","36,308.0","39,327.0","38,531.0","39,774.0","40,914.0","41,261.0","41,275.0","42,226.0","45,271.0","47,348.0","47,176.0","46,863.0","45,784.0","47,951.0","46,899.0","44,775.0","49,498.0","50,510.0","48,356.0","46,770.0","44,599.0","43,261.0","48,260.0","48,759.0","49,852.0","47,254.0","43,800.0","42,540.0","42,094.0","42,525.0","42,401.0","44,218.0","42,850.0","41,071.0","45,388.0","47,035.0","48,886.0","48,716.0","49,890.0","46,831.0","48,922.0","49,731.0","57,461.0","55,639.0","54,865.0","58,337.0","56,724.0","56,660.0","47,321.0","52,340.0","52,276.0","49,547.0","46,490.0","53,796.0","49,086.0","52,449.0","52,266.0","45,545.0","53,471.0","50,006.0"
"35","16","Exports of services \1\","A646RX1","262,742.0","264,348.0","279,339.0","283,812.0","281,455.0","290,530.0","285,384.0","309,240.0","303,546.0","310,210.0","312,620.0","309,408.0","312,534.0","318,664.0","312,191.0","322,199.0","329,150.0","333,113.0","336,912.0","339,081.0","340,740.0","347,968.0","340,871.0","344,510.0","340,183.0","340,038.0","325,151.0","311,782.0","329,487.0","332,448.0","336,624.0","343,821.0","330,279.0","327,155.0","342,019.0","358,760.0","373,384.0","378,335.0","376,761.0","391,392.0","397,007.0","395,358.0","398,153.0","405,367.0","418,510.0","424,262.0","425,819.0","453,923.0","445,861.0","451,268.0","475,282.0","492,946.0","489,619.0","500,885.0","492,891.0","485,844.0","466,971.0","472,348.0","472,514.0","487,930.0","484,607.0","491,782.0","506,537.0","512,411.0","514,581.0","522,357.0"
"36","17","  Transfers under U.S. military agency sales contracts","B267RX1","13,535.0","13,912.0","15,834.0","14,344.0","13,617.0","15,596.0","17,117.0","18,551.0","15,665.0","19,074.0","17,843.0","15,481.0","18,866.0","18,656.0","16,513.0","18,088.0","15,891.0","18,049.0","15,514.0","13,450.0","12,751.0","14,747.0","12,404.0","13,602.0","10,592.0","14,114.0","13,378.0","11,978.0","11,292.0","10,898.0","13,839.0","11,999.0","11,452.0","11,741.0","15,506.0","13,994.0","16,116.0","15,926.0","15,307.0","13,799.0","18,162.0","17,886.0","19,721.0","16,608.0","20,557.0","22,554.0","21,794.0","23,377.0","16,148.0","10,622.0","12,245.0","21,045.0","12,254.0","14,484.0","11,033.0","10,929.0","11,217.0","14,155.0","18,626.0","11,832.0","13,956.0","14,370.0","14,708.0","13,665.0","13,632.0","14,517.0"
"37","18","  Travel","B493RX1","75,342.0","75,309.0","81,731.0","85,347.0","82,998.0","86,955.0","78,982.0","92,776.0","88,707.0","87,652.0","88,833.0","86,291.0","85,357.0","86,326.0","81,777.0","84,097.0","85,052.0","84,921.0","86,192.0","88,594.0","91,382.0","92,853.0","89,119.0","89,369.0","90,175.0","85,219.0","76,264.0","63,116.0","71,903.0","71,325.0","71,909.0","78,864.0","68,650.0","62,701.0","69,834.0","77,240.0","75,881.0","78,436.0","77,928.0","79,307.0","81,227.0","84,797.0","80,913.0","80,258.0","80,618.0","81,185.0","81,827.0","85,170.0","83,306.0","85,779.0","92,632.0","96,647.0","97,581.0","98,945.0","99,407.0","94,873.0","88,468.0","86,605.0","86,127.0","86,642.0","91,095.0","91,372.0","93,586.0","94,869.0","95,915.0","98,972.0"
"38","19","  Passenger fares","B533RX1","26,338.0","25,205.0","27,880.0","28,851.0","28,868.0","29,575.0","27,975.0","30,474.0","31,855.0","30,725.0","30,766.0","32,093.0","30,434.0","31,876.0","31,610.0","28,996.0","27,898.0","27,888.0","28,975.0","27,462.0","27,746.0","29,288.0","28,575.0","28,635.0","27,666.0","26,818.0","24,750.0","18,951.0","23,335.0","23,050.0","21,975.0","22,307.0","19,346.0","17,421.0","19,121.0","19,701.0","19,924.0","20,525.0","21,107.0","19,743.0","19,277.0","20,755.0","21,815.0","22,029.0","22,056.0","21,818.0","22,209.0","21,665.0","22,270.0","21,812.0","23,985.0","25,720.0","25,790.0","26,279.0","25,834.0","25,312.0","24,994.0","25,379.0","25,188.0","23,829.0","24,698.0","24,900.0","25,815.0","25,982.0","26,583.0","27,056.0"
"39","20","  Other transportation","B683RX1","32,153.0","33,025.0","33,178.0","34,291.0","31,412.0","32,250.0","31,848.0","33,545.0","32,743.0","33,401.0","33,305.0","33,860.0","32,561.0","32,036.0","32,285.0","34,019.0","34,140.0","34,041.0","33,460.0","34,928.0","34,660.0","35,123.0","33,919.0","33,396.0","34,270.0","33,611.0","32,651.0","31,714.0","33,635.0","33,810.0","34,512.0","35,593.0","34,265.0","35,499.0","35,652.0","37,752.0","40,210.0","40,976.0","40,042.0","41,144.0","41,761.0","41,706.0","40,266.0","41,391.0","42,623.0","43,714.0","43,873.0","45,238.0","37,357.0","37,602.0","38,616.0","38,031.0","40,125.0","38,913.0","38,428.0","35,444.0","31,365.0","31,811.0","32,757.0","34,327.0","34,982.0","35,526.0","35,441.0","35,172.0","35,712.0","35,209.0"
"40","21","  Royalties and license fees","B684RX1","35,997.0","36,823.0","38,591.0","38,384.0","38,576.0","38,354.0","39,576.0","40,616.0","39,304.0","39,796.0","39,826.0","39,058.0","40,572.0","41,596.0","41,092.0","44,739.0","45,641.0","45,246.0","46,808.0","46,572.0","48,762.0","49,346.0","49,340.0","48,409.0","45,181.0","45,467.0","43,788.0","46,209.0","45,911.0","49,454.0","50,592.0","48,735.0","48,665.0","49,622.0","50,455.0","52,154.0","56,990.0","56,931.0","58,027.0","63,228.0","64,346.0","63,842.0","64,490.0","64,898.0","65,215.0","66,267.0","68,165.0","73,995.0","74,920.0","76,986.0","81,834.0","84,361.0","92,906.0","93,079.0","94,085.0","92,211.0","81,176.0","86,305.0","86,345.0","100,906.0","92,473.0","94,669.0","96,301.0","96,922.0","96,512.0","97,757.0"
"41","22","  Other private services","B720RX1","69,104.0","70,148.0","72,063.0","73,359.0","75,541.0","77,680.0","78,703.0","82,689.0","84,530.0","88,292.0","90,781.0","92,111.0","93,456.0","97,353.0","98,306.0","100,299.0","108,665.0","110,550.0","113,729.0","115,851.0","113,062.0","114,809.0","116,064.0","119,901.0","120,900.0","122,812.0","121,883.0","126,100.0","130,459.0","131,374.0","131,485.0","134,689.0","135,974.0","138,000.0","139,306.0","145,673.0","151,883.0","152,903.0","151,736.0","161,485.0","159,756.0","154,141.0","158,527.0","167,771.0","174,849.0","176,011.0","175,157.0","191,178.0","198,888.0","205,351.0","212,435.0","213,165.0","206,333.0","214,162.0","208,954.0","212,368.0","215,819.0","214,609.0","210,635.0","217,811.0","214,367.0","218,548.0","228,748.0","234,002.0","234,215.0","236,815.0"
