"","Table 1#13# National Income by Sector, Legal Form of Organizatio","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25"
"19","1","      National income","A032RC1","242,602.0","237,512.0","263,868.0","303,784.0","321,251.0","338,623.0","338,739.0","372,003.0","394,887.0","413,340.0","415,586.0","453,496.0","473,919.0","490,684.0","528,873.0","559,729.0","601,419.0","652,176.0","710,135.0","750,397.0","821,195.0","888,484.0"
"20","2","Domestic business","A368RC1","211,368.0","203,299.0","226,890.0","258,210.0","269,919.0","284,291.0","281,667.0","310,566.0","328,621.0","341,946.0","338,840.0","371,864.0","385,142.0","395,443.0","425,760.0","449,467.0","482,695.0","524,740.0","569,636.0","596,166.0","651,128.0","702,098.0"
"21","3","  Corporate business","A441RC1","134,096.0","130,300.0","148,442.0","170,298.0","178,131.0","190,769.0","187,464.0","212,398.0","226,386.0","235,678.0","229,116.0","258,203.0","269,882.0","277,527.0","303,496.0","322,862.0","349,477.0","383,994.0","420,731.0","442,485.0","488,506.0","531,540.0"
"22","4","    Compensation of employees","A442RC1","91,111.0","88,798.0","98,654.0","114,553.0","123,015.0","133,985.0","132,212.0","144,625.0","158,175.0","166,500.0","163,977.0","180,289.0","190,689.0","195,554.0","210,997.0","222,667.0","239,180.0","259,864.0","288,528.0","308,418.0","341,300.0","378,601.0"
"23","5","      Wage and salary accruals","A443RC1","86,899.0","84,390.0","92,989.0","107,533.0","115,490.0","125,801.0","123,600.0","134,819.0","147,005.0","154,027.0","151,393.0","165,640.0","174,456.0","178,685.0","191,821.0","201,917.0","216,750.0","235,153.0","259,249.0","277,066.0","305,414.0","338,028.0"
"24","6","      Supplements to wages and salaries","A444RC1","4,212.0","4,408.0","5,665.0","7,020.0","7,525.0","8,184.0","8,612.0","9,806.0","11,170.0","12,473.0","12,584.0","14,649.0","16,233.0","16,869.0","19,176.0","20,750.0","22,430.0","24,711.0","29,279.0","31,352.0","35,886.0","40,573.0"
"25","7","    Corporate profits with IVA and CCAdj","A445RC1","29,614.0","27,585.0","34,366.0","39,057.0","36,951.0","37,319.0","36,372.0","46,645.0","45,164.0","44,547.0","39,935.0","51,108.0","49,959.0","50,871.0","58,573.0","64,254.0","71,055.0","81,823.0","88,018.0","85,400.0","91,615.0","87,876.0"
"26","8","    Net interest and miscellaneous payments","A453RC1","24.0","-41.0","-122.0","-224.0","-249.0","-31.0","170.0","156.0","37.0","173.0","557.0","-211.0","-212.0","406.0","736.0","366.0","794.0","1,221.0","2,304.0","4,026.0","3,912.0","7,755.0"
"27","9","    Taxes on production and imports less subsidies plus business current transfer payments","W460RC1","13,347.0","13,958.0","15,544.0","16,912.0","18,414.0","19,496.0","18,710.0","20,972.0","23,010.0","24,458.0","24,647.0","27,017.0","29,446.0","30,696.0","33,190.0","35,575.0","38,448.0","41,086.0","41,881.0","44,641.0","51,679.0","57,308.0"
"28","10","  Noncorporate business","W461RC1","77,272.0","72,999.0","78,448.0","87,911.0","91,787.0","93,520.0","94,201.0","98,167.0","102,235.0","106,268.0","109,722.0","113,665.0","115,257.0","117,913.0","122,257.0","126,603.0","133,215.0","140,743.0","148,900.0","153,677.0","162,619.0","170,555.0"
"29","11","    Compensation of employees","W462RC1","27,083.0","26,951.0","28,850.0","32,195.0","34,373.0","36,029.0","35,841.0","37,228.0","39,312.0","40,754.0","41,204.0","43,516.0","43,906.0","43,839.0","45,163.0","46,616.0","49,268.0","51,041.0","54,425.0","55,907.0","59,115.0","62,050.0"
"30","12","      Wage and salary accruals","W463RC1","26,252.0","26,078.0","27,782.0","30,943.0","33,053.0","34,640.0","34,388.0","35,605.0","37,505.0","38,681.0","39,064.0","40,930.0","41,090.0","40,930.0","42,018.0","43,205.0","45,726.0","47,407.0","50,289.0","51,680.0","54,525.0","57,133.0"
"31","13","      Supplements to wages and salaries","W464RC1","830.0","872.0","1,067.0","1,251.0","1,319.0","1,388.0","1,452.0","1,622.0","1,806.0","2,072.0","2,140.0","2,585.0","2,816.0","2,909.0","3,145.0","3,411.0","3,542.0","3,634.0","4,137.0","4,227.0","4,590.0","4,917.0"
"32","14","    Proprietors' income with IVA and CCAdj","A041RC1","39,222.0","34,622.0","37,486.0","42,651.0","43,070.0","42,013.0","42,274.0","44,263.0","45,863.0","47,825.0","50,189.0","50,326.0","50,707.0","53,199.0","55,304.0","56,522.0","59,351.0","63,903.0","68,248.0","69,848.0","74,190.0","77,508.0"
"33","15","    Rental income of persons with CCAdj","W155RC1","4,557.0","4,448.0","4,809.0","5,115.0","5,233.0","5,324.0","5,422.0","5,379.0","5,450.0","5,410.0","5,634.0","5,485.0","5,487.0","5,553.0","5,602.0","5,848.0","5,826.0","6,021.0","6,076.0","5,994.0","6,082.0","6,023.0"
"34","16","    Net interest","W468RC1","1,141.0","1,317.0","1,515.0","1,770.0","1,938.0","2,084.0","2,290.0","2,538.0","2,789.0","3,153.0","3,491.0","3,717.0","3,977.0","4,340.0","4,807.0","5,367.0","6,181.0","6,941.0","7,793.0","8,361.0","9,148.0","10,379.0"
"35","17","    Taxes on production and imports less subsidies plus business current transfer payments \1\","W469RC1","5,269.0","5,661.0","5,788.0","6,180.0","7,173.0","8,070.0","8,374.0","8,759.0","8,821.0","9,126.0","9,204.0","9,646.0","10,253.0","10,148.0","10,485.0","10,897.0","11,240.0","11,491.0","11,366.0","12,654.0","12,914.0","13,575.0"
"36","18","    Current surplus of government enterprises \1\","A108RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","975.0","927.0","834.0","896.0","1,353.0","1,349.0","1,346.0","992.0","913.0","1,170.0","1,020.0"
"37","19","    Sole proprietorships and partnerships","A1641C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","96,587.0","97,295.0","99,126.0","102,423.0","104,991.0","110,514.0","116,742.0","123,889.0","127,466.0","134,172.0","140,453.0"
"38","20","      Compensation of employees","A1642C1","24,028.0","23,619.0","25,258.0","28,194.0","29,854.0","31,423.0","31,157.0","32,225.0","34,066.0","35,238.0","35,208.0","37,079.0","36,956.0","36,466.0","37,231.0","38,087.0","40,135.0","41,284.0","43,858.0","44,466.0","46,399.0","48,051.0"
"39","21","        Wage and salary accruals","B1643C1","23,252.0","22,807.0","24,274.0","27,044.0","28,636.0","30,125.0","29,775.0","30,728.0","32,444.0","33,428.0","33,393.0","34,931.0","34,646.0","34,099.0","34,670.0","35,321.0","37,294.0","38,380.0","40,505.0","41,060.0","42,696.0","44,184.0"
"40","22","        Supplements to wages and salaries","B1644C1","776.0","812.0","984.0","1,150.0","1,218.0","1,298.0","1,382.0","1,497.0","1,622.0","1,810.0","1,815.0","2,148.0","2,310.0","2,367.0","2,561.0","2,766.0","2,841.0","2,904.0","3,353.0","3,406.0","3,703.0","3,867.0"
"41","23","      Proprietors' income with IVA and CCAdj","A1645C1","39,252.0","34,654.0","37,515.0","42,689.0","43,109.0","42,050.0","42,309.0","44,293.0","45,906.0","47,879.0","50,245.0","50,008.0","50,362.0","52,812.0","54,879.0","56,074.0","58,895.0","63,445.0","67,774.0","69,367.0","73,724.0","77,059.0"
"42","24","        Farm","B042RC1","16,704.0","11,989.0","12,872.0","15,303.0","14,313.0","12,169.0","11,749.0","10,716.0","10,588.0","10,550.0","12,422.0","10,044.0","10,648.0","11,249.0","11,217.0","11,010.0","9,781.0","12,029.0","13,018.0","11,642.0","11,660.0","12,833.0"
"43","25","        Nonfarm","A1646C1","22,548.0","22,665.0","24,643.0","27,386.0","28,796.0","29,881.0","30,560.0","33,577.0","35,318.0","37,329.0","37,823.0","39,964.0","39,714.0","41,563.0","43,662.0","45,064.0","49,114.0","51,416.0","54,756.0","57,725.0","62,064.0","64,226.0"
"44","26","      Net interest","B1649C1","454.0","516.0","584.0","713.0","753.0","761.0","811.0","902.0","1,011.0","1,133.0","1,266.0","1,318.0","1,373.0","1,495.0","1,748.0","2,015.0","2,485.0","2,918.0","3,450.0","3,782.0","4,211.0","5,058.0"
"45","27","      Taxes on production and imports less subsidies plus business current transfer payments","W471RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","8,182.0","8,604.0","8,353.0","8,565.0","8,815.0","8,999.0","9,095.0","8,807.0","9,851.0","9,838.0","10,285.0"
"46","28","    Other private business","A1650C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","11,094.0","11,578.0","12,239.0","12,829.0","13,679.0","14,256.0","15,031.0","15,741.0","16,463.0","17,330.0","18,105.0"
"47","29","      Compensation of employees","A1651C1","786.0","821.0","951.0","1,056.0","1,087.0","1,155.0","1,186.0","1,251.0","1,313.0","1,345.0","1,368.0","1,429.0","1,492.0","1,660.0","1,823.0","1,949.0","2,037.0","2,133.0","2,290.0","2,606.0","2,769.0","3,022.0"
"48","30","        Wage and salary accruals","B1652C1","755.0","788.0","909.0","1,000.0","1,030.0","1,098.0","1,122.0","1,182.0","1,238.0","1,261.0","1,284.0","1,338.0","1,389.0","1,546.0","1,692.0","1,805.0","1,884.0","1,971.0","2,098.0","2,394.0","2,545.0","2,778.0"
"49","31","        Supplements to wages and salaries","B1653C1","31.0","33.0","42.0","56.0","57.0","57.0","64.0","69.0","75.0","84.0","84.0","91.0","103.0","114.0","131.0","144.0","153.0","162.0","192.0","212.0","224.0","244.0"
"50","32","      Proprietors' income with IVA and CCAdj","A1654C1","-30.0","-32.0","-29.0","-38.0","-39.0","-37.0","-35.0","-30.0","-43.0","-54.0","-56.0","318.0","345.0","387.0","425.0","448.0","456.0","458.0","474.0","481.0","466.0","449.0"
"51","33","      Rental income of persons with CCAdj","W155RC1","4,557.0","4,448.0","4,809.0","5,115.0","5,233.0","5,324.0","5,422.0","5,379.0","5,450.0","5,410.0","5,634.0","5,485.0","5,487.0","5,553.0","5,602.0","5,848.0","5,826.0","6,021.0","6,076.0","5,994.0","6,082.0","6,023.0"
"52","34","      Net interest","B1657C1","687.0","801.0","931.0","1,057.0","1,185.0","1,323.0","1,479.0","1,636.0","1,778.0","2,020.0","2,225.0","2,399.0","2,604.0","2,845.0","3,059.0","3,352.0","3,696.0","4,023.0","4,343.0","4,579.0","4,937.0","5,321.0"
"53","35","      Taxes on production and imports less subsidies plus business current transfer payments","W473RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,463.0","1,650.0","1,794.0","1,920.0","2,082.0","2,241.0","2,396.0","2,558.0","2,803.0","3,076.0","3,290.0"
"54","36","    Government enterprises","W474RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","5,983.0","6,386.0","6,547.0","7,006.0","7,933.0","8,446.0","8,969.0","9,267.0","9,746.0","11,118.0","11,996.0"
"55","37","      Compensation of employees","A1658C1","2,267.0","2,512.0","2,640.0","2,945.0","3,432.0","3,451.0","3,498.0","3,752.0","3,934.0","4,170.0","4,629.0","5,008.0","5,459.0","5,713.0","6,110.0","6,580.0","7,097.0","7,623.0","8,275.0","8,833.0","9,948.0","10,976.0"
"56","38","        Wage and salary accruals","B1659C1","2,245.0","2,483.0","2,599.0","2,899.0","3,387.0","3,417.0","3,491.0","3,695.0","3,823.0","3,992.0","4,387.0","4,661.0","5,055.0","5,285.0","5,656.0","6,079.0","6,548.0","7,056.0","7,686.0","8,226.0","9,284.0","10,171.0"
"57","39","        Supplements to wages and salaries","B1660C1","22.0","29.0","41.0","46.0","45.0","34.0","7.0","57.0","111.0","178.0","242.0","347.0","404.0","428.0","454.0","501.0","549.0","567.0","589.0","607.0","664.0","805.0"
"58","40","      Current surplus of government enterprises \1\","A108RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","975.0","927.0","834.0","896.0","1,353.0","1,349.0","1,346.0","992.0","913.0","1,170.0","1,020.0"
"59","41","Households and institutions","W503RC1","11,701.0","12,812.0","14,298.0","15,941.0","17,820.0","20,024.0","21,933.0","24,192.0","26,246.0","28,556.0","31,215.0","34,010.0","37,590.0","40,131.0","43,566.0","46,445.0","49,396.0","52,877.0","57,010.0","61,433.0","66,181.0","72,810.0"
"60","42","  Households","W504RC1","8,290.0","9,048.0","10,214.0","11,465.0","12,959.0","14,668.0","16,129.0","17,852.0","19,352.0","20,975.0","22,834.0","24,809.0","27,103.0","28,965.0","31,264.0","33,081.0","34,825.0","36,825.0","38,961.0","41,280.0","43,371.0","46,500.0"
"61","43","    Compensation of employees","W151RC1","2,363.0","2,356.0","2,572.0","2,661.0","2,614.0","2,690.0","2,570.0","3,052.0","3,267.0","3,322.0","3,503.0","3,552.0","3,797.0","3,734.0","3,807.0","3,831.0","3,916.0","3,968.0","4,023.0","4,182.0","4,377.0","4,439.0"
"62","44","      Wage and salary accruals","B1661C1","2,361.0","2,353.0","2,569.0","2,648.0","2,601.0","2,677.0","2,551.0","3,028.0","3,242.0","3,297.0","3,477.0","3,525.0","3,762.0","3,698.0","3,768.0","3,786.0","3,869.0","3,921.0","3,964.0","4,122.0","4,318.0","4,376.0"
"63","45","      Supplements to wages and salaries","B1662C1","3.0","4.0","4.0","14.0","14.0","14.0","20.0","25.0","26.0","26.0","26.0","28.0","35.0","36.0","39.0","45.0","47.0","47.0","58.0","60.0","59.0","63.0"
"64","46","    Rental income of persons with CCAdj","B1156C1","3,238.0","3,639.0","4,264.0","4,922.0","5,917.0","7,029.0","7,959.0","8,394.0","8,617.0","9,059.0","9,599.0","10,537.0","11,469.0","12,174.0","13,001.0","13,481.0","13,605.0","13,926.0","14,443.0","14,910.0","14,542.0","14,871.0"
"65","47","    Net interest","A2015C1","1,262.0","1,419.0","1,620.0","1,909.0","2,206.0","2,491.0","2,886.0","3,293.0","3,904.0","4,573.0","5,238.0","5,887.0","6,568.0","7,246.0","8,141.0","8,830.0","9,752.0","10,664.0","11,468.0","12,154.0","13,122.0","14,515.0"
"66","48","    Taxes on production and imports less subsidies plus business current transfer payments","W478RC1","1,426.0","1,633.0","1,758.0","1,972.0","2,221.0","2,456.0","2,714.0","3,112.0","3,563.0","4,020.0","4,494.0","4,832.0","5,269.0","5,811.0","6,316.0","6,939.0","7,553.0","8,267.0","9,028.0","10,034.0","11,330.0","12,675.0"
"67","49","  Nonprofit institutions serving households","W505RC1","3,411.0","3,764.0","4,084.0","4,476.0","4,861.0","5,356.0","5,804.0","6,340.0","6,894.0","7,581.0","8,381.0","9,201.0","10,487.0","11,166.0","12,302.0","13,364.0","14,571.0","16,052.0","18,049.0","20,153.0","22,810.0","26,310.0"
"68","50","    Compensation of employees","W152RC1","3,239.0","3,576.0","3,882.0","4,262.0","4,631.0","5,112.0","5,546.0","6,064.0","6,595.0","7,256.0","8,032.0","8,852.0","10,098.0","10,729.0","11,818.0","12,826.0","13,952.0","15,347.0","17,236.0","19,201.0","21,709.0","25,038.0"
"69","51","      Wage and salary accruals","W481RC1","3,177.0","3,510.0","3,801.0","4,139.0","4,499.0","4,957.0","5,367.0","5,868.0","6,377.0","7,003.0","7,720.0","8,435.0","9,575.0","10,164.0","11,155.0","12,059.0","13,120.0","14,417.0","16,092.0","17,854.0","20,298.0","23,345.0"
"70","52","      Supplements to wages and salaries","W482RC1","62.0","66.0","81.0","123.0","132.0","155.0","179.0","196.0","218.0","253.0","312.0","417.0","523.0","565.0","663.0","767.0","832.0","930.0","1,144.0","1,347.0","1,411.0","1,693.0"
"71","53","    Rental income of persons","W159RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"72","54","    Net interest","B1131C1","57.0","62.0","65.0","65.0","69.0","71.0","74.0","76.0","77.0","80.0","81.0","86.0","98.0","112.0","123.0","140.0","184.0","230.0","302.0","390.0","470.0","567.0"
"73","55","    Taxes on production and imports","B1320C1","115.0","126.0","137.0","149.0","161.0","173.0","184.0","200.0","222.0","245.0","268.0","263.0","291.0","325.0","361.0","398.0","435.0","475.0","511.0","562.0","631.0","705.0"
"74","56","General government","A194RC1","18,077.0","20,121.0","21,240.0","27,741.0","31,527.0","32,409.0","33,044.0","34,796.0","37,224.0","39,783.0","42,903.0","44,861.0","48,074.0","51,591.0","55,454.0","59,340.0","64,408.0","69,280.0","78,419.0","87,405.0","97,801.0","107,461.0"
"75","57","  Compensation of employees","A194RC1","18,077.0","20,121.0","21,240.0","27,741.0","31,527.0","32,409.0","33,044.0","34,796.0","37,224.0","39,783.0","42,903.0","44,861.0","48,074.0","51,591.0","55,454.0","59,340.0","64,408.0","69,280.0","78,419.0","87,405.0","97,801.0","107,461.0"
"76","58","    Wage and salary accruals","B1663C1","16,775.0","18,344.0","20,034.0","26,330.0","29,991.0","30,921.0","31,414.0","32,901.0","34,979.0","37,021.0","39,735.0","41,393.0","44,127.0","47,186.0","50,691.0","53,947.0","58,377.0","62,854.0","70,703.0","78,257.0","87,405.0","95,429.0"
"77","59","    Supplements to wages and salaries","B1664C1","1,302.0","1,777.0","1,206.0","1,411.0","1,536.0","1,488.0","1,630.0","1,895.0","2,245.0","2,762.0","3,168.0","3,468.0","3,947.0","4,405.0","4,763.0","5,393.0","6,031.0","6,426.0","7,716.0","9,148.0","10,396.0","12,032.0"
"78","60","Rest of the world","A192RC1","1,456.0","1,280.0","1,440.0","1,892.0","1,985.0","1,899.0","2,095.0","2,449.0","2,796.0","3,055.0","2,628.0","2,761.0","3,113.0","3,519.0","4,093.0","4,477.0","4,920.0","5,279.0","5,070.0","5,393.0","6,085.0","6,115.0"
"79","61","  Compensation of employees","A4187C1","86.0","58.0","78.0","14.0","2.0","-7.0","-57.0","-70.0","-82.0","-78.0","-72.0","-81.0","-155.0","-144.0","-95.0","-63.0","-54.0","5.0","24.0","30.0","12.0","22.0"
"80","62","  Corporate profits","B394RC1","1,261.0","1,125.0","1,269.0","1,744.0","1,888.0","1,798.0","1,962.0","2,354.0","2,821.0","3,092.0","2,523.0","2,718.0","3,137.0","3,316.0","3,772.0","4,081.0","4,469.0","4,706.0","4,528.0","4,775.0","5,636.0","6,595.0"
"81","63","  Net interest","A1627C1","109.0","97.0","93.0","134.0","95.0","108.0","190.0","165.0","57.0","41.0","177.0","124.0","130.0","347.0","420.0","458.0","505.0","569.0","519.0","589.0","437.0","-502.0"
"82",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",NA,"  Corporate business:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","64","    Corporate profits with IVA and CCAdj","A445RC1","29,614.0","27,585.0","34,366.0","39,057.0","36,951.0","37,319.0","36,372.0","46,645.0","45,164.0","44,547.0","39,935.0","51,108.0","49,959.0","50,871.0","58,573.0","64,254.0","71,055.0","81,823.0","88,018.0","85,400.0","91,615.0","87,876.0"
"85","65","      Profits before tax (without IVA and CCAdj)","E561RC1","34,615.0","28,482.0","41,964.0","43,044.0","38,342.0","39,885.0","37,381.0","47,530.0","47,642.0","45,988.0","40,440.0","51,038.0","48,494.0","48,253.0","53,234.0","57,998.0","64,627.0","75,444.0","82,172.0","78,772.0","86,803.0","84,776.0"
"86","66","      Inventory valuation adjustment","B058RC1","-2,152.0","1,856.0","-4,965.0","-1,199.0","981.0","-997.0","-318.0","-1,736.0","-2,693.0","-1,539.0","-255.0","-277.0","-173.0","271.0","26.0","54.0","-494.0","-1,245.0","-2,107.0","-1,554.0","-3,651.0","-5,870.0"
"87","67","      Corporate capital consumption adjustment","A059RC1","-2,849.0","-2,753.0","-2,633.0","-2,788.0","-2,372.0","-1,569.0","-691.0","851.0","215.0","98.0","-250.0","347.0","1,638.0","2,347.0","5,313.0","6,202.0","6,922.0","7,624.0","7,953.0","8,182.0","8,463.0","8,970.0"
"88",NA,"  Sole proprietors and partnerships:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","68","    Proprietors' income with IVA and CCAdj","A1645C1","39,252.0","34,654.0","37,515.0","42,689.0","43,109.0","42,050.0","42,309.0","44,293.0","45,906.0","47,879.0","50,245.0","50,008.0","50,362.0","52,812.0","54,879.0","56,074.0","58,895.0","63,445.0","67,774.0","69,367.0","73,724.0","77,059.0"
"90","69","      Farm proprietors' income with IVA and CCAdj","B042RC1","16,704.0","11,989.0","12,872.0","15,303.0","14,313.0","12,169.0","11,749.0","10,716.0","10,588.0","10,550.0","12,422.0","10,044.0","10,648.0","11,249.0","11,217.0","11,010.0","9,781.0","12,029.0","13,018.0","11,642.0","11,660.0","12,833.0"
"91","70","        Proprietors' income with IVA","A043RC1","17,139.0","12,445.0","13,310.0","15,841.0","14,889.0","12,709.0","12,243.0","11,161.0","11,114.0","11,142.0","13,030.0","10,668.0","11,198.0","11,769.0","11,726.0","11,503.0","10,270.0","12,541.0","13,566.0","12,250.0","12,337.0","13,623.0"
"92","71","        Capital consumption adjustment","B044RC1","-435.0","-456.0","-438.0","-538.0","-576.0","-540.0","-494.0","-445.0","-526.0","-592.0","-608.0","-624.0","-550.0","-520.0","-509.0","-493.0","-489.0","-512.0","-548.0","-608.0","-677.0","-790.0"
"93","72","      Nonfarm proprietors' income with IVA and CCAdj","A1646C1","22,548.0","22,665.0","24,643.0","27,386.0","28,796.0","29,881.0","30,560.0","33,577.0","35,318.0","37,329.0","37,823.0","39,964.0","39,714.0","41,563.0","43,662.0","45,064.0","49,114.0","51,416.0","54,756.0","57,725.0","62,064.0","64,226.0"
"94","73","        Proprietor's income (without IVA and CCAdj)","A1647C1","23,226.0","22,242.0","25,735.0","27,828.0","28,609.0","29,970.0","30,484.0","33,708.0","35,580.0","37,436.0","37,880.0","39,966.0","39,619.0","41,604.0","43,625.0","44,991.0","48,989.0","51,667.0","55,207.0","58,177.0","62,910.0","65,021.0"
"95","74","          Inventory valuation adjustment","B179RC1","-410.0","463.0","-1,094.0","-327.0","201.0","-168.0","-49.0","-198.0","-502.0","-300.0","-56.0","-32.0","25.0","3.0","-4.0","-44.0","-56.0","-166.0","-224.0","-204.0","-413.0","-464.0"
"96","75","          Capital consumption adjustment","A2205C1","-268.0","-40.0","2.0","-115.0","-14.0","79.0","125.0","67.0","240.0","193.0","-1.0","30.0","70.0","-44.0","41.0","117.0","181.0","-85.0","-227.0","-248.0","-433.0","-331.0"
"97",NA,"  Other private business:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","76","    Proprietors' income with IVA and CCAdj","A1654C1","-30.0","-32.0","-29.0","-38.0","-39.0","-37.0","-35.0","-30.0","-43.0","-54.0","-56.0","318.0","345.0","387.0","425.0","448.0","456.0","458.0","474.0","481.0","466.0","449.0"
"99","77","      Proprietors' income with IVA","B1207C1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","378.0","395.0","429.0","462.0","482.0","490.0","493.0","509.0","524.0","520.0","512.0"
"100","78","      Capital consumption adjustment","B1411C1","-30.0","-32.0","-29.0","-38.0","-39.0","-37.0","-35.0","-30.0","-43.0","-54.0","-56.0","-60.0","-50.0","-42.0","-37.0","-34.0","-34.0","-35.0","-35.0","-43.0","-54.0","-63.0"
"101","79","    Rental income of persons with CCAdj","W155RC1","4,557.0","4,448.0","4,809.0","5,115.0","5,233.0","5,324.0","5,422.0","5,379.0","5,450.0","5,410.0","5,634.0","5,485.0","5,487.0","5,553.0","5,602.0","5,848.0","5,826.0","6,021.0","6,076.0","5,994.0","6,082.0","6,023.0"
"102","80","      Rental income of persons (without CCAdj)","W488RC1","5,070.0","4,961.0","5,335.0","5,700.0","5,834.0","5,923.0","6,014.0","5,983.0","6,074.0","6,031.0","6,246.0","6,092.0","6,070.0","6,107.0","6,130.0","6,362.0","6,348.0","6,586.0","6,699.0","6,683.0","6,882.0","6,959.0"
"103","81","      Capital consumption adjustment","B050RC1","-513.0","-513.0","-526.0","-585.0","-601.0","-599.0","-592.0","-604.0","-624.0","-621.0","-612.0","-607.0","-583.0","-554.0","-528.0","-514.0","-522.0","-565.0","-623.0","-689.0","-800.0","-936.0"
"104",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
