"","Table 4#3BU# Relation of Foreign Transactions in the National In","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115"
"11","3","      Statistical differences \2\","B1233C0",2,0,0,-2,-1,-4,0,1,0,-1,-1,0,-2,-6,5,-1,-1,-8,1,-2,-29,-35,-29,-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-216,-336,-376,-484,-264,-72,-316,-24,-304,-216,-76,-432,0,0,0,0,0,0,0,0,0,0,0,0,1273,899,-765,-765
"12","4","Plus: Adjustment for U.S. territories and Puerto Rico \3\","B1234C0",7458,8132,8679,9123,9463,9802,10132,10462,10821,11142,11530,11968,12210,12468,12640,12734,13055,13041,12942,12812,13471,13822,12353,12475,12475,13329,12961,12672,10161,12968,11689,13401,11618,13171,12896,14367,14370,13269,12828,12314,12260,13012,13245,14099,14328,15335,15485,15043,15506,14977,15747,17478,19129,19164,17532,18150,17854,16405,19860,19387,18909,17582,16415,16730,17912,18432,19606,18037,16379,15897,15582,15228,15012,15403,15011,15645,17538,18705,20716,19634,19080,16789,17114,16937,14864,15122,14678,14034,10270,12345,4823,7838,9544,7486,7492,11027,7446,9842,7342,4227,13435,11600,12347,9980,11712,9069,10996,13651,12260,5930,10718,14533
"13","5","Equals: Exports of goods, NIPAs","A253RC0",220524,223040,224503,235937,234320,248650,264168,283049,304585,321435,331647,345472,354804,374778,372371,375455,390704,394585,398173,403082,414480,421289,425922,432562,440930,441565,452738,456567,452190,458460,454363,474716,477592,496429,524037,542189,562222,575619,595591,599678,608166,611943,615444,637769,658267,687046,704663,700792,694450,672834,666751,689398,687787,696999,716839,744161,762027,791191,822682,812620,799254,763886,717699,693963,690037,717704,729184,713385,722330,724118,739014,777732,801911,827559,838880,862877,888878,923708,927811,960743,1008600,1039135,1055482,1089198,1110370,1141128,1181769,1228030,1279101,1363785,1374737,1172902,1012079,1010560,1073631,1162477,1205439,1255588,1286312,1366395,1423145,1469264,1496984,1505001,1520670,1539457,1545600,1538255,1531633,1548777,1572102,1615560
"14","6","Exports of services, ITAs","B1235C0",84208,83648,87876,91044,94408,98960,99944,101316,106392,110268,113812,113208,122304,124440,129264,132348,140064,143952,149608,157712,151564,162980,167440,175064,176656,176532,178436,177372,183936,185828,186828,187064,193448,199912,202668,205564,208692,212652,225744,229632,229768,237400,234656,256116,250060,257168,259420,257716,258760,264696,259144,268424,262440,265196,271584,275936,281776,289488,289292,291456,290048,284996,272260,258844,275268,280820,284856,292804,284824,280928,296568,314160,331236,337416,340744,357556,369316,370420,377572,388980,403184,418200,418544,445620,457700,472912,500476,525936,525140,541720,541856,523300,498336,499316,507060,530136,531856,542340,564612,583888,595852,615868,635880,620292,641948,647340,643208,664888,668540,680128,683456,694760
"15","7","Less: Statistical differences \2\","B1236C0",-184,-303,-382,-415,-364,-349,-335,-325,-320,-313,-303,-292,-301,-297,-304,-320,-310,-338,-351,-358,-336,-346,-377,-399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,796,188,324,364,900,380,480,548,1136,536,792,800,1256,656,1024,940,-1060,-792,-872,-2672,-1600,-2896,-3344,-876,820,-1584,-796,-436,0,0,0,0,0,0,0,0,0,0,0,0,-3635,-171,-227,-227
"16","8","      Other items \4\","B1237C0",0,0,0,0,0,0,0,0,0,8,20,12,48,48,60,40,52,48,48,76,172,864,484,260,168,192,320,1404,1760,788,300,360,460,492,920,444,724,596,892,688,604,672,984,572,496,488,476,712,588,408,604,980,596,686,793,655,1007,845,1311,681,938,850,720,551,603,806,634,585,737,772,782,862,948,997,1066,1065,1311,1331,1520,1618,1350,1093,1237,992,1464,1353,1611,1402,1400,1622,1844,1598,1630,1460,1536,1338,2027,2257,1983,1537,1535,1330,1823,1516,1438,1428,1587,1377,1384,1488,1404,1568
"17","9","Plus: Adjustment for U.S. territories and Puerto Rico \3\","B1238C0",2280,2300,2328,2364,2412,2456,2500,2536,2572,2612,2656,2700,2667,2677,2695,2725,2724,2765,2805,2898,2943,2980,3020,3061,3093,3135,3174,3210,3241,3277,3315,3355,3420,3469,3508,3539,3569,3598,3625,3652,3676,3702,3728,3754,3791,3806,3810,3805,3778,3772,3773,3784,3797,3833,3887,3958,4048,4120,4174,4210,4228,4254,4286,4326,4373,4430,4497,4574,4661,4745,4826,4904,4979,5036,5076,5099,5104,5095,5071,5034,4982,4949,4936,4942,4967,4962,4928,4865,4771,4666,4550,4422,4282,4173,4096,4049,4028,4006,3984,3961,3939,3915,3888,3859,3827,3804,3788,3780,3728,3676,3625,3574
"18","10","      Financial services furnished without payment","B1607C0",6199,5818,5374,5230,4936,4935,4896,4869,4845,4838,5173,4944,5144,5068,4760,4560,4463,4313,4239,4189,4005,3978,4296,4364,4747,5092,5306,5628,5965,6292,6662,6800,7207,7637,7561,7770,7783,7548,7295,7114,6901,6636,6697,6693,6720,6886,6607,6699,6585,6365,6164,5677,5785,5524,5674,5933,6125,6233,6010,5716,5333,5095,4978,4779,4622,4847,4912,5104,5079,4967,4841,4681,4827,4953,5257,5483,5508,5556,5747,5909,6281,6327,6200,6093,6207,5978,6651,6500,6900,7432,7412,7595,7059,7336,7093,7484,7084,7340,7354,7686,8070,7760,8494,8591,8405,8222,8167,8178,8050,7672,7794,8029
"19","11","Equals: Exports of services, NIPAs","A646RC0",92871,92069,95960,99053,102120,106700,107675,109046,114129,118023,121924,121132,130368,132434,136963,139913,147509,151320,156955,165081,158676,169420,174649,182628,184328,184571,186600,184802,191386,194605,196505,196855,203611,210530,212817,216429,219320,223202,235776,239710,239741,247066,244097,265991,260071,267368,269357,267504,268536,274425,268478,276905,271429,273869,280355,285169,290944,298996,298167,300697,298669,293494,280804,267397,283660,289291,293635,301898,293032,289682,305125,322517,339186,346026,349530,366526,377483,379207,386075,397503,411837,427722,427422,454724,468473,483289,511314,538571,537011,555091,555320,534590,507230,510951,517511,540766,540941,551425,573963,593998,606330,626209,646435,631229,652742,657942,653572,675473,682569,690159,693694,705022
"20","12","Income receipts, ITAs","B1239C0",102976,97864,94696,92716,97808,106800,109940,118184,130716,131500,137940,146696,155820,163372,162004,163952,167080,168020,167348,184520,168588,148832,142196,137256,136872,139196,130684,128308,133356,133820,137856,139196,148180,158332,172724,186844,202296,212088,210092,216496,220908,219136,225336,239128,248376,260552,262128,256164,265780,268452,257100,255944,269964,285480,304600,321664,334720,356616,348808,369772,329308,305000,277100,258320,267492,280804,297192,285332,301132,312152,323484,352860,386748,402216,423472,450736,500736,516000,546600,586012,623228,680252,704796,730432,763620,827076,869936,875172,863308,856704,833604,702728,593852,579104,613252,640184,655788,670436,677752,708232,731920,762332,780164,768900,776284,772388,769308,787476,763040,778444,790260,824516
"21","13","Less: Statistical differences \2\","B1240C0",-373,-630,-813,-912,-844,-845,-840,-838,-742,-760,-791,-836,-923,-977,-1026,-1069,-974,-1024,-1086,-1160,-1131,-1210,-1283,-1348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,48,64,80,100,112,124,132,152,172,188,220,7084,6292,14344,-6900,0,0,0,0,0,0,0,0,0,0,0,0,-8970,2777,10221,10221
"22","14","Plus: Adjustment for U.S. territories and Puerto Rico \3\","B1241C0",7515,7924,8257,8528,8751,8942,9114,9284,9495,9704,9952,10233,10267,10430,10601,10781,10980,11003,11098,11259,11538,11835,12147,12464,12788,13085,13368,13627,13904,14204,14420,14511,14871,15218,15560,15895,16171,16416,16632,16829,16895,17161,17513,17951,18541,19090,19650,20203,20882,21289,21575,21758,21627,21788,22183,22811,23673,24558,25467,26400,27357,28108,28654,28993,29127,29296,29500,29740,30015,30310,30625,30959,31314,31673,32037,32406,32780,33007,33088,33023,32812,32683,32638,32675,32796,33024,33360,33804,34356,34826,35214,35519,35742,35948,36136,36308,36481,36635,36771,36888,36987,37126,37307,37529,37793,37990,38122,38188,38379,38571,38764,38958
"23","15","      Imputed interest received from the rest of the world","W320RC0",-238,-219,-200,-196,-185,-183,-179,-177,-171,-169,-182,-186,-200,-213,-208,-203,-199,-192,-192,-193,-191,-195,-214,-220,-237,-246,-250,-256,-260,-265,-270,-270,-278,-291,-289,-302,-310,-325,-348,-386,-442,-480,-530,-571,-599,-648,-668,-717,-771,-828,-887,-873,-936,-941,-990,-1072,-1108,-1157,-1171,-1192,-1201,-1186,-1173,-1135,-1083,-1137,-1129,-1134,-1111,-1087,-1037,-989,-994,-981,-1008,-1029,-1050,-1113,-1196,-1312,-1472,-1570,-1594,-1573,-1572,-1576,-1646,-1703,-1806,-1807,-1749,-1669,-1487,-1553,-1457,-1562,-1525,-1576,-1588,-1671,-1828,-1890,-2076,-2226,-2452,-2641,-2767,-2892,-2961,-2970,-3091,-3167
"24","16","      Adjustment for grossing of parent/affiliate transactions \5\","B2628C0",5848,5928,5644,5516,5160,4976,6184,5356,4696,4680,4952,5488,4624,5196,5232,5336,4924,4660,5384,5640,5716,6312,6120,6304,5368,5056,5100,5732,4948,6632,5400,5208,2636,2868,2960,3244,3088,3512,3492,3580,3168,3404,3444,3592,3860,4020,5000,5332,3964,4356,4352,5024,4580,4660,4764,5500,6056,6112,6528,6676,5892,6076,5664,5456,4184,4972,4692,5372,4060,4096,4416,4576,4040,4408,4612,6140,6100,6312,6600,7568,7388,8184,8828,9272,8212,10636,10064,11436,10244,9884,9256,9124,7852,9132,6948,7196,5708,6368,7596,7796,5464,6888,6900,7776,6412,6712,7344,7036,5848,5704,6306,6750
"25","17","Equals: Income receipts, NIPAs","B645RC0",116479,112127,109209,107480,112383,121378,125897,133485,145471,146475,153453,163066,171439,179764,178658,180934,183763,184516,184722,202387,186772,167995,161533,157152,154791,157094,148901,147421,151953,154392,157408,158646,165410,176125,190956,205681,221248,231694,229869,236521,240530,239222,245764,260100,270174,283013,286111,280986,289855,293271,282138,281853,295235,310987,330557,348903,363341,386129,379632,401656,361356,337998,310245,291634,299720,313935,330255,319310,334096,345471,357488,387406,421108,437316,459113,488253,538566,554206,585092,625291,661920,719501,744608,770726,802952,869048,911590,918577,905950,899439,876133,745482,628875,616339,640535,689022,696452,711863,720531,751245,772543,804456,822295,811979,818037,814449,812007,829808,813276,816972,822017,856836
"26","18","Imports of goods, ITAs","B1242C0",356880,366972,371204,378644,384092,402592,417648,434728,439852,443344,443604,461956,474836,484048,469836,481940,499788,487128,496528,510308,489304,480412,489792,504572,511848,529936,544192,560136,569324,587200,591052,610000,625212,652800,685368,711380,735864,759640,750740,751252,777780,800280,809468,824924,856836,869184,883896,897260,910668,913988,911416,938476,959764,1005372,1063784,1113448,1181600,1213956,1258232,1273104,1245504,1168284,1119436,1081580,1099684,1173484,1197820,1222136,1251076,1252832,1266016,1318428,1390388,1471988,1506252,1584768,1612688,1663436,1704872,1802280,1832216,1871564,1922176,1886820,1918412,1964880,1998492,2063608,2161564,2253732,2267336,1882516,1510836,1464164,1600924,1744176,1827696,1921768,1976028,2030312,2167156,2235948,2261888,2294980,2324652,2313420,2281816,2290968,2279964,2280875,2304703,2308755
"27","19","Less: Gold, ITAs \1\","B1095C0",7420,10484,5008,8512,3020,1888,3612,6616,7480,7056,2236,2672,3200,3664,3416,4324,1652,2128,2772,3256,3256,2968,2300,3064,2260,3552,2688,6732,5336,8404,11560,9984,8792,4688,2824,2648,4396,10816,2524,3432,6760,14640,6156,3436,8704,10956,2964,3808,6748,5456,7332,6572,3256,3152,7396,9268,9576,2960,4232,6740,6124,6488,2184,2424,2020,3452,3008,2944,2376,4084,4076,3792,4084,3280,3996,4840,3832,4044,4408,5448,5720,6156,5560,5140,7840,9760,10692,7012,18021,12550,12633,6611,7322,8363,8789,10895,9713,12146,10643,19929,15224,16212,17129,17045,15472,17440,18495,19925,16765,17295,15175,15292
"28","20","      Statistical differences \2\","B1243C0",2,3,-4,4,-1,0,1,-4,-2,-2,0,5,-21,-15,-26,-23,15,18,27,22,23,28,23,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1164,1188,1144,1316,1096,1192,1112,1220,1240,1256,1176,1272,1092,1300,1508,1508,1580,1512,1688,2676,2620,3160,2748,2900,3240,3360,3444,3564,2896,3572,2736,3188,3336,3724,3392,3572,3800,3472,3936,3508,4272,4560,5076,4232,0,0,0,0,0,0,0,0,0,0,0,0,-488,-521,-66,-66
"29","21","Plus: Gold, NIPAs \1\","B1091C0",-460,-432,-612,3076,-836,-1144,-1056,-704,-1500,-1676,-1820,-1184,-1940,-2404,-2162,-2182,-1788,-3579,-2107,-2011,-3144,-2398,-2668,-2799,-2052,-3253,-3255,-2949,-2493,-3566,-3240,-3598,-4670,-3834,-3814,-3471,-3542,-3590,-3567,-3788,-3588,-3653,-4066,-3937,-3738,-3807,-3419,-3441,-3144,-2753,-2693,-2648,-2087,-2168,-2187,-2488,-2776,-2426,-2315,-2403,-2400,-2420,-2315,-2498,-2049,-2189,-2084,-2087,-2302,-2337,-2464,-2066,-2434,-2206,-2310,-2297,-2451,-2481,-2664,-2628,-3014,-3194,-3177,-4016,-3502,-4218,-4111,-4355,-4016,-4165,-4173,-4802,-4641,-5124,-5706,-5687,-7281,-5745,-7399,-8282,-9071,-9948,-10929,-11917,-11350,-10209,-10312,-10608,-8161,-6226,-7493,-7171
"30","22","      Adjustment for U.S. territories and Puerto Rico \3\","B1244C0",8707,9047,9171,9256,9300,9503,9819,10267,10612,11065,11573,12119,12269,12718,13163,13563,14043,14400,14661,14801,14086,16005,15635,15770,15927,14754,15609,14041,14369,14911,15850,16506,15473,17740,16931,17084,17532,19018,15066,16328,17106,16406,15173,14911,17067,17542,20852,20815,20016,21103,21108,23569,24462,24764,24371,22018,25041,23868,32477,31306,28306,30295,30956,29578,28018,29921,32771,33753,28987,32296,28638,30679,26356,27127,33273,32233,35793,25482,31431,30200,32367,38033,27935,23174,35295,30996,31359,23569,26143,28386,23571,24004,26989,28827,23500,24506,31626,29293,27531,41720,20940,24844,18598,21582,21733,21659,21969,19171,26397,30794,22424,22641
"31","23","Equals: Imports of goods, NIPAs","A255RC0",357705,365100,374759,382460,389537,409063,422798,437679,441486,445679,451121,470214,481986,490713,477447,489020,510376,495803,506283,519820,496967,491023,500436,514455,523470,537882,553860,564495,575865,590145,592109,612924,627223,662022,695660,722344,745464,764255,759719,760356,784526,798397,814409,832459,861459,871959,898369,910830,920800,926876,922498,952829,977717,1023626,1077433,1122393,1193191,1231243,1283053,1294049,1264038,1188413,1144716,1104968,1122540,1196465,1223993,1249355,1273810,1277193,1286431,1340574,1407607,1490467,1530475,1606963,1638962,1679028,1725787,1820844,1852955,1896674,1938643,1897645,1939030,1978178,2011657,2072236,2161870,2261931,2270161,1891600,1521590,1474942,1604858,1747864,1842326,1933171,1985515,2043827,2163800,2234625,2252428,2287596,2319560,2307430,2274977,2279607,2281923,2288669,2304527,2308999
"32","24","Imports of services, ITAs","B1245C0",79420,76264,81792,83112,85092,90148,91332,96584,98012,97128,98352,100628,100560,100964,103168,105224,112692,115056,119692,123180,119204,118640,116800,119196,119048,117772,120700,120728,119984,122644,123688,128808,131236,132092,134496,134412,137704,140388,142416,145088,148360,150424,155344,156092,161620,163516,168312,170284,173216,178508,183136,187860,187520,193288,198340,201544,212080,215556,223712,222252,220256,225104,213620,206468,219596,220784,226212,236456,235232,230896,246056,257388,268792,277420,282168,292716,292808,298580,302608,307412,328152,332636,333844,345360,353556,363176,372500,373072,390076,398844,412332,404136,379856,374840,381424,391152,393176,397656,412664,416092,414612,427384,439084,437608,439320,442596,443400,444788,441576,450012,456016,463092
"33","25","Less: Statistical differences \2\","B1246C0",-373,-630,-813,-912,-844,-845,-840,-838,-742,-760,-791,-836,-923,-977,-1026,-1069,-978,-1024,-1090,-1156,-1135,-1210,-1287,-1348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-560,-588,-680,-600,-536,-596,-616,-520,-604,-692,-728,-648,-596,-648,-588,-644,-1452,-1556,-1824,-2708,-2436,-2876,-2668,-2968,-3088,-3204,-3488,-3408,-3128,-3088,-2888,-2968,-2880,-2776,-2944,-2872,-2464,-1376,-1648,-2772,-1192,-828,-788,-352,0,0,0,0,0,0,0,0,0,0,0,0,-8681,-4205,-469,-469
"34","26","Plus: Adjustment for U.S. territories and Puerto Rico \3\","B1247C0",1920,1996,2070,2142,2213,2282,2348,2412,2473,2531,2585,2636,2685,2735,2786,2839,2721,2876,3037,3126,3011,3048,3146,3271,3305,3293,3293,3313,3461,3488,3450,3317,3364,3446,3591,3803,3731,3700,3708,3757,3845,3926,4000,4065,4134,4176,4207,4230,4220,4238,4267,4311,4355,4437,4549,4692,4865,5004,5110,5182,5219,5243,5253,5249,5231,5233,5257,5301,5367,5455,5567,5703,5862,5992,6094,6168,6213,6252,6284,6309,6328,6380,6466,6587,6741,6835,6867,6839,6750,6645,6524,6386,6232,6111,6021,5964,5931,5892,5846,5795,5737,5661,5567,5455,5324,5226,5161,5128,5087,5046,5006,4966
"35","27","Equals: Imports of services, NIPAs","B656RC0",81713,78890,84675,86166,88149,93275,94520,99834,101227,100419,101728,104100,104168,104676,106980,109132,116391,118956,123819,127462,123350,122898,121233,123815,122353,121069,123993,124041,123445,126136,127142,132125,134604,135538,138091,138215,141435,144088,146124,148845,152209,154354,159348,160161,165754,167692,172519,174514,177436,182746,187403,192171,192437,198312,203580,206837,217482,221158,229438,227953,226081,231037,219604,212366,225428,226673,232067,242406,242052,237908,253447,265796,277092,286293,290935,301854,302111,308035,312378,317130,337609,342107,343202,354911,363174,372787,382313,382784,399290,406865,420505,413299,387278,381776,388235,397469,399107,403548,418514,421884,420349,433045,444647,443063,444644,447822,448561,449916,455344,459263,461495,468527
"36","28","Income payments, ITAs","B1248C0",81068,83524,78520,83172,86364,91760,95464,101984,109376,112588,121648,128496,137792,146388,142916,138756,143368,142400,146436,140568,136160,127728,124608,111856,110976,113948,108360,104844,102132,109104,107456,124280,126456,141012,157412,172616,178864,186320,198560,193664,191536,198544,208232,216932,235108,240140,250164,251368,252700,258840,260904,257768,262528,273180,295400,302856,320320,339940,337800,335136,309660,277140,272796,191216,239680,271584,273828,245008,274856,272448,284052,287256,302824,343412,353816,406604,422912,449336,469184,537400,571980,633988,672008,687380,719564,761536,746608,705672,708628,697768,657440,607928,492584,481652,461564,496276,480644,493512,506444,520964,511580,540592,535892,524660,556780,542556,550788,559620,562828,557708,553716,566948
"37","29","Less: Statistical differences \2\","B1249C0",-184,-303,-382,-415,-364,-349,-335,-325,-320,-313,-303,-292,-301,-297,-304,-320,-314,-334,-351,-362,-332,-346,-369,-399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,948,944,940,892,948,960,972,928,980,984,972,904,920,940,936,812,984,1200,884,916,1620,956,944,988,1168,1208,1388,1608,0,0,0,0,0,0,0,0,0,0,0,0,-1282,-1235,6401,6401
