"","Table 6#9B# Hours Worked by Full-Time and Part-Time Employees by","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"1","[Millions of hours]                                                                                                                                                                                                                                       ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 20, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/28/2012 2:20:53 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987
"8","1","      Hours worked by full-time and part-time employees","B4701C0",143024,140823,140043,144127,150314,150547,146463,150687,155780,162941,167633,166633,167767,163779,166077,174211,177608,179575,184785
"9","2","Domestic industries","B4702C0",143070,140865,140083,144171,150364,150591,146515,150739,155828,162999,167679,166683,167896,163912,166223,174363,177755,179712,184922
"10","3","  Private industries","B4703C0",115449,113398,112733,116852,122748,122511,117960,122058,126966,133516,137965,136592,138197,134303,136815,144678,147485,148716,153504
"11","4","    Agriculture, forestry, and fishing","B4704C0",3073,3060,3023,3076,3206,3352,3291,3426,3400,3363,3462,3546,3495,3227,3458,3227,2982,2919,3016
"12","5","      Farms","B4705C0",2552,2543,2503,2500,2553,2709,2712,2763,2682,2536,2546,2606,2512,2386,2582,2322,2014,1906,1928
"13","6","      Agricultural services, forestry, and fishing","B4706C0",521,517,520,576,653,643,579,663,718,827,916,940,983,841,876,905,968,1013,1088
"14","7","    Mining","B4707C0",1279,1283,1241,1270,1298,1439,1520,1578,1699,1800,1945,2131,2395,2284,1906,1990,1908,1551,1450
"15","8","    Construction","B4708C0",7273,7073,7158,7409,8003,7791,6873,7045,7522,8387,8956,8551,8226,7649,7773,8726,9361,9446,9610
"16","9","    Manufacturing","B4709C0",39544,37004,35478,36964,39065,38270,34579,36241,37684,39384,40185,38157,38084,34701,35038,37378,37039,36414,36650
"17","10","      Durable goods","J4710C0",23385,21438,20248,21421,23201,22856,20192,21161,22291,23713,24474,22917,22856,20376,20477,22370,22314,21668,21582
"18","11","      Nondurable goods","J4711C0",16159,15566,15230,15543,15864,15414,14387,15080,15393,15670,15712,15240,15228,14325,14561,15009,14725,14746,15068
"19","12","    Transportation and public utilities","B4712C0",8691,8738,8606,8716,9020,8996,8569,8587,8853,9223,9529,9426,9394,9119,8984,9413,9721,9697,9987
"20","13","      Transportation","J4713C0",5432,5309,5202,5234,5428,5388,5047,5088,5253,5448,5573,5357,5222,4869,4824,5245,5542,5561,5870
"21","14","      Communication","B4714C0",1970,2094,2050,2112,2182,2193,2133,2117,2189,2295,2429,2509,2573,2618,2501,2485,2447,2422,2390
"22","15","      Electric, gas, and sanitary services","J4715C0",1289,1335,1354,1370,1410,1415,1389,1382,1411,1481,1527,1560,1599,1632,1659,1684,1732,1714,1727
"23","16","    Wholesale trade","J4716C0",7816,7940,7958,8206,8556,8581,8403,8673,9018,9554,10020,10039,10300,10043,9949,10413,10781,10719,10962
"24","17","    Retail trade","J4717C0",19444,19684,20077,20680,21542,21513,21588,22421,23172,24105,24520,24192,24417,24277,24927,26519,27063,27146,28610
"25","18","    Finance, insurance, and real estate","J4718C0",6453,6650,6791,7002,7352,7532,7590,7757,8125,8684,9104,9424,9667,9628,9816,10356,10971,11373,11857
"26","19","    Services","J4719C0",21876,21966,22401,23529,24706,25037,25547,26330,27493,29016,30243,31127,32218,33375,34964,36654,37659,39450,41362
"27","20","  Government","B4720C0",27621,27467,27350,27319,27616,28080,28555,28681,28862,29483,29714,30091,29699,29609,29408,29685,30270,30996,31418
"28","21","    General government","B4721C0",25084,24831,24691,24676,24927,25305,25756,25892,26113,26647,26779,27097,26709,26629,26476,26674,27162,27772,28128
"29","22","    Government enterprises","B4722C0",2537,2636,2659,2643,2689,2775,2799,2789,2749,2836,2935,2994,2990,2980,2932,3011,3108,3224,3290
"30","23","Rest of the world","B4723C0",-46,-42,-40,-44,-50,-44,-52,-52,-48,-58,-46,-50,-129,-133,-146,-152,-147,-137,-137
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Note.  Estimates in this table are based on the 1972 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
