"","Table 1#3#4# Price Indexes for Gross Value Added by Sector      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Index numbers, 2005=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 27, 2012     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/1/2012 8:19:10 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","    Gross domestic product","B191RG3",10.593,10.184,9.172,8.129,7.916,8.303,8.468,8.561,8.876,8.708,8.599,8.674,9.239,10,10.562,10.815,11.091,12.369,13.743,14.522,14.515,14.628,15.635,15.976,16.178,16.342,16.576,17.148,17.749,18.157,18.363,18.62,18.83,19.087,19.29,19.589,19.945,20.511,21.142,22.04,23.13
"9","2","Business \1\","B195RG3",13.63,13.071,11.636,10.223,10.036,10.614,10.868,10.946,11.36,11.067,10.916,11.049,11.878,12.876,13.607,13.775,13.852,14.81,16.593,17.626,17.489,17.62,18.907,19.234,19.397,19.513,19.698,20.346,21.041,21.43,21.583,21.815,21.985,22.207,22.329,22.584,22.935,23.5,24.142,25.105,26.259
"10","3","  Nonfarm \2\","B358RG3",13.262,12.915,11.821,10.592,10.29,10.672,10.724,10.744,11.114,11.049,11.032,11.03,11.702,12.416,12.937,13.101,13.127,13.911,15.486,16.542,16.697,16.817,17.847,18.314,18.68,18.871,19.144,19.819,20.497,20.806,21.055,21.297,21.47,21.675,21.822,22.106,22.402,22.909,23.643,24.574,25.682
"11","4","  Farm","B359RG3",51.951,43.068,28.977,20.698,22.632,29.248,36.059,38.196,40.958,32.671,28.097,32.951,41.754,57.387,69.603,70.231,73.31,85.241,101.392,102.128,84.825,85.765,105.145,95.912,82.03,77.21,71.63,70.791,73.08,79.582,72.687,72.25,72.24,73.968,72.021,69.751,75.337,81.552,72.989,77.065,82.883
"12","5","Households and institutions","B193RG3",7.636,7.377,6.872,6.137,5.464,5.328,5.373,5.52,5.844,5.928,5.952,5.965,6.135,6.537,7.057,7.505,7.88,8.266,8.754,9.141,9.392,9.667,10.173,10.654,11.176,11.495,11.683,11.952,12.298,12.612,12.934,13.274,13.539,13.835,14.132,14.425,14.726,15.183,15.707,16.143,17.033
"13","6","  Households","B701RG3",10.729,10.314,9.558,8.475,7.431,7.137,7.205,7.395,7.838,7.939,7.975,8.038,8.274,8.768,9.395,9.97,10.431,10.756,11.141,11.704,11.974,12.31,12.89,13.529,14.231,14.64,14.84,15.113,15.453,15.801,16.138,16.503,16.751,16.994,17.226,17.443,17.671,18.01,18.385,18.909,19.572
"14","7","  Nonprofit institutions serving households \3\","B702RG3",3.387,3.349,3.191,2.929,2.758,2.837,2.848,2.939,3.097,3.158,3.165,3.113,3.192,3.466,3.838,4.11,4.367,4.842,5.469,5.619,5.839,6.027,6.43,6.693,6.966,7.16,7.336,7.606,7.971,8.244,8.555,8.867,9.164,9.546,9.95,10.365,10.779,11.419,12.166,12.488,13.682
"15","8","General government \4\","B765RG3",3.015,2.989,2.979,2.855,2.877,3.02,3.007,3.102,3.137,3.189,3.137,3.084,3.089,3.313,3.46,3.694,4.066,5.458,5.875,5.999,6.263,6.249,6.532,6.806,6.966,7.171,7.523,7.928,8.288,8.728,8.997,9.247,9.508,9.804,10.164,10.555,10.911,11.468,12.043,12.87,13.725
"16","9","  Federal","B766RG3",2.939,2.799,2.92,2.912,2.984,3.174,3.036,3.481,3.485,3.563,3.437,3.245,3.146,3.385,3.502,3.745,4.159,5.841,6.203,6.01,6.348,6.216,6.336,6.545,6.66,6.799,7.225,7.619,7.944,8.504,8.782,8.946,9.117,9.299,9.692,10.163,10.526,10.986,11.256,12.104,12.846
"17","10","  State and local","B767RG3",3.18,3.187,3.137,2.975,2.983,3.115,3.156,3.047,3.107,3.145,3.142,3.187,3.289,3.501,3.766,3.984,4.164,4.525,5.054,5.704,5.843,5.995,6.523,6.902,7.136,7.448,7.661,8.064,8.46,8.724,8.972,9.318,9.676,10.097,10.41,10.702,11.043,11.684,12.557,13.343,14.29
"18",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","11","  Gross housing value added","A2009G3",13.312,12.934,12.192,10.912,9.79,8.934,8.98,9.179,9.607,9.914,9.904,9.933,10.102,10.362,10.443,10.546,10.679,10.871,11.263,11.943,12.326,12.754,13.33,13.927,14.653,15.114,15.342,15.61,15.916,16.249,16.541,16.824,17.076,17.297,17.518,17.698,17.874,18.153,18.501,18.929,19.543
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","1. Equals gross domestic product excluding gross value added of households and institutions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","and of general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2. Equals gross domestic business value added excluding gross farm value added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","3. Equals compensation of employees of nonprofit institutions, the rental value of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","nonresidential fixed assets owned and used by nonprofit institutions serving households,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","and rental income of persons for tenant-occupied housing owned by nonprofit institutions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","4. Equals compensation of general government employees plus general government consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
