"","Table 6#17B# Corporate Profits Before Tax by Industry           ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1948 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 20, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/1/2012 8:31:03 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","      Corporate profits before tax","A053RC0",35876,29607,43233,44788,40230,41683,39343,49884,50463,49080,42963,53756,51631,51569,57006,62079,69096,80150,86700,83547,92439,91371
"9","2","Domestic industries","E561RC0",34615,28482,41964,43044,38342,39885,37381,47530,47642,45988,40440,51038,48494,48253,53234,57998,64627,75444,82172,78772,86803,84776
"10","3","  Agriculture, forestry, and fishing","A3003C0",163,125,177,155,72,47,79,53,55,48,73,41,73,91,148,106,136,231,249,130,228,232
"11","4","    Farms","B3004C0",159,121,175,149,65,40,73,46,49,42,48,-6,22,30,60,35,75,161,162,71,140,128
"12","5","    Agricultural services, forestry, and fishing","B3005C0",4,4,2,6,7,7,6,7,6,6,25,47,51,61,88,71,61,70,87,59,88,104
"13","6","  Mining","A3006C0",1516,1035,1501,1459,1187,1027,1135,1441,1525,1296,1004,746,863,966,786,1084,1108,944,960,738,822,757
"14","7","    Metal mining","B3007C0",282,139,297,309,188,239,233,369,387,229,162,15,130,185,108,177,217,181,279,-65,77,98
"15","8","    Coal mining","J3008C0",444,166,247,201,131,90,48,120,216,194,138,86,91,124,92,146,196,187,181,171,155,122
"16","9","    Oil and gas extraction","B3009C0",652,601,788,764,701,533,665,717,692,699,568,502,463,506,430,505,394,343,257,366,342,260
"17","10","    Nonmetallic minerals, except fuels","B3010C0",138,129,169,185,167,165,189,235,230,174,136,143,179,151,156,256,301,233,243,266,248,277
"18","11","  Construction","B3011C0",684,636,661,658,707,605,635,563,827,928,850,818,560,702,920,984,1283,1578,1701,1974,2082,2108
"19","12","  Manufacturing","E563RC0",18987,15107,24179,25260,21033,22685,20260,27402,26402,25053,19670,26739,24073,23094,26340,29526,32849,40378,43766,40072,44095,41016
"20","13","    Durable goods","E565RC0",9137,7710,13306,13957,11851,12754,10791,15555,14176,13884,9626,13926,11827,11138,14086,16325,18265,23562,24897,22031,24265,21893
"21","14","      Lumber and wood products","J3014C0",574,314,699,577,417,356,383,571,435,272,365,547,335,344,452,575,692,844,694,714,1227,1243
"22","15","      Furniture and fixtures","J3015C0",180,137,247,221,206,174,166,260,271,230,169,218,182,200,251,278,319,430,433,424,487,498
