"","Table 3#15#1# Percent Change From Preceding Period in Real Gover","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"1","[Percent]                                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published September 10, 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/28/2012 2:16:24 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
"8","1","      Government","A822RL1",-0.2,-2.4,-2.2,-0.7,-0.4,2.5,2.3,0.4,1.1,2.9,1.9,1.9,0.9,1.8,3.7,3.4,7,6.1,2.4,1.3,2.7,3.2,1.1,0.5,-0.8,0,0.6,1,1.9,2.1,3.6,2,3.8,4.7,2.2,1.4,0.3,1.4,1.3,2.6,3.7,0.6,-3.1
"9","2","General public service","W575RL1",14.3,4.7,8.6,7.7,6.2,9.2,6.6,-0.3,2.8,-0.7,0.2,0,-4.6,2.8,3.4,1.7,12.7,15,-1.1,-1,1.4,4.8,1.4,3.5,-1,0.3,1.6,-2.1,4.8,5.9,5.1,-0.2,5.3,5.9,-1.1,2.2,-0.6,0.5,0.2,1,6.8,0.2,-3
"10","3","National defense","A824RL1",-4.9,-9.1,-11.3,-7.8,-5.5,-0.8,-0.9,-0.3,1.2,0.9,3,4.4,6.3,7.6,7.2,4.9,8.5,6.4,4.7,-0.5,-0.5,0,-1.1,-5,-5.3,-4.9,-3.7,-1.3,-2.8,-2.1,1.9,-0.5,3.8,7.4,8.7,5.7,1.5,1.6,2.2,7.5,6,3,-2.6
"11","4","Public order and safety","W579RL1",4.2,5.7,6.4,5.2,3.7,5.1,4,2.4,1,5.7,3.9,2.1,1.7,5,1,3.2,5.2,5.6,4.2,5,5.9,4.6,4,2.9,4.7,3.1,3.8,4.4,3.4,4.2,4.1,2.6,3.9,3.4,-0.5,0.5,1.1,2,3.6,2.5,3.2,-0.4,0
"12","5","Economic affairs","W584RL1",-0.6,-3.8,0.1,0.4,-2.5,-1.3,1.6,0.3,2.3,9.3,3.5,1.5,0.1,-5,3.3,1.3,7.4,3.4,-1.9,-3.2,5.3,5.8,0,4.1,0.8,0.3,-1.6,0.5,2.4,1.1,5,3.5,2.9,3.9,0.1,-1.9,-3.1,-0.2,0.2,0.3,3,2.8,-5.6
"13","6","  Transportation","W589RL1",-0.9,-0.5,-0.9,-0.1,-1.7,-3.4,-0.2,-0.9,0.6,6.8,5.7,-1.3,-6,-3.3,4.7,8.5,5.4,2.6,0.6,2.3,1.1,4.8,1.8,1.7,3.2,3.3,-2.4,0.9,3,2.8,4.4,2.9,5,3.6,1.4,-2.6,-3.9,-1.4,-2.5,0,2,0,-3.6
"14","7","  Space","W595RL1",-15.6,-11.5,-8.1,-8,-11.3,2.5,-0.7,-3.7,-2.4,-2.9,0.1,5.6,1.1,-2.5,8.9,-0.5,3.4,-4,7.6,10.9,14.8,11.8,1.4,-1.1,-1.9,-6,-1.6,5.3,0.1,-5.7,-4,-0.9,1.8,-3.5,0.9,3.6,-2.9,-2.4,9.6,6.7,5,-1.7,-8.1
"15","8","  Other economic affairs","W596RL1",7.2,-6.9,4.9,4,-1.4,1.9,5.6,3.5,6,15.5,1,4.9,8.8,-7.5,0.5,-8.1,11.2,6,-7.1,-14.7,11.2,6.1,-3.5,10,-2.4,-3.2,-0.2,-1.3,2,-0.6,8.2,5.5,-0.9,5.9,-2.5,-1.5,-1.4,2.8,4.5,0,4.7,9.2,-8.9
"16","9","Housing and community services","W597RL1",-7.8,1.5,3.8,-7.4,4.4,5.3,0.6,-1.3,-7.9,9.6,0.3,7.7,-7.7,-5.1,-6.9,7.7,5.9,11.2,7.7,1.6,0.7,6.4,3.6,-0.6,-4.2,-7.9,1.4,5.7,3.1,0.9,3.5,-9.2,10.7,7.9,1.9,-2.8,0,10.9,-2.1,1.8,0.3,0.6,-14
