"","Table 2#4#6U# Personal Consumption Expenditures in Millions of C","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"1","[Millions of chained (2000) dollars; quarters and months are seasonally adjusted at annual rates]                                                                                                                                                         ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1990 To 2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published May 27, 2005      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/26/2005 3:09:39 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004
"8","1","Q1TDG1 A Durable goods","Q1TDG10",453522,427899,452987,488444,529400,552624,595911,646933,720290,804551,863326,900682,959587,1030621,1099340
"9","2","Q1TAP1 B   Motor vehicles and parts","Q1TAP10",256076,226588,244936,259249,276244,272263,285359,304653,338965,372437,386518,405836,428676,452114,465865
"10","3","Q1NEW1 B     New autos (70)","Q1NEW10",102463,79765,84177,86449,88264,82171,80558,81033,87016,97486,103582,103732,103321,101016,101260
"11","4","Q1NDC1 D       New domestic autos","Q1NDC10",64571,50253,53480,57301,59828,56447,56038,52803,56228,61319,64590,64694,63474,61901,60645
"12","5","Q1NFC1 D       New foreign autos","Q1NFC10",37894,29514,30698,29148,28436,25724,24521,28231,30788,36167,38992,39038,39847,39115,40616
"13","6","Q1NPU1 B     Net purchases of used autos (71)","Q1NPU10",42403,44816,47815,48366,53476,52805,54801,57380,61337,61709,60650,58701,57581,56936,57811
"14","7","Q1NET1 D       Net transactions in used autos","Q1NET10",22912,25437,27425,27348,31196,30125,31892,34698,38873,39194,37500,34265,36403,35130,34113
"15","8","Q1MAR1 D       Used auto margin","Q1MAR10",21828,21612,22749,23352,24326,24787,24908,24575,24309,24317,24886,26251,23012,23583,25290
"16","9","Q1REE1 D       Employee reimbursement","Q1REE10",-1851,-2047,-2232,-2121,-2045,-1994,-1967,-1901,-1833,-1787,-1735,-1806,-1711,-1729,-1777
"17","10","Q1OAU1 C     Other motor vehicles (72)","Q1OAU10",79588,72705,83213,91712,98639,99839,110174,124749,146909,166076,173248,195550,219361,243938,253890
"18","11","Q1TRU1 D       Trucks, new and net used","Q1TRU10",72996,66100,76366,83997,89817,91068,101186,115103,136045,154300,161263,184466,207549,230450,238921
"19","12","Q1REV1 D       Recreational vehicles","Q1REV10",6654,6595,6911,7772,8859,8811,9025,9673,10877,11779,11986,11101,11843,13513,14966
"20","13","Q1TBA1 C     Tires, tubes, accessories, and other parts (73)","Q1TBA10",29258,28587,29414,32146,35501,37158,39676,41483,43791,47183,49037,47911,48651,50570,53132
"21","14","Q1TAT1 D       Tires and tubes","Q1TAT10",14034,13606,13587,14490,15654,15929,16784,17333,18431,19989,20862,20270,20674,21706,22896
"22","15","Q1PAA1 D       Accessories and parts","Q1PAA10",15185,14941,15790,17620,19818,21217,22889,24155,25362,27194,28176,27641,27977,28866,30240
"23","16","Q1FUR1 B   Furniture and household equipment","Q1FUR10",119862,121089,127760,141087,156766,173316,193370,216272,244662,280731,312907,331800,360738,393546,439404
"24","17","Q1FNR1 C     Furniture, including mattresses and bedsprings (29)","Q1FNR10",41790,40999,41350,43804,46387,48737,51757,56010,59238,63224,67596,68347,70906,73134,79154
"25","18","Q1APP1 C     Kitchen and other household appliances (30)","Q1APP10",22176,22029,23146,23931,24217,25103,25347,25195,26570,28916,30410,31045,32191,34856,39194
"26","19","Q1MHA1 D       Major household appliances","Q1MHA10",19599,19080,19757,20414,20570,21316,21515,21509,22677,24593,25769,26075,26812,29075,32750
"27","20","Q1SEA1 D       Small electric appliances","Q1SEA10",2684,3001,3401,3528,3649,3788,3833,3689,3897,4324,4642,4974,5397,5795,6456
"28","21","Q1CHN1 C     China, glassware, tableware, and utensils (31)","Q1CHN10",17805,17579,18652,19798,21105,22539,23902,25009,26251,28935,30993,31887,33937,35739,38164
"29","22","Q1RAD1 C     Video and audio goods, including musical instruments, and computer goods (91)","Q1RAD10",18622,20328,22480,27071,32806,39573,48898,60462,76878,96978,116598,132347,154357,176662,205292
"30","23","Q1VAM1 C       Video and audio goods, including musical instruments (92)","Q1VAM10",32165,32130,33729,37046,41942,45900,48787,50837,56538,64374,72764,77522,83920,89909,101225
"31","24","Q1TVV1 D         Television receivers, video cassette recorders, and videotapes","Q1TVV10",10748,10380,10416,11355,12694,13724,14534,14945,17008,20595,25148,29588,34100,40269,49136
"32","25","Q1TVS1 D           Television receivers","Q1TVS10",7599,7179,7196,7758,8444,8975,9335,9388,10405,12198,14422,16395,18879,22405,27824
"33","26","Q1OVE1 D           Video equipment and media","Q1OVE10",3445,3435,3452,3824,4444,4921,5343,5658,6662,8415,10726,13220,15253,17889,21282
"34","27","Q1AMI1 D         Audio equipment, media, and instruments","Q1AMI10",21017,21557,23362,25788,29429,32445,34559,36278,39846,43894,47616,48130,50396,51232,55181
"35","28","Q1AUD1 D           Audio equipment","Q1AUD10",10830,10418,11285,12414,14315,15617,16267,16640,18624,21454,24037,25404,27834,30253,34345
"36","29","Q1RTD1 D           Records, tapes, and disks","Q1RTD10",8055,8977,9917,11040,12472,13941,15322,16573,17917,18741,19236,18378,18180,17258,17629
"37","30","Q1MSC1 D           Musical instruments","Q1MSC10",2040,2162,2146,2321,2607,2869,2999,3150,3364,3711,4344,4393,4546,4162,4003
"38","31","Q1CPT1 C       Computers, peripherals, and software (93)","Q1CPT10",590,936,1253,2064,3052,4705,8060,13738,21971,32897,43834,55402,73438,93807,114674
"39","32","Q1CPP1 D         Computers and peripherals","Q1CPP10",386,604,797,1324,1976,3068,5266,8982,15085,24070,33514,45055,62861,82937,102581
"40","33","Q1CPS1 D         Software","Q1CPS10",234,390,547,876,1257,1892,3220,5475,7405,8950,10320,10690,12008,13811,16254
"41","34","Q1ODH1 C     Other durable house furnishings (32)","Q1ODH10",39215,37293,38394,41192,45156,47931,50969,54288,57646,63114,67309,68601,71418,77300,84553
"42","35","Q1FLR1 D       Floor coverings","Q1FLR10",13931,12722,12759,13140,13705,13747,13800,14054,14649,15935,16483,15948,15873,17633,18785
"43","36","Q1DHF1 D       Durable house furnishings n.e.c.","Q1DHF10",17608,16889,17418,19125,21668,23870,26352,28809,30682,33771,36934,38641,41156,44481,49498
"44","37","Q1CLF1 D         Clocks, lamps, and furnishings","Q1CLF10",13801,13392,14074,15581,17868,19844,22039,24224,25729,28462,31493,32776,34998,38093,42651
"45","38","Q1TEX1 D         Blinds, rods, and other","Q1TEX10",3846,3531,3370,3568,3822,4046,4331,4598,4972,5319,5441,5868,6159,6390,6859
"46","39","Q1WTR1 D       Writing equipment","Q1WTR10",3191,3245,3324,3342,3337,3223,2994,2838,2930,3058,3062,2792,2631,2495,2478
"47","40","Q1TOO1 D       Hand tools","Q1TOO10",5432,5332,5767,6345,7044,7498,8030,8663,9432,10378,10830,11264,11916,12897,14215
"48","41","Q1HDW1 D         Tools, hardware, and supplies","Q1HDW10",4602,4421,4676,5194,5792,6176,6597,7115,7791,8655,9008,9417,10051,10900,12030
"49","42","Q1LWN1 D         Outdoor equipment and supplies","Q1LWN10",828,909,1089,1150,1250,1320,1431,1546,1639,1723,1822,1847,1866,1997,2185
"50","43","Q1TOD1 B   Other","Q1TOD10",92730,88751,90226,96977,104244,111187,119628,127282,137557,151699,163901,163167,170901,186473,198684
"51","44","Q1OPT1 C     Ophthalmic products and orthopedic appliances (46)","Q1OPT10",17341,15334,15267,15325,16347,16350,17930,19705,20764,21438,22116,20114,20842,21508,21701
"52","45","Q1WHG1 C     Wheel goods, sports and photographic equipment, boats, and pleasure aircraft (90)","Q1WHG10",30419,29372,29533,32460,34970,37896,40362,43070,46915,52018,57562,59713,62251,70843,77306
"53","46","Q1WHE1 D       Sports and photo equipment, bicycles and motorcycles","Q1WHE10",21472,21372,22441,24635,26620,27920,29555,30902,33913,37899,42155,44835,47214,52002,57614
"54","47","Q1GUN1 D         Guns","Q1GUN10",1430,1341,1343,1415,1465,1476,1489,1473,1606,1818,2023,2126,2246,2306,2528
"55","48","Q1SPT1 D         Sporting equipment","Q1SPT10",11600,11895,13047,14370,15598,16526,17605,18462,20122,22781,25352,26643,28135,28887,31671
"56","49","Q1CAM1 D         Photographic equipment","Q1CAM10",2659,2395,2179,2300,2494,2631,2783,2938,3196,3530,3808,4015,4387,4884,5883
"57","50","Q1BCY1 D         Bicycles","Q1BCY10",2948,2759,2661,2831,3021,3042,3132,3216,3431,3592,3789,3840,3979,4102,4421
"58","51","Q1MCY1 D         Motorcycles","Q1MCY10",2809,2987,3172,3740,4066,4247,4544,4811,5580,6176,7182,8204,8481,11710,13083
