"","Table 5#6#5BU2# Change in Book Value by Industry                ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11"
"1","[Millions of dollars; quarters seasonally adjusted at annual rates]                                                                                                                                                                                       ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1997 To 2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published May 27, 2005      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/26/2005 3:18:57 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1998,1999,2000,2001,2002,2003,2004
"8","1","B     Nonfarm industries","XNF0",49058,42301,71537,78942,-53153,17009,16853,97376
"9","2","D Mining, utilities, and construction","XCMU0",1303,4494,1635,3573,3938,371,2766,6868
"10","3","D Manufacturing industries","X300",13365,5415,13967,17311,-28555,-8424,-5739,30443
"11",NA,"    By type of industry:"," ",NA,NA,NA,NA,NA,NA,NA,NA
"12","4","D     Durable goods industries","X30D0",8878,9384,5671,9895,-22376,-10229,-8541,19041
"13","5","D       Wood product manufacturing","X3210",618,245,616,41,-666,-95,32,334
"14","6","D       Nonmetallic mineral product manufacturing","X3270",205,34,402,521,-358,-133,-255,336
"15","7","D       Primary metal manufacturing","X3310",388,-425,4,-111,-2696,-317,-1731,4227
"16","8","D       Fabricated metal product manufacturing","X3320",1298,451,583,1287,-1939,-865,-724,4393
"17","9","D       Machinery manufacturing","X3330",1415,1236,320,3113,-4616,-2239,-1781,4159
"18","10","D       Computer and electronic product manufacturing","X3340",2985,-2980,2773,10196,-8427,-4619,-3386,1488
"19","11","D       Electrical equipment, appliance, and component manufacturing","X3350",498,-22,-4,993,-1018,-1282,-286,495
"20","12","D       Transportation equipment manufacturing","X3360",1030,10605,-223,-7581,-2012,-1262,-644,1644
"21","13","D         Motor vehicle and parts manufacturing","X336MV0",252,468,1337,182,-2630,687,-643,1487
"22","14","D         Other transportation equipment manufacturing","X336OT0",778,10137,-1560,-7763,618,-1949,-1,157
"23","15","D       Furniture and related product manufacturing","X3370",166,73,384,279,-497,-106,-256,923
"24","16","D       Miscellaneous durable goods manufacturing","X3390",275,167,816,1157,-147,689,490,1042
"25","17","D     Nondurable goods industries","X30N0",4487,-3969,8296,7416,-6179,1805,2802,11402
"26","18","D       Food manufacturing","X3110",672,-725,1232,1233,-16,683,545,727
"27","19","D       Beverage and tobacco product manufacturing","X3120",886,107,-127,164,525,-124,9,143
"28","20","D       Textile mills","X3130",-42,45,-35,-405,-832,-649,60,-242
"29","21","D       Textile product mills","X3140",267,-307,195,480,-49,53,260,129
"30","22","D       Apparel manufacturing","X3150",418,-157,340,-283,-1807,-571,116,75
"31","23","D       Leather and allied product manufacturing","X3160",41,-53,9,-41,-156,55,87,-20
"32","24","D       Paper manufacturing","X3220",148,-352,344,173,-256,-316,-272,427
"33","25","D       Printing and related support activities","X3230",223,-408,182,52,-399,-85,-229,624
"34","26","D       Petroleum and coal product manufacturing","X3240",-517,-2392,2273,1465,-360,1656,-324,2302
"35","27","D       Chemical manufacturing","X3250",1985,253,2863,3818,-1572,271,1553,4223
"36","28","D       Plastics and rubber product manufacturing","X3260",406,20,1020,760,-1257,832,997,3014
"37",NA,"    By stage of fabrication:"," ",NA,NA,NA,NA,NA,NA,NA,NA
"38","29","D     Materials and supplies","X30M0",7033,-569,6898,8317,-11573,-7438,-6544,11901
"39","30","D       Durable goods industries","X30DM0",5972,1373,4218,8077,-9733,-6352,-5727,9461
"40","31","D       Nondurable goods industries","X30NM0",1061,-1942,2680,240,-1840,-1086,-817,2440
"41","32","D     Work-in-process","X30W0",591,3678,462,-1680,-10091,-2529,306,5271
"42","33","D       Durable goods industries","X30DW0",-1064,5056,-1135,-2924,-8592,-4078,-295,4828
"43","34","D       Nondurable goods industries","X30NW0",1655,-1378,1597,1244,-1499,1549,601,443
"44","35","D     Finished goods","X30F0",5741,2306,6607,10674,-6891,1543,499,13271
"45","36","D       Durable goods industries","X30DF0",3970,2955,2588,4742,-4051,201,-2519,4752
"46","37","D       Nondurable goods industries","X30NF0",1771,-649,4019,5932,-2840,1342,3018,8519
"47","38","D Wholesale trade industries","XWT0",19129,13613,19048,21393,-16042,2064,5771,35790
"48",NA,"    By type of industry:"," ",NA,NA,NA,NA,NA,NA,NA,NA
"49","39","D     Durable goods industries","XWTD0",12240,10868,11499,11351,-19803,-1784,1171,27951
"50","40","D     Nondurable goods industries","XWTN0",6889,2745,7549,10042,3761,3848,4600,7839
"51",NA,"    By type of wholesaler:"," ",NA,NA,NA,NA,NA,NA,NA,NA
"52","41","D     Merchant wholesale industries","X42W0",17787,12944,16934,17704,-12989,1425,6792,31098
"53","42","D       Durable goods industries","X42WD0",11390,9755,10409,9125,-17541,-1998,2512,25383
"54","43","D         Motor vehicles, parts, and supplies wholesalers","X42110",773,573,2508,1032,-2019,1335,1062,1406
"55","44","D         Furniture and home furnishings wholesalers","X42120",133,198,294,478,-485,20,447,271
"56","45","D         Lumber and other construction materials wholesalers","X42130",426,-245,680,239,30,288,797,2829
"57","46","D         Professional and commercial equipment wholesalers","X42140",3106,-1280,1321,-446,-3622,-148,518,2153
"58","47","D           Computers and software wholesalers","X421430",2278,-1111,113,-1861,-2895,-570,151,938
"59","48","D           Other professional and commercial equipment wholesalers","X4214X0",828,-169,1208,1415,-727,422,367,1215
"60","49","D         Metal and mineral (except petroleum) wholesalers","X42150",828,728,-5,534,-1436,497,317,8035
"61","50","D         Electrical goods wholesalers","X42160",365,1656,2979,3294,-5059,-1258,-868,2209
"62","51","D         Hardware and plumbing and heating equipment wholesalers","X42170",167,800,290,981,-457,-116,73,1326
"63","52","D         Machinery, equipment, and supplies wholesalers","X42180",4352,6011,1345,1126,-2521,-2498,-1777,4635
"64","53","D         Miscellaneous durable goods wholesalers","X42190",1240,1314,997,1887,-1972,-118,1943,2519
"65","54","D       Nondurable goods industries","X42WN0",6397,3189,6525,8579,4552,3423,4280,5715
"66","55","D         Paper and paper products wholesalers","X42210",640,52,216,909,-619,-129,325,861
