"","Table 6U# Real BEA Retail and Food Service Sales","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183"
"11","3","S1 QN441ZZZMG   Motor vehicle and parts dealers","T060030",41208,41869,41027,41447,41774,42123,42537,41801,43239,43014,42883,43324,44815,43466,42644,44793,45638,45236,46457,46438,46145,46571,47605,48390,48752,49490,50269,50852,49292,49719,49436,50127,50605,51684,51373,50799,50539,49207,49639,50335,50689,52081,51821,52763,52597,51808,52746,53192,53089,54711,55200,53716,55166,54760,54745,54074,55563,55962,55409,54896,56534,56896,56209,56268,54457,55955,57787,58614,57672,57674,58603,58836,58600,58029,59087,61105,62097,62150,59804,58410,60969,62765,62901,64115,64546,65283,65674,65758,67526,67391,68609,69072,68718,68352,69236,70017,71731,73001,72388,70081,69378,69542,69754,69439,71140,69303,68315,67890,69572,69819,69432,70473,71166,71047,69735,70242,68834,85214,76022,72878,72300,73083,72355,73813,70307,73876,76030,77667,73048,72875,73745,75567,75754,72673,75074,75722,75767,75568,77768,80013,78418,77771,80576,78511,77887,80025,81065,78208,81424,74699,79840,79416,83019,82600,80660,83118,80508,81448,81024,82428,80671,83073,90396,80529,77490,76119,79813,80885,83628,81027,81835,82052,80264,78294,81300,80984,81917,82685,83156,83707
"12","4","S4 QN4411ZZMG     Automobile dealers","T060040",35346,35970,35020,35408,35791,36153,36590,35739,37114,36759,36678,36685,38226,37159,36312,38411,38650,38826,39752,39760,39273,39897,40903,41757,42118,42698,43148,43738,42253,42561,42299,42917,43383,43945,43742,43407,43214,42074,42298,43016,43329,44565,44397,45177,44756,44122,45343,45489,45388,47045,47622,46013,47406,46833,46876,46050,47713,47956,47323,46716,48434,48753,47969,48033,46416,47748,49570,50164,49200,49354,50025,50381,50001,49334,50357,52393,53052,53339,50775,49529,51855,53548,53965,54867,55462,55805,56338,56310,57963,57856,59060,59498,59015,58463,59355,60012,61208,62854,62032,60189,59394,59491,59956,59407,60646,59380,58324,57581,59520,60065,59768,60321,61082,60934,59562,60213,59165,75405,65989,62765,62035,62558,62222,63488,60106,63590,65718,67354,62608,62783,63488,65184,65372,62455,64542,65040,64967,64826,66704,68784,67008,66286,69216,67146,66683,68495,69283,66817,69836,63419,68180,67802,71402,70658,68865,70593,68001,68531,68024,68937,67514,69922,77353,67441,64519,63249,66520,67861,69802,67897,68739,68890,67225,65507,68398,68134,68822,69567,70013,70614
"13","5","S4 QN4412ZZMG     Other motor vehicle dealers","T060050",1719,1715,1685,1752,1655,1587,1616,1770,1777,1826,1743,2190,2204,1822,1930,1877,2408,1814,2027,1972,2095,1954,2005,2011,1768,1868,2204,2148,2212,2230,2154,2114,2244,2669,2601,2351,2278,2186,2364,2269,2334,2407,2351,2442,2651,2526,2119,2447,2455,2353,2268,2363,2423,2566,2440,2718,2522,2567,2656,2715,2649,2686,2729,2716,2622,2661,2695,2837,2812,2726,2891,2880,2897,2943,2920,2942,3121,2988,3168,3023,3209,3270,3056,3237,3025,3373,3281,3306,3418,3366,3338,3427,3338,3518,3441,3568,4084,3793,3896,3610,3594,3645,3463,3656,3734,3565,3682,3692,3900,3539,3448,3859,3816,3772,3882,3703,3468,3619,3856,3778,3889,4083,3807,3871,3768,3808,3834,3861,3962,3649,3844,4019,4074,3842,4030,4249,4288,4181,4474,4653,4626,4757,4663,4726,4690,4812,4913,4718,4869,4569,4915,4874,4889,5080,4945,5441,5363,5745,5947,6222,5996,5926,5988,5864,5765,5591,5883,5621,6392,5804,5829,6004,5927,5608,5762,5725,5972,6016,6162,6068
"14","6","S2 QN4413ZZMG     Automotive parts, accessories and tire stores","T060060",4134,4181,4281,4257,4302,4358,4320,4269,4339,4404,4433,4415,4382,4459,4374,4493,4562,4581,4663,4690,4751,4703,4690,4628,4854,4914,4911,4961,4821,4918,4968,5078,4968,5066,5025,5031,5036,4934,4968,5040,5017,5101,5066,5139,5187,5154,5267,5247,5238,5302,5296,5328,5327,5353,5418,5304,5320,5430,5425,5462,5444,5451,5506,5515,5413,5539,5517,5609,5655,5589,5683,5573,5699,5749,5806,5767,5923,5820,5862,5857,5906,5949,5878,6010,6056,6106,6056,6141,6146,6169,6208,6146,6364,6372,6439,6437,6441,6355,6460,6282,6391,6405,6334,6374,6759,6358,6309,6615,6153,6215,6215,6292,6266,6339,6288,6324,6199,6230,6189,6335,6371,6436,6324,6456,6419,6479,6489,6474,6473,6443,6417,6377,6327,6374,6504,6439,6512,6559,6597,6597,6773,6708,6716,6637,6520,6722,6865,6665,6737,6662,6737,6729,6760,6864,6836,7052,7077,7096,6978,7174,7066,7155,7095,7124,7073,7126,7274,7296,7322,7221,7180,7081,7020,7062,7069,7052,7052,7044,6941,6994
"15","7","S1 QN44DZZZMG   Furniture, home furnishings, electronics and appliance stores","T060070",5924,5988,5979,6038,6066,6172,6178,6125,6158,6174,6180,6298,6490,6464,6438,6584,6655,6719,6874,6852,6899,6899,6980,7025,6860,7193,7326,7373,7416,7573,7576,7760,7843,8035,8141,8232,8229,8141,8152,8078,8297,8477,8387,8532,8634,8741,8927,8909,8711,8913,9157,9292,9370,9418,9425,9495,9657,9692,9672,9686,9707,9922,9944,10182,10209,10293,10495,10693,10774,10827,11040,11157,11357,11456,11438,11406,11553,11874,12048,12254,12239,12392,12724,12887,12811,13083,13319,13359,13622,13856,14021,14251,14545,14632,14661,14973,15232,15491,15523,15788,15674,15607,15747,15920,15991,15966,15844,15454,16252,16143,16241,16189,16373,16686,16855,16996,16715,17072,17799,18201,18181,18537,18717,18612,18869,18802,18623,18828,19010,19171,19373,19508,19427,19000,19691,19906,20650,21013,21316,21864,22178,22325,22615,22829,22910,23043,23646,23759,23699,24161,24867,24739,24879,24934,25243,25594,25728,26234,26078,26340,26374,26956,27149,27591,28102,28148,28332,28172,30167,29401,29541,29863,30274,30535,30731,30905,31259,31228,32543,33378
"16","8","S1 QN442ZZZMG     Furniture and home furnishings stores","T060080",5002,5076,5006,4999,5022,5080,5035,5036,5024,4987,4994,5098,5269,5201,5064,5205,5269,5228,5262,5235,5236,5257,5295,5288,5014,5378,5494,5495,5491,5524,5546,5683,5739,5797,5795,5871,5820,5670,5632,5660,5699,5753,5768,5736,5808,5828,6004,5866,5672,5862,6009,6038,6056,6111,6159,6108,6135,6188,6229,6194,6261,6294,6273,6332,6347,6346,6409,6547,6578,6586,6695,6748,6808,6770,6704,6685,6715,6795,6800,6767,6782,6882,7039,7132,6966,7168,7227,7167,7285,7404,7393,7585,7712,7754,7799,7859,7929,8020,8026,8103,8158,8148,8194,8188,8081,8131,8010,7584,8194,8026,8014,7968,8027,8122,8126,8140,7906,8015,8217,8358,8370,8498,8469,8416,8527,8365,8250,8418,8415,8415,8573,8587,8551,8205,8664,8657,8917,8994,9011,9109,9252,9284,9405,9412,9440,9473,9761,9717,9536,9737,10143,10006,9955,9940,9909,10121,10133,10130,10042,10165,10206,10433,10456,10614,10853,10721,10714,10591,11303,11066,11142,11216,11259,11352,11348,11414,11517,11404,11434,11559
"17","9","S4 QN4421ZZMG       Furniture Stores","T060090",2919,2967,2917,2918,2935,2957,2928,2941,2946,2904,2898,2972,3005,3031,2951,3036,3092,3059,3086,3052,3031,3049,3082,3080,2934,3090,3123,3121,3111,3118,3142,3217,3274,3265,3305,3324,3312,3171,3175,3168,3226,3270,3271,3288,3311,3360,3395,3284,3177,3359,3412,3451,3433,3441,3463,3414,3459,3490,3484,3497,3551,3610,3534,3561,3597,3578,3630,3730,3713,3731,3817,3879,3893,3859,3819,3811,3814,3849,3840,3809,3862,3879,3964,3938,3932,4000,4041,3922,4067,4101,4114,4183,4295,4286,4292,4330,4357,4438,4423,4537,4564,4542,4605,4568,4474,4499,4451,4203,4528,4439,4447,4440,4455,4552,4568,4540,4444,4508,4667,4701,4694,4760,4734,4725,4762,4663,4572,4607,4671,4665,4711,4651,4662,4471,4723,4715,4823,4820,4869,4928,4960,5001,5052,5099,5164,5091,5186,5213,5217,5260,5497,5391,5349,5366,5377,5458,5419,5493,5435,5447,5439,5584,5597,5700,5861,5759,5685,5513,5915,5782,5785,5843,5801,5815,5887,5973,5973,5933,5948,6039
"18","10","S4 QN4422ZZMG       Home furnishings stores","T060100",2083,2109,2089,2081,2088,2123,2107,2095,2078,2083,2096,2126,2264,2170,2113,2169,2177,2170,2176,2184,2205,2208,2213,2209,2080,2288,2371,2373,2380,2406,2404,2466,2464,2532,2489,2546,2508,2499,2457,2492,2474,2483,2497,2447,2497,2468,2609,2582,2495,2502,2597,2587,2623,2669,2696,2694,2676,2698,2747,2696,2710,2684,2739,2772,2750,2768,2779,2817,2865,2855,2878,2869,2914,2911,2885,2874,2900,2946,2960,2958,2920,3002,3076,3194,3034,3167,3185,3245,3218,3302,3280,3403,3417,3468,3507,3529,3572,3582,3603,3566,3595,3606,3589,3619,3606,3632,3559,3380,3666,3586,3567,3528,3572,3571,3559,3599,3463,3508,3552,3658,3676,3738,3735,3693,3765,3702,3678,3809,3743,3749,3860,3932,3886,3732,3938,3940,4091,4171,4140,4178,4289,4280,4350,4310,4273,4378,4571,4500,4315,4474,4642,4612,4603,4571,4529,4659,4710,4634,4603,4714,4762,4845,4855,4910,4988,4958,5023,5072,5382,5278,5351,5366,5452,5532,5455,5434,5537,5465,5480,5513
"19","11","S1 QN443ZZZMG     Electronics and appliance stores","T060110",1686,1695,1721,1763,1771,1816,1840,1804,1832,1860,1861,1891,1941,1956,2003,2036,2054,2118,2208,2206,2238,2228,2266,2300,2321,2373,2409,2441,2474,2568,2559,2620,2651,2757,2834,2860,2883,2897,2925,2858,2995,3097,3024,3147,3183,3251,3292,3356,3318,3362,3462,3547,3596,3600,3576,3661,3770,3765,3723,3756,3728,3878,3909,4063,4074,4144,4266,4335,4380,4418,4519,4580,4705,4816,4849,4836,4941,5160,5310,5522,5497,5553,5724,5796,5869,5948,6117,6208,6350,6466,6633,6677,6843,6888,6874,7119,7305,7471,7497,7684,7517,7460,7551,7730,7910,7832,7832,7878,8051,8117,8234,8229,8357,8583,8759,8895,8864,9123,9678,9952,9919,10159,10397,10344,10494,10625,10571,10588,10802,10988,11010,11147,11098,11069,11250,11512,12031,12355,12695,13216,13387,13520,13695,13947,14006,14122,14431,14639,14842,15108,15361,15416,15673,15767,16214,16320,16470,17131,17077,17213,17188,17565,17779,18090,18351,18646,18906,18911,20323,19714,19765,20069,20555,20740,21023,21139,21436,21610,23425,24367
"20","12","S1 QN444ZZZMG   Building material and garden equipment and supplies dealers","T060120",16273,16044,15734,15365,15412,15407,15575,15624,15695,15688,15379,15123,15668,15538,14806,14973,15359,15550,15679,15833,15767,15712,15970,16002,15806,15916,16372,16971,16861,16854,17011,17232,17288,17402,17234,17464,17604,17521,17332,17030,16978,17241,17304,17426,17444,17709,18073,18382,18083,18150,18165,18406,18497,18921,18943,18945,18842,19086,19077,18389,18964,19248,19457,19360,19331,19544,19657,19654,20024,20149,19998,20082,20286,20374,20456,20776,20895,20985,21249,21077,21551,21891,22208,22472,22420,22714,22517,22397,22445,22432,22326,22627,22828,23323,23881,23983,24295,23907,25214,23447,23849,23803,23906,24160,24092,24254,24233,24980,24919,25343,25176,26276,25666,25338,25388,25286,24847,25545,25611,25482,26089,26094,26142,27192,26807,26789,26584,26747,26788,26869,27050,26355,27438,25760,27397,27208,27699,28387,28858,28864,28543,29039,29049,28935,28767,28425,30850,30217,29860,30299,30441,30301,30426,30500,30959,31642,31551,31018,31260,31974,32373,32443,32194,32590,32843,33265,34077,33878,36096,35788,36368,35376,35221,34939,35229,35240,34579,34673,34368,33916
"21","13","S2 QN4441ZZMG     Building material and supplies dealers","T060130",13836,13571,13282,13103,13089,13227,13381,13446,13479,13407,13215,12998,13478,13369,12722,12799,13142,13258,13445,13522,13478,13493,13620,13655,13467,13630,13989,14441,14493,14556,14771,15012,14948,15164,15049,15215,15333,15206,15042,14799,14758,14918,14904,14999,15122,15315,15629,15950,15681,15735,15839,15917,16062,16350,16344,16323,16240,16436,16427,15844,16324,16600,16678,16770,16651,16812,16893,16842,17166,17324,17177,17168,17445,17539,17605,17847,17983,18229,18507,18364,18740,19025,19254,19473,19480,19782,19764,19613,19614,19583,19460,19755,19987,20377,20864,20918,21077,20772,21932,20657,21097,21014,21103,21167,21064,21353,21210,21702,21731,22065,22195,22925,22319,22270,22389,22571,22058,22681,22808,22844,23328,23306,23233,24143,23866,23681,23602,23743,23919,23986,24114,23492,24508,22862,24460,24297,24589,25233,25701,25788,25545,26058,26073,25909,25756,25432,27657,27068,26894,27372,27414,27224,27230,27309,27807,28386,28387,27817,28239,28920,29164,29213,29052,29361,29615,29946,30590,30376,32632,32368,32856,31891,31807,31486,31709,31660,30825,31012,30653,30297
"22","14","S3 QN4442ZZMG     Lawn and garden equipment and supplies stores","T060140",2447,2481,2458,2273,2332,2193,2207,2192,2229,2291,2175,2135,2198,2177,2091,2186,2228,2306,2242,2323,2300,2224,2362,2359,2353,2294,2394,2545,2374,2301,2240,2217,2342,2236,2180,2246,2270,2316,2291,2232,2220,2324,2404,2431,2324,2397,2447,2434,2404,2417,2330,2491,2437,2573,2602,2625,2604,2653,2653,2547,2643,2650,2785,2590,2684,2737,2769,2819,2865,2830,2826,2921,2846,2838,2855,2933,2915,2757,2743,2715,2812,2867,2954,3000,2941,2933,2753,2783,2831,2850,2868,2873,2840,2947,3017,3066,3222,3138,3285,2790,2751,2788,2802,2992,3027,2902,3022,3272,3183,3271,2985,3347,3341,3068,3002,2725,2796,2870,2812,2653,2773,2799,2917,3058,2950,3114,2989,3012,2880,2896,2947,2873,2942,2903,2950,2925,3116,3162,3168,3091,3013,2998,2994,3042,3026,3008,3211,3167,2984,2946,3046,3094,3213,3207,3171,3274,3185,3219,3043,3078,3232,3252,3165,3251,3252,3340,3504,3518,3493,3449,3541,3509,3441,3477,3543,3599,3758,3671,3719,3627
