"","Table 5#6#6BU# Change in Real Private Inventories by Industry   ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"1","[Millions of chained (2005) dollars; seasonally adjusted at annual rates]                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1997 To 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published June 29, 2012     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/28/2012 9:54:44 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
"8","1","    Nonfarm industries","KCNF0",73564,69460,70789,61248,-41530,15572,17239,58344,49836,63180,28713,-37587,-143775,60710,44254
"9","2","Construction, mining, and utilities","KCCMU0",2473,9007,-2027,-2797,10820,-4119,7195,1458,3748,16917,14,-8471,-6984,-4258,2006
"10","3","Manufacturing industries","KC300",24374,17600,16211,8062,-26165,-5271,-8422,5939,21046,16991,15372,-14127,-31392,20262,25438
"11",NA,"  By type of industry:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","4","    Durable goods industries","KC30D0",15307,17397,7174,7109,-20825,-5796,-5322,4015,16585,11653,11114,-3621,-22054,18521,21976
"13","5","      Wood product manufacturing","KC3210",377,531,672,183,-552,325,-139,758,782,-37,-676,-1443,-1910,392,455
"14","6","      Nonmetallic mineral product manufacturing","KC3270",216,-50,281,171,-557,173,-153,317,109,469,339,-348,-1981,-20,421
"15","7","      Primary metal manufacturing","KC3310",542,1817,442,-749,-2734,-127,-2260,2731,1563,1197,40,-1013,-6815,2092,2233
"16","8","      Fabricated metal product manufacturing","KC3320",1577,1067,877,981,-1421,-370,-770,-71,2288,1558,727,-343,-4434,421,1431
"17","9","      Machinery manufacturing","KC3330",1618,1246,172,2900,-4765,-732,-2097,-84,2603,2500,761,423,-4709,1770,4003
"18","10","      Computer and electronic product manufacturing","KC3340",6219,391,3562,9437,-6606,-3243,1736,2160,3135,477,1479,1812,103,2488,1086
"19","11","      Electrical equipment, appliance, and component manufacturing","KC3350",563,466,-39,927,-1119,-442,-528,-367,18,645,665,-122,-1853,599,-52
"20","12","      Transportation equipment manufacturing","KC3360",1591,12108,-693,-10236,-1844,-1233,-2201,-1497,4338,3884,7811,-2295,1983,9603,11742
"21","13","        Motor vehicle and parts manufacturing","KC3MV0",636,718,1696,-270,-2761,1191,567,178,762,639,-922,-3387,-2024,2642,1812
"22","14","        Other transportation equipment manufacturing","KC3OT0",949,11437,-2391,-9945,907,-2412,-2742,-1665,3576,3247,8771,1130,3998,6971,9951
"23","15","      Furniture and related product manufacturing","KC3370",158,120,367,302,-479,441,-414,288,335,38,-137,-688,-858,621,-69
"24","16","      Miscellaneous durable goods manufacturing","KC3390",272,475,722,1059,-128,-35,918,-149,1414,843,281,712,-348,636,446
"25","17","    Nondurable goods industries","KC30N0",8855,-1053,9394,660,-4695,830,-3075,1905,4461,5363,4374,-10104,-9549,2387,4467
"26","18","      Food manufacturing","KC3110",974,-392,1549,500,-498,882,-958,-943,1382,223,-644,379,1309,-778,-1445
"27","19","      Beverage and tobacco product manufacturing","KC3120",801,-36,-200,-32,630,59,-225,-97,384,-2,-411,-353,609,-645,455
"28","20","      Textile mills","KC3130",16,77,181,-453,-441,-302,-142,-73,-53,-151,-153,-333,-680,122,136
"29","21","      Textile product mills","KC3140",267,-215,328,422,183,-1016,132,-14,190,22,-93,-94,-641,150,95
"30","22","      Apparel manufacturing","KC3150",460,-9,643,-326,-1743,-337,-4,-270,-137,-8,-186,-229,-430,294,226
"31","23","      Leather and allied product manufacturing","KC3160",54,12,0,-114,-177,-161,-56,-9,55,123,-35,8,-127,39,4
"32","24","      Paper manufacturing","KC3220",607,-526,1031,-641,-36,1160,-742,130,-24,-31,88,-594,-1068,-330,-191
"33","25","      Printing and related support activities","KC3230",233,-595,689,-350,-303,364,-341,43,-19,105,465,-726,-559,15,-312
"34","26","      Petroleum and coal product manufacturing","KC3240",2246,-1384,230,-53,1329,-1060,-41,974,989,1010,3102,-2118,-1939,2285,4576
"35","27","      Chemical manufacturing","KC3250",3026,889,3328,1842,-2061,700,-376,2084,1439,2884,1081,-4646,-4384,225,-236
"36","28","      Plastics and rubber product manufacturing","KC3260",678,695,1078,4,-764,245,-187,365,255,1139,450,-1388,-1727,626,-53
"37",NA,"  By stage of fabrication:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","29","    Materials and supplies","KC30M0",11468,3914,9093,5790,-10399,-2321,-5208,4752,6363,5850,1863,-4365,-13767,3380,5222
"39","30","      Durable goods industries","KC30DM0",8394,4381,5556,7990,-8835,-2784,-3397,4469,5179,4885,2349,-991,-11801,2776,4543
"40","31","      Nondurable goods industries","KC30NM0",2707,-842,3479,-2759,-1259,608,-1791,230,1184,986,-408,-3233,-2188,683,901
"41","32","    Work-in-process","KC30W0",3710,7598,258,-4751,-9774,-780,-752,-1992,7508,3648,12013,-2457,-2812,10808,12057
"42","33","      Durable goods industries","KC30DW0",1437,8016,-1156,-4813,-8336,-1041,-716,-2347,6599,1890,8756,-373,-1454,11556,11791
"43","34","      Nondurable goods industries","KC30NW0",2538,-891,1667,241,-1286,328,-22,396,909,1739,3230,-1929,-1322,-324,732
"44","35","    Finished goods","KC30F0",9299,5988,7049,7255,-5961,-2196,-2541,3239,7175,7493,1615,-7257,-14706,6189,8360
"45","36","      Durable goods industries","KC30DF0",5458,4969,2855,4096,-3706,-2000,-1266,1954,4807,4875,50,-2245,-8746,4246,5736
"46","37","      Nondurable goods industries","KC30NF0",3624,645,4252,3075,-2151,-90,-1269,1271,2368,2637,1519,-4932,-6045,2055,2860
"47","38","Wholesale trade industries","KCWT0",26918,23704,21084,20670,-13612,-69,-375,20496,18129,13356,4481,8927,-54745,26967,24707
"48",NA,"  By type of industry:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","39","    Durable goods industries","KCWTD0",16825,17238,14609,14047,-17678,415,820,18103,13370,9121,816,8150,-45580,17031,20806
"50","40","    Nondurable goods industries","KCWTN0",9805,5645,6010,6334,5213,-522,-1249,2182,4759,4269,3477,1136,-10425,10122,5321
"51",NA,"  By type of wholesaler:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","41","    Merchant wholesale industries","KC42W0",23890,21299,17998,16103,-8766,599,42,18420,14329,14743,5787,2764,-40947,22076,17912
"53","42","      Durable goods industries","KC42WD0",14971,15379,12950,10869,-14146,-227,917,17118,10972,10200,1063,6400,-40449,13693,16735
"54","43","        Motor vehicles, parts, and supplies wholesalers","KC42110",1407,780,2780,1285,-1161,2464,902,1191,2834,967,967,3690,-8858,3379,5069
"55","44","        Furniture and home furnishings wholesalers","KC42120",140,338,380,599,-457,222,223,135,241,237,-135,-646,-1684,469,-200
"56","45","        Lumber and other construction materials wholesalers","KC42130",732,-164,445,517,-65,471,1453,2095,692,330,-892,-1120,-2392,210,67
"57","46","        Professional and commercial equipment wholesalers","KC42140",2936,1643,2461,667,-1117,1179,587,2192,1628,3631,1675,1175,-2527,2829,2375
"58","47","          Computers and software wholesalers","K421430",1335,1109,1267,-27,-296,583,1075,1208,1179,1936,1124,1382,928,2940,1384
"59","48","          Other professional and commercial equipment wholesalers","K4214X0",784,-510,742,1014,-937,554,-731,945,449,1729,632,59,-2629,560,1071
