"","Table 6#22B# Corporate Capital Consumption Allowances by Industr","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"30","23","    Miscellaneous manufacturing industries","B1743C0",63,68,65,74,80,88,97,115,124,135,148,149,141,146,157,140,150,160,157,168,205,239,260,276,288,311,392,472,432,499,508,618,796,1037,1396,1429,1753,1838,1840,1737
"31","24","  Nondurable goods","A1744C0",1802,2046,2205,2501,2769,3129,3665,4247,4555,4981,5425,5713,5870,6259,7200,7732,8153,8720,9266,9825,10592,11547,12220,13165,14067,15037,15999,17593,19614,23728,25854,29828,34446,44072,54358,60942,67069,74544,73109,72997
"32","25","    Food and kindred products","B1745C0",371,430,463,516,546,559,617,698,721,783,948,1008,1040,1096,1272,1304,1397,1479,1679,1637,1761,1971,2120,2266,2378,2643,2812,3050,3256,3997,4290,4757,5360,6829,8352,9164,9807,10527,12252,11984
"33","26","    Tobacco manufactures","B1746C0",11,13,14,15,14,17,19,21,24,27,31,37,40,42,51,59,60,61,67,71,71,117,157,174,201,238,286,313,335,386,438,507,586,877,1090,1241,1509,2025,434,476
"34","27","    Textile mill products","B1747C0",156,174,193,210,223,242,258,290,306,327,320,321,329,366,401,421,449,467,501,547,568,629,692,730,802,903,923,939,909,1006,1042,1185,1245,1384,1537,1479,1841,1802,1807,1841
"35","28","    Apparel and other textile products","B1748C0",41,48,48,54,56,59,64,72,73,74,83,88,87,95,118,115,129,141,166,183,202,214,229,226,297,296,306,318,347,415,423,457,516,665,738,774,987,1027,1137,1102
"36","29","    Paper and allied products","B1749C0",122,140,154,179,204,234,275,338,370,419,464,474,496,541,653,665,722,735,773,840,902,960,1014,1070,1167,1266,1302,1463,1703,1932,2172,2183,2631,2971,3467,3616,4414,5266,5428,5892
"37","30","    Printing and publishing","B1750C0",80,95,107,122,131,143,154,182,201,223,250,270,304,320,386,422,468,491,528,573,633,740,729,818,844,988,1028,1143,1227,1382,1097,1413,1738,2539,3359,3617,4130,4814,4848,4878
"38","31","    Chemicals and allied products","B1751C0",277,327,369,432,539,660,784,916,973,1045,1127,1257,1259,1370,1651,1751,1800,1946,1995,2098,2294,2494,2679,2896,3197,3215,3506,3936,4590,5276,5535,6476,7253,8990,10420,11446,11421,13742,11675,13005
"39","32","    Petroleum and coal products","B1752C0",655,731,767,861,932,1078,1341,1549,1686,1856,1944,1999,2042,2136,2326,2622,2750,3001,3121,3396,3662,3803,3926,4237,4406,4610,4888,5379,6174,8095,9692,11416,13693,18098,23478,27464,30639,32692,32663,30883
"40","33","    Rubber and miscellaneous plastics products","B1753C0",67,63,67,86,96,110,126,151,166,189,218,219,228,251,298,314,323,341,371,409,430,536,588,661,675,761,841,929,940,1100,1020,1285,1271,1526,1703,1955,2093,2365,2624,2724
"41","34","    Leather and leather products","B1754C0",22,25,23,26,28,27,27,30,35,38,40,40,45,42,44,59,55,58,65,71,69,83,86,87,100,117,107,123,133,139,145,149,153,193,214,186,228,284,241,212
"42","35","Transportation and public utilities","A1755C0",2199,2309,2539,3009,3287,3736,4031,4621,4925,5253,5443,5922,6198,6480,7353,7862,8371,9045,9947,10764,11776,12774,13870,15654,17971,19680,21759,23930,25625,28295,31439,34655,38832,48673,51485,61963,65549,77643,78096,85530
"43","36","  Transportation","A1756C0",1349,1400,1463,1783,1965,2231,2207,2460,2517,2603,2568,2663,2693,2740,3207,3278,3478,3741,4207,4595,5003,5339,5687,5921,6222,6333,7031,7255,7598,8345,9323,10491,11912,15516,14215,16159,17598,20963,20460,20885
"44","37","    Railroad transportation","B1757C0",901,898,932,1159,1305,1473,1396,1527,1491,1469,1361,1305,1225,1161,1418,1425,1538,1644,1844,1848,1895,2022,2170,2291,2359,2243,2465,2546,2885,2967,3394,3680,3984,6335,4637,5355,4983,5452,4583,4586
"45","38","    Local and interurban passenger transit","B1758C0",121,136,125,133,135,138,121,141,150,146,141,133,129,147,163,154,169,178,213,245,254,230,251,292,282,166,177,172,187,186,225,238,301,318,363,400,651,819,831,857
"46","39","    Trucking and warehousing","B1759C0",112,133,152,198,212,233,262,325,379,407,410,500,524,519,601,612,635,705,777,823,861,1008,1092,1174,1335,1532,1785,1823,1782,2123,2379,2773,3133,3094,3304,3649,4220,5403,5605,6168
"47","40","    Water transportation","B1760C0",77,91,92,105,112,121,123,136,138,145,183,204,212,201,231,251,266,279,274,309,356,317,322,327,331,358,369,439,492,562,537,744,828,1023,1019,1338,1510,1822,1515,1045
"48","41","    Transportation by air","B1761C0",85,85,89,95,103,144,173,179,197,261,301,344,421,507,567,567,553,607,754,968,1233,1334,1397,1421,1431,1517,1676,1697,1642,1714,1857,2055,2431,2853,3150,3607,4115,5392,5994,6213
"49","42","    Pipelines, except natural gas","B1762C0",31,33,49,56,60,69,74,80,84,79,87,91,96,102,104,133,173,169,174,185,192,219,247,247,296,284,166,162,161,307,386,377,420,550,665,666,746,498,376,332
"50","43","    Transportation services","B1763C0",22,24,24,37,38,53,58,72,78,96,85,86,86,103,123,136,144,159,171,217,212,209,208,169,188,233,393,416,449,486,545,624,815,1343,1077,1144,1373,1577,1556,1684
"51","44","  Communication","A1764C0",323,345,413,449,471,517,579,647,688,768,839,954,1047,1156,1285,1684,1893,2099,2321,2531,2817,3062,3471,4438,5667,6471,7098,8088,8861,9930,10809,11993,13624,16564,19264,24574,24306,28596,27159,31160
"52","45","    Telephone and telegraph","B1765C0",312,326,390,424,445,485,534,586,627,691,765,878,961,1064,1182,1573,1772,1983,2186,2360,2618,2838,3254,4218,5420,6217,6833,7803,8554,9538,10315,11402,12934,15453,17812,22760,22619,27035,26012,29774
"53","46","    Radio and television","B1766C0",11,19,23,25,26,32,45,61,61,77,74,76,86,92,103,111,121,116,135,171,199,224,217,220,247,254,265,285,307,392,494,591,690,1111,1452,1814,1687,1561,1147,1386
"54","47","  Electric, gas, and sanitary services","B1767C0",527,564,663,777,851,988,1245,1514,1720,1882,2036,2305,2458,2584,2861,2900,3000,3205,3419,3638,3956,4373,4712,5295,6082,6876,7630,8587,9166,10020,11307,12171,13296,16593,18006,21230,23645,28084,30477,33485
"55","48","Wholesale trade","B1768C0",254,322,378,441,465,488,538,668,736,793,765,788,846,842,940,976,1015,1119,1253,1328,1615,1855,2040,2207,2619,2897,3482,3863,4514,5120,6527,7880,9245,11192,12675,12907,14826,16880,17165,17758
"56","49","Retail trade","B1769C0",496,578,651,715,760,808,868,1013,1106,1233,1252,1367,1486,1573,1745,1824,1962,2124,2282,2569,2637,3049,3372,3767,4400,4783,5250,5867,6378,7244,8707,10446,12055,14544,16633,18298,21033,24152,25276,26400
"57","50","Finance, insurance, and real estate","A1770C0",519,633,675,789,853,963,1099,1262,1397,1607,1760,1919,2165,2327,2567,2701,3067,3286,3501,3730,4129,4666,4837,5186,5826,6651,7409,8121,8684,9740,11417,12582,13771,17232,19814,23959,27111,32491,36408,40788
"58","51","  Banking","A1771C0",73,83,91,101,112,125,144,174,193,222,248,327,361,397,428,463,574,632,691,819,1058,1258,1348,1524,1857,2334,2929,3402,3795,4420,5406,6109,6749,8484,9076,10887,12516,15511,18507,20382
"59","52","    Federal Reserve banks","B1772C0",1,1,1,2,3,3,3,3,3,4,4,5,6,6,6,6,6,6,5,5,6,5,5,6,6,9,9,11,10,12,10,13,18,20,50,76,84,95,110,122
"60","53","    Commercial and mutual banks","B1773C0",72,82,90,99,109,122,141,171,190,218,244,322,355,391,422,457,568,626,686,814,1052,1253,1343,1518,1851,2325,2920,3391,3785,4408,5396,6096,6731,8464,9026,10811,12432,15416,18397,20260
"61","54","  Credit agencies other than banks","B1774C0",16,17,20,25,27,34,41,49,55,70,88,25,27,30,33,35,44,48,53,63,81,97,104,118,143,180,226,263,293,341,417,471,522,655,698,837,962,1194,1426,1570
"62","55","  Security and commodity brokers","B1775C0",2,3,3,3,3,3,4,4,6,5,6,7,8,9,16,11,14,17,18,20,33,47,62,66,76,94,90,112,124,162,193,257,288,558,829,1173,1411,1774,1372,1572
"63","56","  Insurance carriers","B1776C0",29,36,45,64,75,90,101,114,129,138,148,166,200,203,240,264,290,298,339,356,395,518,594,676,770,924,1028,1101,1186,1365,1727,1924,1987,2344,2586,3803,4370,4716,5213,6798
"64","57","  Insurance agents, brokers, and service","B1777C0",4,5,6,7,7,10,12,14,17,18,21,23,26,33,34,37,38,40,42,45,59,67,71,79,91,100,122,143,162,216,239,299,350,493,750,849,1001,1099,1201,1212
"65","58","  Real estate","B1778C0",381,437,490,573,610,681,775,873,956,1097,1195,1302,1462,1550,1689,1787,1989,2118,2241,2258,2369,2567,2503,2541,2660,2704,2716,2801,2789,2919,3117,3115,3381,3857,4410,4779,5253,5862,6168,6000
"66","59","  Holding and other investment offices","B1779C0",14,52,20,16,19,20,22,34,41,57,54,69,81,105,127,104,118,133,117,169,134,112,155,182,229,315,298,299,335,317,318,407,494,841,1465,1631,1598,2335,2521,3254
"67","60","Services","A1780C0",303,375,400,462,496,565,644,763,944,1090,1141,1355,1530,1636,1888,2136,2296,2539,2743,2933,3279,3877,4256,4517,5100,5968,6398,6771,7229,8660,10759,12181,14204,16737,21027,23019,26126,29601,31180,33000
"68","61","  Hotels and other lodging places","B1781C0",82,91,98,108,110,117,132,151,168,198,197,226,246,267,298,317,340,375,398,427,438,485,568,554,610,667,707,695,660,774,859,998,1062,1385,1701,1640,1826,1996,2238,2181
"69","62","  Personal services","B1782C0",47,55,60,67,70,76,75,88,99,108,124,139,149,172,183,201,206,209,235,263,285,293,313,350,381,362,411,406,432,467,489,537,635,648,911,911,1064,1159,1133,1200
"70","63","  Business services","B1783C0",47,58,72,90,104,119,134,163,218,267,298,338,371,422,501,579,578,686,739,810,960,1267,1326,1337,1451,1804,1931,2052,2089,2624,3013,3644,4482,5266,6258,7480,9159,10313,10698,10911
"71","64","  Auto repair, services, and parking","B1784C0",25,32,40,55,66,93,114,139,203,244,258,333,390,361,437,517,627,683,741,728,847,1007,1048,1194,1340,1541,1658,1656,1798,2052,2749,3343,3451,3373,3966,4044,4056,5202,5714,6167
"72","65","  Miscellaneous repair services","B1785C0",4,5,6,6,7,10,12,13,17,22,12,17,16,19,23,23,31,31,31,34,42,39,55,42,50,57,72,81,100,120,126,159,226,291,350,367,435,475,478,457
"73","66","  Motion pictures","B1786C0",54,83,71,79,80,86,101,117,131,117,98,108,102,107,123,129,131,153,168,178,201,212,280,243,267,343,334,327,342,406,978,757,758,879,1032,1047,901,962,922,1243
"74","67","  Amusement and recreation services","B1787C0",29,34,35,36,38,40,51,61,72,89,107,141,202,216,251,257,268,262,268,250,295,280,285,320,379,467,471,512,570,649,570,663,856,1041,1642,1732,1957,2082,1790,2274
"75","68","  Other services","A1788C0",15,17,18,21,21,24,25,31,36,45,47,53,54,72,72,113,115,140,163,243,211,294,381,477,622,727,814,1042,1238,1568,1975,2080,2734,3854,5167,5798,6728,7412,8207,8567
"76","69","    Health services","B1789C0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,50,61,75,102,97,136,190,231,286,377,446,544,680,830,975,1114,1405,1989,2735,3278,4135,4667,5174,5469
"77","70","    Legal services","B1790C0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,1,0,0,0,0,5,11,16,23,51,41,48,61,87,108,144,200,347,396,430,522,579,581
"78","71","    Educational services","B1791C0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,13,14,19,27,31,35,44,46,54,61,45,62,87,88,107,134,147,187,263,313,366,452,438,519
"79","72","    Other \1\","B1792C0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,52,64,69,114,83,123,142,189,266,266,272,395,423,589,806,724,1038,1478,1822,1811,1797,1771,2016,1998
"80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","1. Consists of social services, membership organizations, and miscellaneous professional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","Note.  Estimates in this table are based on the 1972 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
