"","Table 2#5#5 Personal Consumption Expenditures by Function       ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 20, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/27/2010 8:55:30 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8","1","      Personal consumption expenditures","DPCERC1",77.4,70.1,60.7,48.7,45.9,51.5,55.9,62.2,66.8,64.3,67.2,71.3,81.1,89,99.9,108.7,120,144.3,162,175,178.5,192.2,208.5,219.5,233.1,240,258.8,271.7,286.9,296.2,317.7,331.8,342.2,363.3,382.7,411.5,443.8,480.9,507.8,558,605.1,648.3,701.6,770.2,852,932.9,1033.8,1151.3,1277.8,1427.6,1591.2,1755.8,1939.5,2075.5,2288.6,2501.1,2717.6,2896.7,3097,3350.1,3594.5,3835.5,3980.1,4236.9,4483.6,4750.8,4987.3,5273.6,5570.6,5918.5,6342.8,6830.4,7148.8,7439.2,7804,8285.1,8819,9322.7,9826.4,10129.9
"9","2","Household consumption expenditures \1\","DPHCRC1",76.1,68.8,59.5,47.7,45,50.6,55,61.2,65.9,63.3,66.2,70.2,80,87.7,98.4,107,118.2,142.3,159.9,172.7,176.1,189.8,205.9,216.6,230,236.7,255.3,267.8,282.7,291.7,312.6,326.5,336.7,357.6,376.7,404.8,436.6,473.1,499.4,548.7,595,637.2,689.3,756.6,837.4,916.5,1015.7,1131.2,1256,1403.2,1563.4,1723.9,1903.2,2035.4,2245.7,2453.5,2667.3,2841.4,3038.4,3283.3,3522.8,3755.8,3895.8,4144.5,4389,4648.4,4880.1,5157.9,5458.4,5787.5,6197.4,6665,6962.6,7234.2,7592.2,8075.1,8604.9,9082.3,9572.9,9851.2
"10","3","  Food and beverages purchased for off-premises consumption","DFXARC1",16.3,14.8,11.9,9,9.5,11.7,13.3,15.1,16,15.1,15.2,15.9,18.2,21.6,24.3,26,28.2,34.9,40.2,41.8,40.4,41.4,46,48.4,49.3,50.6,52,54.2,57.1,59.8,61.6,62.6,63.7,64.7,65.9,69.5,74.4,80.6,82.6,88.8,95.4,103.5,107.1,114.5,126.7,143,156.6,167.3,179.8,196.1,218.4,239.2,255.3,267.1,277,291.1,303,316.4,324.3,342.8,365.4,391.2,403,404.5,413.5,432.1,443.7,461.9,474.8,486.5,513.6,537.5,559.7,569.6,593.1,628.2,665,698,740.1,784.3
"11","4","    Food and nonalcoholic beverages purchased for off-premises consumption","DTFDRC1",14.7,13.4,10.7,8.1,8.4,9.2,10.1,11.4,12.1,11.6,11.6,12.2,13.9,16.4,18.1,19.2,20.9,26.8,31.7,34.1,33.3,34.4,38.7,40.8,41.8,43.3,44.8,46.8,49.8,52.4,54,54.9,56.1,56.7,57.7,61,65.7,71.3,73,78.2,83.6,90.4,92.6,98.7,109.6,124.2,136.2,145.6,156.5,171.1,190.3,208,221.7,231.3,239.2,252.7,262.3,273.8,281.8,299,319.5,341.2,351.5,354.6,362.4,378.3,388.3,402.8,412.8,422.1,444.9,463.1,482.2,490.4,510.7,539.3,569.5,594.3,629.9,669.4
"12","5","    Alcoholic beverages purchased for off-premises consumption","DAOPRC1",NA,NA,NA,NA,0.2,1.5,2,2.5,2.6,2.4,2.4,2.6,3,3.6,4,4.7,5.1,5.7,5.9,5.2,5,5.1,5.1,5.5,5.6,5.6,5.7,5.9,5.9,6,6.4,6.5,6.6,7,7.3,7.6,7.9,8.5,8.9,9.9,11,12.3,13.8,14.9,16,17.7,19.2,20.5,22.1,23.8,26.8,30,32.4,34.7,36.8,37.4,39.7,41.7,41.8,43.1,45.3,49.3,50.9,49.3,50.5,53.3,55,58.7,61.6,64,68.3,74,77.2,78.9,82.2,88.6,95.1,103.3,109.8,114.5
"13","6","    Food produced and consumed on farms","DFFDRC1",1.6,1.4,1.2,0.9,0.9,1,1.2,1.3,1.3,1.1,1.1,1.1,1.3,1.6,2.1,2.1,2.2,2.5,2.6,2.5,2.1,1.9,2.2,2.1,1.9,1.7,1.6,1.5,1.4,1.4,1.3,1.1,1.1,1,0.9,0.8,0.8,0.8,0.7,0.7,0.7,0.8,0.7,0.9,1.1,1.2,1.1,1.2,1.2,1.2,1.3,1.2,1.2,1.1,1,1,0.9,0.9,0.7,0.7,0.7,0.6,0.6,0.6,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4
"14","7","  Clothing, footwear, and related services","DCAFRC1",10.1,8.8,7.5,5.5,5.1,6.1,6.5,7.1,7.4,7.4,7.7,8.1,9.5,11.8,14.4,15.7,17.6,19.7,20.4,21.8,21.1,21.4,23.1,23.9,24.2,24.3,25.4,26.5,26.8,27.1,28.6,29.3,29.9,31.3,32.1,34.7,36.5,39.8,41.7,45.6,48.8,49.9,53.4,58,63.7,66.9,71.4,76.9,84.3,94.6,101.9,108.8,119.1,122.7,132.9,144.7,154.3,165.1,176.4,188.2,201.4,207,210.4,223,231,239.7,244.1,252.7,262,273,287.1,297.3,294.3,295.2,302.8,315.9,331.8,347.2,359.1,355.6
"15","8","    Clothing","DCLTRC1",8.4,7.3,6.3,4.5,4.1,5,5.4,5.9,6.1,6,6.4,6.8,8,9.9,12.4,13.6,15.2,16.7,17.3,18.6,17.8,17.9,19.6,20.5,20.7,20.8,21.5,22.5,22.7,22.7,24,24.5,25.1,26.2,27,29.3,30.8,33.6,35.1,38.2,40.7,41.9,44.9,48.7,53.5,56.6,60.7,65.5,71.7,80.2,85.5,91.1,99.4,103.1,112.1,122.7,130.9,140.2,149.9,160,170.4,174.8,178.5,189.5,196.1,202.8,206.1,212.7,220.8,229.6,241.4,250.4,247.8,248.9,255.5,267.2,280.3,292.9,303.9,300.2
