"","Table 1#4#6# Relation of Real Gross Domestic Product, Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234","F235","F236","F237","F238","F239","F240","F241","F242","F243","F244","F245","F246","F247","F248","F249","F250","F251","F252","F253","F254","F255"
"11","3","Plus: Imports of goods and services","A021RX1",51,52,46.1,48.6,54.8,57,60,59,57.2,56.4,54.1,54.9,56.4,59.5,73.5,73.6,73.6,71.2,65.2,63.5,70.8,70.5,74.8,81.5,79.5,83.6,83.3,79.2,74.6,81.3,76.4,77.1,81.7,86.3,87.8,90.9,94.8,94.3,95.1,90.7,97.9,98.7,96.8,97.1,98.6,102.8,101.2,106.5,109.3,114.6,115.6,112.7,117,117.8,114.4,109,108.5,109.8,117,119.8,123.5,126.2,127.8,129.3,126.3,129.3,132.6,132.2,132,135,138.6,142.4,137.3,153.5,154.1,161.6,165.8,169.9,179.4,181.4,184.3,182.8,185.2,195,206.5,209.6,222.2,220.3,199.6,238.9,235.8,233.2,232.5,237.1,236.5,240.2,237.4,255.3,260.9,243.2,278.8,268.9,274.5,286.8,300.1,291.4,283.4,285.5,275.8,290.4,285.4,282.5,254.2,233.8,253.3,266.8,283.5,295.8,307.9,318,333.1,336.2,331.5,336.2,358.7,359.9,364.6,369.6,368.6,370.6,364.9,372.9,373.2,346.1,321.2,338.4,352.9,353.4,349.4,359.4,349.2,343.4,359.4,345.3,353.2,380.3,410,430.1,464.6,484.1,496.6,511.2,499.9,524.5,519.4,539.8,539.3,562.2,577.8,582.3,578.8,593.2,604.8,618.7,615.8,608.7,623.1,642,645,648.1,647.2,658.9,679.8,678.7,675.9,657.8,650.3,661.9,680.5,695.5,700.6,712.1,723.3,740.6,756.7,772.3,782.5,813.9,832.9,863.9,888.2,913.2,933.2,942.1,945.4,957.4,988.6,1010.7,1043.5,1064,1109.5,1146.7,1189,1214.7,1260.2,1289.1,1306.5,1348.7,1383.1,1427.2,1478.9,1514.4,1575.8,1623.9,1680.6,1679.3,1654.8,1605.5,1566.7,1548,1586.8,1640.4,1667.4,1697.4,1676.9,1700.9,1720.7,1784.4,1829.8,1903.1,1930.7,1979.7,1991,2012.9,2025.2,2082,2121.3,2144.9,2170.5,2168.1,2190.8,2188.1,2208.3,2188,2174.3,2146.5,2134.4,2038.9,1821,1749.8,1836.2,1904.8
"12","4","Equals: Gross domestic purchases","A712RX1",1727.9,1728,1726.7,1773.2,1815.6,1863.6,1874.8,1880.3,1839.7,1832.8,1860.3,1856.6,1935.5,1997.6,2091.1,2121.2,2143.6,2166.3,2198.7,2201.3,2227.8,2242.9,2272,2355,2398,2420.6,2401.7,2361.9,2349.2,2347.5,2371.2,2415.2,2486.8,2536.2,2565,2582.7,2570.2,2581.9,2575.5,2606.8,2622.8,2621.6,2648.7,2625.1,2568,2588,2646.6,2714.5,2764.8,2836.4,2830.2,2840.4,2893,2871.3,2876,2829.9,2847.4,2904.8,2960.9,3020.1,3078.9,3101.5,3141.4,3154,3188.7,3214,3287.9,3304.4,3368.7,3408,3460.1,3468.4,3569.5,3603.6,3689.7,3773.7,3875.1,3883.7,3927.4,3954.8,3988.7,3989.9,4029.6,4064.6,4154.2,4223.7,4252.6,4272.1,4345.9,4353.1,4383.5,4352.1,4342.5,4344.1,4383.3,4338,4454.2,4498.1,4529.3,4545.9,4637.4,4744.8,4780.4,4860.4,4977.5,5010.2,4972.6,5004.5,4941.3,4954.8,4921.3,4887.4,4782.9,4802.5,4920.5,4982.3,5123,5174.9,5205.4,5253.4,5342.8,5441,5527.1,5546.6,5588.2,5761.7,5819.2,5883.7,5891.3,5898.5,5913.5,5909.9,5914.3,5737,5683.9,5823.4,5958.4,5908.8,5985.9,5925.5,5836.4,5855.7,5881.5,5887.8,5965.2,6136.8,6292.1,6439,6600,6726.1,6796,6859.5,6907.4,6998.5,7105.5,7170,7220.7,7273,7349.2,7370.3,7405,7479.2,7533.6,7655.9,7657.4,7726.3,7772.4,7878.9,7935.2,7967.1,8020.2,8041.2,8119,8139.2,8130.2,8030.1,7976.8,8017.5,8056.2,8087.8,8167.9,8268.4,8349.1,8453.2,8485.8,8548.1,8607.4,8730.2,8828.2,8955.2,9006.6,9114.2,9142.2,9158.7,9196.1,9259.1,9345.2,9513.2,9623.7,9686.1,9789.7,9930.4,10072.7,10178.3,10315.2,10449.1,10607.2,10788.2,10925.5,11039.9,11198.7,11400.5,11471.3,11701.8,11738.6,11813.9,11767.8,11833,11824.1,11877.9,11996.5,12079.7,12156,12198.5,12236.1,12356.1,12543.8,12660.8,12762.3,12901.4,13009.5,13136.8,13249,13296.8,13404.4,13494.2,13648.7,13695.5,13722.8,13755.7,13805,13887.6,13959.7,13954.2,13916.4,13885.5,13798.8,13604,13303.1,13225.9,13323.8,13492.1
"13","5","Less: Change in private inventories","A014RX1",4.9,-3.5,-13.4,-2.2,11.4,21.4,25,19.4,-2,-17.4,-3.9,-17.5,7.4,10.8,14.1,44.9,27.9,40.6,26.9,11.6,14.5,-3.6,16,16.1,13,12.8,7.7,-6.7,-5.9,-9.5,-7.6,-2.7,11.2,16.6,15.1,20.8,17.6,12.2,9.5,8.4,4.6,6.5,9.5,-8.9,-11.1,-9.7,4.9,13,10.4,26.5,3.2,15.6,38.8,11.1,15.6,-18.2,-8.3,7.2,23.8,19.8,31.2,19.7,23,13.6,26.7,17.7,21.1,15.4,16.4,15.7,18.9,18,41.4,29.8,33.5,26.9,47.1,45.4,40.4,55.6,51.4,23.2,30.8,30.1,27.3,48.9,26.1,21,37,31.2,34.9,18,3.9,16.7,16.2,-14.3,38.5,33,31.5,-3,10.8,38,39,14.9,23.1,52.9,23.2,56.8,26.4,37,12.7,40.2,-15.4,-29.6,-5.8,-0.3,31.8,47.1,43.9,14.2,24,40.2,71.1,37.1,43.2,42.5,44.8,51.9,39.8,44.9,17,10.3,13.4,11.4,-48.8,-13.3,55.4,14.3,57.9,28.3,-27.2,-5.4,6.8,-52.8,-47.7,-6.7,-5.6,29.4,88.7,83.1,86.9,54.4,17.2,25.1,20.8,38.6,35.3,17.2,-9.5,-9.2,36.6,20.1,-0.7,76.8,17.9,22.9,20.7,26.2,54.4,41,10.8,16.3,15.1,37,24.9,-10.8,-17.2,-21,-0.5,33,2.7,23.9,21.1,23.8,40.3,26.8,6.3,15.6,50.5,90.5,56,80.1,65.9,37.7,8.2,16.5,3.2,26.8,62,32.8,43.2,103.9,75.4,87,117.2,43.2,60.6,65.5,89.4,41.1,44.6,99.1,18.7,101,63.1,58.1,-34.8,-10.7,-30.8,-90.7,-15.1,13.4,19.8,32.9,31.5,-3.5,3,38.3,52.4,78.7,62.7,71.6,91.4,15.5,11.8,81,65.8,72.5,67.5,31.8,14.5,23.3,29.8,10.3,0.6,-37.1,-29.7,-37.4,-113.9,-160.2,-139.2,-19.7
"14","6","Equals: Final sales to domestic purchasers","A713RX1",1742.3,1757.2,1772.4,1792.4,1813.7,1841.1,1845.2,1864,1857.6,1882.2,1887.8,1909.2,1943.1,1998.5,2085.9,2056.6,2113,2110,2169.1,2200.5,2222.9,2272,2263.9,2347,2396.6,2420,2409.8,2394.3,2378.9,2383.9,2404.8,2441.2,2489.9,2530.9,2562.6,2571.5,2565.1,2585,2582.8,2616.5,2639.5,2634.9,2656.6,2660.5,2606.6,2624.3,2660.5,2718.2,2769.6,2819.1,2850.5,2840.1,2859.8,2879,2875,2880.2,2882.9,2917.8,2949.3,3015.3,3056.6,3097.3,3132.6,3159.4,3173.7,3212.9,3283.3,3308.9,3371.3,3412.1,3460.1,3467.8,3538.4,3588,3668.4,3763,3834.3,3847.5,3897.8,3904.2,3942.9,3985.6,4013.7,4053.6,4144.4,4185,4244.9,4273,4323.6,4339.5,4364.8,4354.8,4363.8,4349.2,4388.6,4381.8,4432.4,4481.8,4516.5,4575,4648.9,4723.5,4756.2,4868,4967.5,4966.9,4962.3,4952.2,4926.9,4933.2,4933.6,4847.5,4840.1,4872.8,4953.3,5009.3,5105.8,5136.5,5173.4,5255.9,5333.8,5411.8,5457.9,5522.6,5552.6,5726.4,5780,5841.7,5857.9,5859.3,5916.3,5923.2,5920.1,5747.6,5779.4,5865.5,5908.7,5918.1,5930.5,5909.6,5900.8,5886.1,5896.1,5984.4,6052,6175.8,6324.9,6425.7,6506.5,6637.7,6703.5,6808.3,6905.5,6991,7102.1,7142.5,7197.6,7274.5,7382.1,7409.3,7385.1,7478.4,7556.5,7586.5,7658.4,7721.4,7764.4,7866.9,7887.9,7936.6,8025.9,8039.5,8120.5,8112.2,8119.2,8060.9,8014.2,8058.7,8074.9,8067.6,8183.5,8255.8,8341.9,8444.9,8456.7,8535.5,8616.6,8729.1,8789.3,8870.1,8959.4,9039.3,9083.3,9133.3,9201.9,9254.7,9357.1,9498,9567.8,9658.9,9755.9,9829.9,10002.4,10095.2,10199.8,10412.1,10552.8,10729.1,10841.5,11004.3,11158.7,11303.8,11456.1,11601.4,11677.2,11757.6,11806.1,11847.3,11858.3,11971.6,12015.4,12070,12139.5,12168.8,12206.9,12361.5,12542,12623.4,12710.9,12823.8,12947,13065.6,13158,13281.4,13392.4,13412.9,13584.1,13624.1,13655.2,13722.8,13791.5,13863.2,13928.9,13944,13912.9,13923.2,13828,13654.9,13432.7,13401.4,13477.2,13524.1
"15",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","7","  Final sales of domestic product","A190RX1",1787,1798.7,1813.3,1813.9,1821.8,1835,1838.1,1854,1861.6,1885.6,1884.8,1891.7,1922,1973.7,2044.8,2022.5,2082.2,2092.1,2161.3,2193.4,2211.4,2247.2,2225.3,2299.1,2348.7,2367.3,2361.5,2348.1,2334.4,2343.9,2367.2,2406.6,2452.6,2484.8,2521,2526.4,2520.8,2548.7,2549.8,2593.8,2616.5,2606.9,2626.4,2625.9,2558.7,2572,2609.5,2659.9,2714.7,2761.5,2795.1,2784.6,2815,2841.9,2837.9,2851.8,2854,2884.6,2906.9,2973,3009.2,3060.5,3084.3,3105.6,3126.2,3179.2,3235.7,3269.3,3340.8,3380.5,3422.4,3431.3,3485.5,3548.5,3615.2,3713.4,3775.3,3792.4,3824,3834.8,3873.6,3915,3934.9,3969.8,4052.9,4093.6,4152.2,4178.6,4221.8,4242.6,4264.6,4265.4,4277,4268.7,4307,4299,4352.2,4382.3,4420.9,4474.2,4536.3,4611.6,4653.2,4761.4,4865.8,4889.7,4895.7,4901.4,4895.4,4900.8,4885.7,4814.7,4852.4,4902.1,4946.2,5004.6,5073.8,5090.9,5122.4,5194,5242.7,5327,5383,5426.9,5433.8,5649.4,5701.2,5774.5,5792.7,5792.4,5876.4,5903.2,5914.7,5798.8,5874.4,5926.8,5956,5967.8,5974.8,5939.5,5922.8,5920.3,5881.5,5968.6,6031.7,6117.1,6230.5,6312.4,6354.6,6471.1,6530.8,6626,6738.3,6789.6,6899.9,6928.1,6999.4,7052.2,7151.4,7192,7172.8,7268.4,7355.2,7388.3,7497.5,7587.9,7624,7721.9,7759.2,7834.5,7933.2,7943.1,8029.3,8032.8,8048.6,8020,7988,8045.4,8056.5,8049.1,8173.5,8232,8322.5,8409.1,8403.6,8474.1,8540.5,8642.8,8689,8762.2,8857.2,8928.4,8966.4,9019.4,9126.8,9180.1,9259.4,9392.1,9433,9565.4,9632.6,9709.3,9862.5,9925.9,9988.3,10157.1,10274.3,10448.5,10517.3,10648.2,10779.7,10917.5,11027.6,11158,11206.4,11278.1,11335.1,11385.2,11373.8,11472.8,11496.4,11528.9,11579.7,11569.1,11616.5,11743.8,11933.4,12005.3,12076.2,12136.3,12241.1,12339.2,12443.2,12572,12671.2,12667.2,12851.3,12891,12898.3,13027.8,13086.4,13179.6,13290.3,13381.1,13363.5,13453.5,13354.3,13193.5,13055.8,13077.8,13127.2,13181.9
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Note. Chained (2005) dollar series are calculated as the product of the chain-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","quantity index and the 2005 current-dollar value of the corresponding series, divided",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","by 100. Because the formula for the chain-type quantity indexes uses weights of more",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","than one period, the corresponding chained-dollar estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
