"","Table 1#8#3# Command-Basis Real Gross National Product, Quantity","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84"
"1","[Index numbers, 2005=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published May 27, 2010      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/26/2010 8:28:37 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
"8","1","Gross national product","B001RA3",7.738,7.073,6.607,5.741,5.661,6.269,6.829,7.71,8.114,7.838,8.47,9.201,10.778,12.759,14.837,16.033,15.848,14.132,14.026,14.655,14.572,15.847,17.087,17.741,18.547,18.438,19.771,20.172,20.584,20.377,21.832,22.383,22.917,24.316,25.384,26.857,28.578,30.412,31.181,32.697,33.698,33.759,34.91,36.77,38.981,38.821,38.643,40.762,42.666,45.018,46.564,46.432,47.524,46.634,48.701,52.136,54.131,55.879,57.651,60.072,62.22,63.459,63.253,65.38,67.239,69.887,71.685,74.368,77.592,80.907,84.897,88.483,89.55,91.138,93.551,97.039,100,102.438,104.925,105.552,102.734
"9","2","Less: Exports of goods and services and income receipts from the rest of the world","BB20RA3",2.769,2.344,1.938,1.516,1.475,1.59,1.7,1.798,2.254,2.201,2.331,2.564,2.66,1.834,1.579,1.696,2.27,4.639,5.343,4.378,4.326,3.908,4.776,4.616,4.336,4.552,5.046,5.815,6.29,5.462,5.996,6.991,7.102,7.509,8.061,8.971,9.27,9.784,10.043,10.885,11.532,12.614,12.864,13.915,16.964,18.599,18.007,18.923,19.558,21.798,25.076,27.531,28.146,26.726,26.01,28.652,28.37,29.651,32.543,38.002,42.426,45.429,46.046,47.268,48.477,53.369,60.026,64.606,72.296,73.833,78.006,86.163,78.822,76.791,79.577,89.877,100,112.869,125.539,126.175,107.052
"10","3","Plus: Command-basis exports of goods and services and income receipts from the rest of the world \1\","AB21RA3",3.562,3.213,2.637,2.224,2.251,2.457,2.648,2.696,3.221,3.241,3.226,3.586,3.834,2.753,2.387,2.706,3.52,6.375,7.141,5.682,5.55,4.634,5.278,5.32,5.206,5.345,6.022,7.038,7.795,7.007,7.661,8.974,9.246,9.929,10.472,11.528,12.103,12.856,13.606,14.869,15.871,17.079,17.09,18.12,21.272,20.139,19.808,20.936,20.831,23.059,25.427,25.034,26.071,25.683,25.991,29.147,29.123,30.156,32.216,37.695,42.006,44.32,45.751,46.789,48.396,53.392,59.852,64.734,73.569,77.166,80.817,87.53,81.6,80.081,82.108,91.724,100,112.264,124.595,119.893,106.755
