"","Table 1#2#4# Price Indexes for Gross Domestic Product by Major T","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234","F235","F236","F237","F238","F239","F240","F241","F242","F243","F244","F245","F246","F247","F248","F249","F250","F251","F252","F253","F254","F255"
"11","3","       Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","4","Goods","A353RG3",29.425,30.026,30.704,31.339,31.669,32.019,32.558,32.359,32.012,31.652,31.283,31.038,30.819,30.987,31.661,32.365,33.581,33.854,33.82,34.232,34.34,34.215,34.334,34.265,34.185,34.097,34.094,34.066,34.252,34.187,33.967,33.855,33.867,33.893,34.097,34.258,34.512,34.817,35.279,35.53,35.946,36.175,36.469,36.674,37.164,37.223,37.175,37.079,37.329,37.372,37.491,37.583,37.524,37.694,37.756,37.866,37.943,37.866,37.924,37.908,38.006,38.039,38.117,38.219,38.223,38.202,38.329,38.398,38.517,38.496,38.582,38.681,38.823,39.003,39.068,39.002,39.332,39.574,39.838,40.134,40.242,40.355,40.712,41.028,41.337,41.751,42.038,42.455,42.754,43.204,43.685,44.085,44.516,44.949,45.09,45.547,45.901,46.324,46.428,46.503,47.045,47.074,47.336,47.631,48.278,49.074,50.022,50.712,51.682,52.523,54.313,56.296,57.632,58.225,59.475,60.342,60.692,60.92,61.542,62.519,63.201,63.9,64.315,65.083,65.98,67.222,68.304,69.635,71.046,72.683,73.526,74.31,75.696,77.067,78.625,80.412,82.318,83.404,84.869,85.642,86.305,86.929,87.748,87.9,88.434,89.094,89.533,90.002,90.557,90.696,90.887,90.987,91.703,91.888,91.925,91.935,91.597,91.485,91.685,91.828,92.368,92.531,92.844,93.262,93.415,94.062,95.452,95.958,96.465,97.397,97.869,97.992,99.04,100.042,100.678,100.912,102.198,102.868,103.219,103.436,103.253,103.359,103.349,103.536,103.923,103.934,104.016,104.503,104.656,104.76,105.012,105.032,105.004,105.034,105.126,105.152,105.41,105.509,105.358,105.141,105.138,105.256,104.862,104.52,103.908,103.574,103.514,103.094,102.907,102.812,102.509,102.185,102.029,102.425,102.402,102.099,101.95,102.685,102.641,102.195,101.769,101.405,101.258,100.989,100.369,100.011,100.232,100.139,100.156,100.427,100.109,100.208,100.141,99.88,100.321,99.658,99.726,100.192,100.744,100.287,100.826,101.19,100.697,99.966,99.392,98.415,99.609,100.312,102.224,102.397,102.381,101.395
"13","5","    Final sales","A325RG3",28.904,29.488,30.086,30.783,31.078,31.422,31.974,31.827,31.502,31.16,30.794,30.558,30.351,30.526,31.191,31.843,33.005,33.253,33.25,33.673,33.793,33.683,33.811,33.773,33.719,33.643,33.645,33.622,33.794,33.733,33.525,33.421,33.439,33.467,33.668,33.819,34.06,34.361,34.815,35.064,35.475,35.708,36.008,36.221,36.706,36.76,36.713,36.61,36.874,36.909,37.024,37.114,37.056,37.234,37.3,37.408,37.478,37.406,37.461,37.443,37.542,37.578,37.655,37.759,37.765,37.751,37.879,37.945,38.064,38.048,38.132,38.234,38.379,38.56,38.626,38.554,38.885,39.129,39.393,39.687,39.791,39.91,40.279,40.595,40.911,41.329,41.623,42.042,42.341,42.788,43.274,43.663,44.091,44.528,44.67,45.121,45.468,45.879,45.988,46.072,46.62,46.64,46.881,47.163,47.833,48.616,49.56,50.281,51.216,52.006,53.75,55.758,57.068,57.687,58.92,59.814,60.189,60.407,61.017,61.995,62.677,63.362,63.827,64.617,65.502,66.746,67.805,69.108,70.524,72.156,72.959,73.722,75.093,76.436,78.014,79.793,81.583,82.649,84.129,84.94,85.649,86.304,87.117,87.298,87.789,88.47,88.943,89.374,89.902,89.996,90.197,90.344,91.102,91.313,91.376,91.387,91.07,91.003,91.231,91.335,91.842,91.983,92.302,92.765,92.97,93.64,95.089,95.568,96.063,97.005,97.466,97.601,98.654,99.682,100.315,100.616,101.869,102.563,102.878,103.097,102.95,103.06,103.048,103.237,103.642,103.628,103.705,104.205,104.343,104.462,104.744,104.746,104.693,104.722,104.831,104.894,105.196,105.305,105.136,104.942,104.947,105.098,104.738,104.404,103.839,103.522,103.481,103.051,102.867,102.788,102.49,102.16,102.015,102.432,102.404,102.105,101.94,102.699,102.657,102.206,101.762,101.408,101.284,101.021,100.421,100.058,100.284,100.198,100.201,100.462,100.125,100.207,100.127,99.871,100.342,99.659,99.706,100.168,100.709,100.222,100.751,101.139,100.639,99.917,99.478,98.581,99.796,99.967,101.781,101.907,101.98,101.038
"14","6","    Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","7","  Durable goods","A354RG3",37.653,39.166,39.957,40.262,40.341,41.041,42.447,42.72,42.624,42.347,42.001,41.811,41.765,42.206,42.82,43.765,45.185,45.434,45.37,46.107,46.336,46.133,46.428,45.871,45.954,46.024,46,46.112,46.578,46.266,45.609,45.659,45.634,45.92,46.478,47.076,47.669,48.059,49.017,49.371,50.304,50.595,50.87,51.279,51.715,51.634,51.616,51.882,52.205,52.407,52.517,52.564,52.45,52.49,52.479,52.415,52.48,52.685,52.757,52.78,52.767,52.728,52.878,52.824,52.756,52.834,52.796,52.907,52.95,52.977,52.991,52.982,53.136,53.073,52.951,52.668,52.733,52.972,53.174,53.595,53.708,53.965,54.455,54.975,55.222,55.855,56.177,56.781,57.12,57.459,57.888,58.399,58.848,59.429,59.336,60.024,60.935,61.381,61.11,61.021,61.783,61.825,61.835,61.619,61.757,61.803,62.16,62.348,63.47,64.446,66.978,69.423,71.787,73.586,74.893,76.296,77.598,78.442,79.186,80.964,81.62,82.15,82.946,84.186,84.953,85.822,86.769,88.543,89.69,91.872,93.419,94.279,96.612,99.412,101.378,103.287,105.416,107.824,110.01,111.114,112.329,113.776,114.895,115.433,115.612,115.614,115.934,116.365,116.411,116.735,117.142,117.304,117.973,117.816,117.544,117.036,115.893,115.841,116.009,116.192,115.882,115.449,115.65,115.574,115.168,114.924,115.954,116.237,116.712,117.036,117.832,118.041,118.455,118.695,119.167,119.378,120.45,120.931,121.243,121.053,120.744,120.696,120.158,119.99,120.409,120.587,120.532,120.562,120.837,121.234,121.251,120.481,120.497,120.027,119.522,119.457,119.535,118.818,118.745,118.527,118.182,117.387,116.583,115.836,114.78,113.919,113.142,112.237,111.413,110.908,110.164,109.705,109.206,108.994,108.891,108.698,107.78,107.39,106.879,106.472,105.968,105.186,104.636,104.375,103.439,102.58,101.667,101.057,100.701,100.576,100.091,100.134,100.254,100.194,99.783,99.769,99.786,99.513,99.238,99.095,98.914,98.563,97.684,97.333,97.066,96.205,96.367,96.484,96.634,96.75,95.907,95.782
"16","8","    Final sales","A326RG3",38.183,39.717,40.516,40.814,40.885,41.599,43.03,43.296,43.211,42.94,42.573,42.377,42.33,42.803,43.427,44.333,45.734,45.927,45.866,46.662,46.893,46.688,46.982,46.404,46.487,46.549,46.514,46.633,47.086,46.785,46.155,46.207,46.169,46.454,47.012,47.6,48.194,48.583,49.556,49.913,50.864,51.161,51.444,51.858,52.287,52.208,52.19,52.456,52.824,53.028,53.143,53.192,53.063,53.103,53.096,53.041,53.106,53.304,53.379,53.405,53.397,53.359,53.515,53.459,53.39,53.472,53.436,53.547,53.59,53.613,53.629,53.616,53.778,53.707,53.572,53.27,53.333,53.582,53.787,54.221,54.325,54.599,55.106,55.631,55.881,56.539,56.863,57.474,57.814,58.16,58.613,59.12,59.573,60.153,60.047,60.769,61.685,62.122,61.833,61.745,62.523,62.561,62.571,62.347,62.473,62.474,62.821,62.949,64.021,64.928,67.419,69.886,72.312,74.135,75.449,76.869,78.187,79.035,79.765,81.571,82.214,82.732,83.529,84.773,85.533,86.364,87.285,89.044,90.14,92.323,93.873,94.755,97.115,99.909,101.854,103.717,105.779,108.13,110.286,111.392,112.637,114.086,115.188,115.742,115.896,115.902,116.208,116.627,116.632,116.902,117.289,117.436,118.109,117.946,117.669,117.141,115.977,115.911,116.066,116.269,115.949,115.462,115.676,115.58,115.121,114.856,115.889,116.145,116.609,116.953,117.753,117.962,118.384,118.626,119.096,119.313,120.39,120.878,121.194,121.012,120.721,120.68,120.154,119.998,120.416,120.574,120.52,120.548,120.823,121.226,121.247,120.453,120.464,119.977,119.479,119.449,119.565,118.836,118.754,118.515,118.144,117.377,116.623,115.899,114.873,114.024,113.252,112.344,111.524,111.024,110.277,109.806,109.298,109.093,108.989,108.806,107.896,107.498,106.979,106.567,106.068,105.292,104.741,104.484,103.533,102.673,101.777,101.185,100.809,100.652,100.132,100.149,100.253,100.201,99.788,99.757,99.75,99.454,99.152,99.006,98.826,98.493,97.614,97.262,96.982,96.12,96.283,96.429,96.525,96.592,95.908,95.829
"17","9","    Change in private inventories \1\","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","10","  Nondurable goods","A356RG3",21.848,22.044,22.572,23.209,23.565,23.74,23.914,23.599,23.231,22.906,22.589,22.363,22.124,22.167,22.755,23.262,24.222,24.464,24.447,24.674,24.72,24.643,24.686,24.801,24.674,24.539,24.547,24.47,24.529,24.561,24.529,24.381,24.411,24.335,24.372,24.339,24.426,24.653,24.862,25.037,25.196,25.368,25.626,25.728,26.156,26.247,26.198,26,26.183,26.161,26.264,26.357,26.328,26.519,26.597,26.748,26.814,26.659,26.701,26.671,26.793,26.847,26.885,27.032,27.062,27.008,27.181,27.225,27.357,27.319,27.421,27.551,27.668,27.931,28.07,28.108,28.519,28.736,28.998,29.201,29.292,29.327,29.58,29.767,30.066,30.331,30.567,30.849,31.094,31.54,31.988,32.29,32.661,32.973,33.199,33.494,33.566,33.923,34.176,34.316,34.696,34.716,35.058,35.557,36.386,37.497,38.674,39.574,40.375,41.066,42.283,43.824,44.481,44.399,45.488,45.989,45.811,45.687,46.186,46.624,47.26,47.995,48.155,48.583,49.482,50.855,51.933,52.892,54.381,55.556,55.899,56.572,57.274,57.707,58.895,60.456,62.07,62.319,63.255,63.777,64.092,64.237,64.821,64.77,65.417,66.342,66.81,67.263,68.075,68.096,68.145,68.197,68.883,69.258,69.481,69.807,69.988,69.851,70.058,70.167,71.209,71.75,72.115,72.838,73.362,74.585,76.16,76.806,77.316,78.638,78.853,78.902,80.358,81.864,82.586,82.824,84.188,84.95,85.311,85.797,85.706,85.912,86.279,86.716,87.067,86.955,87.14,87.962,88.01,87.882,88.308,88.955,88.894,89.336,89.927,90.033,90.443,91.247,91.032,90.82,91.122,92.075,92.075,92.13,91.963,92.161,92.831,92.92,93.41,93.751,93.923,93.745,93.968,95.056,95.119,94.693,95.411,97.399,97.866,97.378,97.035,97.136,97.443,97.165,96.898,97.097,98.588,99.083,99.528,100.251,100.125,100.29,100.006,99.507,100.969,99.517,99.646,100.994,102.553,101.726,103.129,104.363,104.343,103.142,102.184,101.065,103.55,104.987,108.95,109.187,110.075,108.13
"19","11","    Final sales","A334RG3",20.961,21.151,21.582,22.276,22.592,22.76,22.944,22.694,22.353,22.049,21.746,21.537,21.314,21.361,21.929,22.386,23.28,23.505,23.522,23.747,23.809,23.75,23.804,23.955,23.864,23.751,23.768,23.697,23.742,23.775,23.747,23.609,23.646,23.578,23.615,23.583,23.66,23.882,24.081,24.253,24.407,24.581,24.839,24.949,25.37,25.457,25.407,25.206,25.39,25.362,25.457,25.547,25.522,25.717,25.798,25.943,26.002,25.853,25.892,25.86,25.979,26.035,26.072,26.217,26.25,26.203,26.372,26.412,26.542,26.514,26.611,26.742,26.859,27.116,27.255,27.287,27.688,27.899,28.154,28.35,28.441,28.478,28.74,28.927,29.229,29.491,29.734,30.016,30.258,30.694,31.133,31.422,31.785,32.103,32.33,32.606,32.671,33.014,33.276,33.423,33.806,33.815,34.124,34.593,35.433,36.513,37.656,38.603,39.379,40.032,41.211,42.773,43.374,43.327,44.386,44.918,44.77,44.643,45.13,45.573,46.205,46.918,47.154,47.621,48.5,49.876,50.932,51.861,53.362,54.537,54.832,55.464,56.141,56.547,57.78,59.35,60.831,61.094,62.069,62.644,63.002,63.188,63.77,63.745,64.354,65.304,65.822,66.225,67.001,66.99,67.067,67.199,67.939,68.354,68.621,68.964,69.187,69.132,69.394,69.433,70.424,70.945,71.309,72.103,72.725,73.984,75.635,76.242,76.741,78.055,78.252,78.324,79.77,81.316,82.029,82.374,83.685,84.487,84.785,85.274,85.234,85.446,85.804,86.237,86.616,86.477,86.65,87.488,87.513,87.41,87.883,88.507,88.406,88.849,89.449,89.589,90.043,90.863,90.625,90.474,90.811,91.795,91.811,91.859,91.752,91.967,92.665,92.733,93.215,93.582,93.77,93.592,93.842,94.961,95.013,94.579,95.256,97.334,97.824,97.331,96.949,97.057,97.405,97.137,96.917,97.098,98.586,99.073,99.505,100.239,100.112,100.27,99.978,99.481,101.006,99.536,99.642,101.015,102.581,101.688,103.071,104.341,104.315,103.137,102.502,101.564,104.063,104.261,108.073,108.266,109.19,107.277
"20","12","    Change in private inventories \1\","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","13","Services \2\","A341RG3",8.63,8.652,8.703,8.863,8.943,9.022,9.176,9.229,9.298,9.297,9.294,9.37,9.394,9.4,9.538,9.633,9.909,9.895,9.95,10.101,10.088,10.214,10.331,10.457,10.498,10.577,10.639,10.754,10.835,10.883,10.932,10.993,11.1,11.213,11.281,11.369,11.462,11.564,11.656,11.721,11.883,11.959,12.059,12.157,12.287,12.365,12.435,12.493,12.516,12.57,12.627,12.718,12.791,12.857,12.967,13.06,13.081,13.148,13.204,13.273,13.399,13.454,13.501,13.567,13.643,13.679,13.704,13.844,13.927,13.994,14.106,14.159,14.234,14.29,14.397,14.541,14.638,14.756,14.963,15.09,15.198,15.345,15.493,15.694,15.884,16.081,16.299,16.518,16.696,16.94,17.254,17.497,17.816,18.071,18.326,18.583,18.939,19.225,19.496,19.704,20.099,20.283,20.492,20.754,21.003,21.322,21.673,22.077,22.515,23.041,23.635,24.236,24.77,25.209,25.682,26.22,26.652,27.017,27.45,27.963,28.513,29.045,29.531,30.1,30.61,31.152,31.668,32.298,32.803,33.57,34.407,35.292,36.145,37.058,37.958,39.17,40.222,41.009,41.759,42.675,43.423,44.11,44.925,45.755,46.352,46.786,47.499,47.939,48.814,49.506,50.118,50.565,51.314,51.706,52.082,52.577,53.097,53.532,53.972,54.523,55.03,55.453,56.035,56.511,57.148,57.799,58.425,58.975,59.809,60.397,60.885,61.445,62.282,63.118,63.833,64.623,65.299,65.799,66.488,67.101,67.823,68.399,68.859,69.351,69.833,70.379,70.83,71.202,71.707,72.192,72.662,73.162,73.786,74.263,74.679,75.239,75.786,76.172,76.748,77.365,77.955,78.412,78.841,79.372,79.747,80.129,80.544,80.97,81.528,82.029,82.55,83.152,84.106,84.512,85.244,85.968,86.849,87.375,87.65,88.138,88.79,89.481,90.116,90.923,92.008,92.586,93.242,93.883,94.874,95.727,96.601,97.36,98.578,99.431,100.385,101.606,102.477,103.422,104.246,104.906,106.165,107.057,107.877,109.081,110.13,111.3,112.336,111.963,112,112.187,112.593,113.24
"22","14","Structures","A755RG3",8.389,8.677,8.949,9.19,9.393,9.569,9.812,9.878,9.852,9.784,9.565,9.602,9.505,9.607,9.918,10.093,10.503,10.711,10.857,10.953,10.97,11.045,11.151,11.087,11.113,11.14,11.227,11.136,10.999,11.043,11.067,11.089,11.054,11.131,11.303,11.414,11.69,11.844,12.029,12.075,12.125,12.252,12.315,12.245,12.038,12.114,12.165,12.18,12.182,12.171,12.158,12.148,12.167,12.162,12.162,12.142,12.109,12.152,12.151,12.191,12.224,12.25,12.271,12.287,12.305,12.306,12.262,12.314,12.268,12.408,12.44,12.627,12.658,12.73,12.756,13.007,12.952,13.31,13.316,13.52,13.572,13.619,13.731,13.93,14.172,14.313,14.358,14.796,15.066,15.339,15.479,15.763,15.896,16.415,16.356,16.611,16.983,17.334,17.649,17.95,18.233,18.383,18.679,19.158,19.465,19.922,20.506,20.955,21.563,22.42,23.427,24.282,24.923,25.289,25.486,25.812,25.956,26.48,26.811,27.195,27.869,28.452,29.182,29.866,30.572,31.415,32.179,32.99,33.757,34.849,35.967,36.834,37.67,38.544,39.495,40.636,41.941,43.012,43.938,45.035,45.873,46.463,46.746,46.727,46.423,46.244,46.308,46.452,46.625,47.006,47.354,47.661,47.962,48.087,48.372,48.772,49.169,49.558,50.017,50.485,50.817,51.162,51.577,52.019,52.602,53.066,53.486,54,54.381,55.019,55.348,55.727,56.2,56.55,56.951,57.141,57.408,57.641,57.834,57.499,57.389,57.781,58.108,58.695,59.266,59.788,60.231,60.632,61.232,61.596,62.304,63.146,63.918,64.322,64.792,65.249,65.485,65.766,66.492,66.874,67.332,67.826,68.453,69.149,69.629,70.156,70.816,71.459,72.072,72.774,73.349,74.006,75.063,75.858,76.561,77.337,78.325,79.244,80.385,80.98,81.248,81.877,82.348,83.398,84.858,84.954,85.468,86.729,88.495,90.465,92.75,94.789,96.403,98.403,101.324,103.87,105.814,107.712,108.896,110.869,112.49,112.946,113.623,114.413,114.594,115.004,115.866,116.537,115.965,113.815,111.92,111.938
"23",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","15","  Motor vehicle output","A953RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.812,33.044,33.651,34.194,34.047,34.274,34.638,34.899,34.848,35.028,35.375,35.338,35.404,35.707,35.955,37.141,38.087,38.436,37.755,36.967,37.599,37.879,38.064,37.162,37.19,37.365,37.67,37.611,38.32,39.103,40.709,42.169,42.07,43.351,44.117,44.905,45.943,46.439,47.212,48.477,48.844,49.415,49.958,51.531,52.338,52.852,53.712,54.465,55.69,57.305,57.849,58.688,60.405,61.732,62.74,63.385,64.16,66.424,67.781,68.045,68.301,69.289,70.483,70.343,71.197,71.745,72.627,73.119,73.851,74.297,75.038,74.999,75.774,76.355,76.957,77.08,76.709,77.623,78.55,79.384,79.453,80.208,81.523,81.45,80.042,80.117,81.682,82.058,82.914,83.788,84.038,84.561,84.853,84.91,85.007,85.431,86.975,87.509,88.283,88.694,88.877,89.895,90.22,90.681,91.907,92.909,94.148,94.951,96.159,97.314,98.651,99.003,99.695,100.232,100.289,100.854,101.894,102.391,102.942,103.453,103.903,103.691,103.822,103.526,102.564,101.84,102.353,102.517,102.737,102.738,102.722,102.876,102.528,103.008,102.727,102.443,101.848,101.599,101.784,101.584,101.265,101.012,100.567,101.045,99.476,98.269,98.417,98.656,98.828,99.417,98.363,99.352,100.347,100.672,99.038,99.943,100.343,99.883,99.425,99.098,98.991,99.109,98.969,98.494,97.571,96.828,96.445,94.773,95.916,98.366,99.455,100.79
