"","Table 7#3#3# Real Farm Sector Output, Real Gross Value Added, an","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"1","[Index numbers, 2005=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 20, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/26/2010 8:48:27 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8","1","Farm output","A2000A3",21.707,20.403,22.567,21.638,21.408,18.161,21.493,20.283,23.267,23.011,25.684,24.702,27.244,29.802,29.685,29.637,30.271,31.007,29.186,31.84,30.89,32.604,32.298,33.336,33.965,35.169,36.338,36.811,36.51,37.817,39.253,40.291,41.29,42.077,43.628,42.907,45.159,45.39,47.915,47.721,49.244,50.575,52.537,53.908,54.857,51.69,55.019,56.028,58.525,61.292,64.96,62.214,66.901,67.963,57.747,66.696,71.203,69.854,72.647,69.68,73.907,77.126,78.195,82.272,80.352,87.781,84.146,85.845,91.838,92.382,94.494,95.684,94.308,93.926,97.879,99.475,100,100.182,101.614,100.709
"9","2","  Cash receipts from farm marketings","A2001A3",24.812,23.481,23.631,23.192,23.361,21.495,20.986,24.036,22.895,22.797,27.666,24.691,28.392,30.075,32.548,32.788,34.309,33.689,33.569,31.845,34.427,35.727,34.398,35.111,36.302,38.417,40.713,41.929,40.27,39.379,45.632,44.186,44.988,46.465,48.356,49.631,49.687,51.733,52.972,52.066,55.433,57.878,57.442,60.505,60.602,59.167,58.719,62.32,61.343,65.96,68.68,70.358,67.928,68.967,68.285,68.285,71.85,73.779,79.442,77.56,76.555,78.742,81.373,82.936,85.9,85.885,90.908,85.265,92.578,93.203,95.819,97.795,94.556,96.324,98.114,95.86,100,100.84,101.955,103.073
"10","3","    Crops","B1005A3",21.07,18.645,18.537,18.78,17.642,14.722,15.962,19.456,17.802,16.865,24.817,17.796,23.216,22.897,24.167,24.296,27.511,26.378,26.052,24.847,28.339,29.737,26.599,27.125,27.321,29.729,31.854,32.028,29.734,30.15,38.089,34.762,34.553,36.327,38.153,38.677,39.31,40.557,41.704,39.776,46.347,49.646,46.554,51.733,55.019,52.691,51.951,55.957,52.33,60.062,64.735,67.793,62.52,64.334,61.965,61.398,66.104,69.997,79.14,73.777,73.133,76.573,80.248,81.646,85.72,83.403,91.515,82.073,91.767,92.25,94.885,97.054,92.037,92.747,96.294,93.861,100,99.954,101.832,102.42
"11","4","    Livestock","B1006A3",27.517,27.452,27.863,26.749,28.503,28.613,25.645,28.023,27.563,28.417,29.887,31.569,33.193,37.004,40.781,41.149,40.329,40.391,40.536,38.299,39.789,40.927,41.635,42.531,44.841,46.421,48.725,51.265,50.598,48.238,52.373,53.225,55.208,56.233,58.075,60.26,59.553,62.451,63.744,64.016,64.051,65.668,67.924,68.819,65.621,65.498,65.489,68.43,70.878,71.664,72.287,72.455,73.373,73.527,74.78,75.471,77.646,77.511,79.799,81.514,80.117,81.013,82.603,84.339,86.16,88.608,90.035,89.127,93.503,94.29,96.889,98.671,97.15,100.041,99.853,97.777,100,101.719,102.012,103.778
"12","5","  Farm products consumed on farms","B1008A3",2834.469,2828.113,2956.22,3051.291,3304.218,3147.4,2960.309,3007.106,2980.749,2950.725,3059.409,2977.859,2831.941,2757.099,2867.938,2717.875,2747.321,3056.247,2782.843,2644.69,2450.007,2360.025,2209.637,2108.037,2002.728,1924.897,1883.506,1788.007,1594.49,1524.774,1354.908,1224.904,1196.23,1052.645,1005.499,942.504,829.93,764.906,710.984,657.331,609.16,638.109,602.996,612.377,585.931,700.952,650.642,664.848,648.882,530.489,489.415,466.065,461.367,416.578,408.539,380.478,369.862,352.689,267.835,259.469,226.079,199.578,197.483,194.524,178.924,182.336,171.178,158.455,138.663,143.647,137.533,118.369,99.755,110.571,95.416,90.594,100,125.197,107.999,106.345
"13","6","  Other farm income","B1009A3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.863,1.676,2.667,3.13,3.793,4.556,5.07,5.804,6.674,7.316,7.765,7.558,7.908,8.621,11.169,12.49,12.811,14.3,14.624,14.736,13.58,13.439,12.739,14.46,12.162,13.985,14.924,14.889,21.092,24.326,25.406,30.258,51.322,41.185,35.088,48.988,51.001,55.546,52.578,47.818,48.599,50.65,45.099,48.567,47.869,56.331,50.054,63.468,76.907,92.402,82.279,91.484,87.805,93.78,103.207,100,108.946,90.064,86.356
"14","7","  Change in farm finished goods inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","8","    Crops","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
