"","Table 3#14# Government Social Insurance Funds Current Receipts a","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 20, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/26/2010 8:36:11 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8",NA,"          Federal"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","    Current receipts","A2046C1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,1.6,1.7,1.8,1.9,2.4,3,3.9,4.6,5.7,6.9,5.9,5,5.4,6,7.1,7.5,7.7,8.7,9.8,10.7,12.2,12.2,14.5,17.1,17.7,19.7,22.2,23,24,32.1,35.9,40,45.8,49.2,53.8,61.8,78.6,88.7,92.8,104.3,115.6,133.6,155,169.5,199.8,212.8,229.1,263.2,289.6,311.6,332.6,375.2,405.9,436.8,459.9,487.4,511.3,544.5,575.2,602.1,642.1,683.3,732.7,787.2,821.4,845.6,869.7,917.4,968.4,1030.9,1078,1114.3
"10","2","Contributions for government social insurance","W780RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,1.5,1.6,1.8,1.9,2.3,2.9,3.8,4.3,5.3,6.5,5.4,4.4,4.7,5.3,6.4,6.7,6.8,7.8,8.8,9.6,11,11,13.5,16,16.6,18.6,21.1,21.8,22.7,30.6,34.1,37.9,43.3,45.5,50.3,58.3,74.5,84.1,88.1,99.8,111.1,128.7,149.8,163.6,193,206,223.1,254.1,277.9,298.9,317.4,354.8,378,402,420.6,444,465.5,496.2,521.9,545.4,579.4,617.4,654.8,698.6,723.3,739.3,762.8,807.6,852.6,904.6,944.4,974.5
"11","3","  Employee and self-employed contributions","A1585C1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.4,0.4,0.5,0.6,0.9,1.4,1.8,1.9,1.5,1.6,1.5,1.5,2.1,2.5,2.7,2.8,3.4,3.9,4.3,5,5,5.9,7.1,7.3,7.8,9.1,9.6,10.1,14.2,16.6,18.4,21,22.2,24.4,27.6,35.3,40,42.1,46.4,51.4,59,69.4,76.8,91.4,98.3,105,117.1,132.5,144,154.8,174.6,189.7,201.7,212.7,223.7,234.7,251,266.1,278.1,296,315.6,336.2,358,371.6,381.7,392.6,414.6,439.8,470.7,494.8,513.1
"12","4","  Employer contributions","A1580C1",0,0,0,0,0,0,0,0.2,1,1.2,1.3,1.4,1.7,2,2.3,2.5,3.5,5,3.8,2.9,3.2,3.2,3.9,3.9,4,4.3,4.9,5.4,6,6,7.5,8.9,9.2,10.8,12,12.2,12.6,16.3,17.4,19.3,22.1,23.1,25.6,30.2,38.7,43.5,45.4,52.7,59,68.8,79.5,85.8,100.4,106.6,116.8,135.7,144,153.5,161.1,178.5,186.6,198.4,205.9,218.1,228.6,242.7,253.1,264.6,280.4,298.7,315.4,337,347.9,353.8,366.3,388.7,408.2,429.4,444.8,456.3
"13","5","    Government","L313051",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,1.4,2.9,1.4,0.5,0.9,0.1,0.2,0.2,0.2,0.3,0.4,0.3,0.5,0.7,0.7,0.8,0.9,0.9,1.1,1.2,1.2,1.6,2,2.4,2.8,3.2,3.8,4.3,5,5.8,7,7.7,8,8.7,9.7,10.8,12.8,13.8,15.6,17.2,18.9,20.7,21.9,25.8,27.9,30.7,33.2,35.6,36.8,37.6,38.3,39.3,40.8,42.1,44.4,47.1,50,53.4,56.2,58.5,60.6,63.6,66.7,70.6
"14","6","    Other","L313061",0,0,0,0,0,0,0,0.2,1,1.2,1.3,1.4,1.7,2,2.3,2.3,2.1,2.1,2.4,2.3,2.3,3.1,3.7,3.7,3.8,4.1,4.5,5,5.5,5.4,6.8,8.1,8.3,9.8,10.8,11,11.4,14.7,15.4,17,19.3,19.8,21.8,26,33.7,37.7,38.4,45,50.9,60.1,69.8,75.1,87.7,92.8,101.2,118.5,125,132.8,139.1,152.7,158.7,167.7,172.7,182.5,191.8,205.1,214.8,225.3,239.6,256.5,271,289.9,297.9,300.4,310.1,330.2,347.6,365.8,378.1,385.7
"15","7","  From the rest of the world","W781RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.5,0.6,0.6,0.6,0.8,0.9,0.9,1,1.2,1.2,1.3,1.3,1.4,1.5,1.5,1.7,1.7,2,2.1,2.1,2.2,2.5,2.7,2.8,3,3.1,3.3,3.6,3.7,3.8,3.9,4.4,4.7,4.6,4.8,5
"16","8","Interest received","L313071",0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.4,0.5,0.5,0.6,0.7,0.7,0.7,0.8,0.9,1,1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.2,1.3,1.5,1.8,2.1,2.5,3.7,3.4,3.6,4,4.6,4.7,4.5,4.5,4.9,5.2,5.9,6.8,6.7,6,9,11.7,12.7,15.2,20.4,28,34.8,39.3,43.5,45.8,48.3,53.3,56.7,62.7,65.9,77.9,88.6,98.1,106.3,106.9,109.8,115.8,126.3,133.7,139.8
