"","Table 5#4#2# Contributions to Percent Change in Real Private Fix","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82"
"1","                                                                                                                                                                                                                                                          ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1930 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 20, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/26/2010 8:40:31 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8",NA,"Percent change at annual rate:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","    Private fixed investment in structures","A349RL1",-25,-29.2,-42.3,-21.5,21.7,23.3,29.3,18.4,-10.9,23.9,13.1,11.3,-44.5,-33.5,11,28.3,171.1,9.9,13.9,-6,25.4,-8.4,-1.2,5.7,6.3,12.6,-1.1,-3.5,-2,15.3,-1.2,0.7,7.5,7.3,7.6,4.7,-1.8,-2.9,7.5,4,-3.2,13,11.3,2.8,-13,-11.9,13.3,13.8,9.6,3.1,-9,0.5,-8.6,8.9,14.4,4.3,0.4,-0.2,-0.4,-0.9,-4.1,-10.4,4.5,4.5,6.6,0.4,7.1,4.1,6.6,3.6,3.7,-0.3,-4.3,3.9,6.9,4.7,-2.1,-6.2,-7.5
"10",NA,"Percentage points at annual rates:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2","Nonresidential","B009RW2",-8.39,-23.58,-23.69,-14.76,8.21,6.44,16.59,14.39,-11.45,2.79,5.77,7.95,-17.37,-13.97,17.03,22.24,65.46,-4.47,2.16,-1.27,2.78,2.56,-0.16,3.58,1.42,2.88,4.07,-0.02,-2.53,1.07,3.15,0.59,1.98,0.49,4.19,6.6,3.13,-1.26,0.71,2.54,0.13,-0.82,1.37,3.33,-0.93,-5.18,1.2,1.85,5.85,5.34,2.69,4.31,-0.96,-6.8,7.07,3.57,-5.61,-1.29,0.28,0.87,0.67,-5.37,-2.88,-0.28,0.74,2.47,2.33,2.99,2.17,0.05,3.15,-0.64,-7.39,-1.37,0.36,0.46,2.95,5.57,4.83
"12","3","  Commercial and health care","W001RW2",-2.34,-5.77,-4.8,-4.81,1.37,1.87,2.64,1.84,-2.2,0.13,1,0.69,-4.12,-3.26,1.11,4.05,17.02,-3.01,1.55,-0.42,1.64,-0.23,-1.43,1.88,1.57,2.26,1.16,-0.53,0.53,0.9,0.64,1.5,1.38,-0.4,1.01,2.03,-0.31,-0.5,1.22,2.03,0.19,1.45,1.42,0.68,-0.96,-3.62,-0.19,0.65,1.54,2.18,1.31,1.3,1.5,-0.6,4.04,3.1,-1.59,-0.75,0.6,-0.26,-0.82,-4.63,-1.27,0.64,0.74,0.93,1.27,1.74,1.1,0.65,1.2,-0.88,-2.64,-0.95,0.33,-0.11,0.74,1.33,-0.29
"13","4","    Office \1\","W031RW2",-1.09,-2.34,-1.79,-1.62,0.65,0.8,1.05,0.68,-1,0.1,0.43,0.23,-1.68,-1.24,0.3,1.66,7.11,-1.31,0.67,-0.32,0.45,-0.14,-0.57,0.93,0.65,1,0.52,-0.4,0.13,0.42,0.25,0.49,0.4,-0.21,0.24,0.84,-0.13,-0.13,0.41,0.62,-0.08,0.53,-0.14,0.31,-0.31,-1.21,-0.22,0.19,0.57,1.06,1.13,1.21,1.66,-1.02,1.73,1.63,-1.14,-0.92,0.13,-0.2,-0.62,-1.68,-1.09,0.02,0.14,0.55,0.38,0.95,1.1,0.45,0.85,-0.62,-2.2,-0.81,0.05,0.11,0.45,0.49,0.1
"14","5","    Health care","W032RW2",0.02,-0.68,-0.91,-1.29,-0.03,0.14,0.35,0.36,-0.03,-0.08,0.07,0.19,-0.48,-0.58,0.47,0.45,1.59,-0.18,0.1,0.28,0.66,0.07,-0.18,-0.15,0.17,0.09,0.02,0.34,0.24,-0.01,0.11,0.43,0.49,0.03,0.48,0.2,-0.05,-0.22,0.32,0.7,0.38,0.3,0.13,-0.13,-0.21,-0.33,0.09,-0.16,-0.03,0.08,0.24,0.42,0.92,0.18,0.01,-0.14,-0.26,0,0.33,-0.08,0.11,-0.42,0,0.16,-0.16,-0.27,0.1,0.41,-0.05,-0.02,0.04,-0.12,0.35,0.16,0.07,0,0.1,0.19,0.28
"15","6","      Hospitals and special care","C311RW2",0.15,-0.4,-0.69,-1.1,-0.11,0.04,0.23,0.28,0.09,-0.1,0.02,0.17,-0.28,-0.43,0.44,0.26,0.74,-0.02,0.02,0.32,0.6,0.09,-0.12,-0.26,0.09,-0.02,-0.04,0.39,0.22,-0.06,0.08,0.37,0.45,0.05,0.45,0.1,-0.04,-0.21,0.27,0.62,0.39,0.24,0.16,-0.17,-0.18,-0.19,0.12,-0.18,-0.09,-0.05,0.09,0.26,0.7,0.32,-0.2,-0.33,-0.12,0.11,0.32,-0.05,0.18,-0.23,0.14,0.17,-0.17,-0.34,0.06,0.27,-0.04,-0.13,0.05,-0.02,0.32,0.02,-0.07,0.03,0.24,0.14,0.2
"16","7","        Hospitals","W033RW2",0.12,-0.33,-0.56,-0.88,-0.09,0.04,0.18,0.22,0.07,-0.08,0.02,0.13,-0.22,-0.35,0.35,0.21,0.6,-0.02,0.01,0.26,0.49,0.07,-0.09,-0.21,0.07,-0.02,-0.03,0.32,0.18,-0.05,0.06,0.3,0.36,0.04,0.36,0.08,-0.03,-0.17,0.22,0.5,0.31,0.19,0.13,-0.13,-0.14,-0.15,0.09,-0.15,-0.08,-0.04,0.08,0.21,0.57,0.25,-0.16,-0.27,-0.09,0.09,0.26,-0.04,0.15,-0.18,0.11,0.13,-0.09,-0.36,-0.14,0.28,-0.16,-0.06,0.04,0.1,0.33,0.12,0,0.08,0.2,0.14,0.14
"17","8","        Special care","W034RW2",0.03,-0.08,-0.13,-0.21,-0.02,0.01,0.04,0.05,0.02,-0.02,0,0.03,-0.05,-0.08,0.08,0.05,0.14,0,0,0.06,0.12,0.02,-0.02,-0.05,0.02,0,-0.01,0.08,0.04,-0.01,0.02,0.07,0.09,0.01,0.09,0.02,-0.01,-0.04,0.05,0.12,0.07,0.05,0.03,-0.03,-0.03,-0.04,0.02,-0.03,-0.02,-0.01,0.02,0.05,0.14,0.06,-0.04,-0.06,-0.02,0.02,0.06,-0.01,0.04,-0.04,0.03,0.03,-0.08,0.03,0.2,0,0.12,-0.06,0.01,-0.12,-0.01,-0.1,-0.07,-0.05,0.05,0,0.05
"18","9","      Medical buildings","W035RW2",-0.13,-0.28,-0.21,-0.19,0.08,0.1,0.13,0.08,-0.12,0.01,0.05,0.03,-0.2,-0.15,0.04,0.2,0.85,-0.16,0.08,-0.04,0.05,-0.02,-0.07,0.11,0.08,0.12,0.06,-0.05,0.02,0.05,0.03,0.06,0.05,-0.02,0.03,0.1,-0.02,-0.02,0.05,0.07,-0.01,0.06,-0.03,0.04,-0.04,-0.14,-0.03,0.02,0.07,0.13,0.14,0.15,0.22,-0.13,0.2,0.2,-0.14,-0.12,0.02,-0.03,-0.08,-0.2,-0.14,0,0.01,0.07,0.04,0.14,-0.01,0.11,-0.01,-0.09,0.03,0.14,0.15,-0.02,-0.14,0.04,0.09
