"","Table 5#6#5B# Change in Private Inventories by Industry         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56"
"1","[Billions of dollars]; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1997 To 2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published May 27, 2010      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/26/2010 8:41:21 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1
"9","1","    Change in private inventories","A014RC1",49.8,88.4,68,77.8,105.1,37.3,52.4,60,83.3,35.1,40.6,84.3,16.1,90.4,57.2,54.5,-30.7,-11.6,-30.1,-80.8,-13.4,13.2,18.3,30,28.6,-3.1,4.2,35.8,51.4,76,60.8,71.5,90.7,15.9,11,82.2,66,72.4,69.1,32.3,13.1,23.5,31,9.8,-8.2,-49.3,-37,-44.5,-127.4,-176.2,-156.5,-23.6,36.9
"10","2","Farm","B018RC1",-0.5,0.8,8.3,4.7,5.6,-4.9,0.6,3.9,4,-0.3,-9.1,-5.6,-17.8,5.9,-1.1,7.5,5.6,-3,1.8,-4.2,3.3,-10.3,-2.3,-0.7,2.9,-1.4,1,-2.1,4.4,18.4,7.7,4.7,-6.5,0.3,4.4,2.3,3.7,-8.1,-6.3,-3.6,6.2,-3.9,-2.4,-2.5,-13.9,-3.2,-7.5,-3.7,-1.3,0.6,0,-8.9,-5.4
"11","3","Mining, utilities, and construction","N541RC1",0,3.4,3.3,-0.6,5.8,5.4,3.9,6.5,0.1,0.2,-2.2,-3.3,2.4,-2.6,-0.7,-7.8,9.9,10.8,5.1,7,-0.1,-3.4,-5.1,-3.7,7.1,2.8,5.7,7.9,-2.2,0.7,4.4,2.3,3.5,9.4,-1.8,4,9.6,20.5,19.1,17.4,7.2,5.8,-7,-7.6,3,3.2,-3.8,-13,7,8.1,4.2,-14.1,-8.2
