"","Table 6#16D# Corporate Profits by Industry                      ","F2","F3","F4","F5","F6","F7","F8","F9","F10"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2004",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published September 29, 2005",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 9/28/2005 9:59:18 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002,2003,2004
"8","1","    Corporate profits with inventory valuation and capital consumption adjustments","A051RC1",801.6,851.3,817.9,767.3,886.3,1031.8,1161.5
"9","2","Domestic industries","A445RC1",698.7,729.8,672.2,597.6,730.5,855.8,976.6
"10","3","  Financial \1\","N587RC1",154.5,183.5,184.7,240.4,301.1,330.9,322.7
"11","4","  Nonfinancial","N463RC1",544.1,546.3,487.5,357.2,429.4,524.9,653.9
"12","5","Rest of the world","B394RC1",103,121.5,145.7,169.7,155.8,176,184.9
"13","6","  Receipts from the rest of the world","B933RC1",147,176.8,202.5,182.6,204.4,255.7,309.5
"14","7","  Less: Payments to the rest of the world","B934RC1",44,55.3,56.8,12.9,48.6,79.7,124.6
"15","8","    Corporate profits with inventory valuation adjustment","A052RC1",738.5,776.8,759.3,719.2,766.2,923.9,1019.7
"16","9","Domestic industries","A390RC1",635.5,655.3,613.6,549.5,610.4,747.9,834.8
"17","10","  Financial","N392RC1",165.4,194.3,200.2,227.6,276.4,313,300.6
"18","11","    Federal Reserve banks","B397RC1",25.2,26.3,30.8,28.3,23.7,20.2,20.3
"19","12","    Other financial \2\","N398RC1",140.2,168,169.4,199.3,252.7,292.8,280.3
"20","13","  Nonfinancial","N399RC1",470.1,461.1,413.4,322,334,434.9,534.2
"21","14","    Utilities","N419RC1",32.7,33.1,24.4,24.7,10.6,11.4,12.1
"22","15","    Manufacturing","N400RC1",157,150.6,144.3,52.6,48.2,80.7,118.9
"23","16","      Durable goods","N406RC1",83.4,72.3,60,-25.4,-9.9,-4.1,34.8
"24","17","        Fabricated metal products","N408RC1",16.7,16.5,15.5,9.9,8.9,8.5,10.3
"25","18","        Machinery","N409RC1",15.6,12.4,8.2,2.7,1.7,1.4,1
"26","19","        Computer and electronic products","N501RC1",3.9,-6.5,4,-48.5,-35.3,-16.1,-3.2
"27","20","        Electrical equipment, appliances, and components","N410RC1",6.1,6.3,5.6,1.9,-0.1,1.9,0.3
"28","21","        Motor vehicles, bodies and trailers, and parts","N411RC1",6.4,7.3,-1,-9.2,-5,-11.6,-3.4
"29","22","        Other durable goods \3\","N412RC1",34.6,36.4,27.7,17.8,20,11.9,29.9
"30","23","      Nondurable goods","N401RC1",73.6,78.3,84.3,78,58.1,84.8,84
"31","24","        Food and beverage and tobacco products","N402RC1",21.8,30.7,25.4,28,24.9,23.5,24
"32","25","        Petroleum and coal products","N404RC1",4.9,1.8,26.9,29.6,1.6,23.6,31
"33","26","        Chemical products","N403RC1",25.1,23,14.2,12.6,18.4,20.8,13.5
"34","27","        Other nondurable goods \4\","N405RC1",21.8,22.7,17.8,7.8,13.2,16.9,15.6
"35","28","    Wholesale trade","N414RC1",53.2,55.5,59.7,52.1,49.3,56.3,63.5
"36","29","    Retail trade","N415RC1",66.4,65.2,59.6,71,79.4,87.7,90
"37","30","    Transportation and warehousing","N417RC1",21,16.1,14.9,1.3,-0.9,8.1,8.4
"38","31","    Information","N502RC1",20.1,10.5,-17.6,-25.6,-8.5,-1.9,17
"39","32","    Other nonfinancial \5\","N420RC1",119.8,130.1,128.2,145.9,155.8,192.4,224.3
"40","33","Rest of the world","B394RC1",103,121.5,145.7,169.7,155.8,176,184.9
"41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","1. Consists of finance and insurance and bank and other holding companies.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2. Consists of credit intermediation and related activities; securities, commodity contracts,",NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","and other financial investments and related activities; insurance carriers and related",NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","activities; funds, trusts, and other financial vehicles; and bank and other holding companies.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","3. Consists of wood products; nonmetallic mineral products; primary metals; other",NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","transportation equipment; furniture and related products; and miscellaneous manufacturing.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","4. Consists of textile mills and textile product mills; apparel; leather and allied products;",NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","paper products; printing and related support activities; and plastics and rubber products.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","5. Consists of agriculture, forestry, fishing, and hunting; mining; construction; real",NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","estate and rental and leasing; professional, scientific, and  technical services;",NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","administrative and waste management services; educational services; health care and social",NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","assistance; arts, entertainment, and recreation; accommodation and food services; and other",NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","services, except government.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Note. Estimates in this table are based on the 1997 North American Industry",NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA
