"","Table 1#4#6# Relation of Real Gross Domestic Product, Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234","F235","F236","F237"
"11","3","Plus: Imports of goods and services","A021RX1",46,46.9,41.6,43.9,49.5,51.4,54.1,53.2,51.6,50.9,48.8,49.5,50.9,53.7,66.3,66.4,66.4,64.2,58.8,57.2,63.9,63.6,67.4,73.4,71.7,75.4,75.1,71.4,67.3,73.3,68.9,69.6,73.7,77.9,79.1,82,85.4,85,85.8,81.9,88.4,89.1,87.3,87.5,88.8,92.5,91.3,96.4,98.3,103.3,104.5,101.8,105.6,106.3,103.1,98.3,97.8,99,105.6,108.1,111.4,113.8,115.2,116.6,113.9,116.6,119.6,119.2,119.1,121.8,125,128.4,123.8,138.4,139,145.8,149.5,153.2,161.8,163.7,166.1,164.8,167.1,175.9,186.2,189.1,200.4,198.7,180,215.5,212.7,210.3,209.7,213.8,213.3,216.7,214.1,230.2,235.3,219.3,251.4,242.5,247.5,258.7,270.6,262.8,255.6,257.5,248.7,261.9,257.4,254.8,229.3,210.9,228.4,240.6,255.7,266.8,277.6,286.8,300.4,303.2,299,303.2,323.5,324.5,328.8,333.4,332.4,334.2,329.1,336.3,336.6,312.1,289.6,305.2,318.2,318.7,315.1,324.2,314.9,309.8,324.1,311.4,318.5,343,369.7,387.9,419,436.6,447.9,461.1,450.9,473.1,468.5,486.7,486.5,507.1,521.2,525.4,522,535.1,545.5,558,555.6,549.1,561.9,578.8,577.2,585.8,586.5,594.2,607.3,614.1,613.2,593.8,581.5,598.1,613.9,621.2,626.6,642.4,651.4,662.1,677.2,696,705.1,730.1,746.5,778.1,800,819.2,836.5,848.7,851.7,859.7,884.6,911.4,941.6,954.4,994.7,1034.8,1073,1090.9,1131.1,1162.1,1176.9,1211,1242.2,1286.4,1331.3,1357.9,1411.5,1466.5,1515.6,1509.5,1495.4,1445.8,1407.1,1394.9,1434,1476.9,1497.4,1530.2,1520.4,1532.9,1548.4,1608.6,1654.8,1711.9,1731.5,1778.6,1810.7,1809.6
"12","4","Equals: Gross domestic purchases","A712RX1",1528.8,1529.2,1528.4,1568.8,1606.1,1647.6,1658.2,1664.4,1626.8,1621.8,1646,1641.4,1712.2,1766,1848.8,1876.8,1895.4,1916.3,1945.1,1947.3,1971.5,1984,2009.3,2082.4,2120.7,2140.7,2123.9,2088.9,2077.4,2075.3,2095.8,2134.1,2197.3,2240.7,2266.1,2281.1,2269.8,2280.2,2274.6,2302.3,2316.2,2315,2339.3,2318.1,2267.5,2284.5,2335.6,2395.2,2436.2,2502.3,2498,2507.1,2553,2532.8,2536.8,2495.9,2511.5,2562.4,2612,2664.4,2716.4,2736,2771.1,2782.2,2813,2835.2,2900.4,2915.5,2972.1,3007.1,3053.3,3060.5,3149.7,3179.6,3255.5,3329.9,3418.9,3427,3465.6,3489.6,3519.6,3520.1,3555.1,3585.7,3664.7,3726,3751.4,3768,3833.3,3839.5,3865.8,3837.9,3829,3830.8,3865.2,3824.8,3927.8,3966.4,3993.7,4008.7,4089.1,4183.4,4214.4,4284.4,4386.9,4415.7,4382.7,4411,4355.5,4369.1,4340.3,4310.4,4219.3,4235.1,4339.3,4394.2,4517.1,4562.8,4589.1,4631,4712,4797.5,4873.5,4891.1,4926.8,5080.2,5131.2,5187.9,5195.8,5202.3,5215.6,5213.2,5217.1,5062.3,5016.3,5139.7,5256.3,5213.4,5281.4,5228,5149.4,5166.2,5189.4,5195.2,5263.2,5414.9,5552.1,5680.4,5823.3,5934.3,5996,6052.6,6093.7,6174.5,6268.9,6326.2,6370.7,6416.6,6483.5,6503.5,6540.5,6608.1,6658.8,6769.1,6768.9,6828.9,6870.6,6963.3,7013.1,7042.4,7085.4,7102.4,7172.2,7190.4,7184.3,7099.4,7045.3,7086.6,7123.4,7149.3,7217.2,7305.2,7371.7,7461.3,7487,7538.1,7588.9,7694.4,7784.3,7895.4,7935,8030.5,8057.4,8073.8,8104.1,8158.6,8233,8381.4,8476.7,8532,8623.8,8757.9,8882.1,8966.5,9101.1,9202.5,9325.3,9461.4,9579.6,9689.1,9816.7,9985.4,10046.5,10222.4,10232.1,10284.7,10273.2,10291.3,10270.1,10325.6,10418,10488.5,10560.4,10604.1,10644.7,10753.8,10923.1,11027.6,11168.8,11297.4,11407,11522,11635.4,11694.8
"13","5","Less: Change in private inventories","A014RX1",4.7,-3.1,-12.3,-2.1,10,19.4,22.7,17.5,-1.8,-15.8,-3.5,-15.7,6.6,9.5,12.7,40.7,25.2,36.7,24.1,10.3,13,-3.2,14.5,14.4,11.7,11.4,7,-6,-5.3,-8.5,-6.8,-2.6,10.1,14.9,13.6,18.8,15.9,11,8.5,7.5,4,5.9,8.6,-8,-10,-8.7,4.4,11.5,9.2,23.4,2.7,14,34.2,9.7,14,-16.3,-7.2,6.2,21.3,17.6,27.9,17.5,20.5,12,24.1,16,18.5,13.3,14.5,13.9,16.7,16.5,36.8,26.5,30,24,42.4,40.3,36.3,49.4,45.8,21,27.8,26.4,24.4,43.8,23.3,18.1,33.2,28,30.8,16,3.9,14.8,14.4,-12.9,34,29.9,27.9,-2.7,9.9,34,35,13.3,20.9,47.2,21.4,50.5,24,33.1,11.7,34.9,-13.8,-25.9,-5.2,-0.4,28.2,41.9,39.4,13.4,26.5,32.6,60.6,34.2,39.2,38.6,40.4,46.2,36.6,40,15.3,8.5,11.3,10,-42.6,-10.7,48.7,13.4,52.1,25.4,-24.4,-4.6,6.6,-47.5,-42.3,-5.8,-4.9,27.4,81,75.6,78.7,49.9,16.3,23.3,18.8,36.2,33.7,17.4,-7.6,-10.4,33.4,18.7,0.5,68.7,16.9,20.5,20,23.6,49.7,37.5,10.2,15.9,14.1,33.9,22.8,-9.3,-14.4,-18.1,-0.1,30.7,1.8,22.9,19.6,21.5,36.7,24.3,7,14.5,46.3,83,51.7,73.4,60.8,34.6,7.9,16.2,3,24.5,57.5,29.9,34.7,94.2,72.3,83.4,116.9,50.4,64.2,58.9,79.5,41.7,50.8,103.5,26.9,99.3,56.2,43.5,-7.8,-2.5,-29.9,-86.7,-10.2,2.6,28,29.5,24,-0.4,9.3,29,41.9,65.6,50.4,50.1,58.2,-1.7
"14","6","Equals: Final sales to domestic purchasers","A713RX1",1541.9,1554.9,1568.6,1585.9,1604.5,1628.2,1632.2,1649.3,1643.1,1665.2,1670.1,1688,1718.5,1766.9,1844.5,1819.7,1868.5,1866.6,1918.8,1946.5,1967.1,2009.8,2002.1,2075.3,2119.4,2140.2,2131.2,2117.5,2103.7,2107.4,2125.3,2157.2,2200,2235.9,2263.9,2271.4,2265.4,2283,2281.1,2310.6,2331,2326.6,2346.1,2349.7,2301.4,2316.9,2348.1,2398,2440.6,2486.6,2515.7,2507,2523.3,2539.8,2536,2540.3,2543,2573.8,2601.6,2659.9,2696.6,2732.1,2763.3,2787.1,2799.7,2834.2,2896.3,2919.2,2974.4,3010.6,3053.2,3060,3122.1,3165.8,3236.7,3320.2,3383,3395,3439.3,3444.8,3479.1,3516.2,3541,3576,3656,3691.8,3744.5,3768.7,3813.5,3827.3,3849.2,3840.2,3847.8,3835,3869.8,3863.4,3908.4,3951.9,3982.4,4034.3,4099,4164.5,4193,4291.1,4378.2,4377.5,4373.5,4364.4,4342.6,4349.5,4350.9,4275.7,4269.3,4297.4,4368.5,4417.4,4502.2,4528.4,4560.5,4633.6,4703.6,4771.9,4812.6,4869.8,4895.5,5048.8,5096.3,5150.9,5166,5167.7,5218.1,5225,5222.8,5071.8,5100.3,5176.2,5210.4,5219.3,5230,5211.7,5204,5191.2,5200.2,5277.6,5337.5,5446.6,5578.4,5666.9,5738.1,5854,5912.2,6004.9,6089.8,6165.3,6263.1,6298.9,6347.6,6415.1,6509.6,6535.1,6520.1,6604.6,6676.1,6705.1,6767,6821.7,6860.6,6949.6,6968.4,7012.5,7087.4,7098.1,7170.5,7163.8,7171.7,7123.4,7075.5,7119.9,7136.8,7128.7,7228.1,7291.3,7362.3,7450.4,7458.4,7523.9,7593,7690.4,7746.6,7817,7889.7,7961.1,8002.3,8047.9,8105.8,8151,8238.9,8363.8,8423.9,8505.9,8595,8666.5,8814,8886.4,8985.9,9155.9,9264.9,9406.4,9503.6,9650.1,9768.1,9883.5,10019.6,10122.9,10176,10241.4,10280.8,10294.2,10299.1,10408.4,10427.5,10485.3,10533.1,10575.4,10620.8,10751.6,10911.6,10996.6,11125.1,11230.4,11354.9,11470.7,11576.2,11694.6
"15",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","7","  Final sales of domestic product","A190RX1",1584,1594.5,1607.6,1607.8,1614.6,1625.6,1628.8,1643.4,1649.4,1671.2,1670.4,1675.7,1703,1748.1,1811.4,1792.7,1844.6,1854,1915.3,1943.7,1960.4,1991.3,1971.5,2036.6,2080.8,2097.4,2092.3,2080.4,2068.1,2075.7,2095.9,2130.4,2170.9,2199.1,2231.1,2235.5,2230.3,2255.1,2255.9,2294.6,2314.8,2305.9,2323.6,2323.4,2263.4,2274.9,2307.2,2350.4,2396.9,2440.3,2471.1,2462.3,2488.1,2511.5,2507.9,2519.8,2522,2549.1,2568.9,2627.3,2659.5,2704.5,2725.6,2744.5,2762.8,2809.7,2859.4,2889.5,2952.7,2988.1,3025.4,3033.2,3081,3136.6,3195.5,3282.4,3337,3352.4,3380.2,3389.6,3424.2,3460.2,3477.8,3508.2,3581.7,3617.7,3669.4,3692.2,3730.5,3748.6,3767.6,3768.1,3778,3771,3804.6,3797.2,3844.7,3871.3,3905.2,3952.5,4006.9,4073,4109.6,4204.8,4296.4,4317.4,4322.6,4327.3,4322.7,4328.7,4316.3,4254.5,4287.8,4331,4370.1,4421.1,4482.1,4496.3,4523.7,4587.1,4631.5,4705.5,4755.2,4794.1,4799.5,4989.9,5036,5100.6,5117.8,5117.9,5192.3,5216.9,5227.3,5126.2,5193.5,5239.7,5261.7,5272.8,5278.5,5247.4,5232.9,5230.5,5196.6,5273.3,5329.2,5404.6,5505.1,5577,5614.4,5717.5,5770.2,5854.6,5953,5998.5,6095.8,6121.2,6184.1,6230.5,6317.8,6355,6344.4,6431.4,6510.8,6542.5,6637.2,6716.4,6749.5,6835.1,6873.3,6933.6,7015.3,7026.8,7110.6,7103.8,7118.3,7101.3,7071.5,7120.2,7134.6,7133.8,7239.3,7284.3,7360.5,7440.3,7431.2,7483.7,7540.6,7633.7,7677.5,7737.2,7814.3,7882.3,7918.7,7962.3,8055,8104.8,8175.4,8285.8,8319.9,8444.7,8507.3,8574.6,8705.7,8758.6,8821.1,8948.7,9038.4,9182.2,9239.7,9353.7,9453.5,9569.3,9668.8,9748.4,9780.4,9844.3,9883.2,9908.7,9899.9,9992.3,9986.8,10028.4,10063.5,10067.3,10114.7,10228.2,10399.5,10471.8,10568.9,10637.4,10757.1,10846,10940.3,11089.2
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Note. Chained (2000) dollar series are calculated as the product of the chain-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","quantity index and the 2000 current-dollar value of the corresponding series, divided",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","by 100. Because the formula for the chain-type quantity indexes uses weights of more",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","than one period, the corresponding chained-dollar estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
