"","Table 4#2#5# Exports and Imports of Goods and Services by Type o","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1967 To 2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published September 29, 2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 9/28/2005 9:48:10 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004
"8","1","    Exports of goods and services","B020RC1",43.5,47.9,51.9,59.7,63,70.8,95.3,126.7,138.7,149.5,159.4,186.9,230.1,280.8,305.2,283.2,277,302.4,302,320.5,363.9,444.1,503.3,552.4,596.8,635.3,655.8,720.9,812.2,868.6,955.3,955.9,991.2,1096.3,1032.8,1005.9,1045.6,1173.8
"9","2","Exports of goods \1\","A253RC1",32.2,35.3,38.3,44.5,45.6,51.8,73.9,101,109.6,117.8,123.7,145.4,184,225.8,239.1,215,207.3,225.6,222.2,226,257.5,325.8,369.4,396.6,423.5,448,459.9,510.1,583.3,618.3,687.7,680.9,697.2,784.3,731.2,697.6,724.3,818.1
"10","3","  Foods, feeds, and beverages","B638RC1",5,4.8,4.7,5.9,6.1,7.5,15.2,18.6,19.2,19.8,19.7,25.7,30.5,36.3,38.8,32.2,32.1,32.2,24.6,23.5,25.2,33.8,36.3,35.2,35.8,40.3,40.6,42,50.5,55.5,51.5,46.4,46,47.9,49.4,49.6,55,56.6
"11","4","  Industrial supplies and materials","A639RC1",10,11,11.7,13.8,12.6,13.9,19.7,29.9,29.3,31.6,33.2,38.4,53.3,68,65.7,61.8,57.1,61.9,59.4,59,67.4,84.2,95.3,101.8,106.1,105,102.8,115.7,141.3,141,152.6,142.8,142.4,166.6,155.3,153.5,168.3,199.5
"12","5","    Durable goods","B686RC1",3.7,4.2,4.7,5.6,4.3,4.7,7.4,10.3,9.7,10.3,10.3,13.1,18.6,24.8,20.8,17.6,17,17.7,16.9,17.7,21,28.8,33.3,35.7,37.1,36.8,37.6,41.3,49.9,51,55.1,53.7,54.3,63.6,57.1,53.5,57.3,67.8
"13","6","    Nondurable goods","B687RC1",6.3,6.9,7,8.2,8.4,9.2,12.4,19.6,19.6,21.4,22.9,25.4,34.7,43.2,44.9,44.2,40.2,44.2,42.5,41.3,46.4,55.4,62,66.1,69,68.2,65.2,74.4,91.4,90,97.5,89.1,88.1,103,98.2,100,111,131.7
"14","7","  Capital goods, except automotive","A640RC1",9.9,11.1,12.4,14.7,15.4,16.9,22,30.9,36.6,39.1,39.8,47.5,60.2,76.3,84.2,76.5,71.7,77,79.3,82.8,92.7,119.1,136.9,153.1,166.6,176.5,182.9,205.8,234.5,254,295.9,299.9,311.2,357,321.7,290.4,293.6,331.5
"15","8","    Civilian aircraft, engines, and parts","B688RC1",0.8,1.4,1.3,1.5,1.9,1.7,2.3,3.4,3.2,3.2,2.8,7.3,10.6,14.1,13.9,10.1,11.1,10.2,13.5,15.4,16.4,21.2,26.9,32.2,36.6,37.7,32.8,31.5,26.1,30.8,41.4,53.5,52.9,48.1,52.6,50.4,46.7,50
"16","9","    Computers, peripherals, and parts","B850RC1",0.5,0.6,0.8,1.2,1.3,1.3,1.7,2.2,2.2,2.6,3.3,4.3,5.7,7.8,8.9,9.4,11.1,14.2,14.7,15.7,18.8,24,24.1,25.9,27.3,28.8,29.3,33.3,39.7,43.7,49.4,45.2,46.7,55.5,47.6,38.6,39.9,42.8
"17","10","    Other","B689RC1",8.6,9.1,10.4,11.9,12.2,13.9,18,25.3,31.2,33.3,33.8,35.9,43.9,54.4,61.4,57.1,49.5,52.6,51.1,51.7,57.5,73.9,85.9,95,102.7,110,120.8,141,168.7,179.5,205.2,201.1,211.6,253.4,221.6,201.5,207,238.7
"18","11","  Automotive vehicles, engines, and parts","B641RC1",2.8,3.5,3.9,3.9,4.7,5.5,7,8.8,10.8,12.2,13.5,15.2,17.9,17.4,19.7,17.2,18.5,22.4,24.9,25.1,27.6,33.4,35,36.1,39.7,46.7,51.3,57.3,61.3,64.2,73.3,72.4,75.3,80.4,75.4,78.9,80.7,89.3
"19","12","  Consumer goods, except automotive","A642RC1",2.1,2.3,2.6,2.8,2.9,3.6,4.8,6.4,6.6,8,8.9,11.4,14,17.8,17.7,16.1,14.9,15.1,14.6,16.7,20.3,27,36,43.6,46.7,51.3,54.6,59.9,64.3,70.1,78,80.3,80.9,89.4,88.3,84.4,89.9,103.1
"20","13","    Durable goods","B690RC1",0.9,1,1.2,1.2,1.3,1.7,2.4,3.3,3.1,4,4.2,5.9,7.3,9.8,9,7.8,6.8,6.7,6.4,7.6,9.5,13.3,19.7,23.7,24.5,26.5,28.3,30.5,32.7,35.8,40.5,41.6,41.9,46.7,46.4,43.9,46.1,53.8
"21","14","    Nondurable goods","B691RC1",1.2,1.3,1.4,1.6,1.6,1.9,2.4,3.1,3.4,4.1,4.8,5.5,6.7,8,8.7,8.4,8.1,8.3,8.2,9.1,10.8,13.6,16.3,19.9,22.2,24.8,26.2,29.3,31.6,34.3,37.5,38.7,39.1,42.7,42,40.4,43.9,49.3
"22","15","  Other","A643RC1",2.3,2.5,2.9,3.6,3.8,4.4,5.2,6.4,7.1,6.9,8.5,7.3,8.2,10.1,13,11.1,13,17,19.4,18.8,24.3,28.3,29.7,26.9,28.6,28,27.8,29.4,31.5,33.4,36.5,39.1,41.4,43.1,41,40.7,36.8,38.2
"23","16","Exports of services \1\","A646RC1",11.3,12.6,13.7,15.2,17.4,19,21.3,25.7,29.1,31.7,35.7,41.5,46.1,55,66.1,68.2,69.7,76.7,79.8,94.5,106.4,118.3,134,155.7,173.3,187.4,195.9,210.8,228.9,250.2,267.6,275.1,294,311.9,301.6,308.4,321.3,355.7
"24","17","  Transfers under U.S. military agency sales contracts","B267RC1",3.2,3.9,4.1,4.2,5.5,5.9,5.4,5.2,6.3,5.8,7.6,8.2,7,9,10.7,12.6,12.5,10,8.7,8.5,11.1,9.3,8.5,9.9,10.7,11.9,12.7,12.2,13.9,15.7,16.1,16.8,15.2,12.8,11.8,11.3,12.2,14.1
"25","18","  Travel","B493RC1",1.6,1.8,2,2.3,2.5,2.8,3.4,4,4.7,5.7,6.2,7.2,8.4,10.6,12.9,12.4,10.9,17.2,17.8,20.4,23.6,29.4,36.2,43,48.4,54.7,57.9,58.4,63.4,69.8,73.4,71.3,74.8,82.4,71.9,66.6,64.3,74.5
"26","19","  Passenger fares","B533RC1",0.4,0.4,0.5,0.5,0.6,0.7,1,1.1,1,1.2,1.4,1.6,2.2,2.6,3.1,3.2,3.6,4.1,4.4,5.6,7,9,10.7,15.3,15.9,16.6,16.5,17,18.9,20.4,20.9,20.1,19.8,20.7,17.9,17,15.7,18.9
"27","20","  Other transportation","B683RC1",2.4,2.5,2.7,3.1,3.3,3.6,4.5,5.7,5.8,6.7,7.1,8.1,10,11.6,12.6,12.3,12.6,13.8,14.7,15.4,17,19.3,20.5,22,22.6,21.5,22,23.8,26.1,26.1,27,25.6,26.9,29.8,28.4,29.2,31.3,36.9
"28","21","  Royalties and license fees","B684RC1",1.7,1.9,2,2.3,2.5,2.8,3.2,3.9,4.4,4.5,5,6,6.3,7.2,7.4,5.6,5.8,6.2,6.7,8.1,10.2,12.1,13.8,16.6,17.8,20.8,21.7,26.7,30.3,32.5,33.2,35.6,39.7,43.2,40.7,44.5,48.1,52.6
"29","22","  Other private services","B720RC1",0.7,0.8,0.9,1,1.3,1.5,1.7,3,3.7,4.5,4.9,6.2,7.3,8.6,13.2,16.9,17.6,18.6,19.4,28.5,29.8,31.6,37.2,40.8,48.3,50.6,53.8,61.3,65.5,73.7,84.5,92.6,105.2,109.3,116.3,125.3,136.2,145.4
"30","23","  Other","B980RC1",1.2,1.3,1.4,1.6,1.7,1.8,2.2,2.8,3.2,3.2,3.6,4.2,5,5.4,6.2,5.2,6.6,6.9,8.1,7.9,7.7,7.6,7.1,8.1,9.6,11.2,11.3,11.5,10.9,12,12.5,13.1,12.5,13.7,14.5,14.4,13.4,13.3
"31","24","    Imports of goods and services","B021RC1",39.9,46.6,50.5,55.8,62.3,74.2,91.2,127.5,122.7,151.1,182.4,212.3,252.7,293.8,317.8,303.2,328.6,405.1,417.2,453.3,509.1,554.5,591.5,630.3,624.3,668.6,720.9,814.5,903.6,964.8,1056.9,1115.9,1251.7,1475.8,1399.8,1430.3,1546.5,1797.8
"32","25","Imports of goods \1\","A255RC1",27.8,33.9,36.8,40.9,46.6,56.9,71.8,104.5,99,124.6,152.6,177.4,212.8,248.6,267.8,250.5,272.7,336.3,343.3,370,414.8,452.1,484.8,508.1,500.7,544.9,592.8,676.8,757.4,807.4,885.3,929,1045.5,1243.5,1167.9,1189.3,1283.9,1495.9
"33","26","  Foods, feeds, and beverages","B647RC1",4.6,5.3,5.2,6.1,6.4,7.3,9.1,10.6,9.6,11.5,14,15.8,18,18.6,18.6,17.5,18.8,21.9,21.8,24.4,24.8,24.9,24.9,26.4,26.2,27.6,27.9,31,33.2,35.7,39.7,41.2,43.6,46,46.6,49.7,55.8,62.1
