"","Table 5U# BEA Retail and Food Service Sales                     ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82"
"11","3","S1 EN441ZZZMA   Motor vehicle and parts dealers","T050030",104429,106654,109583,111864,114259,120127,124689,129483,135238,137870,140034,145818,143804,148559,152384,154121,160435,161048,162308,164360,168096,164665,170963,171155,171728,179905,173992,185124,189238,194454,201533,203078,212208,204837,204513,201421,204648,207066,202839,228587,209475,207698,217757,212217,212116,216980,222931,219319,220654,219880,225590,230370,228330,234434,234805,223313,234623,232348,235143,235712,235982,236001,237597,234354,225869,214334,199383,173649,172031,171092,180669,178804,181746,190504,194239,204332,210398,206534,208927
"12","4","S4 EN4411ZZMA     Automobile dealers","T050040",89332,91218,94044,95444,97685,102993,107199,112146,117336,119052,121028,125493,124202,128429,131629,133355,139386,139474,140386,141917,145197,141834,147458,147664,147634,155522,149096,159771,163538,168142,174856,175520,183297,177047,176486,173272,177147,178703,174751,200068,180202,178584,188340,183173,182543,186434,190844,186304,187343,186678,192080,196373,193238,198773,199462,187693,197719,195996,198696,198492,199007,198650,199869,196837,189152,177809,163994,141094,140072,140075,149230,147608,150581,158418,161841,171684,177724,173617,174991
"13","5","S4 EN4412ZZMA     Other motor vehicle dealers","T050050",4505,4498,4607,5190,5351,5529,5531,5463,5359,6137,6057,7229,6532,6738,7128,6816,6883,7168,7472,7630,7857,7721,8078,8193,8583,8826,9301,9607,9787,10233,10425,10897,12342,11449,11466,11771,11753,12334,12115,12647,13129,12741,12912,12742,13192,13917,15086,15849,15999,15893,16110,16203,16792,17363,17060,16850,17723,17534,17324,18049,17610,17795,18001,17654,17101,16547,15395,12438,11955,11346,12190,12123,11650,12011,11988,11956,12050,11990,12155
"14","6","S2 EN4413ZZMA     Automotive parts, accessories and tire stores","T050060",10592,10937,10932,11230,11224,11606,11959,11874,12543,12681,12949,13096,13070,13392,13627,13950,14166,14406,14450,14813,15043,15110,15426,15298,15512,15558,15595,15746,15913,16079,16252,16661,16569,16341,16561,16378,15749,16030,15973,15872,16144,16373,16506,16302,16381,16629,17002,17167,17312,17309,17400,17793,18301,18298,18283,18770,19181,18818,19122,19172,19366,19556,19727,19864,19615,19977,19994,20117,20005,19671,19249,19073,19516,20076,20411,20692,20624,20927,21781
"15","7","S1 EN44DZZZMA   Furniture, home furnishings, electronics and appliance stores","T050070",24640,25243,25394,25619,26524,27274,28166,28477,29296,30689,31794,33081,33168,33479,34205,35198,35091,36176,36472,36566,36660,37501,38238,38784,39542,39689,40570,41163,41654,42691,44004,44543,46056,46335,46270,45327,45522,45062,45361,46655,47484,47521,46927,47433,46460,48004,49491,50681,51260,52306,53403,54066,54957,55763,56808,57640,59241,58943,59396,59705,59934,59210,59358,59752,57942,58037,55856,53044,51623,49162,48791,49614,50998,50763,50850,50663,51172,51004,51546
"16","8","S1 EN442ZZZMA     Furniture and home furnishings stores","T050080",13742,13911,13889,13937,14397,14637,14767,14917,15150,15835,16330,16641,16419,16509,16914,17345,17237,17885,18169,18373,18663,19030,19394,19778,20128,20237,20439,21054,21355,21877,22673,23157,23891,24322,24395,23774,24204,24012,24006,24372,24981,24924,24661,25039,24601,25524,25994,26479,26861,27125,27816,28133,28310,28776,29296,29718,30328,30162,30300,29942,30262,29815,29542,29037,28004,27598,26171,24784,23616,23079,22914,23024,23690,23557,23608,23504,23754,23787,24081
"17","9","S4 EN4421ZZMA       Furniture Stores","T050090",8328,8454,8417,8437,8678,8892,8889,9000,9047,9363,9637,9761,9619,9670,9961,10134,10068,10497,10538,10613,10805,11000,11213,11527,11657,11661,11707,11913,12128,12247,12694,12943,13334,13640,13657,13269,13416,13377,13366,13592,13790,13735,13385,13514,13066,13429,13638,13903,14150,14347,14670,14908,14886,15169,15568,15705,15840,15711,15897,15703,15831,15678,15431,15179,14706,14427,13614,12809,12469,12061,12042,12173,12524,12443,12454,12505,12559,12555,12669
"18","10","S4 EN4422ZZMA       Home furnishings stores","T050100",5414,5457,5471,5500,5719,5744,5878,5917,6102,6472,6693,6880,6799,6838,6953,7210,7168,7388,7631,7760,7858,8030,8182,8251,8471,8575,8731,9141,9227,9630,9979,10214,10557,10682,10739,10505,10789,10635,10640,10780,11191,11189,11276,11525,11535,12095,12356,12576,12711,12778,13146,13225,13424,13607,13728,14012,14487,14451,14403,14239,14431,14137,14111,13858,13298,13171,12557,11975,11147,11018,10872,10851,11166,11114,11153,10999,11195,11232,11412
"19","11","S1 EN443ZZZMA     Electronics and appliance stores","T050110",10899,11332,11505,11682,12127,12637,13399,13560,14146,14854,15464,16440,16749,16970,17291,17854,17855,18291,18303,18194,17996,18471,18844,19006,19414,19453,20131,20109,20299,20814,21331,21386,22165,22013,21875,21553,21318,21050,21354,22283,22503,22598,22266,22394,21859,22480,23498,24203,24400,25181,25586,25933,26647,26987,27513,27923,28913,28781,29096,29764,29673,29394,29817,30714,29938,30439,29686,28260,28008,26084,25877,26590,27307,27206,27243,27159,27419,27217,27466
"20","12","S1 EN444ZZZMA   Building material and garden equipment and supplies dealers","T050120",34634,34176,34554,34623,35769,36663,37334,38638,39370,41307,41944,42926,42996,42333,43170,44791,44573,46269,47358,47801,49108,49947,50756,51070,51876,52773,53271,54988,56247,56639,57516,59371,61606,59591,59738,60506,62199,64221,62841,62875,64497,66029,65793,65625,66223,68311,71304,72672,74783,78363,79034,80365,82701,84946,85179,87632,93472,89075,86532,86076,86968,85427,84922,83547,81668,82496,82109,76472,73058,72131,70755,69351,71249,76531,74739,77432,76712,78799,79715
"21","13","S2 EN4441ZZMA     Building material and supplies dealers","T050130",29005,28889,29396,29453,30716,31489,31968,33141,33676,35446,36369,37334,37181,36525,36969,38443,38280,39607,40400,40778,41866,42746,43169,43360,44087,44985,45805,47031,48457,48966,49811,51341,53028,52155,51844,52180,53522,55193,54964,55192,56415,57899,57724,57593,58025,59940,62843,64455,66104,69732,70274,71486,73983,76026,76394,78855,84681,80032,77596,77011,77448,76377,75399,73410,71719,72369,71324,66223,63212,62373,61721,60030,60501,63742,61786,62969,62289,64010,64979
"22","14","S3 EN4442ZZMA     Lawn and garden equipment and supplies stores","T050140",5629,5287,5158,5169,5053,5175,5366,5497,5694,5861,5575,5592,5815,5809,6201,6348,6294,6661,6958,7023,7242,7200,7587,7710,7789,7788,7466,7958,7790,7673,7705,8029,8578,7437,7894,8326,8676,9028,7877,7682,8082,8131,8069,8032,8198,8371,8461,8217,8680,8631,8760,8878,8718,8921,8785,8777,8791,9043,8936,9065,9520,9050,9522,10137,9949,10127,10785,10249,9846,9758,9035,9322,10748,12789,12954,14462,14423,14789,14737
"23","15","S1 EN445ZZZMA   Food and beverage stores","T050150",94397,95118,95927,96207,96130,96194,96333,96898,97712,98840,99396,99717,100250,100106,100382,101183,102093,102834,103661,104322,104968,104771,105556,105879,105835,106579,107557,108635,109835,110894,111753,113484,111939,114421,114833,116137,116966,118366,119321,120272,119860,118439,118672,119483,120896,120473,122236,122164,123940,124787,125784,127472,128656,129737,130975,132324,133156,134603,135634,137998,139133,139890,141183,143506,144259,146348,148037,146299,145166,146101,146729,147614,148917,148594,149550,151791,154871,157727,158971
"24","16","S1 EN4451ZZMA     Grocery stores","T050160",85984,86435,87029,87277,87287,87431,87611,88271,88970,89935,90444,90700,91370,91300,91419,92035,92742,93462,94281,94997,95452,95227,95761,96012,95846,96545,97443,98425,99627,100517,101441,102880,101131,103345,103514,104774,105377,106779,107670,108481,108064,106568,106774,107601,109019,108420,109818,109540,111135,111785,112774,114429,115518,116374,117524,118636,119092,120605,121484,123487,124434,125069,126230,128333,129255,130912,132227,130608,129449,130327,130934,131787,132877,132454,133407,135433,138361,141101,142327
"25","17","S3 EN4452ZZMA     Specialty food stores","T050170",2833,2982,3070,3017,3014,3061,3051,2985,2977,3024,3031,3143,3108,3041,3106,3192,3207,3217,3189,3252,3317,3210,3371,3317,3342,3393,3370,3345,3369,3384,3292,3416,3483,3580,3608,3594,3743,3766,3840,3850,3804,3902,3994,4008,4000,4093,4204,4262,4401,4459,4425,4375,4425,4554,4502,4478,4543,4430,4530,4741,4746,4667,4750,4974,4723,4940,5077,4935,4918,5005,4938,4892,4945,4974,4955,5039,4969,5013,4972
"26","18","S2 EN4453ZZMA     Beer, wine, liquor stores","T050180",5581,5701,5828,5913,5829,5702,5672,5642,5765,5882,5921,5875,5771,5765,5856,5957,6144,6156,6191,6073,6199,6334,6424,6551,6647,6641,6744,6865,6840,6993,7021,7188,7325,7496,7711,7768,7846,7821,7811,7941,7992,7969,7904,7873,7878,7959,8214,8362,8404,8543,8584,8667,8713,8809,8948,9210,9522,9568,9620,9770,9953,10155,10203,10198,10281,10496,10733,10756,10798,10770,10857,10936,11094,11167,11187,11319,11541,11613,11672
"27","19","S1 EN448ZZZMA   Clothing and clothing accessories stores","T050190",31153,31606,32293,32512,32617,32969,33443,33335,33755,33753,34327,35122,34409,34756,34889,35311,35874,36380,36254,36399,36620,36380,37568,38084,38805,39487,39467,40326,41281,42416,42535,42952,43252,44264,44804,45084,44505,44220,43592,44228,45294,45339,44888,46337,45809,46787,48271,48765,50031,49737,49941,51174,52032,53182,52657,54681,55343,56085,56908,57811,58728,58493,58740,58967,58504,59148,58031,54424,54405,53780,54686,54506,55886,56272,56447,57526,58570,59729,60350
"28","20","S2 EN4481ZZMA     Clothing stores","T050200",21746,22502,23154,23227,23339,23349,23360,23418,23594,23719,23912,24397,24023,23894,24066,24232,24546,24895,24858,25084,25321,25340,26281,26555,26982,27597,27626,28105,28871,29778,29724,29828,30237,31104,31508,31970,31565,31507,31048,31607,32185,32272,32082,33218,32846,33636,34598,34896,35928,35705,36047,36995,37612,38489,38143,39505,39778,40528,41156,41960,42929,42601,42690,42970,42449,42842,42020,40122,40483,39739,40451,40481,41360,41727,41700,42651,43123,43749,44189
"29","21","S2 EN4482ZZMA     Shoe stores","T050210",5062,4884,4849,4927,4917,5001,5076,5143,5226,5137,5305,5402,5190,5460,5408,5476,5557,5681,5629,5608,5678,5558,5680,5761,5874,5813,5838,5994,6012,6055,6012,5946,6027,6011,6067,6063,5926,6077,6043,5968,6122,6100,5959,6025,5985,6044,6305,6257,6297,6250,6209,6297,6450,6664,6680,6980,6999,7033,7158,7222,7121,7051,7159,7091,7037,7347,7125,6736,6622,6525,6700,6690,6942,6962,7018,7117,7138,7191,7317
"30","22","S3 EN4483ZZMA     Jewelry, luggage, and leather goods stores","T050220",4345,4220,4290,4358,4361,4619,5008,4774,4936,4897,5111,5324,5196,5401,5415,5603,5771,5804,5767,5707,5621,5482,5606,5769,5949,6078,6003,6226,6398,6584,6798,7178,6988,7149,7229,7052,7014,6636,6501,6652,6988,6966,6847,7094,6978,7107,7368,7612,7806,7783,7685,7882,7969,8029,7834,8197,8565,8524,8594,8630,8678,8841,8891,8906,9018,8960,8886,7565,7299,7517,7535,7335,7584,7582,7729,7758,8309,8789,8844
"31","23","S1 EN452ZZZMA   General merchandise stores","T050230",65068,65553,66244,68633,68904,70335,71923,73401,74390,75388,76766,78604,78835,79998,81354,81429,81892,84060,84983,86455,87331,87396,89414,89934,91767,93408,93966,96124,99562,100319,102090,104055,104642,106498,108409,110153,111053,112072,113708,116231,117080,118035,117517,119594,120680,122401,126274,126615,128955,129768,131265,134332,136452,139507,140963,143816,145424,146560,147424,149730,152336,152607,154537,156144,156448,160193,159865,157250,156506,155919,156414,157940,160731,160283,161382,162994,164363,166390,168063
"32","24","S1 EN4521ZZMA     Department stores","T050240",46627,47170,47537,48762,48944,49827,50840,51618,52431,52834,53605,54457,54486,54956,55892,55554,55508,56808,57169,58104,58436,58362,59405,59526,59594,59843,59502,60306,61782,61415,61736,61685,61546,61872,61629,62398,61345,60507,60483,60460,59809,59101,57631,57618,56373,56552,57649,56617,56941,56533,57022,57508,57602,57927,57021,57686,57655,57216,56637,56617,57022,55999,55943,55265,53954,54251,53015,51553,50344,50093,49926,49872,50424,49751,49455,49568,49447,49678,49464
"33","25","S2 EN4529ZZMA     Other general merchandise stores","T050250",18441,18383,18707,19871,19961,20507,21082,21784,21959,22554,23161,24147,24349,25042,25462,25875,26384,27251,27814,28350,28894,29034,30009,30407,32173,33565,34464,35818,37780,38904,40354,42370,43096,44626,46780,47755,49708,51565,53225,55771,57271,58934,59886,61976,64308,65848,68625,69998,72015,73235,74243,76825,78850,81580,83942,86130,87768,89343,90788,93113,95314,96609,98594,100880,102494,105942,106851,105697,106162,105826,106488,108068,110308,110532,111928,113426,114915,116712,118599
"34","26","S1 EN44EZZZMA   Other retail stores","T050260",108340,109907,111901,114705,115836,117193,117784,120744,123053,125077,129696,131302,132249,134822,136800,138825,141643,147492,147735,152776,154971,153890,156017,157261,157418,159706,162758,165360,168908,173889,178785,186915,193476,196078,200154,204807,201910,204039,200738,197248,199321,206601,208617,212112,218677,215344,221702,226003,232914,237785,241476,251461,254819,259300,273235,279726,285548,292539,295641,290260,297514,306899,310059,321596,327087,336694,339908,293709,280528,286081,297929,307807,316618,318894,324146,338053,353326,361514,365867
"35","27","S1 EN446ZZZMA     Health and personal care stores","T050270",22966,23032,22877,23212,23396,23626,23838,24157,24098,24461,25042,25293,25523,25935,26130,26747,27038,27886,28395,29141,29719,30034,30781,31223,31960,32753,33721,34550,35322,36158,36632,38161,38323,39391,40194,41175,41567,42264,42734,43830,44919,45748,46271,46726,47456,48170,49615,50348,49789,50338,50691,51311,52529,53162,53732,54522,55398,56247,57162,58695,59206,59923,60828,60753,61537,62292,62777,62929,63439,64083,64180,64874,64908,66195,67097,68130,69084,69099,70117
"36","28","S1 EN447ZZZMA     Gasoline stations","T050280",39313,39756,40541,41417,41691,41743,41515,42198,42815,42905,44779,45734,46053,46840,46870,46650,48378,50713,49783,51209,52324,50684,51173,51186,49438,49091,48993,49690,50672,52816,55854,59328,62553,62902,64335,66530,65326,67821,64730,59794,60143,64588,65544,67510,72662,68005,70449,72210,77897,81792,82717,89396,89544,91551,102863,104633,105327,110780,112310,103568,107986,114556,115255,125187,131023,136670,140639,102210,89595,94309,104063,110365,114805,112951,114021,122269,131622,137227,138475
"37","29","S1 EN451ZZZMA     Sporting goods, hobby, book, and music stores","T050290",12859,12941,13053,13474,13525,13944,13771,14286,14780,15085,15515,15632,15828,15939,16375,16472,16707,16702,17052,17464,17155,17166,17272,17852,17901,18348,18313,18476,18964,19268,19331,19564,19749,20502,20378,19787,20150,20142,20195,20776,20484,20340,20288,20797,20218,20418,20812,20833,21194,20737,21224,21186,21409,21469,21257,21828,22664,22268,22079,22050,22073,22585,22828,22753,22511,22885,22592,21553,21655,21657,21881,21462,22029,22266,22467,22807,23221,23503,23647
"38","30","S4 EN4511ZZMA       Sporting goods, hobby, and musical instrument stores","T050300",9014,9026,8973,9241,9150,9563,9571,9897,10279,10334,10561,10637,10689,10799,10992,11218,11348,11179,11530,11888,11478,11609,11666,11912,11979,12403,12238,12339,12743,12933,13081,13140,13455,13897,13983,13529,13695,13748,13737,14277,14021,13889,13876,14397,13863,13994,14387,14533,14699,14309,14818,14818,14975,15163,15031,15454,16348,15951,16117,16148,16236,16785,16829,16798,16718,17126,16954,16245,16382,16374,16549,16455,16948,17202,17455,17862,18116,18513,18474
"39","31","S4 EN4512ZZMA       Book, periodical, and music Stores","T050310",3845,3915,4081,4233,4375,4381,4199,4389,4501,4751,4954,4995,5139,5140,5382,5254,5359,5523,5522,5576,5677,5557,5606,5940,5922,5945,6075,6137,6221,6336,6250,6424,6294,6605,6394,6258,6455,6394,6458,6498,6462,6451,6412,6400,6356,6423,6426,6300,6494,6428,6406,6368,6434,6306,6226,6374,6317,6318,5962,5902,5836,5800,5998,5955,5793,5759,5638,5308,5273,5283,5332,5007,5081,5065,5012,4945,5105,4990,5173
"40","32","S1 EN453ZZZMA     Miscellaneous store retailers","T050320",14029,14148,14532,16080,16190,16175,16408,17045,17432,18115,19268,19383,19525,20223,20574,20798,20530,22521,22433,22889,24008,23482,24061,24664,25539,25555,26517,27126,27397,27339,27129,29034,29415,28407,28149,28020,27668,27684,27365,27102,27143,27532,27858,27160,27129,27318,27606,27785,27810,28112,27825,28669,28841,28945,29125,29549,30964,30588,30272,31327,31327,31811,31705,31332,31522,30607,30307,28564,28429,28113,27881,28319,28731,29737,30264,30865,31266,31903,33029
"41","33","S3 EN4531ZZMA       Florists","T050330",1531,1552,1633,2083,1836,1654,1643,1694,1717,1761,1759,1755,1730,1808,1770,1739,1833,1908,1880,1943,1925,1944,1936,1957,1974,1964,2055,2056,2083,2088,2052,2046,2114,2141,2220,2193,2169,2124,2060,1970,2086,2037,1944,1856,1882,1787,1813,1843,1723,1821,1816,1773,1751,1860,1895,2016,1976,1965,1859,1937,1999,1900,1917,1878,1856,1770,1831,1630,1568,1565,1518,1548,1468,1550,1568,1602,1664,1570,1560
"42","34","S3 EN4532ZZMA       Office supplies, stationery, and gift stores","T050340",5475,5484,5775,6115,6178,6388,6369,6493,6937,7106,7419,7433,7340,7662,8002,8220,7634,8063,8529,8650,9189,8796,8826,8965,9572,9622,10019,10240,10600,10492,10462,10971,11281,11234,11139,11045,10739,10629,10438,10316,10407,10374,10525,10419,10138,10281,10207,10155,10523,10487,10458,10396,10434,10761,10648,10673,10848,10773,11013,11408,11138,11037,11000,10889,10819,10686,10391,9755,9781,9683,9487,9288,9335,9415,9367,9463,9619,9685,9555
"43","35","S4 EN4533ZZMA       Used merchandise stores","T050350",1443,1511,1522,1534,1525,1742,1680,1663,1701,1541,1623,1741,1705,1833,1821,1794,1773,2238,1904,1937,2220,1953,2152,2374,2347,2321,2483,2563,2462,2503,2435,2679,2653,2694,2669,2557,2573,2555,2560,2513,2670,2585,2567,2373,2546,2373,2378,2358,2323,2405,2472,2478,2429,2368,2404,2492,2714,2734,2606,2720,2904,2762,2766,2902,2872,2948,2888,2709,2740,2679,2822,2857,2973,3076,3306,3591,3729,3888,4059
"44","36","S4 EN4539ZZMA       Other miscellaneous store retailers","T050360",5580,5601,5602,6348,6652,6392,6716,7196,7077,7707,8467,8453,8750,8920,8981,9045,9289,10312,10120,10360,10675,10790,11147,11368,11646,11648,11960,12267,12251,12257,12181,13338,13368,12338,12122,12225,12187,12375,12306,12303,11979,12536,12822,12512,12562,12877,13208,13428,13242,13400,13078,14023,14227,13956,14178,14368,15425,15115,14794,15262,15286,16113,16022,15663,15974,15204,15197,14470,14341,14186,14054,14626,14954,15696,16021,16209,16253,16760,17855
"45","37","S1 EN454ZZZMA     Nonstore retailers","T050370",19173,20030,20899,20522,21034,21705,22252,23057,23928,24512,25093,25260,25320,25885,26852,28158,28990,29669,30071,32073,31765,32524,32730,32336,32580,33958,35215,35519,36554,38308,39838,40828,43436,44877,47099,49295,47199,46128,45714,45747,46633,48394,48656,49919,51212,51433,53219,54827,56224,56806,59019,60899,62496,64173,66258,69195,71194,72656,73818,74619,76922,78023,79444,81572,80495,84240,83592,78453,77410,77919,79925,82788,86145,87745,90298,93982,98133,99781,100599
"46","38","S2 EN4541ZZMA       Electronic shopping and mail-order houses","T050380",7973,8926,9715,9413,9989,9963,10311,11341,11616,12075,12066,12353,12467,13053,13833,14535,14866,15325,15781,16528,16888,17928,18254,18554,19456,20149,20976,21500,22383,23453,24760,25748,27277,28365,29563,30891,29045,29305,29137,29604,30461,30856,31312,31851,32562,33556,34996,35967,37600,38497,39504,40695,42353,44032,45693,47602,50237,50704,51933,53851,55221,56405,57877,58979,57356,59477,58884,56789,57286,58263,60277,62477,65351,67156,69624,72115,74348,75843,76423
"47","39","S4 EN4542ZZMA       Vending machine operators","T050390",1897,1720,1790,1848,1763,1792,1773,1742,1820,1827,1790,1745,1759,1762,1675,1780,1735,1847,2059,2070,2146,1955,1908,2013,1964,2019,2043,2088,2114,2130,2142,2112,2231,2299,2225,2118,1991,1966,2030,2123,2158,2069,2011,1972,1785,1784,1869,1969,1909,1960,1941,1959,1966,1927,1848,1949,2015,1920,1958,1890,1883,1874,1916,1883,1839,1915,1884,1798,1712,1659,1619,1520,1543,1556,1555,1562,1600,1641,1695
"48","40","S4 EN4543ZZMA       Direct selling establishments","T050400",9303,9384,9393,9261,9282,9950,10168,9974,10492,10610,11237,11161,11095,11071,11344,11843,12389,12498,12230,13475,12732,12641,12569,11769,11160,11790,12196,11930,12057,12724,12936,12968,13929,14212,15311,16286,16163,14857,14547,14020,14014,15469,15333,16097,16865,16093,16354,16891,16715,16350,17574,18245,18177,18213,18716,19643,18941,20032,19927,18878,19818,19745,19651,20710,21300,22847,22825,19867,18412,17997,18028,18790,19250,19033,19119,20305,22185,22297,22482
"49","41","S1 EN722ZZZMA Food services and drinking places","T050410",54126,52656,53117,55238,55648,56834,57890,57930,58048,59467,60237,60703,60689,61620,62267,62413,62809,63679,64395,65882,67133,67493,69010,68828,70162,71404,72150,73785,73639,74748,75268,77651,79599,80419,81248,81405,83164,83266,84095,84989,86580,87318,87903,88226,89185,91532,93703,95144,96570,97216,98887,100703,102068,104241,105210,107316,110306,110412,111971,115048,115556,116977,118593,120407,119157,120757,121364,120986,120519,119787,119275,119732,121404,122735,123504,124920,127513,129023,130769
"50","42","S4 EN7221ZZMA   Full-service restaurants","T050420",23492,22414,22451,23455,23439,24069,24709,24785,25207,25755,25965,26065,25939,26367,26696,26476,26682,27297,27955,28921,29883,29904,30845,30763,31151,31592,31782,32666,32648,33320,33473,34327,35143,35417,35713,36119,36653,36857,37585,38054,38929,39160,39207,39689,40235,41646,42694,42855,43683,43679,44694,45378,46006,46654,47089,48040,49055,49287,50213,52334,52376,52610,52738,53716,52815,53196,52962,53082,53165,52222,52318,52696,53317,54466,54482,55099,56840,57910,59327
