"","Table 2#4#3U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55"
"1","[Index numbers, 2005=100; quarters and months are seasonally adjusted]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1959 To 2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published October 28, 2011  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/27/2011 9:45:02 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
"8","1","      Personal consumption expenditures","DPCERA3",19.718,20.26,20.677,21.7,22.593,23.939,25.453,26.897,27.703,29.301,30.399,31.112,32.297,34.283,35.982,35.683,36.492,38.525,40.146,41.916,42.912,42.761,43.41,44.015,46.531,48.998,51.551,53.642,55.297,57.525,59.152,60.359,60.45,62.511,64.731,67.203,69.021,71.429,74.066,77.95,82.213,86.382,88.718,91.08,93.65,96.731,100,102.85,105.218,104.637,102.657,104.741
"9","2","Goods","DGDSRA3",19.381,19.721,19.846,20.867,21.701,22.994,24.623,26.184,26.697,28.35,29.216,29.447,30.679,32.685,34.378,33.124,33.349,35.684,37.215,38.753,39.373,38.376,38.83,39.101,41.589,44.586,46.931,49.556,50.448,52.322,53.643,53.975,52.904,54.571,56.838,59.836,61.623,64.383,67.453,72.01,77.745,81.847,84.417,87.848,91.89,95.988,100,103.322,106.394,103.776,100.693,105.006
"10","3","  Durable goods","DDURRA3",7.862,8.022,7.752,8.638,9.433,10.314,11.592,12.554,12.741,14.155,14.685,14.296,15.732,17.687,19.537,18.284,18.328,20.612,22.432,23.61,23.491,21.62,21.835,21.799,24.913,28.471,31.319,34.324,34.993,36.998,37.81,37.646,35.618,37.664,40.486,43.715,45.44,48.832,52.819,59.255,66.945,72.818,76.771,82.6,88.052,94.444,100,104.528,109.711,104.314,98.66,105.782
"11","4","    Motor vehicles and parts","DMOTRA3",14.423,15.319,13.786,16.369,18.413,19.436,22.516,22.885,22.331,25.826,26.77,23.967,28.617,32.594,35.727,29.821,29.662,35.684,39.462,41.241,38.78,33.805,34.568,35.486,42.307,49.243,55.608,59.669,57.26,60.578,60.457,59.493,52.401,56.705,59.862,63.603,62.616,65.653,70.093,77.422,84.549,87.239,91.698,96.525,99.158,100.55,100,96.618,98.345,84.967,79.003,80.859
"12","5","      New motor vehicles (55)","DNMVRA3",14.44,15.536,13.367,16.773,19.399,20.658,24.709,24.981,23.67,28.379,28.858,24.5,30.643,35.555,39.12,30.335,30.358,38.559,43.869,45.812,41.626,34.157,35.098,36.711,46.143,53.929,61.689,67.266,62.773,66.308,65.351,61.846,49.905,54.59,58.159,61.077,58.117,59.14,62.299,69.243,77.278,81.49,89.444,96.275,100.912,101.921,100,94.24,95.338,76.851,68.156,71.808
"13","6","        New autos","DNEARA3",34.138,36.788,31.707,39.558,45.668,48.568,58.04,58.235,54.927,65.402,65.953,56.057,69.127,78.098,83.79,63.177,62.962,77.125,85.243,86.584,81.616,71.299,73.579,74.498,89.99,102.382,111.063,122.211,109.003,113.405,106.931,101.883,79.313,83.7,85.959,87.764,81.705,80.102,80.575,85.68,94.903,99.684,98.706,97.08,94.052,95.216,100,101.678,98.093,87.82,73.448,70.096
"14","7","          New domestic autos","DNDCRA3",47.871,52.821,45.988,58.426,67.457,71.082,84.78,84.056,77.673,91.456,91.098,73.913,91.229,103.048,108.191,78.186,75.479,97.284,102.375,103.354,89.42,71.506,72.275,72.249,87.259,99.941,105.207,117.741,97.932,104.715,103.119,98.993,77.042,81.989,87.847,91.721,86.538,85.91,80.951,86.685,95.062,100.688,101.388,100.125,96.044,94.615,100,98.559,94.742,83.698,72.649,68.907
"15","8","          New foreign autos","DNFCRA3",8.827,7.234,5.385,4.777,5.5,7.068,8.75,10.641,13.005,17.382,19.611,23.14,28.383,32.104,38.814,35.515,39.896,39.963,53.662,55.671,67.237,70.928,75.991,78.655,95.037,106.894,121.878,130.468,129.437,129.448,113.971,107.222,83.51,86.863,82.476,80.462,72.787,69.383,79.881,83.825,94.607,97.832,93.755,91.459,90.376,96.324,100,107.435,104.278,95.428,74.923,72.29
"16","9","        New light trucks","DNWTRA3",0.836,0.856,0.696,1.04,1.263,1.391,1.702,2.044,2.118,2.87,3.32,2.773,4.185,6.394,8.593,7.971,8.169,12.443,15.975,18.453,14.626,8.856,8.872,11.06,16.538,21.33,28.693,30.507,32.052,35.103,38.06,35.535,30.681,35.656,40.169,43.865,42.937,45.693,50.614,58.758,66.036,69.883,83.523,95.766,105.309,106.22,100,89.391,93.598,69.547,64.703,73.091
"17","10","      Net purchases of used motor vehicles (56)","DNPVRA3",23,22.568,21.719,21.23,22.007,21.82,23.626,23.635,25.286,25.306,26.522,25.078,25.339,26.772,27.249,25.956,25.203,28.603,28.925,29.518,29.383,28.601,28.001,26.862,27.683,34.565,40.093,42.306,43.813,45.893,47.682,51.279,54.177,58.882,59.634,63.917,65.759,72.477,80.02,90.401,96.538,96.287,95.965,98.533,97.169,98.797,100,100.629,104.343,99.404,100.841,97.874
"18","11","        Used autos","DNPURA3",49.086,48.031,46.467,45.024,46.464,45.973,49.589,49.237,52.634,52.831,55.375,52.123,52.345,55.157,55.54,52.892,51.531,57.949,57.781,58.375,57.306,54.715,53.764,51.34,51.753,64.463,73.364,71.793,73.159,73.967,73.789,74.666,78.915,84.197,85.166,94.164,92.983,96.498,101.039,108.021,108.68,106.765,103.264,102.355,99.177,98.684,100,97.436,95.884,92.437,86.71,85.306
"19","12","          Net transactions in used autos","DNETRA3",14.129,14.63,17.028,16.381,17.837,18.225,21.148,22.885,26.568,26.462,29.615,28.562,25.88,27.522,30.152,33.876,31.339,34.758,36.161,39.089,42.727,43.534,38.639,35.789,33.716,49.943,59.883,55.677,60.195,62.43,63.051,65.24,72.431,78.091,77.872,88.828,85.779,90.811,98.802,110.688,111.603,106.76,97.622,105.716,100.332,99.069,100,96.089,94.691,91.446,92.586,91.157
