"","Table 1BU# Real Manufacturing and Trade Inventories, Seasonally ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179"
"24","16","  Nondurable goods manufacturing industries","KS30N0",197824,198288,199352,200428,201150,201643,201009,202282,203444,204748,205519,206205,206250,206904,206824,206506,206494,206345,206748,206120,205511,205759,206905,205152,206308,206689,207124,208499,210069,209907,210072,210567,211213,212409,213759,214546,214498,214676,213997,214483,214563,215271,216286,215622,215761,216023,216105,215206,216830,213908,213580,213562,212994,211681,211350,210906,211267,211206,210891,210511,210338,207291,207385,208098,207942,208277,209264,209949,211027,211286,211633,211341,210465,212005,211030,211420,210943,211058,210494,210977,210201,209433,210058,208266,207591,208510,208581,207877,208262,208679,209405,210024,208676,209228,210759,210171,212424,212959,213677,213440,211649,212773,213261,212588,212415,213749,212801,214632,217092,216351,217312,218073,218643,220118,219975,220734,220781,220240,220618,219995,219224,219360,219185,220834,222652,222808,222303,221222,224253,223915,224288,224369,229809,230169,230541,228870,226992,230062,227548,226260,223702,222338,221867,214265,213285,210266,210435,208107,207818,207814,206400,206213,204393,206150,205835,204716,204006,205841,205347,204987,201548,201265,201840,200727,202089,204407,205234,207103,209032,209309,208863,210984,210374,209862,209420,208224
"25","17","    Food manufacturing","KS3110",37307,37614,37861,37921,37956,38307,38227,38377,38450,38668,38699,38840,39028,39225,38895,38861,38752,38714,38623,38375,38449,38398,38288,38448,38792,38736,38761,39016,39044,38966,39085,38990,39486,39737,39916,39997,40319,40512,40733,40502,40546,40515,40626,40657,40533,40182,40212,40497,41629,39828,39857,39894,39973,39740,39826,39560,39697,39547,40114,39999,40217,39978,39686,40324,40309,40742,40869,40982,40794,40661,40860,40881,40882,41079,41211,40767,41010,40697,40537,40493,40164,40090,40291,39923,39788,39534,39319,38643,38562,38590,38996,39174,39220,39001,38821,38980,38798,38992,39205,39836,39615,39759,39964,39994,40200,40216,40294,40362,40874,40955,41005,40955,40857,40966,40745,40490,40414,40581,40570,40585,40286,39957,39601,39717,40641,40868,40401,40821,40934,40335,39948,39941,39602,39238,39477,39377,39318,39631,39136,38931,39074,39602,40140,40320,40726,40687,40965,41001,41273,41025,41192,41510,40938,41510,41443,41629,41169,41299,41031,41083,41136,41287,41336,41367,41338,41189,40666,40851,40146,39619,39446,39222,39275,39322,39217,39050
"26","18","    Beverage and tobacco product manufacturing","KS3120",12751,12735,12717,13002,13005,12997,13122,13212,13255,13366,13448,13378,13741,13515,13614,13407,13363,13242,13294,12989,12993,13345,13440,13342,13250,13425,13138,13289,13419,13261,13062,13079,12726,12905,12826,13142,13207,13271,13170,13180,13157,13254,13178,13149,13227,13158,13234,13110,13001,13028,13217,13280,13395,13333,13580,13570,13525,13432,13398,13740,13679,13511,13581,13484,13517,13753,13575,13610,13803,13716,13648,13799,13616,13614,13476,13815,13721,13673,13660,13596,13668,13639,13765,13574,13525,13691,13397,13389,13306,13465,13333,13805,13840,13526,13507,13477,13662,13564,13462,13550,13535,13488,13639,13605,13517,13893,13970,13861,13886,13905,13764,13803,13697,13652,13722,13858,13736,13860,13881,13859,13898,13773,13767,13783,13821,13767,13766,13682,13499,13507,13482,13448,13500,13496,13382,13349,13266,13200,13095,13080,13177,13059,13099,13095,13021,13231,13468,13466,13464,13510,13561,13592,13683,13739,13690,13704,13450,13478,13440,13342,13399,13397,13327,13216,13082,13083,13069,13059,13172,13215,13223,13245,13210,13231,13314,13159
"27","19","    Textile mills","KS3130",6853,6819,6827,6858,6820,6824,6817,6876,6822,6827,6781,6795,6796,6834,6836,6814,6855,6826,6876,6831,6869,6877,6869,6872,6924,6938,6957,6955,6953,7000,6991,6988,7018,6959,7006,7053,6927,6837,6842,6847,6804,6780,6774,6758,6682,6708,6700,6600,6712,6590,6416,6476,6462,6437,6362,6353,6366,6351,6319,6159,6123,6094,6066,5929,5929,5905,5924,5969,5900,5923,5837,5857,5856,5856,5877,5929,5951,5971,5910,5867,5872,5765,5767,5715,5687,5671,5707,5714,5697,5652,5690,5687,5666,5644,5667,5642,5650,5644,5593,5608,5646,5624,5616,5528,5542,5569,5556,5589,5604,5587,5584,5532,5472,5509,5534,5537,5558,5469,5434,5438,5401,5415,5316,5306,5304,5339,5311,5366,5343,5285,5260,5285,5231,5153,5202,5115,5089,4967,5054,5016,5015,5013,5023,4952,4915,4849,4781,4766,4682,4601,4528,4447,4362,4388,4332,4272,4246,4258,4256,4237,4250,4278,4312,4339,4365,4350,4369,4394,4438,4428,4439,4474,4502,4528,4565,4553
"28","20","    Textile product mills","KS3140",3433,3483,3524,3560,3599,3645,3660,3675,3703,3690,3716,3725,3731,3751,3726,3704,3689,3639,3619,3624,3598,3552,3524,3510,3459,3527,3635,3676,3693,3744,3747,3765,3770,3838,3827,3838,3860,3882,3934,3964,4027,4063,4103,4113,4170,4179,4248,4260,4311,4317,4302,4308,4333,4429,4389,4401,4420,4441,4449,4443,4327,4186,4064,4031,3966,3883,3845,3782,3724,3631,3524,3427,3501,3533,3536,3563,3560,3539,3540,3556,3517,3484,3538,3559,3542,3528,3546,3555,3519,3525,3537,3537,3585,3580,3575,3545,3629,3644,3657,3625,3622,3620,3593,3614,3586,3638,3611,3735,3707,3704,3704,3702,3655,3732,3776,3785,3785,3791,3772,3757,3717,3701,3655,3620,3693,3697,3679,3665,3664,3652,3654,3664,3677,3657,3649,3634,3602,3558,3649,3618,3601,3612,3597,3570,3372,3260,3202,3108,3044,2987,2971,2958,2944,2937,2927,2929,2922,2910,2924,2932,2934,2978,2993,3023,3056,3064,3070,3079,3120,3090,3085,3082,3079,3071,3083,3087
"29","21","    Apparel manufacturing","KS3150",8598,8606,8625,8715,8808,8925,8996,9081,9049,9102,8987,8983,8976,8978,9055,9029,8965,8966,8959,8957,8990,9043,9041,8974,8950,9063,9218,9267,9384,9453,9499,9575,9618,9577,9529,9617,9621,9525,9458,9354,9280,9220,9291,9222,9165,9218,9347,9291,9369,9233,8975,8837,8718,8631,8381,8210,7999,7921,7815,7548,7379,7322,7225,7159,7149,7151,7125,7122,7176,7218,7244,7211,7286,7358,7444,7539,7568,7474,7508,7387,7295,7226,7218,7207,7128,6960,6973,6904,6878,6914,6959,6953,6959,6971,6986,6937,6990,6999,6987,7010,6998,6910,6885,6900,6918,6926,6868,6800,6790,6781,6791,6770,6766,6705,6775,6840,6565,6622,6764,6792,6755,6738,6706,6717,6689,6684,6747,6644,6637,6634,6594,6606,6610,6575,6533,6529,6525,6505,6508,6502,6449,6432,6406,6377,6313,6283,6244,6203,6164,6127,6088,6043,6016,5981,5971,5947,5975,5982,5986,5973,5988,6046,6085,6125,6173,6211,6223,6241,6250,6242,6252,6242,6259,6237,6272,6297
"30","22","    Leather and allied product manufacturing","KS3160",1829,1839,1816,1875,1910,1920,1919,1904,1905,1925,1915,1925,1932,1944,1948,1989,1999,1989,1993,1989,1978,1989,2015,1937,1896,1899,1907,1898,1893,1947,1930,1932,1957,1965,1972,1937,1905,1911,1906,1918,1898,1902,1913,1912,1906,1911,1892,1823,1837,1834,1827,1906,1840,1771,1758,1749,1746,1735,1713,1646,1585,1557,1492,1444,1448,1456,1473,1487,1455,1501,1516,1485,1488,1467,1467,1460,1468,1462,1439,1418,1425,1425,1424,1429,1409,1402,1400,1403,1387,1375,1372,1360,1366,1385,1400,1420,1427,1428,1444,1463,1453,1446,1436,1446,1465,1461,1473,1475,1480,1435,1442,1450,1467,1488,1495,1527,1556,1550,1565,1598,1598,1599,1586,1588,1574,1583,1581,1580,1574,1595,1578,1563,1549,1536,1542,1803,1753,1700,1672,1641,1624,1597,1588,1571,1573,1569,1588,1559,1546,1525,1514,1506,1481,1447,1445,1444,1448,1446,1425,1419,1415,1422,1425,1425,1434,1459,1481,1483,1485,1487,1493,1498,1497,1494,1491,1488
"31","23","    Paper manufacturing","KS3220",17223,17305,17630,17455,17449,17162,17136,17222,17419,17421,17498,17773,17783,17673,17606,17601,17583,17651,17660,17756,17558,17521,17491,17247,17384,17369,17538,17523,17663,17787,17733,18059,18303,18277,18277,18278,18375,18357,18249,18323,18287,18194,18308,18253,18003,17929,17772,17637,17603,17597,17326,17303,17265,17306,17251,17259,17407,17516,17612,17601,17665,17700,17786,17848,17873,18153,18070,18178,18390,18502,18656,18761,18818,18727,18330,18469,18423,18474,18290,18325,18296,18220,18223,18019,18071,17993,17900,17849,17983,17995,18183,18210,18092,18264,18299,18149,18332,18311,18198,18195,18161,18201,18177,18088,18034,18115,18058,18125,18076,18145,18201,18228,18204,18065,18095,18092,18143,18131,18224,18094,18182,18166,18077,18102,18139,18056,18124,18097,18043,17976,17915,18182,17938,17902,18031,18021,18043,18036,17890,17862,17832,18124,18114,17588,17482,17479,17349,17178,17008,17145,17092,17163,17102,16871,16761,16520,16442,16395,16293,16432,16420,16337,16352,16326,16313,16386,16416,16190,16276,16282,16282,16210,16163,16108,16103,16104
"32","24","    Printing and related support activities","KS3230",7034,6945,6934,7113,7220,7067,6735,6994,6964,7007,7033,7176,6905,6901,6858,6792,6873,6775,6989,6829,6927,6686,6566,6581,6716,6737,6811,6992,6919,6994,6917,6874,7008,6965,7169,7270,7221,7325,7260,6994,6984,6984,6840,6951,6970,7076,7025,6920,6952,6902,6977,6938,6911,6819,6790,6885,6683,6717,6625,6617,6879,6734,6728,6907,6877,7065,7081,6997,6846,6987,6987,6981,6985,6917,6861,6779,6720,6593,6668,6687,6615,6526,6638,6640,6529,6644,6578,6536,6691,6617,6630,6714,6729,6765,6687,6683,6505,6604,6683,6645,6675,6702,6735,6598,6691,6634,6687,6664,6674,6642,6621,6685,6656,6730,6757,6704,6791,6827,6792,6769,6785,6821,6821,6813,6832,6927,6895,6927,7008,7104,7057,7234,7231,7211,7215,7159,7052,6872,6699,6596,6529,6431,6556,6508,6360,6277,6211,6109,6099,6021,6112,6122,6089,6030,6024,5949,5908,5903,5914,5956,5937,5922,5851,5863,5806,5852,5890,5964,6028,5990,6024,6027,5874,5868,5859,5820
"33","25","    Petroleum and coal product manufacturing","KS3240",25884,25504,25978,25903,26275,26261,25966,26721,26843,26894,27225,27323,26242,26588,27041,27197,27195,27009,27109,26665,26310,26492,27314,25939,25802,25017,25997,25745,25550,25528,25714,26086,26163,26346,26629,26169,26232,26157,26015,26326,26509,26857,26497,25997,26323,26684,26814,26116,26310,26474,26778,27092,27156,27066,26703,27220,27107,26640,26883,27445,26774,25350,26398,26705,26508,27077,27381,27007,27185,26814,26281,26385,26425,26564,26591,27088,26139,27049,26186,27219,27343,27125,26668,26344,27165,27514,27327,27081,27647,27753,27950,27295,26829,27791,28870,27318,29023,28817,28769,28371,26622,27202,27977,27691,27721,28856,28204,28307,28892,28664,28608,29520,30230,30652,30511,30912,30198,28996,29187,29317,28765,29350,29504,30752,30676,30231,29972,28962,31405,31933,32285,32419,36369,37381,38272,37794,37374,40033,38961,38278,37568,36239,35718,30301,30108,27816,27957,27114,27414,28600,27544,27131,26111,27615,27827,28362,28310,29873,29177,28780,25554,25415,25912,24947,26471,28145,29744,30647,31871,32605,32813,34456,33829,33331,33107,32281
"34","26","    Chemical manufacturing","KS3250",57288,57593,57706,58097,58192,58512,58346,58351,59177,59876,60315,60394,60645,61155,61123,61158,61091,61194,61281,61476,61079,61235,61992,61283,61779,62068,61706,62341,63459,63117,63312,63127,62903,63515,64256,64611,64325,64407,64211,64555,64624,65207,66231,66019,66376,66555,66592,66453,66588,65800,65928,65786,65610,64932,64933,64452,65011,65509,64652,64392,64269,64181,63820,64012,63885,63570,64405,65057,65507,65669,65979,65092,64235,65227,64672,64441,64463,64377,64951,65096,64874,64932,65475,64716,63885,64955,65597,66085,66095,66139,65925,66204,65129,64991,65739,66800,66906,67437,67983,67579,67606,68249,67756,67571,67614,67126,66659,68239,69223,68588,69524,68951,68965,69829,69712,70036,71088,71405,71388,71123,71075,71010,71212,71450,72061,72398,72597,72360,72667,72481,72837,72204,72863,72448,71360,70634,70109,69377,69306,69469,68455,68668,68700,67558,67143,66295,66668,65695,65478,64807,64620,64681,64684,64517,64352,63174,63173,62992,63648,63647,63672,63327,63289,63171,62938,63396,62734,63399,64106,64020,63544,63692,64063,63992,63917,64011
"35","27","    Plastics and rubber product manufacturing","KS3260",19252,19324,19346,19418,19516,19619,19578,19587,19626,19733,19827,19786,19847,19900,19923,19905,20076,20237,20238,20353,20285,20288,20553,20481,20680,20699,20730,20834,20965,20926,21016,21153,21311,21415,21519,21559,21454,21423,21127,21554,21542,21503,21618,21542,21487,21589,21465,21563,21592,21518,21374,21257,20891,20782,20839,20934,20980,20877,20900,20799,21030,19696,20128,19957,20121,19306,19428,19511,20056,20357,20631,21044,20972,21283,21204,21318,21364,21530,21322,21197,21080,20921,20782,20857,20802,20660,20888,20795,20709,20874,21035,21117,21209,21375,21370,21222,21701,21673,21827,21667,21714,21617,21528,21603,21157,21245,21422,21477,21859,21960,22089,22404,22494,22565,22667,22720,22807,22964,23004,22616,22735,22758,22852,22789,22986,23028,23062,23034,23033,22822,22962,23066,22953,23030,23072,23136,22909,22824,22985,23201,22679,22671,22554,21678,21570,21368,20900,20806,20644,20649,20397,20327,20337,20362,20306,19951,20112,20174,20228,20243,20300,20327,20385,20398,20478,20458,20605,20577,20730,20735,20549,20589,20563,20804,20691,20721
"36","28","Merchant wholesale industries","KS42W0",254780,255150,257130,258234,260060,265249,264782,266437,269334,270925,273525,276005,277036,280609,283291,284021,286818,286842,287958,291527,293879,294906,296319,297304,298301,301269,302779,303364,303828,303992,307097,307611,308945,311667,314804,315302,317022,317550,318826,321049,322302,324023,324885,326237,326451,328877,331138,331405,330532,330540,330574,331641,332713,329892,326904,326206,325755,325162,323214,322639,322921,320853,321691,320814,321415,322225,324069,323435,323218,321503,321274,323238,322262,322030,322273,322827,321436,320703,320918,319653,320213,322647,322368,323280,322369,325503,326607,325442,327963,329921,334965,337260,335960,339389,341894,341700,346360,347236,348349,350437,350316,351441,351855,351955,352127,353478,353581,356029,356091,358857,360064,363177,365037,366016,367275,369003,369739,371247,374306,370772,370360,370911,371499,371651,372323,372931,373763,374338,376826,375236,375340,376559,376682,376406,373604,376646,376162,377362,379780,380935,380509,378815,379767,379323,378247,373199,367419,363776,359718,353279,348347,343039,338886,340209,342633,338376,337564,338411,340372,342121,345450,346562,351722,353679,356950,363477,359607,360452,361000,361146,362863,364095,369678,371239,373365,373744
"37","29","  Durable goods merchant wholesale industries","KS42WD0",148712,149289,151118,152017,153389,157071,155906,156656,158981,159217,160279,162534,163732,166087,168081,168820,170516,170289,171085,173950,175308,176486,176355,177913,178838,180501,181622,181260,182923,183835,185292,185024,186251,187744,190271,190863,191456,192302,193121,194887,196147,198000,198370,199436,199269,200357,201724,201732,201881,201274,200755,200202,199527,195826,194033,192468,191606,191753,188705,187586,187234,185860,186196,186174,186327,186657,187961,188669,188649,187446,187428,187359,186925,188292,188614,189183,188399,188044,187277,186430,186420,186535,186192,188276,188394,190417,191932,191723,194207,196053,198667,201678,201869,203576,205082,205394,208051,209312,209636,210350,210796,212720,213835,213644,212919,215429,215639,216366,216347,217803,218499,221812,222751,223204,224342,224642,226234,227643,227874,226566,227487,227992,228522,227366,228164,227520,226283,226337,227057,226298,226554,227629,229294,229803,229216,231608,231663,231361,233192,235105,236510,235705,235892,234029,232255,226626,220638,216544,212429,209042,205381,201284,198685,198307,196961,193580,192829,193622,195472,196125,197590,198380,200580,202269,203688,205854,206283,207273,208367,209029,209513,210591,214367,216545,218344,220477
"38","30","    Motor vehicles, parts, and supplies wholesalers","KS42110",21029,20510,20836,20420,20915,21843,21834,22055,22291,21953,21817,22049,22383,22660,23130,22238,22208,22192,22092,22629,22823,23100,22300,22829,22792,22960,23352,23442,23885,24018,24501,24776,25073,25069,25546,25609,25869,25992,26456,26878,27006,27197,26932,26961,26416,26454,26595,26894,26519,26635,26420,26479,26056,25788,25833,25701,25807,26436,26052,25733,25844,25653,25864,25679,26513,26867,27205,26947,27850,28082,28710,28197,28363,28447,28368,28706,28565,29153,28682,28619,28242,28772,28105,29098,28688,28873,29302,28908,29046,28934,29702,30756,30465,29834,30339,30289,31265,31179,30436,31114,31434,32572,32651,32604,32298,32875,32748,33123,32445,33519,34305,36202,35678,35010,35253,34315,34504,35402,35040,34090,34854,34242,35133,34034,34804,35205,34545,35062,35300,34426,34865,35056,35400,35720,35012,36787,36354,36663,36978,37702,37865,37720,37984,38746,37496,34685,33393,32513,32083,31322,30620,29947,30015,31109,30941,29888,29810,30095,30552,30528,30480,30952,31554,31736,32259,32409,33023,33267,33201,33490,33298,32213,33926,35397,35718,37416
"39","31","    Furniture and home furnishings wholesalers","KS42120",5362,5240,5145,5398,5470,5352,5279,5397,5453,5397,5481,5494,5534,5516,5460,5612,5683,5708,5749,5763,5777,5888,5806,5832,5828,5933,5967,5910,5952,6072,6109,6069,6087,6267,6086,6212,6198,6218,6270,6360,6436,6567,6678,6798,6595,6735,6851,6811,6912,6826,6869,6777,6727,6573,6538,6442,6534,6492,6487,6355,6328,6371,6265,6348,6382,6426,6534,6544,6577,6515,6505,6577,6514,6568,6633,6686,6719,6717,6610,6644,6627,6655,6713,6800,6982,6868,6902,6832,6791,6852,6912,6909,6916,6892,6934,6935,6944,6984,6999,7039,7044,6894,6932,7046,7064,7227,7181,7176,7179,7155,7048,6979,7250,7304,7303,7322,7359,7349,7353,7413,7433,7409,7516,7408,7416,7467,7494,7464,7439,7325,7354,7278,7427,7509,7336,7352,7140,7073,7089,6971,6803,6801,6768,6632,6397,6227,6056,5839,5676,5530,5328,5205,5156,5045,4932,4948,4903,4895,4886,4970,5069,5117,5209,5315,5356,5413,5425,5418,5479,5517,5428,5515,5449,5395,5317,5267
"40","32","    Lumber and other construction materials wholesalers","KS42130",5846,6030,6057,6144,6179,6262,6292,6369,6399,6412,6613,6630,6678,6650,6542,6614,6524,6537,6639,6807,6344,6427,6497,6466,6472,6421,6496,6563,6672,6637,6756,6622,6681,6821,6798,6911,6986,7020,7042,7059,7106,7218,7222,7109,7131,7167,7260,7427,7279,7303,7337,7182,7093,6838,6923,7087,7183,7441,7335,7362,7398,7304,7380,7422,7427,7428,7492,7565,7677,7745,7762,7833,7989,8220,8268,8355,8339,8442,8443,8546,8586,8745,9076,9287,9481,9601,9766,10047,10679,10436,10651,10808,11026,11227,11069,11381,11824,12230,12416,11941,12129,12006,12110,12078,11570,12008,11918,12073,12078,12012,12088,12271,12274,12506,12541,12598,12767,12584,12614,12404,12326,12416,12342,12134,11879,11682,11587,11706,11553,11560,11516,11512,11462,11242,10886,10999,11222,11314,11418,11365,11218,10999,10656,10391,10165,9906,9594,9178,8808,8474,8392,8254,8226,8199,8330,7999,8045,8190,8282,8408,8478,8451,8360,8277,8148,8112,8114,8209,8362,8370,8588,8540,8460,8388,8352,8307
"41","33","    Professional and commercial equipment wholesalers","KS42140",11066,11338,11464,11869,12137,12722,12947,12851,13444,13710,13747,13880,14241,14451,14944,15185,15322,14922,15016,15274,15268,15225,15552,15523,15649,16334,16437,15985,16508,16830,16834,16849,17028,17458,17869,17984,18357,18060,17807,17854,17895,17851,17878,17907,18526,18824,18889,18651,18497,18634,18322,18622,18256,17964,17952,17879,17496,17431,17068,17534,17337,17043,17465,18006,17843,18107,18223,18739,18551,18184,18444,18713,18776,18856,19031,18587,18744,18641,18924,18940,18997,19028,19251,19300,19306,19674,19756,19545,19866,20414,20410,20837,20878,21341,21759,21492,21697,21595,21638,22150,21983,22342,22336,22335,22405,22887,22879,23120,23608,24336,23935,24235,24759,24645,25098,25382,25915,26230,26438,26751,26910,26987,27152,27409,27486,27707,27877,28051,28184,27945,28057,28426,28482,28623,29074,28943,29537,29549,29488,30008,30218,30474,30217,29601,28986,28836,28052,27646,27000,26591,26252,25921,26131,25925,26344,27074,26728,26598,27345,27854,28282,28681,28930,29124,28987,29390,29532,29903,30774,30683,30809,31026,31527,32150,33146,33178
"42","34","      Computers and software wholesalers","KS42430",3308,3409,3462,3587,3756,4030,4122,4098,4387,4491,4446,4577,4661,4727,5073,5114,5224,5131,5089,5303,5280,5324,5496,5686,5755,6199,6045,5787,6254,6393,6426,6488,6474,6730,6869,6953,7038,7120,6698,6697,6608,6650,6694,6699,7069,7428,7144,6926,6967,7024,6941,7047,6924,6609,6752,6642,6537,6642,6529,6630,6498,6513,6710,7003,6909,7005,6995,7273,7201,6977,6982,7212,7372,7535,7625,7556,7791,7749,7928,7855,7774,7918,7979,8287,8274,8313,8496,8537,8587,9049,8997,9242,9090,9291,9701,9495,9560,9730,9897,9990,9918,10137,9962,10171,10478,10550,10527,10674,10957,11220,11234,11248,11539,11410,11654,11685,12201,12509,12501,12610,12650,12689,12659,12813,12934,13175,13366,13635,13881,13776,13639,13734,13943,13783,14331,14220,14864,14644,14833,15341,15367,15977,15974,15116,14650,14661,14280,14281,14023,14073,14054,13963,14303,14515,15088,16044,15526,15909,16422,17092,17390,17749,18239,18439,18359,18860,18647,18985,20038,20094,19446,19587,20176,20978,21826,22074
"43","35","      Other professional and commercial equipment wholesalers","KS424X0",10109,10268,10318,10670,10529,10642,10747,10642,10737,10885,11134,10917,11314,11477,11224,11534,11422,10982,11277,11079,11133,10922,10988,10407,10431,10381,10951,10880,10541,10702,10628,10504,10811,10869,11168,11149,11514,10895,11450,11520,11772,11616,11560,11590,11704,11389,12058,12163,11872,11951,11689,11893,11633,11809,11546,11640,11330,11077,10806,11226,11190,10809,11021,11235,11181,11357,11511,11722,11603,11489,11786,11780,11635,11509,11589,11177,11048,10985,11074,11185,11351,11204,11374,11049,11072,11426,11295,11018,11305,11352,11409,11583,11800,12064,12047,11994,12139,11852,11721,12147,12052,12193,12362,12156,11927,12331,12346,12443,12653,13110,12716,12987,13226,13231,13445,13680,13742,13778,13974,14173,14285,14324,14497,14607,14582,14595,14600,14553,14488,14356,14553,14805,14704,14937,14943,14907,14975,15133,14956,15056,15216,15032,14820,14864,14649,14513,14105,13769,13397,13032,12766,12550,12513,12218,12214,12234,12261,11935,12232,12250,12419,12530,12448,12489,12426,12462,12692,12794,12891,12790,13245,13335,13402,13449,13760,13652
"44","36","    Metal and mineral (except petroleum) wholesalers","KS42150",18053,18400,18466,18607,18626,18840,18838,18878,18856,18814,18847,18970,19189,19330,19485,19526,19719,19656,19635,20197,20323,20449,20693,20666,21027,20690,20356,20546,20836,20938,20765,20592,20675,20766,20839,20739,21028,21245,21449,21794,21592,21697,21703,21602,21479,21299,21230,20969,20924,20710,20488,20292,20325,20280,20209,20231,19893,19878,19561,19528,19388,19434,19347,19260,19247,19267,19462,19488,19713,19339,19269,19157,18725,18886,18900,18903,18597,18650,18482,18303,18299,18226,18368,18607,18985,19368,19946,19563,19943,19987,20316,20888,20728,21715,22046,22016,22303,22222,22516,22456,22408,22383,22395,22255,22068,22174,21979,21699,21972,22045,21977,22446,22700,22966,23261,23777,24067,24093,24142,24000,23814,23821,23818,23439,23498,23212,22998,22620,22495,22285,21917,22347,22509,22922,22886,23343,23372,23642,23435,23635,23709,23889,24400,23668,24172,24299,22925,22409,21941,21292,20867,20322,19639,19303,19068,18050,18499,18381,18467,18524,18530,18240,18636,18657,18809,19244,19426,19402,19478,19650,19595,19975,19966,20228,20354,20509
"45","37","    Electrical goods wholesalers","KS42160",18700,18641,18966,18665,18638,18929,18773,18879,18879,18770,18665,19006,18832,19082,19526,19840,20058,20176,20103,20329,20599,20498,20634,20908,20998,21341,21223,21070,21445,21658,22282,22303,22522,22813,23342,23887,23904,24185,24380,24398,24818,25478,26033,26286,26446,27103,27392,27403,27692,27436,27596,27732,27143,26619,25600,25126,24945,24663,23817,23221,22964,22817,22667,22586,22718,22431,22663,23205,22856,22912,22524,22245,22310,22190,22289,22509,22275,22300,22015,21931,22054,21687,21155,21648,21327,22001,22393,22711,23052,23175,23238,23347,23423,23502,23713,23810,24039,24341,24399,24283,24228,24661,25114,25010,24804,24572,24758,25033,24875,25322,25433,25820,26018,25938,26571,26684,26888,27367,27341,27251,27287,27268,27552,27465,28040,28143,28144,28155,28128,28380,28709,29099,29221,28949,29222,29514,29616,29869,29803,30327,30856,31309,30916,30030,29283,28546,27514,27008,26222,25620,25001,24680,24739,24730,24672,25170,25350,25583,26197,26277,26759,27488,28140,28675,28851,29364,29029,29399,29850,30358,30134,30976,31647,31350,31551,31984
"46","38","    Hardware and plumbing and heating equipment wholesalers","KS42170",10660,10692,10467,10764,10794,10779,10656,10704,10841,10788,10821,10809,10944,11261,11149,11309,11324,11424,11379,11449,11407,11473,11565,11708,11821,11735,11786,11772,11798,11797,11927,11660,11748,11801,11965,11875,11810,12016,11976,12263,12340,12531,12587,12673,12583,12694,12735,12845,12723,12635,12588,12474,12287,12348,12285,12460,12385,12261,12132,12009,12069,11887,11926,11830,11982,11970,12063,12033,12064,11907,11881,11963,11886,12258,12395,12335,12143,12029,12048,11819,11797,11839,11886,11933,11925,11932,12024,12020,12251,12312,12442,12567,12674,12787,12783,12763,12930,12954,12954,12951,12966,12983,12821,12867,12844,13009,12959,13110,13477,13308,13315,13282,13240,13375,13400,13509,13484,13442,13637,13636,13531,13461,13753,14128,14010,14003,14035,13934,14026,13954,13973,13942,13680,13508,13338,13151,13170,13011,13168,13200,13162,12968,12780,12405,12435,12142,12153,12139,11868,11742,11439,11069,10764,10678,10542,10479,10418,10392,10378,10300,10343,10409,10473,10709,10862,10936,10974,11030,11390,11528,11572,11720,11867,11987,11978,11942
"47","39","    Machinery, equipment, and supplies wholesalers","KS42180",44929,45173,45893,46658,47459,48203,46666,46689,47392,48047,48525,49473,49500,50335,50754,51125,52104,52334,53077,53625,54371,54992,54893,55705,55959,56293,56656,57237,56821,56889,57198,57101,57117,57292,57916,57773,57248,57335,57620,58111,58467,58648,58144,58973,59063,58743,59225,58922,59272,59234,59371,58810,59695,58924,58317,57552,57591,57561,56649,56322,56543,56057,55903,55418,54901,54629,55036,54534,54028,53326,53036,53287,52798,53041,52898,52933,52790,51948,51752,51480,51431,51114,51368,51039,51589,52260,51774,51894,52333,53171,53603,53986,53940,54346,54554,55033,54929,55524,56071,56323,56233,56685,56917,57704,57609,57793,58396,58422,58169,57842,58113,58490,58968,59699,59732,59947,60301,60996,60861,60360,61296,61713,60472,60403,60691,60160,60089,60059,60325,60671,60836,60935,61431,61676,61876,61984,61414,60546,61872,61910,62591,61894,61966,62404,63204,62009,61592,60712,59854,59098,57801,56922,56156,55616,54495,53451,52951,52896,52569,52599,53492,53300,53869,54151,54211,54529,54675,54604,54488,54267,55338,55384,55843,56544,56994,57065
