"","Table 4BU2# Real Manufacturing Inventories, by Stage of Fabricat","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32"
"1","[Millions of chained (2000) dollars];                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1997 To 2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published June 28, 2004     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/25/2004 12:00:38 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1
"9",NA,"  Work-in-process"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","27","A Manufacturing industries","KS30W0",128023,127784,129108,131263,133415,136698,137588,138822,138802,138236,139001,139962,138762,138018,135136,135893,133915,131109,129867,126474,123607,123022,123065,123603,123665,122538,122061,122574,123116
"11","28","A   Durable goods industries","KS30DW0",101628,100969,101335,102717,105232,108269,109572,110760,110213,108883,110262,110563,109792,108651,105773,106348,104966,102677,100910,97896,94415,93280,92124,93704,93201,92410,91800,92721,92367
"12","29","A     Wood product manufacturing","KS321W0",1782,1782,1827,1758,1884,1788,1769,1857,1889,1859,1938,1955,2083,2025,2028,2001,1999,1898,1966,1922,2021,2116,2128,2092,1963,1894,1879,1772,1865
"13","30","A     Nonmetallic mineral product manufacturing","KS327W0",1319,1240,1335,1300,1343,1285,1263,1269,1236,1277,1322,1320,1297,1277,1260,1362,1336,1303,1283,1225,1181,1230,1219,1242,1248,1203,1185,1188,1177
"14","31","A     Primary metal manufacturing","KS331W0",6940,6890,6851,6916,7080,6899,7064,7124,7338,7365,7311,7555,7548,7651,7520,7357,6967,6708,6676,6374,6147,6059,6085,6100,6252,5885,5569,5530,5488
"15","32","A     Fabricated metal product manufacturing","KS332W0",9044,9269,9271,9449,9420,9660,9606,9526,9391,9338,9527,9731,9834,10070,9901,9727,9977,9813,9641,9293,8927,8846,8791,8769,8449,8536,8428,8546,8454
"16","33","A     Machinery manufacturing","KS333W0",13057,13225,12905,12998,13016,13004,13161,12945,12751,12749,12712,12625,12895,13125,13134,14001,13772,13173,12787,11990,11747,11695,11470,11338,11023,11069,11555,11514,11686
"17","34","A     Computer and electronic product manufacturing","KS334W0",17123,17287,18048,18799,19166,19242,18886,18702,18778,19036,19075,18827,18609,20378,19970,22316,22796,21772,20401,19229,19579,19144,19465,19450,18562,18549,18484,19524,19373
"18","36","A     Electrical equipment, appliance, and component manufacturing","KS335W0",4808,4849,4846,4879,4821,4757,4880,4932,4931,4937,4936,4875,4780,4952,4905,5004,5030,4933,4847,4684,4624,4579,4416,4397,4339,4260,4250,4218,4190
"19","37","A     Transportation equipment manufacturing","KS336W0",42588,41416,41147,41409,43186,46383,47787,49376,48823,47214,48273,48474,47498,43783,41521,39121,37656,37718,38013,37967,35155,34570,33621,35288,35708,35724,35536,35403,35038
