"","Table 2#3#6U# Real Personal Consumption Expenditures by Major Ty","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Millions of chained (2000) dollars; quarters and months are seasonally adjusted at annual rates]                                                                                                                                                         ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1990 To 2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published June 28, 2004     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/25/2004 11:22:51 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003
"8",NA,"Real PCE by Major Type of Product (From NIPA table 2.3.6):"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","Q1PCE1 A     Personal consumption expenditures","Q1PCE10",4770267,4778421,4934842,5099822,5290681,5433489,5619428,5831786,6125825,6438600,6739378,6904628,7140438,7365213
"10","2","Q1TDG1 A Durable goods","Q1TDG10",453522,427899,452987,488444,529400,552624,595911,646933,720290,804551,863326,899102,957152,1027509
"11","3","Q1TAP1 B   Motor vehicles and parts","Q1TAP10",256076,226588,244936,259249,276244,272263,285359,304653,338965,372437,386518,405376,423322,441894
"12","4","Q1FUR1 B   Furniture and household equipment","Q1FUR10",119862,121089,127760,141087,156766,173316,193370,216272,244662,280731,312907,331431,364674,400301
"13","5","Q1TOD1 B   Other","Q1TOD10",92730,88751,90226,96977,104244,111187,119628,127282,137557,151699,163901,162423,170244,187347
"14","6","Q1TND1 A Nondurable goods","Q1TND10",1483954,1480527,1510124,1550354,1603902,1638621,1680447,1725331,1794437,1876610,1947216,1983278,2043584,2121020
