"","Table 6U# BEA Retail and Food Service Sales                     ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15"
"1","[Millions of chained (2000) dollars]                                                                                                                                                                                                                      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1992 To 2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published June 28, 2004     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/25/2004 12:01:17 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003
"8","1","S1 QN04472AMG       Retail and food services","T060010",2323478,2432127,2590392,2681226,2811063,2930219,3112483,3353922,3513873,3606604,3761742,3984846
"9","2","S1 QN44ZZZZMG Retail trade","T060020",2068497,2166248,2316129,2402618,2527518,2637169,2809892,3043741,3190304,3281260,3428939,3635439
"10","3","S1 QN441ZZZMG   Motor vehicle and parts dealers","T060030",506245,548200,602397,617418,657293,685507,730030,810184,841960,859658,885186,962535
"11","4","S4 QN4411ZZMG     Automobile dealers","T060040",433256,468926,516210,527781,562939,586045,623011,695137,720461,740483,763826,826059
"12","5","S4 QN4412ZZMG     Other motor vehicle dealers","T060050",21036,24120,26562,28374,30047,32903,36773,40399,44415,44642,46876,59292
"13","6","S2 QN4413ZZMG     Automotive parts, accessories and tire stores","T060060",51692,54977,59515,61156,64202,66493,70224,74639,77083,74572,74596,77291
"14","7","S1 QN44DZZZMG   Furniture, home furnishings, electronics and appliance stores","T060070",73281,80880,91329,101504,112487,125244,143627,167135,188238,201808,227422,259844
"15","8","S1 QN442ZZZMG     Furniture and home furnishings stores","T060080",60358,62809,66828,69244,72760,77417,81879,89319,96572,97156,102620,111190
"16","9","S4 QN4421ZZMG       Furniture Stores","T060090",35203,36553,38025,39232,41082,43931,46337,49564,53663,54492,57940,60678
"17","10","S4 QN4422ZZMG       Home furnishings stores","T060100",25156,26256,28801,30011,31681,33484,35541,39756,42909,42669,44694,50478
"18","11","S1 QN443ZZZMG     Electronics and appliance stores","T060110",21540,25553,30867,36910,43136,50296,62708,77991,91667,105085,126727,153067
"19","12","S1 QN444ZZZMG   Building material and garden equipment and supplies dealers","T060120",187320,186855,202410,210043,223503,235471,254220,273891,290139,303419,319318,340213
"20","13","S2 QN4441ZZMG     Building material and supplies dealers","T060130",160033,159979,174733,181976,193196,202404,220012,239197,254149,267177,282893,300335
"21","14","S3 QN4442ZZMG     Lawn and garden equipment and supplies stores","T060140",27413,26997,27722,28089,30336,33119,34236,34702,35990,36266,36502,39916
"22","15","S1 QN445ZZZMG   Food and beverage stores","T060150",450000,448347,453646,451242,450827,451247,455582,466041,472218,477937,480000,490282
"23","16","S1 QN4451ZZMG     Grocery stores","T060160",409471,408187,412978,410845,409663,409591,412419,422542,426595,431147,432418,440592
"24","17","S3 QN4452ZZMG     Specialty food stores","T060170",13924,13964,13780,13768,13817,13910,14188,14185,14938,15596,16081,17458
"25","18","S2 QN4453ZZMG     Beer, wine, liquor stores","T060180",26568,26164,26857,26595,27325,27734,28973,29311,30685,31190,31503,32238
"26","19","S1 QN448ZZZMG   Clothing and clothing accessories stores","T060190",113979,118626,124222,129317,136775,140889,152746,166348,177083,178863,188730,201486
"27","20","S2 QN4481ZZMG     Clothing stores","T060200",81738,84634,88061,91188,95766,99502,107879,117093,125102,128492,136649,145862
"28","21","S2 QN4482ZZMG     Shoe stores","T060210",17759,18071,19064,19736,20725,20906,21886,22885,23342,23248,23353,23930
"29","22","S3 QN4483ZZMG     Jewelry, luggage, and leather goods stores","T060220",14668,16062,17223,18472,20298,20522,23003,26373,28639,27141,28770,31753
"30","23","S1 QN452ZZZMG   General merchandise stores","T060230",265139,282788,302739,319831,334837,350119,373312,406040,431086,456904,489386,519784
"31","24","S1 QN4521ZZMG     Department stores","T060240",181068,191329,203254,212291,219775,227600,233769,244308,248328,247913,248499,246672
"32","25","S2 QN4529ZZMG     Other general merchandise stores","T060250",82490,90027,98157,106405,114090,121660,139115,161609,182758,208805,240115,271381
