"","Table 4BU1# Real Manufacturing Inventories, by Stage of Fabricat","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91"
"11","2","A   Durable goods industries","KS30DM0",79252,79403,80628,81004,81825,82476,83293,83841,85077,86038,85663,86400,87748,88507,89069,89896,90158,91188,91106,91058,91958,92431,92068,91209,91875,92487,92987,92817,92812,93148,93685,93143,94008,93608,94787,96820,95436,96143,96431,97718,98692,100098,100406,101879,102303,103049,104271,104450,106043,105513,104099,103465,103494,102082,101222,100263,98781,98431,98127,96805,96162,95375,95737,95555,94349,93425,92806,92507,92013,91742,90700,90370,89812,89472,88474,87835,87412,86636,85639,84591,83938,84142,83440,83174,83033,83266,83525,84105
"12","3","A     Wood product manufacturing","KS321M0",3457,3464,3464,3546,3492,3475,3453,3506,3644,3676,3692,3744,3671,3681,3572,3658,3692,3816,3822,3772,3869,3938,3934,3907,4044,4037,4030,3916,3913,3887,3885,3928,3858,3891,3986,4119,4043,4034,4021,3986,4005,3979,3905,4018,4048,4033,4040,4049,4053,3967,4001,4063,4065,4065,4047,3977,3960,3920,3989,3980,3993,4033,4103,4033,3985,3978,3918,3860,3847,3819,3775,3749,3787,3789,3830,3879,3826,3786,3757,3713,3634,3755,3745,3800,3787,3740,3831,3894
"13","4","A     Nonmetallic mineral product manufacturing","KS327M0",3188,3227,3202,3272,3251,3251,3279,3239,3260,3292,3296,3319,3297,3254,3259,3265,3243,3259,3278,3311,3349,3321,3344,3330,3318,3338,3366,3352,3361,3338,3344,3358,3387,3400,3382,3442,3424,3485,3413,3425,3462,3496,3481,3507,3508,3476,3502,3521,3538,3549,3543,3548,3525,3512,3526,3491,3497,3512,3530,3467,3466,3440,3443,3453,3407,3408,3385,3361,3341,3351,3299,3298,3292,3284,3311,3261,3335,3290,3348,3246,3262,3268,3124,3119,3101,3144,3142,3155
"14","5","A     Primary metal manufacturing","KS331M0",6221,6338,6373,6372,6394,6391,6432,6528,6561,6745,6635,6703,6677,6737,6845,7004,7091,7265,7300,7405,7587,7539,7587,7632,7555,7560,7602,7508,7447,7411,7393,7406,7420,7395,7442,7593,7595,7605,7713,7645,7663,7675,7698,7579,7504,7482,7446,7264,7378,7423,7418,7442,7380,7246,7082,7087,6969,6971,6989,6856,6827,6664,6599,6609,6530,6564,6569,6602,6694,6748,6681,6701,6691,6785,6678,6535,6533,6259,6095,5930,5904,5697,5657,5620,5568,5798,5809,5867
"15","6","A     Fabricated metal product manufacturing","KS332M0",10649,10575,10761,10658,10659,10718,10768,10805,10856,10813,10906,11139,11090,11170,11179,11378,11334,11663,11552,11526,11700,11717,11656,11540,11578,11500,11364,11450,11478,11552,11602,11665,11854,11798,11746,11923,11456,11721,11807,11812,12086,12189,12230,12246,12204,12200,12393,12247,12282,12176,12162,12222,12237,12070,12015,12070,11920,11987,11929,11742,12057,12047,12164,12032,11785,11809,11845,11941,11972,11957,11848,11741,11673,11664,11626,11544,11587,11447,11333,11302,11298,11281,11293,11204,11180,11261,11255,11183
"16","7","A     Machinery manufacturing","KS333M0",11763,11693,11720,11763,11916,12026,12115,12180,12210,12365,12456,12431,12603,12771,12814,12803,12929,12937,13016,13027,13087,12944,12900,12617,13072,13162,13220,13260,13068,12994,13091,12930,12986,13080,13344,13276,13080,12867,12740,13272,13223,13436,13525,13772,13781,13886,13658,14014,14292,14221,14081,14074,13853,13777,13552,13302,13249,13076,13088,13046,12824,12691,12634,12401,12218,11962,11824,11676,11427,11404,11211,11279,11056,10848,10681,10557,10547,10466,10375,10009,9933,9959,9668,9764,9717,9671,9670,9672
"17","8","A     Computer and electronic product manufacturing","KS334M0",15172,15334,16019,15999,16419,16819,17180,17229,17829,18315,18348,18288,18832,18787,18865,19153,19123,18851,19014,18944,19019,19309,18948,18465,18601,18763,19451,19448,19322,19757,20166,19933,20366,20181,20911,21856,21239,22191,22979,23233,23971,25115,25274,26312,26401,26702,27398,27845,29120,28877,28040,27581,27939,27280,27248,26626,25765,25306,25164,24420,24258,23679,23439,23557,22931,22395,22205,22045,21999,22032,21873,21455,21284,21193,20507,20280,20040,19690,19409,19258,18846,19064,18809,18819,18764,18890,18965,19293
"18","9","A     Electrical equipment, appliance, and component manufacturing","KS335M0",4619,4650,4712,4846,4888,4970,4971,4961,5048,5026,5063,5077,5133,5135,5220,5150,5147,5193,5170,5171,5113,5157,5161,5163,5160,5140,5135,5166,5205,5172,5288,5314,5270,5304,5320,5312,5393,5404,5359,5351,5302,5316,5431,5551,5711,5727,5870,5829,5811,5913,5887,5975,5991,5892,5691,5724,5683,5746,5628,5553,5429,5393,5335,5306,5270,5218,5195,5129,5068,5012,5014,4914,4977,4923,4882,4863,4851,4823,4728,4703,4657,4652,4633,4685,4675,4455,4486,4448
"19","10","A     Transportation equipment manufacturing","KS336M0",16237,16142,16260,16520,16576,16488,16777,16960,17185,17278,16689,16998,17763,18232,18599,18599,18675,19306,19021,18955,19199,19346,19482,19501,19456,19873,19622,19487,19866,19856,19675,19430,19608,19351,19301,19856,19774,19388,19017,19498,19480,19354,19325,19218,19470,19834,20229,20036,19911,19778,19333,19032,18903,18625,18550,18534,18322,18481,18289,18278,17975,18038,18411,18563,18491,18322,18004,18058,17968,17894,17591,17691,17585,17680,17722,17676,17476,17585,17334,17204,17177,17200,17279,17118,17087,17232,17448,17452
"20","11","D       Motor vehicle and parts manufacturing","KS3MVM0",9624,9788,9916,10084,10256,10026,10370,10423,9965,10191,10133,10021,10170,10399,10384,10514,10651,11352,11009,10907,11102,11240,11097,10899,10973,11189,10890,11142,11346,11259,11056,11020,11051,11119,11792,12056,12057,12016,11915,12057,11731,11577,11663,11583,11712,11629,11484,11391,11201,11181,10890,10808,10802,10850,10801,10752,10654,10705,10517,10359,10051,10174,10258,10249,10296,10136,10142,10081,10179,10014,9879,9929,9884,9897,9807,9836,9887,9854,9752,9657,9813,9715,9654,9792,9673,9806,9905,9888
"21","12","D       Other transportation equipment manufacturing","KS3OTM0",6608,6343,6331,6423,6305,6450,6392,6522,7217,7081,6545,6972,7593,7832,8218,8086,8024,7951,8011,8046,8096,8104,8383,8600,8482,8683,8731,8346,8520,8596,8619,8410,8557,8233,7508,7800,7717,7372,7100,7441,7749,7778,7662,7636,7758,8204,8745,8645,8710,8597,8443,8225,8103,7780,7753,7787,7673,7780,7775,7918,7920,7862,8147,8306,8190,8179,7860,7973,7787,7876,7710,7759,7700,7779,7908,7835,7589,7728,7580,7544,7366,7484,7622,7329,7414,7428,7545,7566
"22","13","A     Furniture and related product manufacturing","KS337M0",3234,3222,3235,3233,3367,3366,3321,3307,3361,3359,3393,3407,3444,3476,3394,3468,3459,3460,3410,3413,3439,3429,3391,3412,3428,3381,3401,3397,3407,3417,3491,3462,3410,3387,3480,3536,3446,3481,3473,3520,3561,3634,3637,3673,3687,3694,3706,3635,3707,3655,3645,3597,3626,3601,3573,3530,3554,3508,3567,3443,3384,3419,3413,3389,3411,3450,3446,3403,3325,3228,3265,3319,3293,3172,3200,3199,3246,3225,3219,3218,3129,3137,3156,3069,3073,3007,2963,3096
"23","14","A     Miscellaneous durable goods manufacturing","KS339M0",5065,5066,5084,5024,5042,5100,5093,5229,5170,5163,5165,5307,5234,5288,5354,5431,5485,5494,5564,5582,5651,5773,5726,5729,5738,5801,5835,5871,5788,5792,5766,5741,5872,5846,5884,5901,5982,5958,5894,5968,5932,5895,5892,5995,5982,6010,6023,6004,5963,5967,6003,5947,6002,6033,5961,5940,5865,5917,5952,6001,5940,5944,6148,6166,6259,6249,6346,6356,6304,6234,6089,6142,6099,6055,5923,5925,5841,5916,5884,5863,5928,5985,5927,5842,5952,5905,5802,5911
"24","15","A   Nondurable goods industries","KS30NM0",61381,61765,62011,62117,62320,62112,61883,61918,62614,63009,62401,62944,63420,63682,63941,63513,63141,63468,63792,63519,63356,63117,63223,62673,62944,63036,62973,63240,63574,63590,63688,63813,64099,64194,64878,65798,66072,65829,65938,65857,65912,65743,65651,65289,65330,64370,64762,63822,64336,63938,63908,63532,63556,63205,63576,63074,62999,63202,63450,62959,62635,62987,63448,63665,63414,63340,63557,63283,63242,63057,63316,62170,62966,63055,62183,62501,62193,61435,60477,60709,60901,60637,60406,59609,59565,60001,59675,59547
"25","16","A     Food manufacturing","KS311M0",9821,9947,9907,9777,9810,9907,9916,9971,10186,10276,10048,10143,10151,10417,10337,10332,10138,10260,10359,10263,10268,10203,10157,10327,10549,10551,10618,10822,10886,10847,10819,10831,10697,10537,10880,11095,11058,11012,11117,10924,10821,10828,10729,10759,10835,10770,10818,10690,10766,10683,10690,10695,10670,10627,10862,10586,10647,10469,10637,10604,10594,10611,10463,10506,10655,10761,10744,10757,10517,10364,10277,10233,10160,10151,10178,10087,10090,9884,9697,9671,9678,9758,9961,9432,9372,9420,9268,9047
"26","17","A     Beverage and tobacco product manufacturing","KS312M0",7141,7202,7212,7314,7287,7311,7296,7214,7256,7283,7193,7064,7358,7216,7226,7124,7053,7103,7124,7075,7238,7403,7266,7130,6974,7030,6928,6896,6846,6752,6668,6663,6669,6820,6684,6847,6888,6632,6608,6593,6600,6547,6526,6562,6599,6495,6522,6206,6260,6278,6287,6394,6467,6459,6488,6431,6421,6331,6334,6338,6411,6408,6448,6339,6343,6402,6388,6378,6424,6447,6492,6342,6199,6154,6113,6129,6101,6093,5997,6058,6152,6053,6072,5810,5831,5944,5869,5881
"27","18","A     Textile mills","KS313M0",2214,2262,2323,2296,2247,2264,2264,2288,2288,2294,2289,2308,2295,2298,2344,2308,2362,2312,2283,2252,2243,2226,2197,2196,2203,2194,2154,2110,2191,2211,2194,2205,2240,2209,2222,2267,2212,2194,2195,2179,2154,2150,2233,2216,2158,2167,2177,2154,2158,2142,2109,2103,2072,2040,2044,2023,2013,1985,1955,1909,1860,1855,1837,1806,1786,1795,1775,1789,1846,1805,1815,1785,1754,1770,1793,1863,1783,1725,1674,1662,1665,1638,1634,1605,1615,1628,1622,1653
"28","19","A     Textile product mills","KS314M0",1242,1281,1290,1300,1291,1286,1293,1285,1289,1258,1236,1258,1239,1244,1227,1236,1242,1222,1215,1206,1196,1170,1179,1195,1187,1238,1255,1252,1249,1276,1260,1272,1258,1297,1308,1281,1295,1272,1308,1340,1390,1416,1450,1474,1471,1465,1484,1496,1485,1480,1490,1472,1454,1457,1444,1431,1462,1493,1484,1503,1459,1456,1450,1448,1448,1475,1510,1524,1521,1518,1507,1507,1536,1541,1531,1614,1577,1520,1495,1486,1482,1483,1569,1577,1555,1568,1574,1571
"29","20","A     Apparel manufacturing","KS315M0",2806,2815,2799,2827,2842,2824,2802,2819,2802,2803,2766,2730,2741,2742,2786,2716,2676,2718,2678,2664,2632,2600,2602,2633,2593,2570,2553,2549,2553,2574,2598,2550,2620,2645,2672,2692,2680,2669,2634,2579,2634,2563,2570,2546,2545,2548,2499,2500,2472,2430,2426,2403,2364,2341,2291,2277,2225,2165,2122,2027,2035,2026,2018,1995,1938,1959,1953,1937,1923,1939,1954,1938,1938,1906,1887,1894,1904,1868,1855,1858,1813,1798,1800,1783,1778,1784,1753,1738
"30","21","A     Leather and allied product manufacturing","KS316M0",496,500,485,508,516,517,529,517,526,526,515,538,545,540,532,554,553,534,526,550,561,558,559,517,512,504,514,494,500,511,494,504,487,492,486,498,484,488,495,488,469,487,487,469,455,469,467,466,488,485,481,489,499,482,479,471,474,447,440,428,421,423,416,401,398,393,401,404,401,428,435,423,412,415,412,414,413,418,412,412,412,412,421,429,419,419,416,421
"31","22","A     Paper manufacturing","KS322M0",7793,7862,7965,7875,7882,7653,7656,7636,7699,7780,7779,7906,7971,7934,7947,7974,7950,8078,8056,8043,7938,7837,7763,7572,7682,7667,7720,7762,7802,7909,7940,8217,8344,8319,8349,8358,8388,8486,8498,8517,8605,8496,8496,8368,8298,8222,8136,8014,8027,7954,7887,7794,7700,7657,7614,7572,7617,7632,7721,7711,7771,7872,7835,7815,7895,7965,7965,7930,8056,8137,8086,8143,8146,8149,8102,8088,8041,8054,7942,7867,7831,7772,7687,7658,7563,7450,7370,7364
"32","23","A     Printing and related support activities","KS323M0",2398,2416,2416,2460,2493,2420,2271,2252,2261,2310,2199,2504,2387,2352,2409,2368,2417,2362,2463,2333,2330,2232,2153,2113,2119,2124,2083,2051,2077,2173,2108,2342,2417,2326,2478,2533,2488,2544,2651,2569,2505,2502,2487,2505,2470,2432,2376,2313,2348,2341,2357,2304,2282,2179,2214,2234,2097,2259,2300,2264,2351,2287,2157,2292,2308,2414,2466,2387,2388,2426,2475,2349,2362,2347,2226,2281,2336,2247,2248,2201,2197,2113,2119,2144,2043,2138,2126,2136
"33","24","A     Petroleum and coal product manufacturing","KS324M0",5063,4912,5037,4955,5175,4975,4788,4922,4877,5007,4908,5070,4879,4881,4902,4755,4704,4469,4836,4805,4616,4493,5499,4807,4652,4662,4795,4585,4484,4512,4511,4498,4695,4805,4988,4856,5071,4907,4829,5102,5119,5022,4765,4732,4668,4460,4591,4249,4202,4300,4349,4383,4429,4612,4724,4696,4762,4900,4758,5039,4392,4719,4953,5123,4868,4775,4807,4724,4721,4745,4839,4666,5253,5140,4807,5250,5274,5222,5175,5408,5797,5445,5106,5414,5520,5657,5703,5688
"34","25","A     Chemical manufacturing","KS325M0",15613,15808,15842,16029,16069,16201,16277,16265,16568,16546,16543,16417,16791,16960,17088,16974,16845,17050,17051,17092,17073,17054,16903,17002,17191,17218,17123,17394,17541,17426,17652,17228,17129,17250,17255,17676,17773,17864,17903,17813,17970,18035,18219,18066,18294,17875,18206,18289,18647,18385,18346,18121,18312,18127,18226,18132,18116,18396,18520,18162,18194,18320,18205,18461,18244,17937,18156,18108,18059,17872,18203,17645,17964,18176,17913,17688,17559,17556,16964,17042,17015,17179,17068,16726,16756,16942,16896,16961
"35","26","A     Plastics and rubber product manufacturing","KS326M0",6887,6819,6825,6853,6845,6840,6831,6824,6914,7006,7001,7093,7095,7115,7156,7130,7144,7187,7183,7228,7177,7241,7337,7250,7261,7263,7282,7289,7365,7326,7374,7442,7531,7499,7576,7688,7731,7758,7694,7749,7642,7686,7675,7578,7525,7456,7473,7438,7466,7446,7476,7370,7309,7253,7227,7263,7217,7205,7209,7081,7090,7040,7774,7609,7634,7563,7492,7425,7488,7490,7344,7251,7307,7374,7307,7284,7205,6934,7124,7147,6977,7065,7023,7156,7224,7146,7173,7206
