"","Table 2BU# Real Manufacturing and Trade Sales, Seasonally Adjust","F2","F3","F4","F5","F6","F7","F8","F9","F10"
"54","47","D     Chemical and allied products wholesalers","KP42260",4833,4825,4870,5048,5057,5159,5010
"55","48","D     Petroleum and petroleum products wholesalers","KP42270",15867,18108,17671,15536,16597,17442,17326
"56","49","D     Beer, wine, and distilled alcoholic beverages wholesalers","KP42280",5044,5339,5761,5961,6021,6304,6595
"57","50","D     Miscellaneous nondurable goods wholesalers","KP42290",12827,13521,13720,14626,14184,13686,13508
"58","51","A Retail trade industries","KP440",219764,234158,253645,265859,273999,284490,300689
"59","52","A   Motor vehicle and parts dealers","KP4410",57126,60836,67515,70163,72036,73526,79410
"60","53","A   Furniture, furnishings, electronics, and appliance stores","KP44230",10437,11969,13928,15687,16794,18767,21288
"61","54","A   Building material and garden equipment and supplies dealers","KP4440",19623,21185,22824,24178,25407,26662,28348
"62","55","A   Food and beverage stores","KP4450",37604,37965,38837,39351,39884,39790,40541
"63","56","A   Clothing and clothing accessories stores","KP4480",11741,12729,13862,14757,14902,15669,16708
"64","57","A   General merchandise stores","KP4520",29177,31109,33837,35924,38015,40279,42691
"65","58","D     Department stores","KP45210",18967,19481,20359,20694,20592,20324,20100
"66","59","D     Other general merchandise stores","KP45290",10138,11593,13467,15230,17406,19888,22441
"67","60","A   Other retail stores","KP44X0",54526,58605,62893,65798,66989,70053,72305
"68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Chained (2000) dollar final sales series are calculated as the product of the chain-type quantity index",NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","and the 2000 current-dollar value of the corresponding series, divided by 100.  Because the formula",NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","for the chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","estimates are usually not additive.  The residual line is the difference between the first line and",NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","the sum of the most detailed lines for inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA
