"","Table 5#4#5BU# Private Fixed Investment in Structures by Type   ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35"
"1","[Millions of dollars; quarters seasonally adjusted at annual rates];                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1997 To 2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published January 31, 2005  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 1/28/2005 3:37:11 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
"9","1","    Private fixed investment in structures","A349RC0",577611,583663,600227,611200,623683,649615,663648,681033,685017,696679,702255,716241,736380,751877,756801,765850,772069,785927,806016,774040,768488,767594,762502,773960,785666,808236,840991,868773,882088,930093,949492,958239
"10","2","Nonresidential","B009RC0",243085,243160,255172,259954,264154,277530,277494,281766,278291,282009,281642,286947,295201,310416,321081,326037,323865,325697,335793,305178,289998,273397,262734,260139,253635,262304,262259,268177,265983,275461,281190,285167
"11","3","  Commercial and health care","W001RC0",103641,100114,106828,106633,109296,115772,115423,121302,121621,123871,125374,126384,129128,136088,141329,143657,143824,139373,131485,125016,121575,117954,114588,112736,110425,112036,112314,111518,110048,117719,119600,117222
"12","4","    Office\1\","W031RC0",35812,34462,39252,41314,43127,46347,45720,50495,51910,51888,52463,50840,53545,59611,62647,65109,65095,60947,54250,48384,43548,41404,39563,37740,35413,34786,34605,35004,34037,35592,35037,33524
"13","5","    Health care","W032RC0",19712,19078,19887,19616,19364,20319,20119,20049,20473,20291,20959,21038,20403,21670,22405,23091,22791,21828,21415,21780,23329,25053,25844,26802,26520,26865,26154,26914,27112,30131,29795,29269
"14","6","      Hospitals and special care","C311RC0",15483,15009,15220,14676,14793,15654,15673,15518,15096,15164,15125,15404,14931,15848,16699,17420,17322,16977,16395,16366,18072,19611,20287,21023,20098,20319,19666,20127,20046,21943,21684,21629
"15","7","        Hospitals","W033RC0",11781,11299,11227,10651,10627,10689,10688,10704,10959,10693,10606,10548,10361,10944,11960,12663,13286,12976,12432,12331,14181,15460,16344,17051,16746,17026,16451,16650,17120,18693,18703,18557
"16","8","        Special care","W034RC0",3701,3710,3993,4025,4166,4964,4985,4814,4137,4471,4519,4856,4571,4903,4739,4757,4036,4000,3963,4035,3891,4151,3943,3972,3352,3293,3215,3477,2926,3251,2981,3071
"17","9","      Medical buildings","W035RC0",4230,4069,4667,4940,4571,4665,4446,4531,5377,5127,5834,5634,5472,5823,5706,5671,5470,4851,5020,5414,5257,5442,5557,5779,6422,6545,6488,6787,7066,8187,8111,7641
"18","10","    Multimerchandise shopping","W036RC0",12166,11199,11715,11085,11613,12664,12783,13270,14053,14637,14673,14486,14349,13412,14048,14813,15771,15911,15459,15033,15903,14961,14239,14063,13912,14545,15000,15386,16007,16875,18468,19815
"19","11","    Food and beverage establishments","W037RC0",8634,7410,8283,8202,8540,9195,8380,8509,6843,8130,7912,8545,8619,8573,8271,7901,7669,8040,9289,8286,7414,7411,7420,7807,8098,7991,7789,7989,7684,7938,7904,6525
"20","12","    Warehouses","W038RC0",11962,12220,12224,11300,11244,11461,12496,13018,12933,12792,12910,13395,13773,13813,14020,14678,15222,15700,14798,13864,12966,11602,10402,10249,11038,11720,12377,11591,10887,11064,11684,11001
"21","13","    Other commercial\2\","W039RC0",15355,15746,15467,15117,15408,15785,15925,15960,15408,16132,16455,18079,18439,19008,19939,18064,17276,16947,16274,17670,18415,17524,17119,16075,15443,16129,16389,14634,14321,16119,16711,17087
"22","14","  Manufacturing","C307RC0",37252,36180,38982,38082,40809,41124,40300,39695,36315,32936,31526,29748,30579,32861,31765,31995,33090,31120,30141,23765,18925,16935,14976,14776,13789,14513,14324,14293,13800,13537,14618,14762
"23","15","  Power and communication","W003RC0",27517,28194,29319,30082,32786,33628,33890,33901,35368,37742,41323,43731,44068,45588,47945,49627,44848,48722,50799,54143,56229,49538,45282,45479,41902,38892,37463,43114,42222,38919,37691,38370
"24","16","    Power","W028RC0",15618,15805,16472,17553,19998,21013,21583,21717,20122,20408,21280,22734,25890,27569,28861,29712,25520,27877,31208,35522,37687,31192,27542,27871,29593,26511,24963,30653,30233,26593,24685,25210
"25","17","      Electric","C571RC0",11071,11207,11397,11625,11938,12209,12508,12869,12756,13679,15060,16845,19872,21617,22923,23740,19569,21820,24923,28901,30427,23615,19710,19847,21440,18284,16717,22442,21516,19201,17729,17389
"26","18","      Other power","W029RC0",4547,4598,5075,5928,8060,8804,9075,8848,7366,6729,6220,5889,6018,5951,5939,5972,5952,6058,6285,6621,7260,7577,7832,8024,8152,8227,8246,8211,8717,7392,6955,7821
"27","19","    Communication","C314RC0",11899,12388,12848,12529,12788,12614,12306,12184,15246,17333,20043,20997,18178,18019,19083,19915,19328,20844,19591,18620,18541,18346,17740,17608,12309,12381,12500,12461,11990,12326,13006,13160
"28","20","  Mining exploration, shafts, and wells","E318RC0",21069,22437,22408,23633,23295,24587,24175,21702,19779,20933,19559,22055,23249,26007,28496,30924,35754,39782,43514,37591,31704,27457,29205,28828,30355,35536,38056,38323,39480,41377,43895,48533
"29","21","    Petroleum and natural gas","C319RC0",19571,20979,21012,22318,22098,23476,23135,20714,18840,19984,18564,20982,22012,24691,27129,29540,34415,38495,42279,36399,30582,26325,28033,27588,29017,34069,36429,36505,37695,39168,41524,46271
