"","Table 6U# BEA Retail and Food Service Sales","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159"
"11","3","S1 QN441ZZZMG   Motor vehicle and parts dealers","T060030",41208,41869,41027,41447,41774,42123,42537,41801,43239,43014,42883,43324,44815,43466,42644,44793,45638,45236,46457,46438,46145,46571,47605,48390,48752,49490,50269,50852,49292,49719,49436,50127,50605,51684,51373,50799,50539,49207,49639,50335,50689,52081,51821,52763,52597,51808,52746,53192,53089,54711,55200,53716,55166,54760,54745,54074,55563,55962,55409,54896,56534,56896,56209,56268,54457,55955,57787,58614,57672,57674,58603,58836,58600,58029,59087,61105,62097,62150,59804,58410,60969,62765,62901,64115,64546,65283,65674,65758,67526,67391,68609,69072,68718,68352,69236,70017,71731,73001,72388,70081,69378,69542,69754,69439,71140,69303,68315,67890,69572,69819,69432,70473,71166,71047,69735,70242,68834,85214,76022,72878,71841,72618,71841,72587,70471,73107,75539,77008,73398,73000,73944,76961,76839,73225,75889,78165,77682,79325,80691,81799,81069,80700,83500,84037,81797,83461,85556,83130,85832,82861,85371,83514,86537,86622,85342,88773
"12","4","S4 QN4411ZZMG     Automobile dealers","T060040",35346,35970,35020,35408,35791,36153,36590,35739,37114,36759,36678,36685,38226,37159,36312,38411,38650,38826,39752,39760,39273,39897,40903,41757,42118,42698,43148,43738,42253,42561,42299,42917,43383,43945,43742,43407,43214,42074,42298,43016,43329,44565,44397,45177,44756,44122,45343,45489,45388,47045,47622,46013,47406,46833,46876,46050,47713,47956,47323,46716,48434,48753,47969,48033,46416,47748,49570,50164,49200,49354,50025,50381,50001,49334,50357,52393,53052,53339,50775,49529,51855,53548,53965,54867,55462,55805,56338,56310,57963,57856,59060,59498,59015,58463,59355,60012,61208,62854,62032,60189,59394,59491,59956,59407,60646,59380,58324,57581,59520,60065,59768,60321,61082,60934,59562,60213,59165,75405,65989,62765,61656,62114,61745,62349,60297,62858,65264,66732,63006,62887,63583,66326,66150,62582,64923,66837,66278,67785,68933,69927,69081,68626,71458,71868,69981,71188,73024,70972,73504,70695,73054,71390,74531,74207,72812,75818
"13","5","S4 QN4412ZZMG     Other motor vehicle dealers","T060050",1719,1715,1685,1752,1655,1587,1616,1770,1777,1826,1743,2190,2204,1822,1930,1877,2408,1814,2027,1972,2095,1954,2005,2011,1768,1868,2204,2148,2212,2230,2154,2114,2244,2669,2601,2351,2278,2186,2364,2269,2334,2407,2351,2442,2651,2526,2119,2447,2455,2353,2268,2363,2423,2566,2440,2718,2522,2567,2656,2715,2649,2686,2729,2716,2622,2661,2695,2837,2812,2726,2891,2880,2897,2943,2920,2942,3121,2988,3168,3023,3209,3270,3056,3237,3025,3373,3281,3306,3418,3366,3338,3427,3338,3518,3441,3568,4084,3793,3896,3610,3594,3645,3463,3656,3734,3565,3682,3692,3900,3539,3448,3859,3816,3772,3882,3703,3468,3619,3856,3778,3794,4042,3732,3782,3748,3784,3799,3838,3951,3672,3912,4167,4185,4091,4349,4736,4742,4850,5052,5161,5113,5199,5174,5237,4942,5266,5447,5223,5410,5279,5407,5244,5170,5370,5396,5584
"14","6","S2 QN4413ZZMG     Automotive parts, accessories and tire stores","T060060",4134,4181,4281,4257,4302,4358,4320,4269,4339,4404,4433,4415,4382,4459,4374,4493,4562,4581,4663,4690,4751,4703,4690,4628,4854,4914,4911,4961,4821,4918,4968,5078,4968,5066,5025,5031,5036,4934,4968,5040,5017,5101,5066,5139,5187,5154,5267,5247,5238,5302,5296,5328,5327,5353,5418,5304,5320,5430,5425,5462,5444,5451,5506,5515,5413,5539,5517,5609,5655,5589,5683,5573,5699,5749,5806,5767,5923,5820,5862,5857,5906,5949,5878,6010,6056,6106,6056,6141,6146,6169,6208,6146,6364,6372,6439,6437,6441,6355,6460,6282,6391,6405,6334,6374,6759,6358,6309,6615,6153,6215,6215,6292,6266,6339,6288,6324,6199,6230,6189,6335,6385,6453,6360,6451,6413,6463,6486,6459,6439,6441,6449,6482,6515,6536,6609,6593,6654,6691,6712,6722,6865,6856,6883,6944,6882,7002,7088,6937,6945,6887,6932,6891,6895,7069,7133,7377
"15","7","S1 QN44DZZZMG   Furniture, home furnishings, electronics and appliance stores","T060070",5924,5988,5979,6038,6066,6172,6178,6125,6158,6174,6180,6298,6490,6464,6438,6584,6655,6719,6874,6852,6899,6899,6980,7025,6860,7193,7326,7373,7416,7573,7576,7760,7843,8035,8141,8232,8229,8141,8152,8078,8297,8477,8387,8532,8634,8741,8927,8909,8711,8913,9157,9292,9370,9418,9425,9495,9657,9692,9672,9686,9707,9922,9944,10182,10209,10293,10495,10693,10774,10827,11040,11157,11357,11456,11438,11406,11553,11874,12048,12254,12239,12392,12724,12887,12811,13083,13319,13359,13622,13856,14021,14251,14545,14632,14661,14973,15232,15491,15523,15788,15674,15607,15747,15920,15991,15966,15844,15454,16252,16143,16241,16189,16373,16686,16855,16996,16715,17072,17799,18201,18123,18478,18653,18545,18705,18688,18529,18705,18882,19019,19365,19518,19537,19178,19872,20096,20918,21382,21664,22121,22456,22554,22754,22923,23034,23241,23602,23615,23516,23990,24477,24350,24539,24571,24846,25305
"16","8","S1 QN442ZZZMG     Furniture and home furnishings stores","T060080",5002,5076,5006,4999,5022,5080,5035,5036,5024,4987,4994,5098,5269,5201,5064,5205,5269,5228,5262,5235,5236,5257,5295,5288,5014,5378,5494,5495,5491,5524,5546,5683,5739,5797,5795,5871,5820,5670,5632,5660,5699,5753,5768,5736,5808,5828,6004,5866,5672,5862,6009,6038,6056,6111,6159,6108,6135,6188,6229,6194,6261,6294,6273,6332,6347,6346,6409,6547,6578,6586,6695,6748,6808,6770,6704,6685,6715,6795,6800,6767,6782,6882,7039,7132,6966,7168,7227,7167,7285,7404,7393,7585,7712,7754,7799,7859,7929,8020,8026,8103,8158,8148,8194,8188,8081,8131,8010,7584,8194,8026,8014,7968,8027,8122,8126,8140,7906,8015,8217,8358,8370,8487,8481,8408,8451,8336,8223,8383,8366,8347,8569,8545,8561,8253,8670,8706,8990,9139,9132,9253,9367,9397,9435,9460,9523,9560,9687,9646,9521,9736,9999,9913,9917,9894,9833,10092
"17","9","S4 QN4421ZZMG       Furniture Stores","T060090",2919,2967,2917,2918,2935,2957,2928,2941,2946,2904,2898,2972,3005,3031,2951,3036,3092,3059,3086,3052,3031,3049,3082,3080,2934,3090,3123,3121,3111,3118,3142,3217,3274,3265,3305,3324,3312,3171,3175,3168,3226,3270,3271,3288,3311,3360,3395,3284,3177,3359,3412,3451,3433,3441,3463,3414,3459,3490,3484,3497,3551,3610,3534,3561,3597,3578,3630,3730,3713,3731,3817,3879,3893,3859,3819,3811,3814,3849,3840,3809,3862,3879,3964,3938,3932,4000,4041,3922,4067,4101,4114,4183,4295,4286,4292,4330,4357,4438,4423,4537,4564,4542,4605,4568,4474,4499,4451,4203,4528,4439,4447,4440,4455,4552,4568,4540,4444,4508,4667,4701,4694,4764,4748,4727,4730,4655,4571,4602,4648,4634,4712,4625,4636,4487,4696,4716,4820,4868,4895,4989,4997,5044,5056,5086,5168,5149,5161,5205,5226,5316,5489,5438,5420,5437,5426,5563
"18","10","S4 QN4422ZZMG       Home furnishings stores","T060100",2083,2109,2089,2081,2088,2123,2107,2095,2078,2083,2096,2126,2264,2170,2113,2169,2177,2170,2176,2184,2205,2208,2213,2209,2080,2288,2371,2373,2380,2406,2404,2466,2464,2532,2489,2546,2508,2499,2457,2492,2474,2483,2497,2447,2497,2468,2609,2582,2495,2502,2597,2587,2623,2669,2696,2694,2676,2698,2747,2696,2710,2684,2739,2772,2750,2768,2779,2817,2865,2855,2878,2869,2914,2911,2885,2874,2900,2946,2960,2958,2920,3002,3076,3194,3034,3167,3185,3245,3218,3302,3280,3403,3417,3468,3507,3529,3572,3582,3603,3566,3595,3606,3589,3619,3606,3632,3559,3380,3666,3586,3567,3528,3572,3571,3559,3599,3463,3508,3552,3658,3677,3724,3734,3683,3721,3681,3652,3778,3718,3713,3855,3916,3922,3763,3971,3987,4167,4267,4233,4260,4366,4349,4376,4370,4351,4407,4523,4437,4292,4416,4505,4471,4493,4452,4403,4525
"19","11","S1 QN443ZZZMG     Electronics and appliance stores","T060110",1686,1695,1721,1763,1771,1816,1840,1804,1832,1860,1861,1891,1941,1956,2003,2036,2054,2118,2208,2206,2238,2228,2266,2300,2321,2373,2409,2441,2474,2568,2559,2620,2651,2757,2834,2860,2883,2897,2925,2858,2995,3097,3024,3147,3183,3251,3292,3356,3318,3362,3462,3547,3596,3600,3576,3661,3770,3765,3723,3756,3728,3878,3909,4063,4074,4144,4266,4335,4380,4418,4519,4580,4705,4816,4849,4836,4941,5160,5310,5522,5497,5553,5724,5796,5869,5948,6117,6208,6350,6466,6633,6677,6843,6888,6874,7119,7305,7471,7497,7684,7517,7460,7551,7730,7910,7832,7832,7878,8051,8117,8234,8229,8357,8583,8759,8895,8864,9123,9678,9952,9854,10105,10309,10279,10406,10534,10499,10493,10719,10902,11007,11217,11215,11213,11457,11670,12248,12591,12939,13317,13556,13632,13818,13991,14031,14229,14483,14563,14630,14888,15091,15064,15296,15373,15820,15986
"20","12","S1 QN444ZZZMG   Building material and garden equipment and supplies dealers","T060120",16273,16044,15734,15365,15412,15407,15575,15624,15695,15688,15379,15123,15668,15538,14806,14973,15359,15550,15679,15833,15767,15712,15970,16002,15806,15916,16372,16971,16861,16854,17011,17232,17288,17402,17234,17464,17604,17521,17332,17030,16978,17241,17304,17426,17444,17709,18073,18382,18083,18150,18165,18406,18497,18921,18943,18945,18842,19086,19077,18389,18964,19248,19457,19360,19331,19544,19657,19654,20024,20149,19998,20082,20286,20374,20456,20776,20895,20985,21249,21077,21551,21891,22208,22472,22420,22714,22517,22397,22445,22432,22326,22627,22828,23323,23881,23983,24295,23907,25214,23447,23849,23803,23906,24160,24092,24254,24233,24980,24919,25343,25176,26276,25666,25338,25388,25286,24847,25545,25611,25482,26146,26179,26265,27204,26775,26867,26575,26738,26842,26838,27057,26457,27657,26001,27819,27666,27804,28683,28896,28943,28827,29234,29322,29322,29353,28988,31501,31083,30481,30959,31097,30758,31110,31242,31688,31941
"21","13","S2 QN4441ZZMG     Building material and supplies dealers","T060130",13836,13571,13282,13103,13089,13227,13381,13446,13479,13407,13215,12998,13478,13369,12722,12799,13142,13258,13445,13522,13478,13493,13620,13655,13467,13630,13989,14441,14493,14556,14771,15012,14948,15164,15049,15215,15333,15206,15042,14799,14758,14918,14904,14999,15122,15315,15629,15950,15681,15735,15839,15917,16062,16350,16344,16323,16240,16436,16427,15844,16324,16600,16678,16770,16651,16812,16893,16842,17166,17324,17177,17168,17445,17539,17605,17847,17983,18229,18507,18364,18740,19025,19254,19473,19480,19782,19764,19613,19614,19583,19460,19755,19987,20377,20864,20918,21077,20772,21932,20657,21097,21014,21103,21167,21064,21353,21210,21702,21731,22065,22195,22925,22319,22270,22389,22571,22058,22681,22808,22844,23388,23401,23382,24184,23867,23811,23636,23762,23986,23963,24117,23554,24643,22919,24738,24680,24647,25479,25711,25784,25673,26089,26205,26097,26035,25693,28229,27899,27443,27926,27972,27539,27769,27989,28439,28843
"22","14","S3 QN4442ZZMG     Lawn and garden equipment and supplies stores","T060140",2447,2481,2458,2273,2332,2193,2207,2192,2229,2291,2175,2135,2198,2177,2091,2186,2228,2306,2242,2323,2300,2224,2362,2359,2353,2294,2394,2545,2374,2301,2240,2217,2342,2236,2180,2246,2270,2316,2291,2232,2220,2324,2404,2431,2324,2397,2447,2434,2404,2417,2330,2491,2437,2573,2602,2625,2604,2653,2653,2547,2643,2650,2785,2590,2684,2737,2769,2819,2865,2830,2826,2921,2846,2838,2855,2933,2915,2757,2743,2715,2812,2867,2954,3000,2941,2933,2753,2783,2831,2850,2868,2873,2840,2947,3017,3066,3222,3138,3285,2790,2751,2788,2802,2992,3027,2902,3022,3272,3183,3271,2985,3347,3341,3068,3002,2725,2796,2870,2812,2653,2770,2789,2892,3029,2918,3063,2948,2985,2869,2887,2952,2912,3024,3081,3091,2999,3162,3211,3195,3170,3164,3158,3131,3236,3326,3303,3289,3202,3057,3053,3144,3235,3355,3269,3267,3126
"23","15","S1 QN445ZZZMG   Food and beverage stores","T060150",37485,37312,37422,37463,37533,37484,37600,37543,37446,37583,37616,37515,37401,37559,37343,37336,37224,37268,37402,37258,37429,37352,37345,37430,37434,37721,37737,37937,37835,37995,37576,37848,37985,37892,37892,37794,38175,37694,37713,37368,37686,37626,37486,37503,37414,37435,37378,37764,37890,37559,37525,37619,37459,37585,37666,37600,37450,37530,37546,37395,37720,37507,37692,37648,37414,37422,37558,37698,37685,37665,37708,37530,37463,37441,37803,37660,37780,38008,38062,38210,38260,38176,38321,38396,38134,38456,38498,38695,38889,38608,38769,38853,39118,38829,38997,40195,38468,38712,39243,39630,39307,39677,39430,39442,39424,39708,39569,39608,39606,39717,39626,39785,39941,39808,39787,39909,40020,40105,40022,40283,39997,39917,39816,39510,39778,39720,39734,39625,39618,39852,40053,39865,40416,40335,40395,40555,40072,40546,40713,40794,40861,40743,40681,40377,41158,40896,41159,41166,41192,41115,40998,41348,41716,41632,41730,41915
"24","16","S1 QN4451ZZMG     Grocery stores","T060160",34241,34013,34103,34097,34168,34115,34195,34100,34012,34151,34201,34079,33969,34157,34014,34001,33868,33895,34022,33900,34132,34045,34034,34147,34119,34376,34380,34553,34411,34619,34191,34473,34550,34461,34464,34380,34770,34348,34371,34018,34386,34315,34158,34144,34001,34022,33983,34330,34384,34107,34068,34164,34048,34103,34209,34143,34091,34161,34157,34029,34286,34090,34240,34237,34023,33928,34050,34189,34179,34155,34205,34007,33925,33836,34221,34059,34192,34440,34465,34592,34638,34560,34716,34774,34548,34852,34907,35016,35246,35004,35180,35260,35503,35197,35337,36492,34790,34975,35502,35876,35514,35854,35583,35587,35553,35801,35672,35887,35664,35827,35731,35925,36037,35891,35861,36028,36154,36259,36102,36348,36110,35979,35891,35582,35828,35746,35765,35693,35704,35957,36121,35860,36461,36419,36406,36513,36032,36512,36605,36608,36632,36483,36466,36218,36888,36622,36864,36846,36836,36760,36632,36984,37338,37227,37321,37445
"25","17","S3 QN4452ZZMG     Specialty food stores","T060170",1094,1103,1143,1159,1162,1177,1208,1183,1185,1172,1161,1175,1190,1181,1132,1161,1184,1187,1193,1179,1144,1142,1142,1127,1130,1142,1132,1148,1155,1135,1115,1135,1160,1174,1181,1174,1172,1149,1145,1143,1113,1111,1132,1140,1155,1172,1171,1166,1171,1168,1156,1156,1151,1162,1138,1144,1125,1140,1154,1152,1179,1162,1163,1135,1105,1149,1167,1186,1186,1163,1143,1171,1153,1174,1192,1198,1191,1187,1199,1175,1191,1189,1173,1168,1180,1186,1185,1202,1188,1180,1150,1162,1163,1169,1204,1216,1210,1229,1224,1258,1243,1255,1266,1247,1265,1275,1253,1212,1291,1286,1304,1278,1303,1313,1349,1315,1300,1271,1308,1319,1284,1308,1305,1316,1340,1357,1372,1366,1356,1360,1382,1389,1394,1348,1394,1408,1436,1434,1454,1494,1506,1536,1519,1473,1569,1567,1593,1588,1606,1620,1620,1625,1628,1634,1653,1665
"26","18","S2 QN4453ZZMG     Beer, wine, liquor stores","T060180",2149,2194,2174,2204,2199,2189,2194,2255,2246,2256,2251,2256,2238,2216,2194,2172,2169,2183,2183,2176,2151,2162,2166,2154,2182,2201,2224,2233,2266,2239,2268,2237,2273,2254,2243,2237,2230,2194,2194,2204,2184,2197,2193,2216,2256,2239,2222,2266,2334,2283,2299,2298,2258,2319,2319,2313,2233,2226,2233,2211,2252,2254,2288,2275,2284,2344,2340,2321,2319,2346,2360,2352,2385,2432,2389,2403,2397,2381,2398,2444,2430,2427,2433,2454,2406,2417,2405,2478,2454,2423,2439,2431,2451,2464,2456,2486,2468,2509,2517,2495,2549,2567,2581,2609,2605,2633,2644,2510,2651,2604,2591,2581,2601,2605,2576,2565,2565,2575,2611,2616,2603,2630,2621,2613,2610,2617,2598,2566,2558,2535,2550,2616,2563,2569,2594,2635,2604,2600,2655,2693,2724,2725,2697,2687,2701,2707,2702,2733,2751,2736,2746,2740,2750,2772,2756,2806
