"","Table 1#1#4# Price Indexes for Gross Domestic Product           ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"11","3","  Goods","DGDSRG3",23.546,23.773,24.137,24.772,25.128,25.397,25.789,25.598,25.282,24.996,24.707,24.562,24.431,24.567,25.171,25.701,26.747,26.976,26.939,27.261,27.327,27.169,27.27,27.199,27.176,27.098,27.094,27.102,27.224,27.121,26.928,26.791,26.829,26.805,26.894,26.901,26.977,27.178,27.473,27.629,27.874,28.088,28.307,28.405,28.87,28.883,28.81,28.674,28.866,28.901,28.992,29.068,29.027,29.172,29.213,29.323,29.359,29.238,29.313,29.263,29.35,29.417,29.464,29.546,29.579,29.582,29.763,29.833,29.974,29.965,30.02,30.092,30.159,30.334,30.409,30.41,30.687,30.91,31.104,31.283,31.259,31.333,31.667,31.91,32.205,32.479,32.778,33.107,33.338,33.738
"12","4","    Durable goods","DDURRG3",41.428,41.809,42.042,42.59,42.915,43.478,44.99,45.072,44.92,44.626,44.083,44.031,43.897,44.234,44.847,45.587,47.273,47.588,47.606,48.065,48.393,47.823,48.318,47.183,47.642,47.696,47.391,47.483,47.862,46.66,45.895,45.628,45.912,46.137,46.576,46.7,46.878,46.978,47.658,48.279,48.667,49.341,49.336,49.432,50.31,50.107,50.055,49.877,50.747,50.941,50.932,50.91,50.836,50.775,50.62,50.532,50.54,50.779,51.01,50.947,50.954,51.02,51.188,50.987,51.003,51.159,51.303,51.465,51.539,51.509,51.454,51.351,51.36,51.199,50.944,50.663,50.596,50.813,51.038,51.272,51.165,51.39,51.956,52.481,52.821,53.143,53.586,54.075,54.391,54.798
"13","5","    Nondurable goods","DNDGRG3",17.644,17.816,18.138,18.686,18.993,19.184,19.371,19.171,18.881,18.639,18.428,18.29,18.175,18.259,18.783,19.213,20.023,20.204,20.161,20.415,20.437,20.36,20.396,20.48,20.392,20.306,20.349,20.343,20.412,20.479,20.398,20.303,20.303,20.244,20.264,20.252,20.301,20.49,20.687,20.749,20.941,21.054,21.278,21.363,21.703,21.745,21.679,21.569,21.635,21.641,21.734,21.815,21.785,21.941,22.006,22.13,22.163,22.008,22.049,22.008,22.094,22.152,22.174,22.289,22.322,22.3,22.463,22.509,22.644,22.639,22.707,22.799,22.869,23.085,23.211,23.264,23.576,23.775,23.942,24.092,24.086,24.123,24.377,24.54,24.794,25.03,25.269,25.533,25.723,26.082
"14","6","  Services","DSERRG3",9.021,9.071,9.288,9.499,9.554,9.648,9.794,9.829,9.823,9.843,9.875,9.946,9.988,10.025,10.178,10.309,10.498,10.574,10.631,10.792,10.868,10.954,11.07,11.155,11.272,11.359,11.507,11.621,11.688,11.71,11.731,11.782,11.851,11.894,11.952,12.024,12.094,12.164,12.266,12.342,12.454,12.513,12.619,12.71,12.802,12.846,12.907,12.972,13.067,13.162,13.286,13.402,13.462,13.536,13.626,13.697,13.732,13.793,13.859,13.918,14.001,14.069,14.121,14.166,14.232,14.273,14.32,14.395,14.465,14.538,14.611,14.676,14.738,14.8,14.875,14.969,15.064,15.203,15.343,15.495,15.601,15.714,15.836,15.986,16.177,16.37,16.559,16.761,16.976,17.207
"15","7","Gross private domestic investment","B006RG3",17.996,18.712,19.351,19.567,19.831,20.262,20.833,20.961,20.894,20.856,20.627,20.536,20.51,20.817,21.398,21.883,22.696,23.05,23.144,23.36,23.446,23.524,23.536,23.422,23.377,23.468,23.642,23.586,23.616,23.714,23.697,23.706,23.687,23.839,24.131,24.456,24.968,25.238,25.678,25.867,26.111,26.216,26.381,26.473,26.215,26.34,26.369,26.435,26.445,26.553,26.628,26.669,26.695,26.736,26.717,26.668,26.623,26.638,26.627,26.63,26.646,26.659,26.653,26.623,26.631,26.575,26.485,26.55,26.465,26.678,26.712,26.985,26.998,27.053,27.091,27.401,27.279,27.715,27.722,28.054,28.175,28.292,28.447,28.781,29.051,29.313,29.471,30.106,30.414,30.737
"16","8","  Fixed investment","B007RG3",16.879,17.54,17.983,18.348,18.538,18.949,19.539,19.765,19.725,19.696,19.471,19.397,19.395,19.713,20.267,20.65,21.351,21.672,21.84,22.068,22.179,22.286,22.319,22.27,22.282,22.399,22.58,22.536,22.543,22.638,22.636,22.657,22.651,22.809,23.093,23.402,23.892,24.149,24.57,24.754,24.99,25.103,25.276,25.379,25.145,25.248,25.275,25.329,25.372,25.468,25.537,25.575,25.606,25.656,25.642,25.592,25.537,25.556,25.539,25.538,25.556,25.576,25.568,25.537,25.551,25.505,25.413,25.471,25.385,25.611,25.641,25.923,25.938,25.992,26.033,26.344,26.203,26.659,26.654,26.988,27.105,27.233,27.406,27.742,28.025,28.294,28.463,29.105,29.414,29.733
"17","9","    Nonresidential","B008RG3",21.534,22.223,22.821,23.221,23.354,24.028,24.89,25.26,25.072,25.03,24.923,24.768,24.801,25.04,25.562,26.433,27.35,27.815,28.065,28.378,28.522,28.599,28.505,28.509,28.521,28.737,28.961,28.939,29.045,29.193,28.987,29.04,28.937,29.11,29.586,30.215,31.072,31.331,32.145,32.581,33.091,33.272,33.501,33.76,33.379,33.565,33.621,33.717,33.775,33.967,34.119,34.183,34.189,34.221,34.187,34.065,34.01,33.978,33.938,33.953,33.956,34,33.991,33.953,33.975,33.955,33.98,33.972,33.971,34.132,34.14,34.325,34.376,34.463,34.559,34.729,34.675,35.015,35.087,35.41,35.594,35.779,36.017,36.365,36.633,36.992,37.302,37.885,38.153,38.506
"18","10","      Structures","B009RG3",7.526,7.622,7.89,8.154,8.371,8.601,8.823,8.905,8.754,8.633,8.588,8.605,8.589,8.562,8.745,9.116,9.484,9.716,9.877,9.969,10.052,10.018,9.997,10.018,10.048,10.19,10.322,10.307,10.164,10.062,10.066,10.08,10.107,10.189,10.327,10.558,11.025,10.99,11.287,11.4,11.523,11.667,11.729,11.701,11.383,11.455,11.5,11.535,11.457,11.522,11.566,11.575,11.615,11.545,11.49,11.414,11.413,11.435,11.447,11.489,11.506,11.544,11.532,11.567,11.602,11.625,11.655,11.664,11.647,11.78,11.796,11.98,12.003,12.09,12.12,12.359,12.329,12.6,12.615,12.777,12.831,12.901,12.99,13.17,13.355,13.523,13.632,13.976,14.174,14.408
"19","11","      Equipment and software","B010RG3",33.713,35.133,35.923,36.243,36.054,37.113,38.657,39.353,39.274,39.49,39.34,38.908,39.035,39.697,40.511,41.71,43.023,43.56,43.753,44.288,44.43,44.707,44.534,44.487,44.438,44.592,44.791,44.766,45.447,46.147,45.592,45.687,45.34,45.551,46.377,47.337,48.188,48.962,50.187,50.988,51.961,52.003,52.42,53.182,53.17,53.444,53.449,53.597,53.996,54.305,54.569,54.709,54.604,54.897,54.978,54.902,54.758,54.599,54.453,54.365,54.319,54.318,54.33,54.126,54.084,53.967,53.947,53.9,53.945,53.983,53.96,53.919,53.987,53.968,54.13,53.917,53.865,54.015,54.156,54.541,54.857,55.133,55.491,55.893,56.096,56.557,57.042,57.629,57.808,58.111
"20","12","    Residential","B011RG3",9.231,9.743,9.957,10.204,10.387,10.499,10.74,10.797,10.882,10.869,10.615,10.62,10.605,10.878,11.292,11.272,11.641,11.776,11.839,11.948,12.009,12.113,12.228,12.153,12.161,12.175,12.281,12.232,12.166,12.2,12.342,12.337,12.394,12.498,12.583,12.59,12.693,12.887,12.908,12.851,12.813,12.845,12.932,12.883,12.823,12.837,12.837,12.848,12.868,12.877,12.873,12.882,12.921,12.97,12.972,12.987,12.946,12.997,13,12.988,13.011,13.009,13.005,12.987,12.99,12.939,12.794,12.879,12.759,12.965,13.002,13.287,13.273,13.29,13.277,13.648,13.455,13.945,13.861,14.169,14.194,14.243,14.324,14.596,14.847,14.984,14.988,15.58,15.879,16.112
"21","13","  Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","14","Net exports of goods and services","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","15","  Exports","B020RG3",21.482,23.073,24.249,24.847,25.004,24.87,24.576,24.194,23.768,23.326,22.957,22.71,22.342,22.386,22.593,23.009,24.374,25.263,25.998,26.425,25.765,25.685,25.635,25.597,25.7,25.655,25.572,25.465,25.345,25.254,25.204,25.198,25.274,25.384,25.516,25.692,25.892,26.161,26.457,26.762,27.13,27.335,27.415,27.384,27.12,27.011,26.992,27.035,26.886,26.92,27.143,27.426,27.465,27.42,27.549,27.462,27.591,27.957,27.907,28.114,28.161,27.894,27.876,27.914,27.953,27.914,27.849,27.878,27.947,27.939,28.161,28.466,29.108,29.011,29.04,28.934,29.415,29.659,30.005,30.52,31.049,31.008,30.976,31.148,31.375,32.021,31.634,31.861,32.345,32.4
"24","16","    Goods","B253RG3",24.575,26.918,28.634,29.504,29.692,29.484,29.041,28.477,27.863,27.223,26.694,26.332,25.833,25.871,26.135,26.686,28.51,29.667,30.584,31.067,30.109,29.885,29.717,29.589,29.688,29.59,29.472,29.341,29.199,29.106,29.055,29.05,29.133,29.269,29.44,29.669,29.977,30.316,30.671,31.006,31.357,31.528,31.561,31.491,31.183,31.069,31.094,31.216,31.468,31.297,31.336,31.668,31.639,31.595,31.752,31.629,31.902,32.391,32.237,32.493,32.361,31.906,31.861,31.887,32.024,31.953,31.821,31.806,31.979,31.859,32.12,32.511,33.386,33.251,33.253,33.05,33.75,34.037,34.495,35.197,35.978,35.811,35.658,35.795,35.965,36.874,36.198,36.424,37.056,36.95
"25","17","    Services","B646RG3",16.207,15.503,15.142,15.02,15.141,15.234,15.357,15.468,15.533,15.62,15.671,15.726,15.681,15.75,15.823,15.914,16.172,16.438,16.773,17.104,17.175,17.467,17.721,17.921,18.042,18.133,18.132,18.074,18,17.906,17.851,17.842,17.911,17.959,18.003,18.055,17.99,18.096,18.264,18.522,18.988,19.317,19.539,19.599,19.416,19.304,19.173,19.026,18.189,18.559,19.083,19.284,19.436,19.392,19.466,19.453,19.296,19.436,19.583,19.698,20.088,20.162,20.197,20.255,20.117,20.129,20.189,20.32,20.177,20.394,20.542,20.672,20.866,20.839,20.92,21.014,21.057,21.226,21.371,21.533,21.604,21.784,21.967,22.196,22.515,22.683,22.812,23.032,23.25,23.581
"26","18","  Imports","B021RG3",14.717,15.753,16.597,17.163,17.563,17.623,17.45,17.17,16.783,16.609,16.537,16.601,16.913,17.272,17.828,18.656,20.208,21.295,21.911,21.999,21.102,20.76,20.397,20.061,19.886,19.692,19.602,19.605,19.829,19.92,20.047,20.062,19.813,19.826,19.866,19.926,19.983,20.138,20.26,20.451,20.54,20.554,20.431,20.226,19.743,19.538,19.511,19.563,19.599,19.695,19.789,19.982,19.923,19.917,20.016,19.963,19.983,19.962,19.942,19.933,19.705,19.737,19.667,19.77,19.95,20.037,20.155,20.267,20.448,20.551,20.522,20.585,20.751,20.663,20.807,21.026,21.126,21.349,21.292,21.419,21.413,21.359,21.366,21.379,21.521,21.684,21.728,21.883,21.975,22.07
"27","19","    Goods","B255RG3",14.379,15.765,16.882,17.628,18.006,18.064,17.837,17.49,17.067,16.866,16.783,16.873,17.345,17.795,18.479,19.492,21.407,22.823,23.683,23.872,22.413,22.025,21.6,21.222,21.039,20.844,20.789,20.848,21.109,21.256,21.459,21.49,21.201,21.234,21.29,21.358,21.424,21.609,21.735,21.985,22.022,22.037,21.87,21.597,20.959,20.677,20.638,20.681,20.607,20.788,20.941,21.223,21.162,21.125,21.155,21.005,20.972,20.9,20.892,20.879,20.532,20.49,20.325,20.299,20.43,20.519,20.662,20.786,21.097,21.212,21.131,21.18,21.254,21.076,21.236,21.472,21.494,21.814,21.733,21.913,21.831,21.747,21.747,21.753,21.902,22.068,22.048,22.23,22.364,22.451
"28","20","    Services","B656RG3",15.812,15.717,15.722,15.814,16.289,16.371,16.363,16.272,15.992,15.878,15.818,15.799,15.652,15.772,15.968,16.222,16.684,16.859,16.931,16.894,17.182,16.993,16.787,16.55,16.388,16.197,16.052,15.967,16.114,16.109,16.107,16.095,15.933,15.915,15.923,15.965,16.006,16.101,16.203,16.287,16.453,16.463,16.416,16.331,16.128,16.048,16.033,16.093,16.304,16.26,16.256,16.284,16.233,16.279,16.482,16.583,16.687,16.746,16.706,16.701,16.684,16.835,16.938,17.257,17.513,17.592,17.657,17.735,17.663,17.735,17.805,17.89,18.225,18.325,18.427,18.596,18.854,18.855,18.854,18.856,19.011,19.025,19.045,19.071,19.186,19.33,19.522,19.599,19.588,19.697
"29","21","Government consumption expenditures and gross investment","B822RG3",8.905,8.923,8.784,8.887,9.037,9.117,9.325,9.394,9.571,9.501,9.383,9.474,9.417,9.37,9.515,9.65,10.11,10.029,10.103,10.23,10.121,10.269,10.39,10.504,10.428,10.447,10.397,10.446,10.512,10.609,10.696,10.782,10.849,11.038,11.176,11.311,11.506,11.688,11.807,11.865,12.091,12.202,12.284,12.358,12.443,12.569,12.67,12.725,12.707,12.669,12.605,12.63,12.68,12.727,12.862,12.969,12.978,13.048,13.074,13.162,13.301,13.35,13.41,13.531,13.612,13.654,13.639,13.857,13.946,14.007,14.148,14.178,14.272,14.336,14.48,14.688,14.791,14.916,15.181,15.285,15.387,15.559,15.743,15.993,16.189,16.388,16.617,16.886,17.025,17.32
"30","22","  Federal","B823RG3",10.413,10.347,9.963,9.949,9.991,10.002,10.142,10.163,10.561,10.547,10.34,10.565,10.528,10.378,10.421,10.442,11.036,10.79,10.814,10.952,10.785,10.957,11.05,11.226,11.065,11.106,11.034,11.117,11.234,11.265,11.373,11.477,11.633,11.925,12.044,12.188,12.359,12.571,12.649,12.671,12.981,13.056,13.162,13.299,13.472,13.62,13.749,13.811,13.677,13.594,13.478,13.506,13.505,13.543,13.75,13.91,13.874,13.908,13.885,13.964,14.084,14.129,14.218,14.377,14.439,14.458,14.405,14.724,14.842,14.9,15.117,15.12,15.177,15.228,15.401,15.709,15.73,15.746,16.077,16.104,16.081,16.271,16.437,16.757,16.91,17.12,17.437,17.681,17.71,17.971
"31","23","    National defense","B824RG3",10.464,10.462,9.604,9.619,9.8,9.898,10.091,10.154,10.392,10.334,10.223,10.341,10.302,10.165,10.316,10.471,10.85,10.629,10.658,10.811,10.565,10.736,10.821,10.995,10.811,10.852,10.779,10.857,11.015,11.024,11.156,11.262,11.382,11.683,11.852,12.012,12.203,12.41,12.466,12.51,12.838,12.886,12.994,13.11,13.27,13.387,13.54,13.602,13.433,13.361,13.266,13.301,13.285,13.326,13.49,13.661,13.59,13.642,13.608,13.692,13.779,13.833,13.934,14.041,14.154,14.161,14.082,14.439,14.509,14.516,14.726,14.73,14.788,14.866,15.059,15.381,15.349,15.351,15.724,15.715,15.673,15.867,16.042,16.393,16.476,16.674,16.98,17.205,17.233,17.518
"32","24","    Nondefense","B825RG3",9.69,9.343,10.635,10.54,10.023,9.774,9.774,9.689,10.488,10.594,10.161,10.658,10.647,10.491,10.199,9.709,11.179,10.736,10.669,10.645,11.125,11.305,11.455,11.614,11.648,11.685,11.621,11.73,11.562,11.737,11.667,11.751,12.119,12.323,12.125,12.155,12.184,12.4,12.613,12.488,12.653,12.903,12.976,13.238,13.475,13.827,13.787,13.867,13.975,13.845,13.645,13.635,13.701,13.718,14.133,14.233,14.376,14.312,14.351,14.397,14.679,14.672,14.705,15.074,14.916,14.985,15.042,15.203,15.502,15.743,15.976,15.973,16.019,15.98,16.083,16.334,16.535,16.6,16.764,16.934,16.992,17.153,17.27,17.444,17.888,18.136,18.486,18.798,18.83,18.981
"33","25","  State and local","B829RG3",7.233,7.357,7.515,7.759,8.039,8.206,8.503,8.635,8.541,8.404,8.39,8.336,8.261,8.322,8.569,8.823,9.13,9.289,9.46,9.582,9.589,9.703,9.898,9.884,9.987,9.956,9.954,9.936,9.909,10.137,10.194,10.251,10.173,10.212,10.384,10.511,10.75,10.898,11.083,11.194,11.308,11.475,11.525,11.514,11.487,11.588,11.656,11.702,11.832,11.85,11.851,11.872,11.985,12.042,12.096,12.141,12.203,12.318,12.402,12.504,12.669,12.726,12.75,12.828,12.934,13.006,13.035,13.139,13.198,13.264,13.325,13.383,13.517,13.596,13.711,13.821,14.009,14.247,14.447,14.633,14.874,15.029,15.235,15.412,15.657,15.847,15.987,16.286,16.537,16.869
