"","Table 1#2#6# Real Gross Domestic Product by Major Type of Produc","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"1","[Billions of chained (2005) dollars]                                                                                                                                                                                                                      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published September 27, 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 9/26/2012 10:31:30 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
"8","1","    Gross domestic product","A191RX1",4258.2,4266.3,4409.5,4643.8,4912.8,4885.7,4875.4,5136.9,5373.1,5672.8,5850.1,5834,5982.1,5865.9,6130.9,6571.5,6843.4,7080.5,7307,7607.4,7879.2,8027.1,8008.3,8280,8516.2,8863.1,9086,9425.8,9845.9,10274.7,10770.7,11216.4,11337.5,11543.1,11836.4,12246.9,12623,12958.5,13206.4,13161.9,12757.9,13063,13299.1
"9","2","       Final sales of domestic product","A190RX1",4245,4284.3,4403.6,4636.7,4884,4870,4922.1,5115.9,5340.3,5634.9,5836.2,5873.6,5954.4,5918.2,6167.6,6490,6833.1,7092.7,7289.9,7601.3,7860.8,8025.8,8027.9,8277.2,8508,8801.7,9065.4,9404.4,9774.2,10208.3,10706.5,11158,11382,11533.6,11820.5,12181.3,12573,12899.3,13177.5,13200.5,12899.7,13010.3,13265.3
"10","3","       Change in private inventories","A014RX1",30.3,5.6,25,25.7,39,29.1,-12.8,34.3,43.1,45.6,28,-9.3,39,-19.7,-7.7,78.3,25.4,8.5,33.2,21.9,30.6,16.6,-1.4,17.9,22.3,69.3,32.1,31.2,77.4,71.6,68.5,60.2,-41.8,12.8,17.3,66.3,50,59.4,27.7,-36.3,-139,50.9,31
