"","Table 3#5# Taxes on Production and Imports                      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 02, 2012   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 9/26/2012 10:41:27 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
"8","1","    Taxes on production and imports","W056RC1",83.9,91.4,100.5,107.9,117.2,124.9,135.3,146.4,159.7,170.9,180.1,200.3,235.6,240.9,263.3,289.8,308.1,323.4,347.5,374.5,398.9,425,457.1,483.4,503.1,545.2,557.9,580.8,611.6,639.5,673.6,708.6,727.7,762.8,806.8,863.4,930.2,986.8,1027.2,1038.6,1023.2,1055,1097.9
"9","2","Federal","W007RC1",17.8,18.1,19,18.5,19.8,20.1,22.1,21.4,22.7,25.3,25.7,33.7,49.9,41,44.4,47.3,46.1,43.7,45.9,49.8,49.7,50.9,61.8,63.3,66.4,79,75.6,72.9,77.8,80.7,83.4,87.3,85.3,86.8,89.3,94.3,98.8,99.4,94.5,94,91.4,95.5,107.4
"10","3","  Excise taxes","B234RC1",15.4,15.6,15.9,15.5,16.5,16.4,16.2,16.8,17.3,18.2,18.2,26.5,41.3,32.3,35.3,35.4,33.9,30,30.4,33.4,32.3,33.4,44.9,45,46.5,57.5,55.7,53.6,58.2,61.1,64.3,66.1,64.6,66.9,67.9,71,73.5,72.7,65.7,64.8,68.3,66.9,75.6
