"","Table 1#1#1# Percent Change From Preceding Period in Real Gross ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"1","[Percent]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published September 27, 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 9/26/2012 10:28:00 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
"8","1","    Gross domestic product","A191RL1",3.1,0.2,3.4,5.3,5.8,-0.6,-0.2,5.4,4.6,5.6,3.1,-0.3,2.5,-1.9,4.5,7.2,4.1,3.5,3.2,4.1,3.6,1.9,-0.2,3.4,2.9,4.1,2.5,3.7,4.5,4.4,4.8,4.1,1.1,1.8,2.5,3.5,3.1,2.7,1.9,-0.3,-3.1,2.4,1.8
"9","2","Personal consumption expenditures","DPCERL1",3.7,2.3,3.8,6.1,5,-0.8,2.3,5.6,4.2,4.4,2.4,-0.4,1.5,1.4,5.7,5.3,5.2,4.1,3.1,4,2.8,2,0.2,3.4,3.6,3.8,2.7,3.5,3.7,5.2,5.5,5.1,2.7,2.7,2.8,3.3,3.4,2.9,2.3,-0.6,-1.9,1.8,2.5
"10","3","  Goods","DGDSRL1",3.1,0.8,4.2,6.5,5.2,-3.6,0.7,7,4.3,4.1,1.6,-2.5,1.2,0.7,6.4,7.2,5.3,5.6,1.8,3.7,2.5,0.6,-2,3.2,4.2,5.3,3,4.5,4.8,6.8,8,5.3,3.1,4.1,4.6,4.5,4.2,3.3,3,-2.5,-3,3.6,3.8
"11","4","    Durable goods","DDURRL1",3.7,-2.6,10,12.4,10.5,-6.4,0.2,12.5,8.8,5.3,-0.5,-8,1,-0.2,14.3,14.3,10,9.6,1.9,5.7,2.2,-0.4,-5.4,5.7,7.5,8,3.9,7.5,8.2,12.2,13,8.8,5.4,7.6,6.6,7.3,5.9,4.5,5,-4.9,-5.4,6.2,7.2
"12","5","    Nondurable goods","DNDGRL1",2.8,2.2,1.9,4,2.9,-2.4,0.9,4.8,2.3,3.6,2.6,-0.2,1.3,1,3.3,4.1,3,3.6,1.7,2.6,2.7,1.2,-0.3,1.9,2.5,3.9,2.5,2.9,2.9,3.8,5.1,3.2,1.8,2,3.4,2.8,3.2,2.6,1.9,-1.2,-1.8,2.3,2.3
"13","6","  Services","DSERRL1",4.5,3.9,3.5,5.8,4.7,1.9,3.8,4.3,4.1,4.7,3.1,1.5,1.8,1.9,5.2,3.9,5.2,3,4,4.2,3,3,1.5,3.6,3.2,3,2.5,2.9,3.1,4.4,4.1,5,2.5,1.9,1.9,2.7,3,2.6,1.9,0.4,-1.4,1,1.9
"14","7","Gross private domestic investment","A006RL1",5.8,-6.6,11.4,11.8,11.7,-7.4,-17.7,20.2,15.1,12.1,3.2,-11,9,-14,9.3,29.5,-0.9,-0.7,3.1,2.4,4,-3.4,-8.1,8.1,8.9,13.6,3.1,8.8,12.4,10,8.8,6.8,-7,-1.4,3.9,10.1,5.5,2.7,-3.2,-10.2,-24.8,13.7,5.2
"15","8","  Fixed investment","A007RL1",6.2,-2.1,7.6,12,9.1,-6.3,-10.7,9.9,14.4,12.1,5.6,-6.5,2.2,-7,7.3,16.9,5.3,1.2,0.5,3.3,3,-2.1,-6.5,5.9,8.6,9.4,6.4,9,9.2,10.9,9.3,7.4,-1.9,-4.2,3.5,7.4,6.5,2.4,-1.9,-7.1,-19,-0.2,6.6
"16","9","    Nonresidential","A008RL1",7.6,-0.5,0,9.2,14.5,0.8,-9.9,4.9,11.3,15,10.1,-0.3,5.7,-3.8,-1.3,17.6,6.6,-2.9,-0.1,5.2,5.6,0.5,-5.4,3.2,8.7,9.2,10.5,9.3,12.1,12,10.4,9.8,-2.8,-7.9,1.4,6.2,6.7,8,6.5,-0.8,-18.1,0.7,8.6
"17","10","      Structures","A009RL1",5.4,0.3,-1.6,3.1,8.2,-2.2,-10.5,2.4,4.1,14.4,12.7,5.9,8,-1.6,-10.8,13.9,7.1,-11,-2.9,0.7,2,1.5,-11.1,-6,-0.6,1.8,6.4,5.7,7.3,5.1,0.1,7.8,-1.5,-17.7,-3.8,1.1,1.4,9.2,14.1,6.4,-21.1,-15.6,2.7
