"","Table 6#2D# Compensation of Employees by Industry               ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 02, 2012   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 9/26/2012 10:48:43 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
"8","1","      Compensation of employees","A033RC0",5023242,5353937,5788849,5979319,6110815,6382589,6693407,7065043,7476996,7855898,8068311,7799358,7970007,8295231
"9","2","Domestic industries","A4002C0",5027805,5359150,5793539,5984534,6116389,6388293,6699555,7071450,7483609,7862992,8079070,7807199,7977171,8303245
"10","3","  Private industries","A4003C0",4109107,4394466,4773287,4905232,4965966,5162374,5408420,5715601,6063352,6363956,6499538,6175791,6303657,6610138
"11","4","    Agriculture, forestry, fishing, and hunting","N4004C0",27839,29531,30185,31558,31886,31938,35446,35592,39702,42377,42992,43463,42438,43595
"12","5","      Farms \1\","N4005C0",18210,18906,19723,20884,20798,20500,22335,22611,23135,26037,26574,26521,25103,24923
"13","6","      Forestry, fishing, and related activities","N4006C0",9629,10625,10463,10674,11088,11437,13111,12982,16567,16339,16418,16942,17334,18672
"14","7","    Mining","N4007C0",35141,34371,35588,38148,35918,37854,42571,47608,57537,62582,73485,64960,69181,80576
"15","8","      Oil and gas extraction","N4008C0",12266,12270,13167,13823,13490,14158,16196,17416,21087,22441,27760,25880,27516,30676
"16","9","      Mining, except oil and gas","N4009C0",13589,13340,12899,13123,12277,12723,13797,14613,16103,16308,17807,16322,16924,18518
"17","10","      Support activities for mining","N4010C0",9287,8760,9522,11202,10151,10973,12579,15579,20347,23833,27918,22759,24741,31382
"18","11","    Utilities","N4011C0",40511,44938,47540,51608,54309,53620,56413,56522,60424,61493,66925,68364,68649,71330
"19","12","    Construction","N4012C0",251982,278310,307282,325502,327835,339863,357371,390730,425827,441752,440312,373847,352742,363483
"20","13","    Manufacturing","N4013C0",821685,854508,903080,874116,857523,879307,881949,900510,925465,938593,941149,848434,859527,904920
"21","14","      Durable goods","N4014C0",543341,566493,605766,577021,556098,574207,575501,591936,611827,622131,615202,544380,550024,589923
"22","15","        Wood products","N4015C0",20151,21584,21972,21409,21465,21795,23188,24710,24642,23511,21181,16530,16135,16500
"23","16","        Nonmetallic mineral products","N4016C0",22899,24229,25943,26165,25877,26353,26901,28199,29471,29483,27608,22944,22823,23378
"24","17","        Primary metals","N4017C0",33017,33498,33911,31254,28753,28417,30965,31146,32799,32683,33272,26046,27950,30923
"25","18","        Fabricated metal products","N4018C0",73883,76099,79901,77048,74579,74389,77729,81499,85537,89092,90796,77655,78994,85599
"26","19","        Machinery","N4019C0",74329,75672,79723,75390,70872,70402,72997,76460,79245,82483,84984,75406,76002,84531
"27","20","        Computer and electronic products","N4020C0",116455,127306,147934,134995,120967,115088,118969,124311,129502,132341,128431,118908,124185,130863
"28","21","        Electrical equipment, appliances, and components","N4021C0",26412,28105,29778,28629,27004,27265,27631,28399,29041,29662,31436,28396,28746,30801
"29","22","        Motor vehicles, bodies and trailers, and parts","N4022C0",75849,75587,79896,74223,76701,95104,78421,74070,73986,71443,63278,48051,49082,54300
