"","Table 6#12C# Nonfarm Proprietors' Income by Industry            ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1987 To 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 20, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 9/26/2012 10:49:30 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
"8","1","     Nonfarm proprietors' income","B046RC0",229615,271726,281427,305250,314225,350896,387322,422805,465437,511421,551192,608840,657712,717321
"9","2","Agricultural services, forestry, and fishing","B1800C0",5666,6350,5941,6611,6861,6952,7252,7837,7959,8200,9073,9519,10138,10471
"10","3","Mining","B1801C0",-1577,2103,4463,4822,1338,2388,3496,3824,3943,7195,10386,8724,6801,13024
"11","4","Construction","B1802C0",42718,45497,46394,46450,45446,49521,55121,63013,67892,73555,75991,83666,97615,109360
"12","5","Manufacturing","A1803C0",10990,11840,12842,11228,10984,12394,14172,17164,19332,18343,19118,19546,19680,22366
"13","6","  Durable goods","B1804C0",5984,6145,6612,4782,5051,6198,7165,8438,8684,8501,9100,9047,8371,8945
"14","7","  Nondurable goods","B1805C0",5006,5694,6230,6446,5933,6196,7007,8726,10648,9842,10017,10500,11310,13421
"15","8","Transportation and public utilities","A1806C0",9338,11603,12571,13848,13072,16004,20538,23150,25126,25749,19373,21875,22023,28509
"16","9","  Transportation","B1807C0",9387,9811,10679,11384,11445,12403,14495,15581,16998,18236,21003,23122,25468,28542
"17","10","  Communications","B1808C0",-406,612,890,930,591,1484,3214,4749,4393,2996,-5812,-3617,-5893,-3699
"18","11","  Electric, gas, and sanitary services","B1809C0",357,1179,1002,1534,1037,2117,2829,2820,3734,4518,4181,2370,2448,3666
"19","12","Wholesale trade","B1810C0",10439,11560,11566,13246,13274,13687,13973,16080,17039,18731,19134,22061,23189,25455
"20","13","Retail trade","B1811C0",28840,33812,34711,34490,34360,34844,39176,42780,45835,49196,53607,57955,62650,62575
"21","14","Finance, insurance, and real estate","B1812C0",-9856,-4609,-8144,-2428,3122,17805,31755,35348,53111,67526,84366,99115,121668,128393
"22","15","Services","A1813C0",133056,153571,161082,176983,185768,197300,201839,213608,225200,242928,260143,286379,293947,317168
"23","16","  Hotels and other lodging places","B1814C0",-4161,-4389,-4535,-4028,-3374,-1646,-552,-36,1083,1915,2697,3540,2713,2547
"24","17","  Personal services","B1815C0",11976,13404,12568,12999,13216,13634,15694,16634,17325,17910,19361,22177,22476,22603
"25","18","  Business services","B1816C0",29927,34435,36949,42588,41047,44120,43160,48043,50943,57887,63895,69413,73420,81354
"26","19","  Auto repair, services, and parking","B1817C0",8643,9928,9290,8988,9030,8628,9493,10660,10542,11678,10967,11625,9816,9982
"27","20","  Miscellaneous repair services","B1818C0",3469,3658,3951,4266,4490,4558,5519,6421,7318,7829,8545,10444,11027,13632
"28","21","  Motion pictures","B1819C0",3558,4122,4021,3884,3602,3472,3710,3519,3581,3499,3141,3168,3969,3899
"29","22","  Amusement and recreation services","B1820C0",3466,3913,4557,4544,7660,8973,7299,6272,8382,8536,9464,11941,13111,13219
"30","23","  Health services","B1821C0",31938,36037,38922,44772,48680,50501,50415,52771,53066,53761,55537,58322,58855,62982
"31","24","  Legal services","B1822C0",23520,27933,28930,31273,33003,36098,35845,35837,36693,40302,42103,45684,46383,49707
"32","25","  Other \1\","B1823C0",20719,24529,26428,27698,28415,28961,31257,33487,36267,39611,44434,50064,52177,57242
"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","1. Consists of educational services; social services; museums, botanical and zoological",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","gardens; membership organizations; engineering and management services, except for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","commercial research and testing services and for management and public relations; and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","miscellaneous services, not elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Note.  Estimates in this table are based on the 1987 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
