"","Table 6#21D# Undistributed Corporate Profits by Industry        ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 06, 2008   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/28/2009 12:42:08 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
"8","1","      Undistributed corporate profits","B057RC0",118337,179874,130285,132862,176633,240052,357843,629528,702706,647253
"9","2","Domestic industries","A3402C0",57848,100058,14079,4027,68682,106562,212227,650948,508473,420165
"10","3","  Agriculture, forestry, fishing, and hunting","N3403C0",-2056,-1421,-1594,-1978,-2671,-1657,-1484,-743,-3183,-3672
"11","4","    Farms \1\","N3404C0",-1882,-1449,-1416,-1484,-2612,-1545,-1266,-692,NA,NA
"12","5","    Forestry, fishing, and related activities","N3405C0",-174,28,-178,-494,-59,-112,-218,-51,NA,NA
"13","6","  Mining","N3406C0",-1234,-61,7878,8896,981,8463,12825,28403,26059,23420
"14","7","    Oil and gas extraction","N3407C0",-352,2330,9181,8358,3027,10710,12992,23541,NA,NA
"15","8","    Mining, except oil and gas","N3408C0",-201,91,-735,-412,-259,-894,-95,4397,NA,NA
"16","9","    Support activities for mining","N3409C0",-681,-2482,-568,950,-1787,-1353,-72,464,NA,NA
"17","10","  Utilities","N3410C0",5052,4586,1310,4756,-5009,-2121,3103,6771,24132,27154
"18","11","  Construction","N3411C0",16327,18650,16782,18107,18847,11173,20918,35854,32452,-30401
"19","12","  Manufacturing","N3412C0",-3616,9489,814,-71602,-70494,-67221,-18044,211644,49023,68664
"20","13","    Durable goods","N3413C0",10040,9046,-2853,-67940,-48267,-51590,-10856,84751,34272,44481
"21","14","      Wood products","N3414C0",1509,1473,-724,437,247,1184,2903,3160,NA,NA
"22","15","      Nonmetallic mineral products","N3415C0",3942,4729,3477,1874,1484,777,2609,5779,NA,NA
"23","16","      Primary metals","N3416C0",2551,-589,-546,-4210,-1268,-2507,6303,7468,NA,NA
"24","17","      Fabricated metal products","N3417C0",6553,6423,6689,2366,2186,-839,6337,11153,NA,NA
