"","Table 2#2B# Wage and Salary Disbursements by Industry           ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36"
"1","[Billions of dollars]; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 2001 To 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published April 29, 2009    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/29/2009 9:13:39 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1
"9","1","    Wage and salary disbursements","A576RC1",4961.1,4951.4,4935.2,4923.5,4961.2,4989.4,4988.5,4984.5,5021,5085.1,5134.3,5210.4,5260.9,5351.2,5447.8,5518.1,5553.1,5611.5,5725.6,5796.5,5946.4,5966.2,6034.2,6162.2,6294,6310.7,6377.7,6465.5,6518,6531.3,6581.8,6569.4,6495.8
"10","2","Private industries","A132RC1",4163,4142.2,4113,4089.4,4105.7,4125.7,4119.2,4109.1,4127.2,4180.6,4227.2,4298.2,4329.3,4408.9,4501.5,4565.9,4582.5,4637.5,4740.8,4802.9,4938.7,4953,5004.8,5120.3,5234,5242.5,5297,5373.4,5408.3,5407.9,5443.5,5422.8,5332.5
"11","3","  Goods-producing industries","N231RC1",1077.9,1055.3,1031.3,1012.8,1015.8,1017.7,1009.5,999.9,999.9,1000.8,1001.7,1029.1,1017.9,1040.4,1065,1073.6,1078.3,1087.6,1112.9,1117.9,1165.2,1159.6,1160.9,1182.9,1198.4,1200.7,1204.3,1218.2,1217.7,1212.7,1211.7,1193.9,1148.1
