"","Table 2#9# Personal Income and Its Disposition by Households and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1992 To 2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published October 30, 2008  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/29/2009 9:16:31 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
"8","1","Personal income","A065RC1",5362,5558.5,5842.5,6152.3,6520.6,6915.1,7423,7802.4,8429.7,8724.1,8881.9,9163.6,9727.2,10269.8,10993.9,11663.2
"9","2","  Compensation of employees, received","W209RC1",3651.2,3794.9,3979.6,4177,4386.9,4664.6,5020.1,5352,5782.7,5942.1,6091.2,6310.4,6671.4,7025.8,7432.6,7818.6
"10","3","  Proprietors' income with inventory valuation and capital consumption adjustments","A041RC1",427.6,453.8,473.3,492.1,543.2,576,627.8,678.3,728.4,771.9,768.4,811.3,911.6,959.8,1014.7,1056.2
"11","4","  Rental income of persons with capital consumption adjustment","A048RC1",78,95.6,119.7,122.1,131.5,128.8,137.5,147.3,150.3,167.4,152.9,133,118.4,40.9,44.3,40
"12","5","  Personal income receipts on assets","W210RC1",910.9,901.8,950.8,1016.4,1089.2,1181.7,1283.2,1264.2,1387,1380,1333.2,1336.6,1432.1,1596.9,1824.8,2000.1
"13","6","    Personal interest income","A064RC1",723.4,699.6,716.8,763.2,793,848.7,933.2,928.6,1011,1011,936.1,914.1,895.1,1022,1125.4,1214.3
"14","7","    Personal dividend income","B703RC1",187.4,202.2,234,253.2,296.2,333,349.9,335.6,376.1,369,397.2,422.6,537,574.9,699.4,785.8
"15","8","  Personal current transfer receipts","A577RC1",749.4,790.1,827.3,877.4,925,951.2,978.6,1022.1,1084,1193.9,1286.2,1351,1422.5,1520.7,1603,1713.3
