"","Table 6#18C# Taxes on Corporate Income by Industry              ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1987 To 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published January 16, 2004  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/28/2009 12:41:04 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
"8","1","      Taxes on corporate income \1\","A054RC0",130441,141630,146068,145424,138591,148696,171033,193746,218686,231679,246063,248310,258634,265172
"9","2","Domestic industries","A3102C0",130441,141630,146068,145424,138591,148696,171033,193746,218686,231679,246063,248310,258634,265172
"10","3","  Agriculture, forestry, and fishing","A3103C0",516,573,651,629,538,613,716,719,674,753,682,638,650,617
"11","4","    Farms","B3104C0",368,399,497,462,389,458,515,502,445,503,506,445,470,449
"12","5","    Agricultural services, forestry, and fishing","B3105C0",148,174,154,167,149,155,201,217,229,250,176,193,180,168
"13","6","  Mining","A3106C0",876,1329,1302,1735,1333,1277,983,1092,1505,1725,2474,1516,1109,2395
"14","7","    Metal mining","B3107C0",141,361,214,392,213,221,222,324,435,156,166,191,141,76
"15","8","    Coal mining","B3108C0",164,220,244,181,119,282,120,183,178,230,222,150,70,57
"16","9","    Oil and gas extraction","B3109C0",196,414,581,965,846,586,478,370,618,1056,1752,125,414,1586
"17","10","    Nonmetallic minerals, except fuels","B3110C0",375,334,263,197,155,188,163,215,274,283,334,1050,484,676
"18","11","  Construction","B3111C0",2862,2789,2613,2235,2013,1671,1905,2332,2723,3210,3322,4046,4502,4489
"19","12","  Manufacturing","A3112C0",46352,56886,53063,52043,43629,45081,51369,65755,71337,76442,82462,71780,77581,84594
"20","13","    Durable goods","A3113C0",19515,25375,22062,20559,16587,17111,23568,31321,32652,36516,40303,35607,35361,36667
"21","14","      Lumber and wood products","B3114C0",1399,1300,1279,782,639,845,1125,1315,1692,793,642,828,1223,651
"22","15","      Furniture and fixtures","B3115C0",733,535,484,352,315,483,544,631,750,917,1023,1024,961,810
"23","16","      Stone, clay, and glass products","B3116C0",1385,1064,964,937,476,620,690,1167,1417,1471,1976,1848,2091,1431
"24","17","      Primary metal industries","B3117C0",936,1680,1816,1351,653,712,845,1525,2197,1719,2032,1620,1251,968
"25","18","      Fabricated metal products","B3118C0",2451,2277,2155,1980,1614,1835,2145,3129,3249,3764,4246,3755,3655,3719
"26","19","      Industrial machinery and equipment","B3119C0",2919,3805,3553,3348,2584,2607,2593,3930,5286,6284,6843,10382,8776,9574
"27","20","      Electronic and other electric equipment","B3120C0",3197,4585,4842,4790,3891,4375,6535,9053,9146,10267,12041,5428,6079,9246
"28","21","      Motor vehicles and equipment","B3121C0",2577,3518,2351,1901,12,1071,3116,3789,2506,3650,4359,5016,4867,3356
"29","22","      Other transportation equipment","B3122C0",1991,4022,2641,2924,3630,1979,2609,1980,2175,3117,2723,2098,3448,3682
"30","23","      Instruments and related products","B3123C0",1129,1668,1083,1335,1799,1675,1923,3479,2685,3276,3198,2451,1946,2270
"31","24","      Miscellaneous manufacturing industries","B3124C0",798,921,894,859,974,909,1443,1323,1549,1258,1220,1157,1064,960
"32","25","    Nondurable goods","A3125C0",26837,31511,31001,31484,27042,27970,27801,34434,38685,39926,42159,36173,42220,47927
"33","26","      Food and kindred products","B3126C0",5736,6423,6721,6053,6840,6823,6448,7836,8345,8487,9211,7987,11553,9506
"34","27","      Tobacco products","B3127C0",653,1111,1371,1458,1114,1131,851,1190,1350,1255,1223,974,2252,1180
"35","28","      Textile mill products","B3128C0",814,778,521,437,515,887,811,774,628,707,666,665,650,437
"36","29","      Apparel and other textile products","B3129C0",579,568,617,576,692,883,919,995,901,876,858,777,625,637
"37","30","      Paper and allied products","B3130C0",2341,3076,3014,2425,1865,1711,1760,2488,3453,2449,2545,1728,2199,2266
"38","31","      Printing and publishing","B3131C0",3789,3991,3615,3107,2576,3134,3275,4077,3657,4685,4787,5203,5361,7284
"39","32","      Chemicals and allied products","B3132C0",7674,8329,7988,8429,7640,8247,8099,11623,13736,12744,14803,13136,13673,13303
"40","33","      Petroleum and coal products","B3133C0",3919,6223,6267,8199,4925,4176,4503,4214,5468,7505,6537,4286,4461,12010
"41","34","      Rubber and miscellaneous plastics products","B3134C0",1149,825,741,653,711,798,985,1111,992,1126,1392,1277,1382,1201
"42","35","      Leather and leather products","B3135C0",183,187,146,147,164,180,150,126,155,92,137,140,64,103
"43","36","  Transportation and public utilities","A3136C0",19423,19943,20266,20103,20365,21462,24322,28591,30705,31740,30734,34293,36420,31092
"44","37","    Transportation","A3137C0",3035,4406,3339,2935,2384,2868,3478,4216,4265,4926,5292,5670,4866,4474
"45","38","      Railroad transportation","B3138C0",855,1188,785,845,608,731,735,1167,1111,1109,676,492,407,442
