"","Table 6#2C# Compensation of Employees by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Millions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1987 To 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published March 19, 2004    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/24/2009 7:19:40 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
"8","1","      Compensation of employees","A033RC0",2750218,2967185,3145224,3338238,3445249,3635419,3801386,3997221,4193346,4390546,4661685,5019383,5357103,5782665
"9","2","Domestic industries","A4002C0",2751574,2968052,3146509,3340545,3448000,3638384,3804706,4001236,4197436,4394671,4666087,5023946,5362316,5787257
"10","3","  Private industries \1\","A4003C0",2193623,2372428,2513089,2658623,2725265,2882154,3023265,3193632,3368425,3539915,3783103,4107706,4407009,4776446
"11","4","    Agriculture, forestry, and fishing","A4004C0",21907,24864,26695,30351,30557,31033,32981,34701,36831,39216,41991,45693,49277,53011
"12","5","      Farms","B4005C0",9497,10774,11399,13430,13230,13002,14186,14430,15420,16022,17144,18213,18906,19718
"13","6","      Agricultural services, forestry, and fishing","B4006C0",12409,14090,15297,16921,17327,18031,18794,20271,21411,23194,24848,27480,30371,33292
"14","7","    Mining","A4007C0",29571,30130,30312,32216,32756,32155,32143,32615,32861,33702,36154,36754,35388,37870
"15","8","      Metal mining","B4008C0",1793,2186,2528,2714,2730,2771,2741,2791,3157,3283,3315,2988,2949,2634
"16","9","      Coal mining","B4009C0",7561,6760,6737,7145,6829,6615,6166,6338,6107,5948,5971,5740,5423,5192
"17","10","      Oil and gas extraction","B4010C0",16544,17197,16981,18214,19257,18715,19056,19055,18938,19664,21771,22619,21414,24302
"18","11","      Nonmetallic minerals, except fuels","B4011C0",3673,3987,4066,4144,3941,4053,4180,4430,4659,4807,5097,5407,5602,5742
"19","12","    Construction","B4012C0",145210,157476,164786,170188,159334,158097,165390,181758,193126,209390,228123,250793,278775,305439
"20","13","    Manufacturing","A4013C0",608846,648683,672455,686778,696409,725732,751087,793680,813394,828531,868241,920534,954709,1014791
"21","14","      Durable goods","A4014C0",383203,409434,422472,426036,427369,443767,458848,490351,503063,513620,540886,580486,606213,650222
"22","15","        Lumber and wood products","B4015C0",17966,19341,19381,19116,18246,19493,20971,22904,23581,24653,26000,27522,29202,29775
"23","16","        Furniture and fixtures","B4016C0",11594,12310,12764,12880,12350,13254,14091,14913,15417,15742,16717,18093,19167,20234
"24","17","        Stone, clay, and glass products","B4017C0",17482,18540,19045,19120,18419,19157,19985,21392,22033,22863,23668,25022,26345,28333
"25","18","        Primary metal industries","B4018C0",28193,30641,31653,31446,30705,32170,32993,35484,35775,35945,37092,37683,38258,39385
"26","19","        Fabricated metal products","B4019C0",43301,46327,48025,48945,48640,50519,52228,56481,58778,60258,63492,66087,68351,71627
"27","20","        Industrial machinery and equipment","B4020C0",74328,79601,83037,84590,84939,86473,89918,96491,101078,104835,112951,120926,125638,137361
"28","21","        Electronic and other electric equipment","B4021C0",58461,61163,62997,63157,63835,65172,69179,73853,78668,81843,88142,93800,100869,118280
"29","22","        Motor vehicles and equipment","B4022C0",38291,41931,41656,40266,43098,50598,54122,64835,62424,59721,59513,69920,73618,75870
"30","23","        Other transportation equipment","B4023C0",47915,49094,51761,53595,52784,51449,48800,46151,45586,45592,48958,52607,52753,52589
"31","24","        Instruments and related products","B4024C0",36457,39984,41181,41640,42902,43224,43466,43767,45377,47211,49012,53345,55626,59533
"32","25","        Miscellaneous manufacturing industries","B4025C0",9213,10502,10974,11281,11452,12259,13096,14080,14345,14958,15340,15481,16384,17236
"33","26","      Nondurable goods","A4026C0",225643,239250,249983,260742,269040,281965,292239,303328,310331,314911,327355,340048,348496,364569
"34","27","        Food and kindred products","B4027C0",44905,46671,48399,50965,53398,55187,57465,59291,60844,62211,64051,66965,68868,72861
"35","28","        Tobacco products","B4028C0",2517,2615,2708,2656,2672,2761,2573,2821,2954,2877,3016,2742,2722,2914
"36","29","        Textile mill products","B4029C0",15509,16070,16621,16501,16825,18016,18633,19201,18888,18760,19255,19160,18682,18521
"37","30","        Apparel and other textile products","B4030C0",18169,18881,19447,19516,19820,20659,21002,21509,21160,20523,20441,20013,19249,18608
"38","31","        Paper and allied products","B4031C0",24012,25340,26561,27601,28262,29731,30784,31884,32820,33190,33989,34672,35487,36196
"39","32","        Printing and publishing","B4032C0",42335,46466,48345,50923,51707,53562,55226,57877,59570,61194,64450,67907,70707,74328
"40","33","        Chemicals and allied products","B4033C0",43504,47507,50331,53524,56356,59408,61716,63202,65048,67140,70580,74834,78234,85005
"41","34","        Petroleum and coal products","B4034C0",8877,8439,8815,9133,9667,10104,10363,10517,10617,10169,10653,10673,10510,10315
