"","Table 5#4#3B# Real Private Fixed Investment in Structures by Typ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14"
"1","[Index numbers, 2000=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1997 To 2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 06, 2008   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/24/2009 7:17:07 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
"8","1","    Private fixed investment in structures","B349RA3",88.031,93.844,96.945,100,99.265,95.037,98.794,105.837,110.847,108.196,100.474
"9","2","Nonresidential","B009RA3",89.432,94.019,93.619,100,97.737,81.029,77.735,78.76,79.747,86.318,97.264
"10","3","  Commercial and health care","W001RA3",86.224,91.184,94.09,100,94.712,79.824,74.557,76.376,75.794,80.413,87.048
"11","4","    Office \1\","W031RA3",71.998,84.323,89.615,100,92.14,63.851,53.759,54.432,55.922,62.252,68.503
"12","5","    Health care","W032RA3",100.941,99.301,98.72,100,96.002,108.443,113.557,116.129,116.296,120.535,125.296
"13","6","      Hospitals and special care","C311RA3",105.018,103.427,97.841,100,98.921,114.41,115.057,111.528,112.909,126.418,132.428
"14","7","        Hospitals","W033RA3",110.479,101.263,97.356,100,106.357,129.008,136.468,136.359,142.26,157.534,167.093
"15","8","        Special care","W034RA3",91.797,108.666,99.015,100,80.916,79.068,63.221,51.404,41.826,51.058,48.476
"16","9","      Medical buildings","W035RA3",89.27,87.489,101.238,100,87.646,91.361,109.263,129.302,125.99,103.663,104.845
"17","10","    Multimerchandise shopping","W036RA3",92.037,95.834,106.093,100,105.773,97.409,93.77,107.61,118.508,141.643,157.667
"18","11","    Food and beverage establishments","W037RA3",110.087,111.89,97.828,100,96.098,83.968,86.484,80.068,69.114,61.273,61.951
"19","12","    Warehouses","W038RA3",95.68,92.366,95.997,100,101.976,74.893,75.674,69.528,68.251,71.693,76.504
"20","13","    Other commercial \2\","W039RA3",92.18,90.091,90.909,100,87.059,85.729,74.479,79.583,68.09,60.041,66.793
"21","14","  Manufacturing","B307RA3",132.878,137.355,106.45,100,89.717,52.375,48.527,50.906,59.698,65.806,75.083
"22","15","  Power and communication","W003RA3",64.372,74.222,87.155,100,103.046,100.586,87.652,72.073,69.819,75.48,92.881
"23","16","    Power","W028RA3",62.942,79.575,78.542,100,104.278,105.344,106.213,79.785,70.187,78.371,99.502
"24","17","      Electric","B571RA3",55.083,59.032,68.813,100,104.782,100.744,101.14,76.367,67.393,74.921,89.887
"25","18","      Other power","W029RA3",91.829,155.92,114.525,100,102.411,122.614,125.254,92.699,80.864,91.316,133.119
"26","19","    Communication","B314RA3",66.445,66.776,99.861,100,101.212,93.477,59.812,60.658,69.898,71.743,83.739
"27","20","  Mining exploration, shafts, and wells","B318RA3",93.021,85.785,78.273,100,117.792,90.329,106.674,122.434,134.342,149.933,163.896
"28","21","    Petroleum and natural gas","B319RA3",91.672,85.628,78.292,100,119.053,88.583,106.593,121.219,132.674,146.91,160.72
"29","22","    Mining","B320RA3",120.607,89.024,77.907,100,91.185,137.266,107.189,154.989,180.304,242.836,260.577
"30","23","  Other structures","W004RA3",91.507,96.433,97.182,100,95.303,80.039,76.469,78.129,74.3,80.025,95.505
"31","24","    Religious","C309RA3",81.266,89.56,95.882,100,100.062,97.566,97.23,87.304,76.426,70.623,64.848
"32","25","    Educational and vocational","W044RA3",84.999,91.167,86.94,100,105.441,104.995,103.375,92.742,87.736,86.054,96.44
"33","26","    Lodging","W045RA3",89.284,98.973,102.218,100,85.253,60.345,55.558,63.087,61.703,79.034,118.088
