"","Table 6#1D# National Income Without Capital Consumption Adjustme","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published June 25, 2009     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/24/2009 7:19:27 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8","1","      National income without capital consumption adjustment","A422RC1",7661.4,8122.9,8687.4,8854.9,9013.5,9425.3,10128.8,11048.5,11875.1,12362.4,12346.8
"9","2","Domestic industries","A423RC1",7640.1,8089.2,8648.5,8811.2,8982.9,9368.5,10052.6,10955.5,11796.9,12260,12213.6
"10","3","  Private industries","A736RC1",6724.6,7134.9,7642.8,7758.4,7854.7,8168.2,8791.1,9639,10415.7,10806.5,10686
"11","4","    Agriculture, forestry, fishing, and hunting","N5004C1",78.5,73.6,70.1,69.3,65.9,80.7,95.7,88.7,82.9,117.4,106.9
"12","5","    Mining","N5005C1",72.6,69.3,93.8,101,81.4,104,124.1,158.3,196.7,204.9,231.6
"13","6","    Utilities","N5006C1",138.6,142.6,144.3,149.2,143.8,148.8,161.6,171,204.6,216.3,216.3
"14","7","    Construction","N5007C1",366.6,408.7,440.6,463.3,470.8,478.3,523.6,601.8,645.1,563.5,519.2
"15","8","    Manufacturing","N5008C1",1112.1,1150.3,1228.5,1094.1,1071.6,1112.3,1214.2,1336.5,1461.8,1489.6,1415.4
"16","9","      Durable goods","N5009C1",672.5,695,744,617.8,613.8,630.4,678.6,758.7,818.8,839.8,780.1
"17","10","      Nondurable goods","N5010C1",439.5,455.3,484.5,476.2,457.8,481.9,535.7,577.8,643.1,649.8,635.3
"18","11","    Wholesale trade","N5011C1",505.4,537.1,563.8,557.7,553.4,576,631.9,688.1,739.2,765.2,755.2
"19","12","    Retail trade","N5012C1",591.1,626.8,665.3,689,710.1,737.4,764.3,836.6,884.9,908,870.7
"20","13","    Transportation and warehousing","N5013C1",235.3,247.4,261.2,251.9,250.3,258.8,290.7,319.9,346.4,361.5,342.8
"21","14","    Information","N5014C1",273.7,302.8,308.3,305.6,307.3,313.7,361.8,417.5,438,463.4,464.3
"22","15","    Finance, insurance, real estate, rental, and leasing","N5015C1",1328.5,1396.3,1529.3,1643.7,1644.7,1690.7,1780.4,1926.5,2092.3,2193,2120.4
"23","16","    Professional and business services \1\","N5016C1",975.1,1072.2,1146.6,1171.3,1211.2,1253.4,1336.4,1482.5,1611.2,1717.3,1768.6
"24","17","    Educational services, health care, and social assistance","N5017C1",582.7,615.8,664.6,719.2,777,823.8,880.1,941.4,1001.5,1060.1,1119.6
"25","18","    Arts, entertainment, recreation, accommodation, and food services","N5018C1",267.9,289.1,310.5,316.8,330.3,343.4,369.4,398.8,428.3,449.9,453.2
"26","19","    Other services, except government","N5019C1",196.6,202.9,215.8,226.2,237.1,247.1,256.8,271.4,282.9,296.4,301.9
"27","20","  Government","B436RC1",915.5,954.3,1005.7,1052.8,1128.2,1200.2,1261.5,1316.5,1381.2,1453.6,1527.6
"28","21","Rest of the world","A192RC1",21.3,33.8,38.9,43.6,30.6,56.8,76.2,93,78.3,102.4,133.2
"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","1. Consists of professional, scientific, and technical services; management of companies and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","enterprises; and administrative and waste management services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Note. Estimates in this table are based on the 1997 North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
