"","Table 6#1D# National Income Without Capital Consumption Adjustme","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27"
"1","[Billions of dollars]; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 2001 To 2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published January 31, 2007  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 1/30/2007 10:47:23 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
"9","1","      National income without capital consumption adjustment","A422RC1",8893.9,8904.8,8787.2,8833.6,8911.9,8991.4,9031.3,9119.4,9219.3,9321,9482.1,9678.7,9875.6,10008.3,10080.9,10313.2,10768.3,10873,10821.1,11209.1,11625.7,11697.6,11847.3,NA
"10","2","Domestic industries","A423RC1",8855.1,8860.3,8770.5,8759,8885.7,8974.8,9001.7,9069.4,9179.9,9264.4,9428.5,9600.9,9805,9967.8,10035,10285,10734,10844.5,10768.9,11196.6,11596.6,11674.8,11830.6,NA
"11","3","  Private industries","A736RC1",7823.9,7816.9,7710.4,7682.3,7779.1,7855.1,7866.7,7918,7998.8,8067.8,8222.1,8384.1,8561.2,8712,8770.1,9008.8,9433.4,9536.2,9463.4,9865.6,10245.2,10311.4,10448.2,NA
"12","4","    Agriculture, forestry, fishing, and hunting","N5004C1",67.6,67.5,68.7,73.6,62.9,59.9,67.2,73.4,73.8,80.9,82.5,85.6,95.8,99.8,92.4,93.1,93,84.7,85.8,86.9,87.4,82.2,87.2,NA
"13","5","    Mining","N5005C1",112.8,109.4,99.8,82.2,76.7,78.7,81.9,88.4,99.5,102.1,106.4,108,117,122.6,122.6,132.4,144.8,151.8,154.8,184.4,188,187.2,201.6,NA
"14","6","    Utilities","N5006C1",145.6,147.5,155.3,148.3,138.2,143.3,145.3,148.2,147.8,146.8,149.6,151.1,152.8,156,154.6,160.2,173.4,177,168.7,187.5,192.1,201,207.2,NA
"15","7","    Construction","N5007C1",459.8,464.9,466.5,462.1,466.7,468.9,471.9,475.7,478.6,472,475.6,486.9,498.2,511.8,528.1,553.2,575.2,600.9,612.7,628.1,652.5,650.3,638.6,NA
"16","8","    Manufacturing","N5008C1",1169.4,1133.3,1074.8,998.8,1045.8,1069.7,1079.5,1091.6,1096.9,1085.5,1106,1160.6,1162.2,1200.9,1226.3,1254.8,1331.2,1366,1374,1392.2,1472.8,1457.4,1504.9,NA
"17","9","      Durable goods","N5009C1",690.7,647.2,592.1,541.3,588.7,615,623.7,627.9,627,619.1,619.9,655.6,644.7,667.2,686.9,699.6,721.8,750.9,751.5,759.9,815.7,790.8,833.9,NA
"18","10","      Nondurable goods","N5010C1",478.7,486,482.7,457.5,457.1,454.6,455.9,463.7,469.9,466.4,486.1,505,517.5,533.7,539.4,555.2,609.3,615.1,622.5,632.3,657,666.6,671,NA
"19","11","    Wholesale trade","N5011C1",565.4,556.5,553.6,555.4,548.6,556.5,551.5,556.9,561.1,565.1,583.1,594.5,605.8,615.7,639.1,639.3,666.2,688.6,688.4,713.8,732.9,733,767.5,NA
"20","12","    Retail trade","N5012C1",686.7,687,685,697.2,698.7,709.8,715.1,716.7,724,735,741.9,748.7,762.2,765.8,759.7,776.3,801,817.9,829.6,852.6,866.1,869.2,881.7,NA
"21","13","    Transportation and warehousing","N5013C1",260,261.9,238.6,247.1,246.4,247.3,251,256.5,257.8,251.8,260.6,264.9,274.1,285.1,282.3,281.6,300,305.6,309.2,310.4,327,341.7,348.8,NA
"22","14","    Information","N5014C1",311.3,319.6,301.4,290.2,311.4,308.1,302.7,306.9,264,299.7,348.1,342.9,351.7,361.7,366.7,358.5,398.3,419.3,420.2,430.8,447.8,443.2,447,NA
"23","15","    Finance, insurance, real estate, rental, and leasing","N5015C1",1665.2,1638.9,1607.9,1662.6,1675.8,1665.3,1623.8,1613.9,1640.2,1670.7,1708.2,1743.8,1790.8,1801,1759.8,1837.9,1907.1,1842.2,1685,1897.2,1975.5,2002.6,1983.1,NA
