"","Table 6#19C# Corporate Profits After Tax by Industry            ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1987 To 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published January 16, 2004  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 1/30/2007 10:54:11 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
"8","1","      Corporate profits after tax","A055RC0",187164,244442,237678,264100,284400,312378,346065,383317,455614,501356,552092,469960,517242,508226
"9","2","Domestic industries","A3202C0",139152,187458,170549,188012,207931,239288,269134,306242,362804,399476,441175,367010,395729,362523
"10","3","  Agriculture, forestry, and fishing","A3203C0",1349,1238,1026,1009,617,1347,1208,666,1154,2185,2362,2383,3882,3976
"11","4","    Farms","B3204C0",500,572,722,603,299,769,692,-111,100,843,1085,-123,780,764
"12","5","    Agricultural services, forestry, and fishing","B3205C0",849,666,304,406,318,578,516,777,1054,1342,1277,2506,3102,3212
"13","6","  Mining","A3206C0",-2509,-460,-131,997,-42,1071,757,2522,3218,6657,8767,-172,-1056,8324
"14","7","    Metal mining","B3207C0",-667,268,-157,-205,-167,-150,-552,344,128,-979,-459,-823,-948,-651
"15","8","    Coal mining","B3208C0",285,621,623,452,253,259,-74,334,36,387,112,-337,-278,-237
"16","9","    Oil and gas extraction","B3209C0",-2771,-2041,-1149,314,-440,586,1312,1166,2379,6624,8252,-40,1847,9637
"17","10","    Nonmetallic minerals, except fuels","B3210C0",644,692,552,436,312,376,71,678,675,625,862,1028,-1677,-425
"18","11","  Construction","B3211C0",8460,9848,9352,8750,6402,6376,8318,11350,14570,18750,22426,28594,33767,34684
"19","12","  Manufacturing","A3212C0",47442,75618,64057,65410,48585,53621,63525,86391,108814,106956,119756,91350,95147,90710
"20","13","    Durable goods","A3213C0",24381,35372,32340,23921,15481,22319,31252,44986,48022,48284,57262,44692,41106,31267
"21","14","      Lumber and wood products","B3214C0",3630,3028,3072,1701,1026,2521,3425,3578,4269,2344,2540,2817,4302,2352
"22","15","      Furniture and fixtures","B3215C0",1036,831,583,558,703,1014,1505,1455,1545,2088,2556,2579,2756,2243
"23","16","      Stone, clay, and glass products","B3216C0",1399,954,812,981,318,1244,1366,2909,3713,3258,5267,4939,5696,4307
"24","17","      Primary metal industries","B3217C0",2718,5840,4431,2052,-155,-805,-575,2080,5590,3372,4369,3537,1002,677
"25","18","      Fabricated metal products","B3218C0",3585,5166,4601,4223,3492,4427,5429,8649,9379,10560,12799,12269,12286,12274
"26","19","      Industrial machinery and equipment","B3219C0",2246,7982,9073,8158,2368,3394,3153,4077,7665,7538,8439,8062,2918,7072
"27","20","      Electronic and other electric equipment","B3220C0",2966,4275,4804,3395,5404,5124,8145,13029,11319,8337,10164,976,-1937,-4809
"28","21","      Motor vehicles and equipment","B3221C0",1356,2918,641,-3436,-5453,-2095,3014,4260,-2221,657,263,636,2188,-4529
"29","22","      Other transportation equipment","B3222C0",4442,1989,1960,2649,4104,3612,3071,2084,2329,3979,4592,4260,6829,5562
"30","23","      Instruments and related products","B3223C0",248,1232,1176,2131,2162,2105,910,496,2124,3879,3006,1854,1109,2467
"31","24","      Miscellaneous manufacturing industries","B3224C0",755,1157,1187,1509,1512,1778,1809,2369,2310,2272,3267,2763,3957,3651
"32","25","    Nondurable goods","A3225C0",23061,40246,31717,41489,33104,31302,32273,41405,60792,58672,62494,46658,54041,59443
"33","26","      Food and kindred products","B3226C0",6094,7290,4311,8350,11151,11315,10759,12289,20058,14179,15245,13198,16272,17198
"34","27","      Tobacco products","B3227C0",477,1199,831,1755,1246,1355,944,579,685,737,712,142,1029,294
"35","28","      Textile mill products","B3228C0",1401,854,764,781,945,2308,1973,1715,1319,1487,1679,1763,1407,642
"36","29","      Apparel and other textile products","B3229C0",1309,1305,1518,1374,1660,2225,2057,2113,1671,1647,1766,1578,1337,1891
"37","30","      Paper and allied products","B3230C0",4075,6449,5885,4410,2612,1846,2252,3738,10275,6289,3538,3677,5021,6976
"38","31","      Printing and publishing","B3231C0",4637,4097,3851,3649,5298,7146,6515,8046,5824,7447,7276,7618,11431,7553
"39","32","      Chemicals and allied products","B3232C0",7509,11791,10653,9058,8244,8014,7942,12519,15506,13922,17476,12613,11693,4279
"40","33","      Petroleum and coal products","B3233C0",-4040,5492,1890,10421,33,-5206,-2709,-2631,2017,8721,10069,1005,1076,18560
"41","34","      Rubber and miscellaneous plastics products","B3234C0",1221,1351,1599,1213,1357,1840,2296,3082,3126,4049,4412,4807,4550,1837
"42","35","      Leather and leather products","B3235C0",378,418,415,478,558,459,244,-45,311,194,321,257,225,213
"43","36","  Transportation and public utilities","A3236C0",23992,27900,24233,25650,31627,36929,44883,54665,55193,60240,53205,44165,20733,13362
