"","Table 1#17#6# Real Gross Domestic Product, Real Gross Domestic I","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969"
"19",NA,"Production in the United States:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","1","    Gross domestic product (GDP)","A191RX1","1,056,555.0","966,654.0","904,836.0","788,205.0","778,281.0","862,206.0","939,014.0","1,060,497.0","1,114,566.0","1,077,658.0","1,163,620.0","1,266,115.0","1,490,250.0","1,771,770.0","2,073,742.0","2,239,390.0","2,217,790.0","1,960,925.0","1,939,443.0","2,019,967.0","2,008,940.0","2,183,987.0","2,359,993.0","2,456,103.0","2,571,384.0","2,556,850.0","2,739,027.0","2,797,432.0","2,856,269.0","2,835,335.0","3,030,971.0","3,108,707.0","3,188,123.0","3,383,085.0","3,530,412.0","3,734,043.0","3,976,660.0","4,238,931.0","4,355,242.0","4,569,047.0","4,712,483.0"
"21","2","    Gross domestic income (GDI)","A261RX1","1,049,181.0","971,306.0","896,213.0","784,615.0","771,300.0","857,401.0","941,995.0","1,045,794.0","1,115,119.0","1,069,343.0","1,147,604.0","1,252,982.0","1,486,647.0","1,781,460.0","2,092,517.0","2,214,291.0","2,180,667.0","1,950,327.0","1,917,382.0","2,021,882.0","1,996,215.0","2,174,965.0","2,336,736.0","2,438,946.0","2,546,493.0","2,538,025.0","2,725,522.0","2,810,254.0","2,858,598.0","2,831,780.0","3,030,133.0","3,116,497.0","3,193,622.0","3,383,635.0","3,538,810.0","3,734,068.0","3,972,602.0","4,212,384.0","4,338,032.0","4,553,774.0","4,705,055.0"
"22","3","    Average of GDP and GDI \1\","LB0000091","1,052,854.0","968,993.0","900,533.0","786,374.0","774,732.0","859,788.0","940,480.0","1,053,109.0","1,114,831.0","1,073,451.0","1,155,603.0","1,259,575.0","1,488,440.0","1,776,657.0","2,083,055.0","2,226,806.0","2,199,217.0","1,955,668.0","1,928,387.0","2,020,953.0","2,002,583.0","2,179,471.0","2,348,350.0","2,447,466.0","2,558,958.0","2,547,418.0","2,732,252.0","2,803,841.0","2,857,441.0","2,833,537.0","3,030,528.0","3,112,596.0","3,190,863.0","3,383,306.0","3,534,609.0","3,734,106.0","3,974,606.0","4,225,609.0","4,346,629.0","4,561,345.0","4,708,755.0"
"23","4","    Net domestic product \2\","A362RX1","963,930.0","870,370.0","807,534.0","691,305.0","683,815.0","771,436.0","849,408.0","971,582.0","1,023,304.0","983,213.0","1,070,077.0","1,172,472.0","1,395,802.0","1,669,761.0","1,955,597.0","2,096,084.0","2,054,265.0","1,787,160.0","1,767,864.0","1,850,619.0","1,836,423.0","2,013,000.0","2,185,979.0","2,272,249.0","2,375,738.0","2,345,002.0","2,520,117.0","2,566,027.0","2,611,772.0","2,572,550.0","2,763,939.0","2,832,555.0","2,899,752.0","3,084,663.0","3,217,364.0","3,407,140.0","3,633,436.0","3,875,747.0","3,965,909.0","4,157,548.0","4,276,100.0"
"24","5","    Net domestic income \2\","W256RX1","956,391.0","875,125.0","798,799.0","687,650.0","676,693.0","766,530.0","852,453.0","956,462.0","1,023,974.0","974,619.0","1,053,593.0","1,158,941.0","1,392,040.0","1,679,876.0","1,974,952.0","2,070,020.0","2,015,965.0","1,776,364.0","1,744,959.0","1,852,688.0","1,823,221.0","2,003,615.0","2,161,836.0","2,254,383.0","2,349,859.0","2,325,470.0","2,506,038.0","2,579,362.0","2,614,147.0","2,568,855.0","2,763,024.0","2,840,648.0","2,905,503.0","3,085,077.0","3,225,993.0","3,407,228.0","3,629,078.0","3,848,053.0","3,948,133.0","4,141,719.0","4,268,334.0"
"25",NA,"Production by labor and capital supplied by U.S. residents:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","6","    Gross national product","A001RX1","1,066,782.0","976,305.0","912,870.0","794,755.0","783,969.0","867,458.0","945,113.0","1,065,987.0","1,121,560.0","1,084,837.0","1,171,206.0","1,272,835.0","1,498,931.0","1,780,910.0","2,082,928.0","2,249,136.0","2,226,590.0","1,971,210.0","1,952,479.0","2,035,202.0","2,023,092.0","2,199,568.0","2,378,705.0","2,475,440.0","2,590,177.0","2,576,659.0","2,761,000.0","2,821,256.0","2,881,282.0","2,857,279.0","3,053,666.0","3,133,298.0","3,214,930.0","3,412,990.0","3,562,312.0","3,768,350.0","4,012,619.0","4,273,404.0","4,390,768.0","4,607,084.0","4,749,731.0"
"27","7","    Gross national income","A023RX1","1,059,384.0","981,005.0","904,241.0","791,215.0","776,971.0","862,671.0","948,106.0","1,051,171.0","1,122,094.0","1,076,539.0","1,155,123.0","1,259,679.0","1,495,230.0","1,790,625.0","2,101,689.0","2,223,955.0","2,189,201.0","1,960,664.0","1,930,339.0","2,037,226.0","2,010,377.0","2,190,382.0","2,355,354.0","2,458,279.0","2,565,284.0","2,557,738.0","2,747,443.0","2,834,147.0","2,883,565.0","2,853,617.0","3,052,881.0","3,141,140.0","3,220,464.0","3,413,389.0","3,570,668.0","3,768,449.0","4,008,545.0","4,246,704.0","4,373,467.0","4,591,733.0","4,742,294.0"
"28","8","    Net national product \2\","A027RX1","974,362.0","880,182.0","815,686.0","697,920.0","689,554.0","776,751.0","855,603.0","977,177.0","1,030,445.0","990,529.0","1,077,829.0","1,179,347.0","1,404,736.0","1,679,190.0","1,965,074.0","2,106,087.0","2,063,225.0","1,797,574.0","1,781,114.0","1,866,155.0","1,850,828.0","2,028,904.0","2,205,141.0","2,292,041.0","2,394,941.0","2,365,219.0","2,542,577.0","2,590,387.0","2,637,342.0","2,594,875.0","2,787,040.0","2,857,611.0","2,927,090.0","3,115,206.0","3,249,953.0","3,442,207.0","3,670,192.0","3,910,938.0","4,002,143.0","4,196,348.0","4,314,043.0"
"29",NA,"Final expenditures by U.S. residents:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","9","    Gross domestic purchases","A712RX1","1,076,771.0","987,984.0","926,830.0","809,009.0","799,724.0","883,439.0","969,904.0","1,092,618.0","1,143,268.0","1,095,277.0","1,182,710.0","1,281,652.0","1,520,359.0","1,828,509.0","2,160,864.0","2,331,505.0","2,293,907.0","1,944,909.0","1,901,737.0","2,026,545.0","2,013,696.0","2,218,507.0","2,379,824.0","2,491,289.0","2,625,654.0","2,600,607.0","2,787,173.0","2,836,634.0","2,889,832.0","2,893,702.0","3,093,530.0","3,151,324.0","3,230,753.0","3,436,814.0","3,579,492.0","3,774,770.0","4,033,758.0","4,313,354.0","4,441,555.0","4,673,320.0","4,821,778.0"
"31","10","    Final sales to domestic purchasers \3\","A713RX1","1,088,274.0","1,017,803.0","960,871.0","854,546.0","829,902.0","905,719.0","970,194.0","1,094,531.0","1,135,004.0","1,109,744.0","1,190,777.0","1,266,876.0","1,490,281.0","1,828,389.0","2,189,414.0","2,362,797.0","2,331,715.0","1,915,733.0","1,930,234.0","2,007,285.0","2,052,470.0","2,201,641.0","2,347,991.0","2,492,971.0","2,635,457.0","2,633,664.0","2,782,431.0","2,840,143.0","2,908,913.0","2,917,913.0","3,094,999.0","3,157,194.0","3,238,870.0","3,428,400.0","3,574,716.0","3,775,894.0","4,012,263.0","4,270,989.0","4,420,608.0","4,658,139.0","4,807,532.0"
"32","11","    Final sales to private domestic purchasers \4\","LB0000031","926,409.0","850,406.0","792,064.0","694,936.0","675,474.0","733,408.0","791,141.0","887,826.0","933,655.0","897,091.0","960,131.0","1,026,777.0","1,111,341.0","1,019,415.0","1,023,656.0","1,065,219.0","1,155,400.0","1,378,182.0","1,442,334.0","1,494,658.0","1,502,135.0","1,633,997.0","1,640,235.0","1,679,370.0","1,769,544.0","1,805,914.0","1,958,348.0","2,009,284.0","2,045,352.0","2,032,974.0","2,179,056.0","2,231,949.0","2,271,753.0","2,400,204.0","2,516,354.0","2,682,431.0","2,874,877.0","3,041,013.0","3,106,386.0","3,293,032.0","3,431,133.0"
"33",NA,"Purchasing power of income: \5\"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","12","    Command-basis gross domestic product","C191RX1","1,081,416.0","994,166.0","925,310.0","805,478.0","795,856.0","887,688.0","967,491.0","1,090,864.0","1,151,428.0","1,102,983.0","1,192,141.0","1,302,797.0","1,538,558.0","1,826,365.0","2,133,789.0","2,306,678.0","2,284,265.0","2,012,909.0","1,987,365.0","2,066,153.0","2,048,886.0","2,226,041.0","2,406,401.0","2,497,694.0","2,617,859.0","2,597,725.0","2,791,823.0","2,852,686.0","2,910,981.0","2,891,578.0","3,091,740.0","3,171,763.0","3,255,024.0","3,455,842.0","3,602,815.0","3,808,420.0","4,059,373.0","4,328,483.0","4,454,329.0","4,674,174.0","4,822,329.0"
"35","13","    Command-basis net domestic product \2\","C362RX1","988,424.0","897,328.0","827,230.0","707,563.0","700,430.0","796,428.0","877,652.0","1,002,017.0","1,060,450.0","1,008,355.0","1,098,677.0","1,209,685.0","1,445,411.0","1,726,133.0","2,017,621.0","2,165,079.0","2,121,748.0","1,838,935.0","1,815,819.0","1,897,075.0","1,876,412.0","2,055,384.0","2,233,004.0","2,314,167.0","2,422,619.0","2,385,738.0","2,573,284.0","2,621,616.0","2,666,609.0","2,628,553.0","2,824,787.0","2,895,656.0","2,966,643.0","3,157,638.0","3,289,787.0","3,481,440.0","3,716,304.0","3,965,587.0","4,065,180.0","4,262,826.0","4,385,847.0"
"36","14","    Command-basis gross national product","CB22RX1","1,089,338.0","1,001,814.0","931,466.0","810,403.0","800,033.0","891,395.0","971,933.0","1,094,233.0","1,155,995.0","1,107,767.0","1,196,898.0","1,306,340.0","1,543,505.0","1,830,887.0","2,137,266.0","2,310,006.0","2,286,918.0","2,018,670.0","1,996,191.0","2,077,100.0","2,058,501.0","2,236,719.0","2,419,511.0","2,511,178.0","2,630,616.0","2,611,637.0","2,807,865.0","2,870,404.0","2,929,707.0","2,907,346.0","3,108,078.0","3,189,935.0","3,275,356.0","3,479,220.0","3,628,072.0","3,835,741.0","4,088,187.0","4,355,408.0","4,482,209.0","4,704,352.0","4,851,243.0"
"37","15","    Command-basis net national product \2\","C027RX1","996,463.0","905,089.0","833,503.0","712,592.0","704,703.0","800,232.0","882,200.0","1,005,468.0","1,065,148.0","1,013,295.0","1,103,591.0","1,213,352.0","1,450,537.0","1,730,828.0","2,021,229.0","2,168,532.0","2,124,491.0","1,844,870.0","1,824,949.0","1,908,422.0","1,886,401.0","2,066,479.0","2,246,653.0","2,328,211.0","2,435,907.0","2,400,217.0","2,589,986.0","2,640,124.0","2,686,193.0","2,645,018.0","2,841,851.0","2,914,616.0","2,987,830.0","3,181,980.0","3,316,059.0","3,509,825.0","3,746,222.0","3,993,522.0","4,094,098.0","4,294,110.0","4,415,812.0"
"38",NA,"After-tax income received by the personal sector:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","16","    Disposable personal income","A067RX1","842,991.0","789,714.0","762,882.0","662,955.0","643,797.0","705,708.0","774,310.0","871,861.0","901,375.0","852,015.0","923,202.0","986,218.0","1,141,697.0","1,294,358.0","1,356,684.0","1,399,025.0","1,383,137.0","1,368,553.0","1,312,902.0","1,382,061.0","1,393,345.0","1,521,852.0","1,573,332.0","1,627,809.0","1,706,870.0","1,731,266.0","1,846,471.0","1,934,847.0","1,984,944.0","2,005,919.0","2,092,076.0","2,146,929.0","2,222,654.0","2,328,938.0","2,416,535.0","2,588,094.0","2,748,851.0","2,895,022.0","3,020,571.0","3,157,369.0","3,264,449.0"
"40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","1. The arithmetic average of gross domestic product and of gross domestic income, deflated by the implicit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","price deflator for GDP.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2. In this table, the net measures are the corresponding gross measures excluding the depreciation of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","fixed assets as measured by the consumption of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","3. Gross domestic purchases excluding change in private inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","4. Final sales to domestic purchasers less government consumption expenditures and gross investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","5. The command-basis estimates (lines 12-15) measure the purchasing power of the income generated by",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","the sale of goods and services produced; they reflect gains or losses in real income resulting from",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","changes in the terms of trade for exports and imports. For more detail on the command-basis measures,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","see NIPA tables 1.8.3 and 1.8.6.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
