"","Table 5#7#6B# Change in Real Private Inventories by Industry, Ch","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"29","11","  Motor vehicle and parts dealers","N631RX1","5,076.0","1,826.0","12,349.0","11,699.0","-9,170.0","17,180.0","12,915.0","7,552.0","-2,911.0","-683.0","2,911.0","-12,243.0","-32,931.0","11,689.0","1,171.0","20,478.0","16,665.0","6,754.0","13,958.0"
"30","12","  Food and beverage stores","N542RX1","462.0","1,261.0","2,016.0","-730.0","519.0","1,074.0","-1,451.0","358.0","-253.0","994.0","1,208.0","-445.0","-332.0","333.0","-143.0","116.0","659.0","768.0","1,020.0"
"31","13","  General merchandise stores","N543RX1","165.0","415.0","3,070.0","1,177.0","176.0","2,308.0","1,431.0","4,924.0","3,088.0","1,081.0","-247.0","-4,070.0","-2,870.0","2,188.0","929.0","1,021.0","105.0","-508.0","2,851.0"
"32","14","  Other retail stores","N558RX1","9,749.0","13,090.0","9,401.0","8,528.0","-1,787.0","5,808.0","5,246.0","12,269.0","5,562.0","8,574.0","2,664.0","-13,368.0","-13,581.0","4,186.0","-3,046.0","4,320.0","10,139.0","5,007.0","13,673.0"
"33","15","Other industries","N154RX1","6,217.0","6,598.0","8,368.0","14,299.0","-419.0","-760.0","1,668.0","4,607.0","2,510.0","4,283.0","-168.0","1,756.0","-5,515.0","-1,094.0","3,316.0","3,424.0","1,027.0","7,113.0","7,374.0"
"34","16","Residual","N969RX1","700.0","1,500.0","5,000.0","5,200.0","-5,700.0","4,200.0","2,200.0","1,400.0","-300.0","2,800.0","-200.0","-300.0","0.0","-400.0","-2,300.0","-7,572.0","-627.0","-2,572.0","-1,216.0"
"35",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","17","  Change in private inventories","A014RX1","84,806.0","78,988.0","75,450.0","66,225.0","-46,246.0","22,538.0","22,567.0","71,398.0","64,326.0","71,607.0","35,545.0","-33,671.0","-147,569.0","58,225.0","37,593.0","54,672.0","61,428.0","67,987.0","98,371.0"
"37","18","    Durable goods industries","N355RX1","42,775.0","43,431.0","41,969.0","39,718.0","-49,881.0","19,970.0","16,377.0","42,166.0","44,675.0","35,557.0","16,055.0","-24,265.0","-116,999.0","37,732.0","40,532.0","52,822.0","42,052.0","52,559.0","44,783.0"
"38","19","    Nondurable goods industries","N357RX1","40,675.0","33,533.0","31,583.0","24,746.0","7,995.0","1,236.0","5,648.0","28,567.0","19,055.0","35,959.0","19,470.0","-9,655.0","-30,570.0","21,051.0","-560.0","5,591.0","21,397.0","18,198.0","54,067.0"
"39","20","  Nonfarm industries","A015RX1","80,451.0","76,372.0","77,679.0","67,129.0","-45,837.0","25,489.0","22,426.0","62,446.0","63,862.0","75,379.0","36,514.0","-34,967.0","-145,967.0","65,860.0","36,639.0","72,699.0","54,267.0","65,022.0","93,862.0"
"40","21","  Wholesale trade","N658RX1","29,989.0","26,502.0","23,587.0","23,129.0","-15,243.0","364.0","1,892.0","24,238.0","30,897.0","23,828.0","15,873.0","18,256.0","-61,892.0","24,789.0","16,627.0","25,751.0","24,471.0","29,630.0","31,442.0"
"41","22","    Merchant wholesale trade","N151RX1","26,885.0","23,969.0","20,254.0","18,122.0","-9,865.0","1,118.0","2,348.0","22,017.0","21,820.0","17,874.0","9,943.0","5,882.0","-46,099.0","20,646.0","12,494.0","21,605.0","23,214.0","33,841.0","26,540.0"
"42","23","      Durable goods industries","N626RX1","16,301.0","16,745.0","14,101.0","11,835.0","-15,403.0","-2,450.0","2,994.0","20,314.0","17,317.0","15,041.0","2,679.0","6,507.0","-44,499.0","12,875.0","17,165.0","20,036.0","14,236.0","21,126.0","10,606.0"
"43","24","      Nondurable goods industries","N627RX1","10,360.0","6,398.0","5,544.0","6,008.0","7,295.0","4,063.0","-831.0","927.0","4,098.0","2,563.0","7,265.0","-565.0","-1,600.0","7,845.0","-3,491.0","2,721.0","9,136.0","12,983.0","15,535.0"
"44","25","    Nonmerchant wholesale trade","N152RX1","3,127.0","2,519.0","3,365.0","5,060.0","-5,500.0","-789.0","-480.0","2,234.0","8,993.0","5,893.0","5,802.0","12,219.0","-15,793.0","4,138.0","4,041.0","4,150.0","1,435.0","-3,813.0","4,973.0"
"45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Chained (2009) dollar series for real change in private inventories are calculated as the period-to-period",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","change in chained-dollar end-of-period inventories. Quarterly changes in end-of-period inventories are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","stated at annual rates. Because the formula for the chain-type quantity indexes uses weights of more",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","than one period, the corresponding chained-dollar estimates are usually not additive. The residual line",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","is the difference between the first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
