"","Table 1#2#6# Real Gross Domestic Product by Major Type of Produc","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191"
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1969","1969","1969","1970","1970","1970","1970","1971","1971","1971","1971","1972","1972","1972","1972","1973","1973","1973","1973","1974","1974","1974","1974","1975","1975","1975","1975","1976","1976","1976","1976","1977","1977","1977","1977","1978","1978","1978","1978","1979","1979","1979","1979","1980","1980","1980","1980","1981","1981","1981","1981","1982","1982","1982","1982","1983","1983","1983","1983","1984","1984","1984","1984","1985","1985","1985","1985","1986","1986","1986","1986","1987","1987","1987","1987","1988","1988","1988","1988","1989","1989","1989","1989","1990","1990","1990","1990","1991","1991","1991","1991","1992","1992","1992","1992","1993","1993","1993","1993","1994","1994","1994","1994","1995","1995","1995","1995","1996","1996","1996","1996","1997","1997","1997","1997","1998","1998","1998","1998","1999","1999","1999","1999","2000","2000","2000","2000","2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009","2010","2010","2010","2010","2011","2011","2011","2011","2012","2012","2012","2012","2013","2013","2013","2013","2014","2014","2014","2014","2015","2015","2015","2015"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4"
"20","1","    Gross domestic product","A191RX1","4,691,637.0","4,706,684.0","4,736,143.0","4,715,469.0","4,707,112.0","4,715,441.0","4,757,213.0","4,708,281.0","4,834,349.0","4,861,938.0","4,899,950.0","4,914,261.0","5,002,436.0","5,118,278.0","5,165,448.0","5,251,226.0","5,380,502.0","5,441,504.0","5,411,935.0","5,462,397.0","5,417,024.0","5,431,265.0","5,378,679.0","5,357,166.0","5,292,444.0","5,333,220.0","5,421,357.0","5,494,446.0","5,618,520.0","5,660,972.0","5,689,756.0","5,732,462.0","5,799,160.0","5,912,977.0","6,017,586.0","6,018,218.0","6,039,158.0","6,273,963.0","6,335,317.0","6,420,288.0","6,433,044.0","6,440,832.0","6,487,080.0","6,503,874.0","6,524,912.0","6,392,578.0","6,382,892.0","6,501,184.0","6,635,726.0","6,587,269.0","6,662,858.0","6,585,127.0","6,474,973.0","6,510,247.0","6,486,800.0","6,493,128.0","6,578,175.0","6,728,287.0","6,860,022.0","7,001,489.0","7,140,597.0","7,266,010.0","7,337,493.0","7,396,019.0","7,469,545.0","7,537,928.0","7,655,196.0","7,712,624.0","7,784,109.0","7,819,843.0","7,898,555.0","7,939,450.0","7,994,965.0","8,084,710.0","8,158,035.0","8,292,687.0","8,339,324.0","8,449,510.0","8,498,282.0","8,610,850.0","8,697,711.0","8,766,105.0","8,831,544.0","8,850,230.0","8,947,129.0","8,981,727.0","8,983,945.0","8,907,363.0","8,865,564.0","8,934,366.0","8,977,252.0","9,016,444.0","9,122,950.0","9,223,545.0","9,313,208.0","9,406,528.0","9,424,065.0","9,480,106.0","9,526,337.0","9,653,509.0","9,748,156.0","9,881,384.0","9,939,655.0","10,052,518.0","10,086,878.0","10,122,122.0","10,208,772.0","10,281,246.0","10,348,691.0","10,529,379.0","10,626,778.0","10,739,057.0","10,820,908.0","10,984,150.0","11,124,013.0","11,210,329.0","11,321,246.0","11,431,046.0","11,580,587.0","11,770,686.0","11,864,675.0","11,962,524.0","12,113,075.0","12,323,336.0","12,359,095.0","12,592,530.0","12,607,676.0","12,679,338.0","12,643,283.0","12,710,303.0","12,670,106.0","12,705,269.0","12,822,258.0","12,893,002.0","12,955,769.0","12,964,016.0","13,031,169.0","13,152,089.0","13,372,357.0","13,528,710.0","13,606,509.0","13,706,247.0","13,830,828.0","13,950,376.0","14,099,081.0","14,172,695.0","14,291,757.0","14,373,438.0","14,546,119.0","14,589,585.0","14,602,633.0","14,716,930.0","14,726,022.0","14,838,664.0","14,938,467.0","14,991,784.0","14,889,450.0","14,963,357.0","14,891,643.0","14,576,985.0","14,375,018.0","14,355,558.0","14,402,477.0","14,541,901.0","14,604,845.0","14,745,933.0","14,845,458.0","14,939,001.0","14,881,301.0","14,989,555.0","15,021,149.0","15,190,255.0","15,291,035.0","15,362,415.0","15,380,802.0","15,384,254.0","15,457,169.0","15,500,224.0","15,614,441.0","15,761,517.0","15,724,948.0","15,901,450.0","16,068,849.0","16,151,431.0","16,177,317.0","16,333,558.0","16,413,964.0","16,455,121.0"
"21","2","       Final sales of domestic product","A190RX1","4,667,178.0","4,691,158.0","4,715,353.0","4,717,041.0","4,728,132.0","4,719,456.0","4,761,545.0","4,752,809.0","4,810,347.0","4,843,568.0","4,885,235.0","4,943,270.0","5,012,915.0","5,094,543.0","5,138,711.0","5,257,768.0","5,368,673.0","5,394,795.0","5,399,881.0","5,406,385.0","5,400,989.0","5,407,532.0","5,390,821.0","5,314,072.0","5,352,589.0","5,407,409.0","5,455,664.0","5,522,580.0","5,599,488.0","5,619,216.0","5,654,781.0","5,734,201.0","5,788,517.0","5,880,695.0","5,942,585.0","5,991,711.0","5,999,947.0","6,235,246.0","6,292,360.0","6,374,473.0","6,396,357.0","6,397,965.0","6,489,401.0","6,517,668.0","6,530,603.0","6,403,857.0","6,487,108.0","6,546,861.0","6,581,143.0","6,597,098.0","6,602,198.0","6,567,468.0","6,544,480.0","6,542,875.0","6,502,118.0","6,597,173.0","6,671,536.0","6,769,771.0","6,894,727.0","6,986,303.0","7,038,767.0","7,169,748.0","7,236,836.0","7,339,829.0","7,466,408.0","7,528,605.0","7,650,217.0","7,681,632.0","7,757,848.0","7,820,138.0","7,932,285.0","7,980,246.0","7,972,003.0","8,083,094.0","8,181,339.0","8,215,968.0","8,338,629.0","8,442,264.0","8,489,681.0","8,597,049.0","8,645,439.0","8,731,317.0","8,837,320.0","8,847,741.0","8,947,540.0","8,951,722.0","8,971,227.0","8,940,124.0","8,905,758.0","8,978,741.0","8,996,629.0","8,993,410.0","9,141,126.0","9,209,542.0","9,304,195.0","9,395,088.0","9,388,511.0","9,462,270.0","9,542,305.0","9,651,003.0","9,703,906.0","9,788,300.0","9,888,115.0","9,970,609.0","10,021,616.0","10,092,757.0","10,213,754.0","10,277,246.0","10,361,544.0","10,511,895.0","10,565,324.0","10,707,487.0","10,782,377.0","10,874,758.0","11,047,241.0","11,119,664.0","11,195,349.0","11,388,324.0","11,519,564.0","11,706,118.0","11,773,626.0","11,921,752.0","12,066,254.0","12,217,956.0","12,339,985.0","12,483,424.0","12,540,311.0","12,615,817.0","12,681,907.0","12,725,717.0","12,708,153.0","12,802,570.0","12,828,095.0","12,870,412.0","12,925,950.0","12,931,200.0","12,995,405.0","13,152,635.0","13,364,627.0","13,483,229.0","13,551,101.0","13,624,289.0","13,759,628.0","13,873,947.0","13,988,771.0","14,138,457.0","14,271,716.0","14,276,420.0","14,468,780.0","14,506,320.0","14,520,284.0","14,673,683.0","14,703,271.0","14,785,496.0","14,885,864.0","14,970,130.0","14,909,363.0","14,992,852.0","14,910,653.0","14,649,979.0","14,527,355.0","14,545,833.0","14,605,147.0","14,586,898.0","14,591,530.0","14,694,310.0","14,724,465.0","14,878,339.0","14,855,331.0","14,924,472.0","15,035,147.0","15,100,985.0","15,225,032.0","15,276,858.0","15,302,695.0","15,364,632.0","15,424,696.0","15,451,890.0","15,508,867.0","15,660,034.0","15,675,672.0","15,809,703.0","15,978,607.0","16,062,910.0","16,053,777.0","16,209,654.0","16,319,267.0","16,365,990.0"
"22","3","       Change in private inventories","A014RX1","40,124.0","33,530.0","38,746.0","20,985.0","3,820.0","17,783.0","17,873.0","-14,853.0","42,097.0","35,825.0","34,050.0","-1,967.0","12,299.0","40,281.0","43,105.0","17,313.0","28,392.0","55,489.0","26,456.0","61,393.0","29,940.0","39,262.0","12,562.0","46,331.0","-18,668.0","-32,740.0","-5,234.0","342.0","34,594.0","52,040.0","47,017.0","17,177.0","29,257.0","43,655.0","76,626.0","40,304.0","48,170.0","47,177.0","48,080.0","57,173.0","43,289.0","48,976.0","18,045.0","12,975.0","14,343.0","12,244.0","-52,882.0","-15,002.0","61,111.0","15,315.0","63,057.0","32,057.0","-30,124.0","-5,918.0","6,578.0","-57,453.0","-53,534.0","-8,420.0","-2,911.0","30,417.0","96,864.0","91,064.0","95,072.0","59,866.0","18,503.0","27,121.0","22,801.0","41,940.0","37,203.0","18,101.0","-10,395.0","-8,806.0","40,108.0","22,490.0","-1,938.0","84,489.0","18,574.0","25,770.0","21,441.0","29,454.0","58,217.0","44,586.0","12,321.0","17,880.0","16,403.0","41,086.0","26,899.0","-12,641.0","-19,973.0","-23,695.0","1,000.0","34,815.0","2,635.0","25,316.0","23,219.0","26,636.0","45,979.0","31,024.0","2,055.0","17,251.0","54,664.0","98,684.0","61,617.0","86,588.0","72,412.0","41,319.0","9,398.0","15,113.0","2,036.0","29,649.0","65,483.0","38,168.0","51,406.0","112,885.0","80,890.0","94,042.0","127,889.0","49,642.0","67,367.0","71,056.0","97,514.0","45,272.0","51,503.0","107,510.0","23,616.0","108,714.0","68,704.0","63,867.0","-37,892.0","-12,804.0","-36,894.0","-97,393.0","-3,846.0","26,477.0","32,422.0","35,100.0","36,334.0","-198.0","7,576.0","46,557.0","56,399.0","81,882.0","71,081.0","76,228.0","111,300.0","33,028.0","18,198.0","94,779.0","78,616.0","84,439.0","81,949.0","41,423.0","19,613.0","49,431.0","50,181.0","22,956.0","-20,214.0","-26,403.0","-20,714.0","-67,354.0","-144,475.0","-190,116.0","-206,110.0","-49,574.0","9,843.0","48,758.0","116,226.0","58,074.0","25,066.0","57,519.0","-13,027.0","80,816.0","56,015.0","76,649.0","70,560.0","15,466.0","25,221.0","39,620.0","93,644.0","87,228.0","36,854.0","77,067.0","79,854.0","78,174.0","112,784.0","113,525.0","85,489.0","81,688.0"
"23","4","       Residual","A958RX1","-15,700.0","-18,000.0","-18,000.0","-22,500.0","-24,800.0","-21,900.0","-22,200.0","-29,600.0","-18,100.0","-17,500.0","-19,300.0","-27,000.0","-22,800.0","-16,500.0","-16,400.0","-23,900.0","-16,600.0","-8,800.0","-14,500.0","-5,400.0","-13,900.0","-15,500.0","-24,700.0","-3,200.0","-41,500.0","-41,500.0","-29,100.0","-28,500.0","-15,600.0","-10,200.0","-12,000.0","-18,900.0","-18,600.0","-11,400.0","-1,600.0","-13,800.0","-8,900.0","-8,400.0","-5,200.0","-11,400.0","-6,700.0","-6,200.0","-20,300.0","-26,800.0","-20,000.0","-23,500.0","-51,300.0","-30,700.0","-6,500.0","-25,100.0","-2,400.0","-14,500.0","-39,400.0","-26,800.0","-21,900.0","-46,600.0","-39,800.0","-33,100.0","-31,800.0","-15,200.0","4,900.0","5,200.0","5,600.0","-3,700.0","-15,400.0","-17,800.0","-17,800.0","-10,900.0","-10,900.0","-18,400.0","-23,300.0","-31,900.0","-17,100.0","-20,900.0","-21,400.0","-7,800.0","-17,900.0","-18,600.0","-12,800.0","-15,600.0","-5,900.0","-9,800.0","-18,100.0","-15,400.0","-16,800.0","-11,100.0","-14,200.0","-20,100.0","-20,200.0","-20,600.0","-20,300.0","-11,800.0","-20,700.0","-11,300.0","-14,200.0","-15,200.0","-10,400.0","-13,200.0","-18,100.0","-14,800.0","-10,400.0","-5,600.0","-10,000.0","-4,700.0","-7,100.0","-12,000.0","-14,400.0","-11,100.0","-14,800.0","-12,100.0","-4,000.0","-6,600.0","-12,900.0","-3,500.0","-4,100.0","-3,400.0","-2,000.0","-6,900.0","-6,400.0","-6,500.0","-6,400.0","-4,600.0","-4,700.0","-2,200.0","-4,500.0","400.0","-1,300.0","-400.0","-700.0","-2,600.0","-1,200.0","100.0","-2,000.0","-3,900.0","-2,600.0","-2,300.0","-500.0","-300.0","200.0","-1,100.0","-1,000.0","0.0","100.0","300.0","-1,000.0","1,200.0","1,900.0","2,200.0","-1,300.0","-1,100.0","400.0","1,800.0","3,100.0","3,800.0","2,400.0","-1,300.0","300.0","-3,100.0","1,600.0","-5,600.0","-7,900.0","-100.0","3,500.0","4,600.0","3,500.0","2,800.0","4,800.0","2,600.0","900.0","7,600.0","-1,000.0","8,500.0","9,988.0","8,908.0","7,547.0","4,156.0","7,251.0","8,714.0","11,930.0","14,255.0","12,423.0","14,680.0","10,388.0","10,346.0","10,757.0","10,379.0","9,208.0","7,443.0"
"24","5","Goods","A353RX1","1,057,413.0","1,049,673.0","1,057,247.0","1,048,016.0","1,042,306.0","1,052,069.0","1,055,857.0","1,016,126.0","1,070,660.0","1,066,875.0","1,076,756.0","1,064,429.0","1,086,615.0","1,140,040.0","1,156,316.0","1,182,416.0","1,234,437.0","1,266,282.0","1,247,779.0","1,279,567.0","1,257,464.0","1,259,673.0","1,236,754.0","1,229,822.0","1,184,647.0","1,193,622.0","1,234,813.0","1,251,366.0","1,293,603.0","1,313,452.0","1,324,150.0","1,317,463.0","1,333,635.0","1,365,172.0","1,409,093.0","1,401,188.0","1,392,580.0","1,473,554.0","1,484,118.0","1,517,501.0","1,524,454.0","1,516,566.0","1,537,381.0","1,531,555.0","1,548,092.0","1,508,572.0","1,492,039.0","1,529,287.0","1,605,788.0","1,566,325.0","1,625,259.0","1,570,013.0","1,515,145.0","1,543,167.0","1,521,584.0","1,490,097.0","1,501,061.0","1,561,077.0","1,591,941.0","1,673,845.0","1,731,332.0","1,767,249.0","1,786,884.0","1,798,658.0","1,795,973.0","1,805,435.0","1,837,947.0","1,847,407.0","1,865,049.0","1,863,316.0","1,889,382.0","1,899,869.0","1,907,195.0","1,941,824.0","1,965,207.0","2,015,258.0","2,028,617.0","2,067,471.0","2,070,238.0","2,106,337.0","2,151,158.0","2,180,218.0","2,198,243.0","2,182,859.0","2,214,059.0","2,217,501.0","2,215,072.0","2,172,859.0","2,152,143.0","2,161,837.0","2,182,497.0","2,191,475.0","2,200,971.0","2,242,579.0","2,270,438.0","2,296,327.0","2,307,785.0","2,330,984.0","2,315,170.0","2,368,815.0","2,421,426.0","2,470,990.0","2,480,523.0","2,549,693.0","2,557,981.0","2,545,788.0","2,567,427.0","2,611,528.0","2,622,438.0","2,691,582.0","2,752,396.0","2,778,406.0","2,815,563.0","2,896,574.0","2,954,232.0","2,980,497.0","3,033,932.0","3,012,000.0","3,070,729.0","3,169,377.0","3,204,565.0","3,237,276.0","3,289,256.0","3,377,133.0","3,354,304.0","3,464,333.0","3,449,157.0","3,455,703.0","3,387,409.0","3,397,852.0","3,357,715.0","3,384,450.0","3,424,717.0","3,439,525.0","3,472,366.0","3,436,210.0","3,478,084.0","3,501,866.0","3,631,003.0","3,698,528.0","3,707,667.0","3,735,226.0","3,788,347.0","3,836,960.0","3,914,697.0","3,925,640.0","3,960,549.0","4,010,702.0","4,122,260.0","4,139,533.0","4,161,006.0","4,238,141.0","4,232,281.0","4,305,514.0","4,367,132.0","4,420,462.0","4,351,600.0","4,406,115.0","4,354,344.0","4,090,591.0","3,994,978.0","3,998,507.0","4,037,985.0","4,197,936.0","4,310,268.0","4,358,325.0","4,457,623.0","4,514,867.0","4,496,025.0","4,558,356.0","4,542,541.0","4,711,674.0","4,753,016.0","4,815,997.0","4,830,025.0","4,821,070.0","4,908,152.0","4,922,333.0","5,011,925.0","5,123,557.0","5,027,678.0","5,152,353.0","5,265,351.0","5,262,120.0","5,237,632.0","5,313,149.0","5,341,749.0","5,340,065.0"
"25","6","    Final sales","A325RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","3,124,798.0","3,197,374.0","3,244,492.0","3,285,281.0","3,332,205.0","3,368,936.0","3,387,707.0","3,397,237.0","3,413,241.0","3,404,278.0","3,383,028.0","3,459,388.0","3,422,795.0","3,413,619.0","3,440,292.0","3,401,578.0","3,440,662.0","3,496,094.0","3,617,655.0","3,651,672.0","3,651,971.0","3,655,682.0","3,718,415.0","3,762,148.0","3,808,617.0","3,889,925.0","3,937,997.0","3,915,543.0","4,045,770.0","4,057,387.0","4,079,750.0","4,194,582.0","4,208,682.0","4,252,234.0","4,314,363.0","4,398,319.0","4,370,999.0","4,435,061.0","4,372,356.0","4,163,403.0","4,147,435.0","4,188,953.0","4,240,873.0","4,242,425.0","4,295,822.0","4,305,115.0","4,334,077.0","4,452,626.0","4,469,055.0","4,491,538.0","4,556,270.0","4,619,837.0","4,684,911.0","4,727,805.0","4,749,574.0","4,800,823.0","4,874,891.0","4,872,779.0","4,902,752.0","5,018,510.0","4,977,495.0","5,057,218.0","5,171,678.0","5,170,284.0","5,108,438.0","5,183,576.0","5,243,338.0","5,247,626.0"
"26","7","    Change in private inventories","A014RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","97,514.0","45,272.0","51,503.0","107,510.0","23,616.0","108,714.0","68,704.0","63,867.0","-37,892.0","-12,804.0","-36,894.0","-97,393.0","-3,846.0","26,477.0","32,422.0","35,100.0","36,334.0","-198.0","7,576.0","46,557.0","56,399.0","81,882.0","71,081.0","76,228.0","111,300.0","33,028.0","18,198.0","94,779.0","78,616.0","84,439.0","81,949.0","41,423.0","19,613.0","49,431.0","50,181.0","22,956.0","-20,214.0","-26,403.0","-20,714.0","-67,354.0","-144,475.0","-190,116.0","-206,110.0","-49,574.0","9,843.0","48,758.0","116,226.0","58,074.0","25,066.0","57,519.0","-13,027.0","80,816.0","56,015.0","76,649.0","70,560.0","15,466.0","25,221.0","39,620.0","93,644.0","87,228.0","36,854.0","77,067.0","79,854.0","78,174.0","112,784.0","113,525.0","85,489.0","81,688.0"
"27","8","  Durable goods","A354RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,729,418.0","1,746,265.0","1,805,633.0","1,845,045.0","1,870,562.0","1,920,390.0","1,908,788.0","1,913,952.0","1,872,355.0","1,868,537.0","1,833,201.0","1,852,404.0","1,883,658.0","1,892,332.0","1,921,973.0","1,895,943.0","1,908,580.0","1,945,988.0","2,017,476.0","2,076,455.0","2,079,317.0","2,101,446.0","2,136,435.0","2,159,174.0","2,221,770.0","2,238,985.0","2,285,472.0","2,295,634.0","2,338,181.0","2,369,694.0","2,400,843.0","2,408,594.0","2,436,808.0","2,474,447.0","2,519,236.0","2,599,624.0","2,518,790.0","2,511,097.0","2,504,474.0","2,339,353.0","2,183,256.0","2,176,426.0","2,218,820.0","2,284,857.0","2,404,421.0","2,446,991.0","2,497,726.0","2,521,535.0","2,555,686.0","2,588,471.0","2,626,901.0","2,683,330.0","2,737,243.0","2,776,555.0","2,778,225.0","2,782,481.0","2,821,121.0","2,818,499.0","2,837,456.0","2,897,036.0","2,885,322.0","2,927,543.0","3,022,659.0","2,978,917.0","2,959,944.0","3,001,784.0","3,007,538.0","3,002,990.0"
