"","Table 5#2#6# Real Gross and Net Domestic Investment by Major Typ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"1","[Millions of chained (2009) dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 06, 2015   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 2/26/2016 10:34:57 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"19","1","      Gross domestic investment","W170RX1","878,702.0","824,465.0","869,398.0","937,416.0","1,021,353.0","972,333.0","851,124.0","977,993.0","1,085,511.0","1,201,605.0","1,247,835.0","1,151,802.0","1,229,569.0","1,099,562.0","1,195,533.0","1,479,806.0","1,515,381.0","1,542,284.0","1,596,550.0","1,624,231.0","1,683,166.0","1,665,957.0","1,578,150.0","1,665,723.0","1,755,543.0","1,914,240.0","1,969,487.0","2,119,555.0","2,325,049.0","2,519,878.0","2,721,626.0","2,883,002.0","2,757,922.0","2,775,115.0","2,885,458.0","3,100,854.0","3,264,810.0","3,340,576.0","3,266,590.0","3,038,377.0","2,525,144.0","2,766,286.0","2,845,763.0","3,042,913.0","3,124,605.0","3,257,436.0"
"20","2","      Less: Consumption of fixed capital","A262RX1","480,649.0","501,538.0","518,922.0","538,656.0","565,966.0","590,401.0","609,386.0","628,174.0","652,772.0","682,523.0","716,898.0","749,178.0","778,306.0","808,848.0","836,422.0","872,598.0","921,208.0","968,060.0","1,014,851.0","1,058,930.0","1,103,003.0","1,144,877.0","1,179,044.0","1,210,319.0","1,247,049.0","1,289,663.0","1,341,115.0","1,399,263.0","1,469,967.0","1,555,651.0","1,653,444.0","1,755,438.0","1,841,891.0","1,905,112.0","1,963,879.0","2,032,641.0","2,110,982.0","2,194,428.0","2,274,638.0","2,338,430.0","2,368,380.0","2,382,384.0","2,412,901.0","2,458,350.0","2,511,363.0","2,567,128.0"
"21","3","      Equals: Net domestic investment","W171RX1","406,383.0","330,163.0","352,364.0","397,342.0","452,623.0","381,457.0","244,742.0","350,077.0","429,427.0","514,987.0","528,257.0","405,614.0","450,664.0","294,885.0","362,706.0","606,461.0","598,563.0","581,872.0","590,930.0","572,252.0","586,186.0","531,228.0","411,699.0","464,762.0","512,626.0","623,282.0","627,312.0","717,761.0","849,564.0","956,760.0","1,060,466.0","1,119,242.0","912,606.0","869,356.0","920,839.0","1,064,887.0","1,148,140.0","1,140,866.0","988,382.0","698,609.0","156,764.0","384,595.0","434,764.0","589,106.0","619,269.0","697,432.0"
"22","4","Gross private domestic investment","A006RX1","623,085.0","585,202.0","645,508.0","718,221.0","796,808.0","744,038.0","623,509.0","742,501.0","848,436.0","946,582.0","979,759.0","881,172.0","958,731.0","833,687.0","911,494.0","1,160,252.0","1,159,513.0","1,161,347.0","1,194,352.0","1,223,839.0","1,273,397.0","1,240,585.0","1,158,787.0","1,243,658.0","1,343,103.0","1,502,262.0","1,550,819.0","1,686,685.0","1,878,974.0","2,058,332.0","2,231,373.0","2,375,521.0","2,231,448.0","2,218,239.0","2,308,697.0","2,511,347.0","2,672,592.0","2,730,043.0","2,644,139.0","2,395,978.0","1,878,115.0","2,120,413.0","2,230,414.0","2,465,737.0","2,577,259.0","2,717,662.0"
"23","5","Less: Consumption of fixed capital","A024RX1","330,672.0","347,679.0","363,351.0","381,930.0","407,418.0","429,622.0","446,056.0","461,775.0","482,882.0","508,535.0","537,964.0","564,649.0","587,876.0","611,923.0","632,004.0","658,628.0","695,070.0","728,631.0","762,178.0","794,210.0","827,551.0","859,305.0","885,131.0","910,058.0","941,947.0","981,044.0","1,029,252.0","1,083,522.0","1,149,760.0","1,229,516.0","1,319,711.0","1,413,843.0","1,492,464.0","1,547,923.0","1,597,442.0","1,655,045.0","1,721,403.0","1,792,151.0","1,859,033.0","1,908,901.0","1,925,652.0","1,928,325.0","1,948,976.0","1,988,241.0","2,038,088.0","2,092,384.0"
"24","6","Equals: Net private domestic investment","A557RX1","292,413.0","237,522.0","282,157.0","336,291.0","389,390.0","314,416.0","177,453.0","280,726.0","365,554.0","438,046.0","441,795.0","316,523.0","370,856.0","221,764.0","279,490.0","501,624.0","464,443.0","432,716.0","432,174.0","429,628.0","445,846.0","381,280.0","273,655.0","333,600.0","401,156.0","521,218.0","521,567.0","603,163.0","729,213.0","828,816.0","911,661.0","961,678.0","738,983.0","670,316.0","711,255.0","856,301.0","951,188.0","937,891.0","785,106.0","487,077.0","-47,537.0","192,088.0","281,438.0","477,495.0","539,171.0","625,278.0"
"25","7","  Fixed investment","A007RX1","608,554.0","596,072.0","637,004.0","709,637.0","770,478.0","727,626.0","656,261.0","720,774.0","818,509.0","913,337.0","965,947.0","908,525.0","932,925.0","870,561.0","936,115.0","1,087,660.0","1,147,522.0","1,168,294.0","1,175,513.0","1,214,289.0","1,252,797.0","1,234,746.0","1,171,231.0","1,235,382.0","1,330,127.0","1,438,967.0","1,526,920.0","1,662,275.0","1,805,454.0","1,990,134.0","2,165,903.0","2,316,219.0","2,280,015.0","2,201,149.0","2,289,484.0","2,443,860.0","2,610,951.0","2,662,480.0","2,609,597.0","2,432,589.0","2,025,684.0","2,056,155.0","2,186,659.0","2,400,410.0","2,501,861.0","2,633,753.0"
