"","Table 5#8#4B# Price Indexes for Gross Government Fixed Investmen","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12"
"1","[Index numbers, 2000=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1997 To 2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 02, 2006   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/26/2007 9:01:13 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1998,1999,2000,2001,2002,2003,2004,2005
"8","1","      Gross government fixed investment \1\","B782RG3",95.336,95.886,97.547,100,101.46,102.61,103.817,107.736,113.947
"9","2","        Federal","B787RG3",99.897,98.78,99.688,100,99.337,98.416,98.488,99.994,101.776
"10","3","          National defense","B788RG3",99.599,98.703,100.16,100,98.763,97.835,98.033,99.911,101.628
"11","4","          Nondefense","B798RG3",100.298,98.848,98.965,100,100.272,99.364,99.211,100.007,101.913
"12","5","        State and local","B799RG3",93.616,94.813,96.763,100,102.199,104.081,105.711,110.587,118.679
"13","6","Structures \2\","B760RG3",89.567,92.262,95.623,100,103.449,106.387,108.894,115.179,125.497
"14","7","  Federal","B801RG3",89.843,92.451,95.852,100,103.742,106.03,109.067,114.151,121.97
"15","8","    National defense","B808RG3",89.931,92.46,96.057,100,103.91,106.463,110.094,115.424,122.288
"16","9","      New","B814RG3",89.931,92.46,96.057,100,103.909,106.463,110.092,115.422,122.287
"17","10","        Residential","B816RG3",89.105,91.46,95.576,100,104.825,107.563,113.574,122.423,128.205
"18","11","        Industrial","B817RG3",88.563,92.129,95.696,100,103.084,106.288,109.213,114.149,120.726
"19","12","        Military facilities \3\","B818RG3",90.376,92.872,96.266,100,103.595,105.957,108.405,112.017,119.495
"20","13","      Net purchases of used structures","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","14","    Nondefense","B830RG3",89.777,92.427,95.735,100,103.647,105.8,108.553,113.512,121.819
"22","15","      New","B831RG3",89.92,92.574,95.924,100,103.388,105.642,108.398,113.237,121.437
"23","16","        Residential","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","17","        Office","W182RG3",88.645,91.411,95.976,100,102.951,105.364,108.461,115.312,122.668
"25","18","        Commercial","W183RG3",88.641,91.867,95.705,100,104.009,106.3,109.376,115.392,123.339
"26","19","        Health care","W184RG3",88.694,91.876,95.646,100,104.403,106.365,109.509,115.471,123.637
"27","20","        Educational","W185RG3",88.574,92.221,96.006,100,103.626,106.857,109.242,115.114,122.537
"28","21","        Public safety","W186RG3",88.672,91.862,95.813,100,104.308,106.324,109.437,115.263,123.75
"29","22","        Amusement and recreation","W187RG3",88.757,91.959,95.823,100,104.268,106.518,109.4,115.245,123.62
"30","23","        Transportation","W188RG3",90.255,92.026,95.154,100,103.645,106.368,108.163,109.064,117.356
"31","24","        Power","W189RG3",93.204,95.132,96.158,100,103.092,106.297,108.222,110.282,117.537
"32","25","        Highways and streets","W190RG3",90.042,91.907,95.259,100,103.606,106.37,108.209,109.012,117.726
"33","26","        Conservation and development","W191RG3",93.729,95.401,96.769,100,102.022,103.573,106.871,111.985,121.161
"34","27","        Other \4\","W192RG3",91.312,92.917,95.1,100,103.945,107.022,108.473,111.213,120.041
"35","28","      Net purchases of used structures","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","29","  State and local","B842RG3",89.541,92.245,95.602,100,103.428,106.411,108.88,115.249,125.737
"37","30","    New","B843RG3",89.549,92.252,95.596,100,103.407,106.391,108.806,115.117,125.702
"38","31","      Residential","W147RG3",89.008,91.46,95.562,100,105.085,107.891,113.935,123.89,128.904
"39","32","      Office","W193RG3",88.614,91.426,96.053,100,103.018,105.489,108.528,115.232,127.121
"40","33","      Commercial","W194RG3",88.625,91.875,95.75,100,104.333,106.422,109.667,116.407,123.959
"41","34","      Health care","W195RG3",88.502,91.897,95.724,100,104.394,106.458,109.67,116.5,123.964
"42","35","      Educational","W148RG3",88.63,92.31,96.068,100,103.748,106.795,109.252,115.186,124.257
"43","36","      Public safety","W196RG3",88.319,91.984,95.714,100,104.337,106.397,109.667,116.382,123.99
"44","37","      Amusement and recreation","W197RG3",88.416,91.956,95.784,100,104.322,106.414,109.623,116.293,124.006
"45","38","      Transportation","W198RG3",88.497,92.616,95.672,100,100.601,105.619,108.351,115.976,126.913
"46","39","      Power","W199RG3",93.171,95.19,96.073,100,103.064,106.203,108.112,114.622,120.493
"47","40","      Highways and streets","W149RG3",90.084,91.915,95.123,100,103.561,106.332,108.166,113.415,128.65
"48","41","      Sewer systems","W150RG3",91.179,92.915,95.026,100,103.918,106.969,108.579,115.919,122.621
"49","42","      Water systems","W168RG3",91.258,92.919,95.013,100,103.911,107.031,108.509,115.824,122.586
"50","43","      Conservation and development","W169RG3",93.675,95.384,96.728,100,101.986,103.509,107.017,112.661,121.588
"51","44","      Other \5\","W200RG3",89.731,92.035,95.652,100,104.548,107.524,112.737,121.657,125.858
"52","45","    Net purchases of used structures","B870RG3",89.216,91.971,95.83,100,105.589,108.593,113.222,121.81,128.907
"53","46","Equipment and software \2\","A871RG3",105.17,101.905,100.716,100,98.195,96.437,95.588,95.994,96.58
"54","47","  Federal","B872RG3",102.505,100.298,100.544,100,98.501,97.009,96.559,97.495,98.436
"55","48","    National defense","B873RG3",100.862,99.456,100.638,100,98.231,97,96.918,98.529,99.901
"56","49","      Aircraft","B874RG3",91.651,90.654,105.413,100,93.76,89.807,89.392,89.015,86.839
"57","50","      Missiles","B875RG3",101.913,103.195,99.918,100,97.393,96.386,99.387,100.981,102.142
"58","51","      Ships","B876RG3",98.958,98.52,97.649,100,99.895,100.494,101.718,111.408,118.372
"59","52","      Vehicles","B877RG3",102.616,101.177,101.98,100,98.407,97.727,98.209,98.482,99.263
"60","53","      Electronics and software","B878RG3",110.326,104.349,100.812,100,97.581,94.984,92.342,90.678,89.167
