"","Table 6#4D# Full-Time and Part-Time Employees by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11"
"1","[Thousands]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 02, 2006   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/26/2007 9:03:00 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002,2003,2004,2005
"8","1","      Full-time and part-time employees","A4201C0",132748,135833,138678,138407,137306,136921,138354,140454
"9","2","Domestic industries","A4202C0",133216,136347,139131,139033,137932,137612,139087,141218
"10","3","  Private industries","A4203C0",110892,113734,116036,115605,114135,113684,115064,117090
"11","4","    Agriculture, forestry, fishing, and hunting","N4204C0",1436,1498,1480,1580,1564,1578,1509,1473
"12","5","      Farms \1\","N4205C0",870,913,893,870,870,886,825,779
"13","6","      Forestry, fishing, and related activities","N4206C0",566,585,587,710,694,692,684,693
"14","7","    Mining","N4207C0",565,517,522,540,511,506,526,564
"15","8","      Oil and gas extraction","N4208C0",143,135,128,126,124,122,123,128
"16","9","      Mining, except oil and gas","N4209C0",244,235,229,224,213,204,208,215
"17","10","      Support activities for mining","N4210C0",178,148,165,190,175,180,195,222
"18","11","    Utilities","N4211C0",608,603,607,604,594,573,565,554
"19","12","    Construction","N4212C0",6301,6729,6991,7071,6978,6996,7242,7567
"20","13","    Manufacturing","N4213C0",17490,17262,17460,16528,15349,14602,14401,14328
"21","14","      Durable goods","N4214C0",10857,10784,10989,10374,9528,9007,8961,9003
"22","15","        Wood products","N4215C0",621,632,633,591,574,554,568,579
"23","16","        Nonmetallic mineral products","N4216C0",532,539,562,546,520,500,502,508
"24","17","        Primary metals","N4217C0",630,617,624,571,506,475,467,465
"25","18","        Fabricated metal products","N4218C0",1729,1720,1777,1677,1552,1485,1497,1525
"26","19","        Machinery","N4219C0",1515,1460,1471,1370,1229,1154,1146,1166
"27","20","        Computer and electronic products","N4220C0",1809,1757,1813,1752,1500,1354,1318,1311
"28","21","        Electrical equipment, appliances, and components","N4221C0",586,582,595,554,498,460,446,436
"29","22","        Motor vehicles, bodies and trailers, and parts","N4222C0",1259,1303,1319,1210,1153,1116,1116,1100
"30","23","        Other transportation equipment","N4223C0",799,770,742,720,679,648,654,673
"31","24","        Furniture and related products","N4224C0",637,658,690,647,607,576,573,569
"32","25","        Miscellaneous manufacturing","N4225C0",740,745,765,736,708,685,674,670
"33","26","      Nondurable goods","N4226C0",6633,6478,6470,6154,5822,5595,5440,5324
"34","27","        Food and beverage and tobacco products","N4227C0",1756,1754,1781,1780,1760,1732,1703,1687
"35","28","        Textile mills and textile product mills","N4228C0",638,609,600,538,487,446,417,389
"36","29","        Apparel and leather and allied products","N4229C0",722,635,584,502,419,367,342,312
"37","30","        Paper products","N4230C0",621,611,608,579,542,516,495,484
"38","31","        Printing and related support activities","N4231C0",835,828,830,784,724,695,678,664
"39","32","        Petroleum and coal products","N4232C0",131,124,122,120,117,115,111,111
"40","33","        Chemical products","N4233C0",986,978,986,959,928,907,888,876
"41","34","        Plastics and rubber products","N4234C0",943,939,959,893,845,817,806,802
"42","35","    Wholesale trade","N4235C0",5867,5955,5872,5829,5711,5683,5742,5850
"43","36","      Durable goods","N4236C0",3496,3553,3514,3469,3355,3318,3348,3423
"44","37","      Nondurable goods","N4237C0",2371,2402,2358,2360,2356,2365,2394,2428
"45","38","    Retail trade","N4238C0",14761,15174,15602,15682,15500,15417,15555,15763
"46","39","      Motor vehicle and parts dealers","N4239C0",1786,1856,1917,1919,1937,1942,1965,1978
"47","40","      Food and beverage stores","N4240C0",2970,3005,3023,3030,2975,2934,2911,2900
"48","41","      General merchandise stores","N4241C0",2700,2765,2866,2918,2892,2906,2946,3032
"49","42","      Other retail \2\","N4242C0",7305,7548,7796,7814,7697,7634,7734,7853
