"","Table 2#7B# Wage and Salary Disbursements by Industry, Monthly  ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78"
"1","[Billions of dollars; months seasonally adjusted at annual rates]                                                                                                                                                                                         ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Monthly data from 2001 To 2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published April 30, 2007    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/27/2007 10:05:35 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2007,2007,2007
"8",NA,NA,NA,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3
"9","1","    Wage and salary disbursements","A576RC1",4945.8,4965.9,4971.5,4953,4949.3,4951.9,4948.2,4940.3,4917.2,4916.4,4921.8,4932.2,4949.1,4958.3,4976.1,4978.3,4985.9,5004,4982.1,4989.6,4993.8,4982.2,4982.5,4988.8,5001.2,5022.4,5039.4,5055,5090.2,5110,5115,5135.6,5152.2,5188.5,5225.6,5217.2,5256.8,5282,5301,5326.1,5362.3,5360.4,5409.4,5431.8,5458.2,5496.7,5499.7,5521,5546.8,5557.2,5563.1,5589,5594.6,5620.3,5693,5709.8,5742.7,5777.3,5776.5,5807.2,5919.8,5976.6,6013.8,5993.6,5963.5,5985.7,6011.6,6019,6052.3,6083.8,6108.9,6144.2,6218.7,6248.4,6289.9
"10","2","Private industries","A132RC1",4152.3,4167.1,4169.7,4147.7,4140.6,4138.4,4130.4,4117.9,4090.8,4085.4,4086.5,4096.2,4096.9,4102.4,4117.9,4118.2,4121.3,4137.7,4115.8,4119.6,4122.4,4108.7,4107.4,4111.4,4111.4,4127.9,4142.2,4155.3,4186.7,4199.8,4207.7,4228.2,4245.7,4278.4,4313.6,4302.5,4330.9,4352.9,4366.6,4383.9,4423.3,4420,4467.4,4486.8,4510.9,4546.2,4547.3,4567.8,4580.9,4588.4,4592.8,4616.5,4620.9,4645.2,4715.4,4729.5,4758.8,4791.8,4788.2,4816.6,4924.5,4977.9,5013.4,4990.4,4958.1,4976.4,4997,4998.5,5025.8,5054.9,5077.9,5111.1,5177.4,5202.7,5241
"11","3","  Goods-producing industries","N231RC1",1076,1077.6,1080.1,1064.4,1055,1046.4,1043.4,1028.6,1021.8,1014.7,1011.6,1012.1,1012.9,1014.9,1019.7,1016.4,1017.5,1019.3,1013,1008.7,1006.7,999.8,998.8,1001.2,999.6,999.9,1000.1,996.8,1002.1,1003.4,995.5,1000.9,1008.7,1023.1,1034.5,1029.8,1024.8,1025.3,1027.7,1034.3,1048.4,1046.9,1057,1063.9,1067.7,1070.1,1068.5,1075.4,1077.9,1079.4,1079.4,1083.4,1086.7,1092.5,1107.9,1116.6,1117,1125.9,1121.9,1127,1164,1179.5,1188.4,1174.3,1170.4,1174.2,1172.2,1171.3,1171.1,1177.6,1178.5,1183.1,1187.1,1188.6,1200.1
"12","4","    Manufacturing","N552RC1",748.4,746.5,746.2,731.2,718.5,708.1,704.8,690.1,683.9,678.2,675.1,674.1,673.7,674.5,680.1,680.3,683.2,685.7,679.1,674.8,672.7,667.3,666.5,667.6,665.2,666.7,665.7,661.6,665.8,666.2,659.2,662.2,667.2,677.7,686.8,682.1,674.6,673.8,672.4,675.9,687.3,685.7,693.2,698.1,700,699.4,695.8,699.1,699.2,697.4,694.2,695.5,697.3,699.2,707,712,709.9,719.2,711.9,713.9,734.7,744.3,749.6,736.2,730.9,731.2,730.5,729.3,727.4,731.4,730.1,732.1,732.9,734.3,740
"13","5","  Services-producing industries","N233RC1",3076.3,3089.4,3089.6,3083.3,3085.6,3091.9,3087,3089.2,3069,3070.6,3074.9,3084.1,3084,3087.5,3098.2,3101.8,3103.7,3118.5,3102.8,3110.8,3115.6,3108.9,3108.6,3110.1,3111.8,3128,3142.1,3158.4,3184.6,3196.4,3212.3,3227.3,3237,3255.3,3279.1,3272.7,3306.1,3327.6,3338.9,3349.6,3374.9,3373.1,3410.3,3422.8,3443.2,3476,3478.8,3492.4,3503,3508.9,3513.4,3533.1,3534.2,3552.8,3607.5,3612.9,3641.7,3665.9,3666.3,3689.6,3760.5,3798.4,3825,3816.1,3787.7,3802.2,3824.8,3827.2,3854.7,3877.3,3899.4,3928,3990.4,4014.1,4040.9
"14","6","    Trade, transportation, and utilities","N234RC1",855.4,855.1,855.9,848.7,847.7,847.8,842.9,841,837.3,834.4,834.9,834.6,837.7,837.5,842.4,841.9,845.1,848.4,846.1,845.6,846.5,841.1,842,842.9,845.7,850.1,852.7,851,854,854.6,855.1,859.8,861.9,871.6,874.6,868.5,874.2,878.6,882.7,890.8,896.3,895.6,904.4,906.3,912.7,916.2,915.8,916.8,918.5,917.2,918.7,929.4,929.1,932.6,945.4,944.1,947.1,951.1,954.9,958.7,975.3,984.8,990.8,992.7,987.1,992.6,995.2,993.9,997.8,1000.2,1006.4,1007.9,1011.3,1012,1018.7
"15","7","    Other services-producing industries \1\","N235RC1",2220.9,2234.3,2233.7,2234.6,2237.9,2244.2,2244.2,2248.2,2231.7,2236.2,2240.1,2249.6,2246.3,2250.1,2255.8,2259.9,2258.7,2270.1,2256.8,2265.2,2269.1,2267.8,2266.5,2267.2,2266,2277.9,2289.4,2307.4,2330.6,2341.8,2357.1,2367.5,2375,2383.7,2404.4,2404.3,2431.9,2449,2456.2,2458.8,2478.6,2477.5,2506,2516.5,2530.4,2559.8,2563,2575.6,2584.4,2591.7,2594.7,2603.7,2605.1,2620.2,2662.2,2668.8,2694.7,2714.8,2711.4,2730.9,2785.3,2813.7,2834.2,2823.4,2800.6,2809.6,2829.6,2833.3,2857,2877.1,2893,2920.1,2979.1,3002.1,3022.2
"16","8","Government","B202RC1",793.5,798.9,801.8,805.3,808.7,813.5,817.8,822.4,826.4,831,835.3,836,852.2,855.9,858.1,860.1,864.6,866.3,866.3,870.1,871.4,873.6,875.1,877.4,889.8,894.5,897.2,899.7,903.5,910.2,907.2,907.5,906.5,910.1,912,914.7,925.9,929.1,934.4,942.2,939,940.4,942.1,945,947.3,950.5,952.4,953.2,965.9,968.9,970.3,972.4,973.7,975.1,977.6,980.2,983.9,985.5,988.3,990.6,995.3,998.7,1000.4,1003.2,1005.4,1009.2,1014.6,1020.5,1026.5,1028.9,1031,1033,1041.3,1045.7,1048.9
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","1. Other services-producing industries consists of information; finance and insurance; real",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","estate and rental and leasing; professional, scientific, and technical services; management",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","of companies and enterprises; administrative and support and waste management and remediation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","services; educational services; health care and social assistance; arts, entertainment, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","recreation; accommodation and food services; and other services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Note. Estimates in this table are based on the 1997 North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
