"","Table 5#4#3A# Real Private Fixed Investment in Structures by Typ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72"
"1","[Index numbers, 2000=100]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published December  17, 2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/26/2007 8:58:31 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
"8","1","    Private fixed investment in structures","B349RA3",19.029,14.268,10.098,5.831,4.581,5.572,6.864,8.871,10.504,9.355,11.587,13.103,14.588,8.092,5.381,5.973,7.664,20.827,22.89,26.079,24.525,30.764,28.185,27.834,29.414,31.277,35.221,34.832,33.619,32.935,37.957,37.517,37.795,40.605,43.553,46.88,49.095,48.188,46.787,50.296,52.294,50.641,57.238,63.693,65.464,56.981,50.227,56.892,64.774,70.971,73.134,66.519,66.841,61.049,66.516,76.129,79.388,79.729,79.564,79.281,78.591,75.359,67.505,70.564,73.711,78.555,78.909,84.541,88.031
"9","2","Nonresidential","B009RA3",27.415,23.456,15.098,9.257,7.193,8.101,8.978,11.773,14.932,11.942,12.599,14.312,16.994,10.506,7.635,9.998,13.48,26.624,24.223,25.483,24.638,26.406,28.421,28.313,30.831,31.886,34.176,37.76,37.743,35.68,36.53,39.433,39.966,41.775,42.239,46.626,54.058,57.751,56.284,57.102,60.189,60.364,59.37,61.201,66.2,64.785,57.984,59.39,61.841,70.769,79.731,84.35,91.074,89.528,79.865,91.016,97.502,86.817,84.34,84.885,86.583,87.867,78.091,73.423,72.891,74.18,78.903,83.354,89.432
"10","3","  Commercial and health care","W001RA3",15.442,12.739,7.681,4.581,2.694,3.12,3.811,5.002,6.057,4.577,4.656,5.409,6.003,2.141,0.474,0.858,2.438,10.79,7.058,9.051,8.433,10.79,10.378,8.089,11.08,13.766,17.947,20.319,19.262,20.281,21.994,23.403,26.693,29.706,28.728,31.212,36.575,35.678,34.29,37.52,43.287,43.853,47.898,52.304,54.66,51.253,39.939,39.418,41.516,47.314,56.385,61.93,66.935,72.774,70.663,86.04,99.349,92.286,88.983,91.644,90.5,86.932,67.521,62.796,65.347,68.408,72.462,78.061,86.224
"11","4","    Commercial, including office","B308RA3",15.97,12.733,7.455,4.474,2.83,3.349,4.11,5.341,6.355,4.613,4.768,5.601,6.114,2.038,0.402,0.666,2.352,11.464,7.236,9.488,8.233,9.931,9.284,6.886,10.763,13.655,18.478,21.283,19.195,19.866,21.959,23.37,26.194,28.512,27.251,28.823,34.637,33.727,32.79,35.655,40.22,39.576,43.439,47.917,51.267,48.091,35.842,34.879,37.942,44.973,55.552,61.431,65.975,69.449,65.749,84.186,101.034,93.557,89.207,90.63,89.593,84.598,63.504,57.517,59.688,63.994,70.306,76.402,84.269
"12","5","      Office, including medical buildings \1\","B346RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.759,41.259,38.593,29.636,28.094,29.37,34.563,45.466,57.978,70.208,87.562,77.996,93.936,111.139,98.14,87.558,88.962,86.671,79.898,63.034,52.613,52.535,53.655,59.582,63.438,75.611
"13","6","      Commercial \2\","B347RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.028,61.222,57.538,42.016,41.628,46.467,55.324,65.585,64.881,61.788,51.463,53.597,74.53,91.035,89.058,90.917,92.36,92.573,89.346,64.02,62.446,66.861,74.343,81.045,89.376,92.962
"14","7","    Hospitals and special care","C311RA3",11.563,13.149,9.801,5.61,1.706,1.409,1.558,2.476,3.876,4.377,3.876,4.024,5.239,2.967,1.039,2.355,3.218,6.324,6.101,6.277,10.345,17.72,19.032,17.445,13.969,15.255,14.874,14.144,20.698,24.342,23.326,24.789,31.691,40.003,41.068,50.433,52.717,51.871,47.083,53.169,68.117,77.638,83.229,87.322,82.476,77.192,72.19,74.898,69.988,66.988,65.408,68.77,77.426,100.989,110.477,104.111,92.055,87.665,91.907,103.805,101.816,108.566,100.552,104.875,110.347,104.399,92.035,94.262,105.018
"15","8","  Manufacturing","C307RA3",55.328,34.534,16.573,6.141,14.408,13.373,10.813,17.269,28.417,13.58,15.444,25.062,41.131,15.373,6.39,8.861,25.956,56.306,47.931,35.333,25.273,27.775,48.821,52.154,49.87,46.654,51.077,67.108,71.2,49.063,43.756,59.308,58.016,58.6,58.827,70.707,97.767,121.516,106.889,102.934,108.234,104.505,86.304,75.364,93.408,106.445,102.034,94.248,96.785,129.061,158.588,132.651,150.626,145.404,105.197,108.817,121.74,102.274,99.697,105.183,126.029,142.759,131.473,120.728,94.81,112.215,132.317,139.122,132.878
"16","9","  Power and communication","W003RA3",32.922,32.802,22.555,12.757,6.526,7.093,8.63,12.407,15.879,15.299,17.282,18.701,19.875,15.925,9.334,12.389,14.246,22.654,34.263,41.013,43.147,42.934,43.067,43.472,47.813,43.685,41.591,48.594,50.454,48.531,46.536,46.961,43.993,44.25,47.222,51.417,56.892,64.872,70.959,78.874,78.875,86.288,86.976,90.717,96.525,90.351,83.129,90.612,89.231,93.484,96.999,97.928,100.439,94.837,81.568,83.338,82.394,87.947,78.229,73.78,76.61,71.275,84.672,89.765,83.896,76.049,77.614,66.781,64.372
"17","10","    Power","W028RA3",47.105,46.047,34.996,19.356,9.803,10.991,13.844,20.571,25.407,24.587,28.487,29.809,29.304,23.494,15.602,20.621,22.877,31.932,50.386,57.825,68.434,70.908,70.972,69.806,77.385,68.509,62.345,68.801,73.439,73.142,68.889,67.42,64.429,63.875,67.457,71.953,80.192,94.317,107.201,122.164,114.762,120.836,121.742,126.309,131.889,123.663,116.924,131.015,126.172,127.508,129.638,130.74,133.581,122.578,102.472,101.687,99.344,104.726,86.608,77.573,86.167,77.288,104.728,113.366,101.167,86.49,87.824,68.405,62.942
"18","11","      Electric","B571RA3",27.716,30.974,19.37,10.494,5.697,5.763,7.415,11.367,16.469,20.004,22.859,23.084,21.213,16.568,9.047,10.217,15.094,25.172,38.468,47.073,57.646,51.646,49.227,56.569,62.781,58.016,48.798,54.045,61.136,63.085,53.866,54.113,50.953,50.847,54.74,57.152,64.685,75.9,89.804,97.643,98.78,110.141,112.988,118.44,125.288,113.187,99.931,109.824,122.523,129.041,127.912,125.185,128.186,122.16,106.103,104.859,97.649,104.924,82.918,70.229,77.794,64.745,92.873,96.007,88.234,77.706,72.108,55.822,55.083
"19","12","      Other power","W029RA3",119.421,100.671,93.783,52.78,25.147,30.783,38.122,55.204,58.123,39.413,46.984,52.633,57.868,48.216,40.131,60.253,51.273,56.559,93.29,97.985,110.158,138.571,146.377,118.027,130.617,107.756,111.3,122.177,119.012,111.231,123.438,116.108,113.491,111.404,114.089,126.141,136.841,161.62,170.254,212.526,171.751,156.866,150.089,150.916,151.076,159.412,180.679,211.573,133.131,113.011,128.375,145.471,147.467,116.94,81.743,82.855,100.319,97.518,96.818,103.559,115.929,124.889,147.939,178.767,148.975,118.883,145.982,114.988,91.829
"20","13","    Communication","C314RA3",14.063,14.562,7.849,4.731,2.489,2.467,2.662,3.342,4.97,4.702,4.731,5.932,8.175,6.54,2.423,3.284,4.398,10.345,14.085,18.744,13.68,11.293,11.459,13.108,13.897,14.613,16.429,22.773,21.782,18.529,18.982,21.175,18.65,19.628,21.609,24.901,27.028,28.25,27.403,27.838,34.412,41.748,42.133,44.576,49.815,46.429,39.537,39.245,41.752,48.824,53.523,54.183,56.126,57.059,52.617,57.594,58.5,64.164,65.776,67.69,62.531,62.066,56.244,56.435,59.383,61.427,63.339,64.605,66.445
"21","14","  Mining exploration, shafts, and wells","B318RA3",22.707,17.47,9.799,12.303,10.168,14.418,17.527,20.878,27.059,23.446,22.032,24.79,25.67,17.483,15.922,21.745,23.988,27.686,30.894,37.926,38.393,45.566,47.899,53.294,58.231,64.398,69.273,67.031,63.272,59.159,60.736,57.011,58.06,60.9,57.158,61.244,60.497,57.329,54.803,55.132,57.459,54.056,50.015,53.651,57.299,68.1,79.513,85.827,96.926,110.536,117.729,165.409,192.304,177.741,147.172,167.308,149.064,87.341,85.384,93.661,84.715,97.882,95.684,79.203,91.26,88.118,74.665,79.31,93.021
"22","15","    Petroleum and natural gas","B319RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.322,31.384,39.017,39.737,47.072,49.441,55.46,60.572,67.596,72.874,70.574,66.681,61.417,62.837,58.556,59.415,62.304,58.036,62.471,61.66,58.231,55.508,55.059,57.005,52.696,47.916,51.734,54.925,64.181,75.102,79.335,89.257,104.911,113.11,160.947,185.895,173.47,144.641,164.94,146.486,85.537,85.362,93.99,83.93,97.203,94.019,76.846,89.459,83.85,72.593,76.685,91.672
"23","16","    Mining","B320RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.011,40.042,40.23,36.344,44.751,47.797,44.967,49.606,43.756,44.138,41.636,38.11,52.618,58.084,62.667,67.897,71.557,75.131,75.522,75.424,74.93,74.391,88.582,98.865,108.876,114.629,117.624,130.763,173.75,199.731,251.45,291.564,255.105,235.381,278.22,356.965,277.307,200.561,215.81,202.613,124.86,90.738,93.626,103.508,115.583,131.079,125.786,129.655,166.67,115.522,130.016,120.607
"24","17","  Other structures","W004RA3",37.568,35.031,24.993,14.481,11.401,12.492,13.586,16.627,18.492,16.233,17.27,17.107,19.452,15.841,15.935,19.62,22.319,44.267,34.922,34.897,35.332,34.911,34.12,34.308,35.586,37.477,37.57,37.176,37.207,38.904,42.944,47.703,46.602,47.573,50.321,55.169,62.04,64.401,63.022,55.8,55.372,52.068,48.849,49.324,53.149,48.651,43,45.151,47.679,54.125,59.472,57.682,55.824,52.663,55.554,65.143,71.743,67.387,71.429,66.534,67.935,72.134,62.631,58.126,62.691,61.277,68.61,80.67,91.507
