"","Table 6#21C# Undistributed Corporate Profits by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"1","[Millions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1987 To 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 09, 2002   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/20/2002 9:15:25 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
"8","1","      Undistributed corporate profits","B057RC0C",75318,115167,80244,95328,104118,122946,141857,151791,203271,204989,219961,133554,185917,146784,61231
"9","2","Domestic industries","A3402C0C",43849,89903,44492,44003,51824,78248,85911,112477,143832,144522,160647,70822,94489,30078,-63046
"10","3","  Agriculture, forestry, and fishing","A3403C0C",1047,211,162,-112,-431,-48,31,-896,-651,376,-142,-980,166,84,302
"11","4","    Farms","B3404C0C",290,-262,52,-228,-496,-389,-55,-1068,-962,-144,-555,-1552,-1133,NA,NA
"12","5","    Agricultural services, forestry, and fishing","B3405C0C",757,473,110,116,65,341,86,172,311,520,413,572,1299,NA,NA
"13","6","  Mining","A3406C0C",-4995,-3550,-3968,-3067,-3943,-1250,-2235,-381,-385,3149,4487,-3515,-3028,5037,7555
"14","7","    Metal mining","B3407C0C",-1416,-238,-792,-635,-905,-502,-699,-84,-620,-1488,-1040,-1023,-1105,NA,NA
"15","8","    Coal mining","B3408C0C",-9,-24,-141,-85,-142,8,-323,-29,-322,-38,-773,-706,-592,NA,NA
"16","9","    Oil and gas extraction","B3409C0C",-3654,-3457,-3098,-2327,-2983,-853,-839,-730,361,4655,5924,-1023,1150,NA,NA
"17","10","    Nonmetallic minerals, except fuels","B3410C0C",84,169,63,-20,87,97,-374,462,196,20,376,-763,-2481,NA,NA
"18","11","  Construction","B3411C0C",7296,8296,6182,5501,2436,2392,3650,6084,7774,10975,11232,15719,18097,17859,15877
"19","12","  Manufacturing","A3412C0C",18979,46658,22133,17214,-2593,-3358,1770,27541,45511,36850,40744,2115,15931,8836,-45204
"20","13","    Durable goods","A3413C0C",13450,28282,18442,11574,860,4188,10696,25249,24859,24708,28620,11027,7364,4589,-26931
"21","14","      Lumber and wood products","B3414C0C",2916,2195,2130,699,-248,1415,2352,2154,2606,947,831,1147,1147,NA,NA
"22","15","      Furniture and fixtures","B3415C0C",791,492,66,223,452,691,954,934,871,1494,1313,1867,1829,NA,NA
"23","16","      Stone, clay, and glass products","B3416C0C",1043,413,-144,396,-493,-131,246,1633,2476,1672,3355,3297,3737,NA,NA
"24","17","      Primary metal industries","B3417C0C",2089,4818,2562,299,-1462,-3057,-1915,534,3661,1784,2670,2640,-639,NA,NA
"25","18","      Fabricated metal products","B3418C0C",3333,3744,2880,2717,1592,2700,3652,5967,5704,6106,7971,6259,5914,NA,NA
"26","19","      Industrial machinery and equipment","B3419C0C",404,8810,9279,8425,1347,839,-1267,-53,4628,5805,5804,7666,-1960,NA,NA
"27","20","      Electronic and other electric equipment","B3420C0C",-105,2458,1477,385,1861,591,4207,9111,8594,3743,4611,-5723,-7595,NA,NA
"28","21","      Motor vehicles and equipment","B3421C0C",-1142,2335,-1575,-6276,-8031,-4757,595,2428,-6353,-2628,-4054,-9938,-2201,NA,NA
"29","22","      Other transportation equipment","B3422C0C",3927,1539,555,2195,3691,3768,1446,1535,1347,2514,3447,2805,5378,NA,NA
