"","Table 8#14# Consumption of Fixed Capital by Legal Form of Organi","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 09, 2002   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/20/2002 9:35:02 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
"8","1","    Consumption of fixed capital","A262RC",9.4,9.2,8.6,7.6,7.2,7.7,7.7,7.9,8.8,9.2,9.1,9.6,11.1,13.7,16.4,19.4,21,23.6,26.2,28.1,28.8,29.7,33.7,36.2,38.6,40.5,42.8,47.3,51.1,52.8,54.8,56.9,58.5,61,63.6,66.6,70.8,76.5,83.1,90.9,99.8,109.1,118.9,130.9,142.9,164.8,190.9,209,231.6,261.5,300.4,345.2,394.8,436.5,456.1,482.4,516.5,551.6,586.1,627.4,677.2,711.3,748,787.5,812.8,874.9,911.7,956.2,1013.3,1072,1145.2,1228.9,1329.3
"9","2","Private","A024RC",8.4,8.3,7.7,6.8,6.3,6.6,6.6,6.7,7.5,7.8,7.7,8.1,9,10.1,10.1,10.4,10.7,12.7,15.5,18.4,20,21.7,25,26.6,28.1,29.3,31,34.4,37.3,38.8,40.2,41.8,42.8,44.3,46,48.4,51.7,56.3,61.4,67.4,74.5,81.8,89.8,99.4,109.1,126.9,149.1,164.5,184.4,210.7,244.9,282.6,323.9,357.5,372.7,393.5,422.5,450.8,478.2,512.4,554,579.5,608.1,642.2,660.1,714.6,743.6,781.9,832.4,884.3,947.3,1018,1106.8
"10","3","  Domestic corporate business","A438RC",5,4.9,4.6,4.1,3.8,4,4,4.1,4.5,4.7,4.6,4.8,5.4,6.2,6.1,6.1,6.2,7.5,8.9,10.4,11.4,12.2,14,14.9,15.8,16.6,17.6,19.8,21.9,22.8,23.7,24.7,25.2,26.2,27.2,28.7,30.8,33.7,37.1,41.1,45.6,50.5,55.4,60.9,66.8,78.5,94,104.5,117.5,134.5,156.4,181.1,210.1,233.4,244.4,260.2,280.9,302.1,320.8,344.3,370.6,391.1,411.2,427.9,448.5,482.7,512.1,543.5,581.5,620.2,665.5,721.1,789.1
"11","4","    Financial","B580RC",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.8,0.9,1.1,1.2,1.4,1.7,2,2.2,2.6,3,3.8,4.8,5.6,6.5,7.7,9.5,11.6,14.2,16.7,19.4,22.9,27,31.8,37.1,42.3,47.8,52.7,56.3,58.3,62.1,68.2,74.7,80.8,88.5,97,109.3,121.7,136.3
"12","5","    Nonfinancial","B456RC",4.9,4.8,4.4,4,3.7,3.9,3.9,4,4.4,4.6,4.5,4.7,5.3,6,5.9,6,6.1,7.3,8.7,10.2,11.1,11.9,13.7,14.6,15.5,16.2,17.2,19.3,21.3,22.2,23.1,24,24.6,25.5,26.5,27.9,29.9,32.7,35.9,39.7,43.9,48.5,53.1,58.4,63.8,74.7,89.2,98.9,111,126.8,147,169.4,195.9,216.8,225.1,237.3,253.9,270.3,283.8,302,322.8,338.4,354.9,369.6,386.4,414.5,437.5,462.7,493,523.1,556.2,599.4,652.8
"13","6","  Sole proprietorships and partnerships","A1615C",2,2,1.8,1.6,1.5,1.5,1.5,1.5,1.7,1.7,1.7,1.8,2,2.2,2.2,2.2,2.4,2.8,3.6,4.4,4.9,5.4,6.2,6.6,6.9,7,7.3,8,8.5,8.7,9,9.2,9.3,9.5,9.7,10.1,10.6,11.4,12.3,13.3,14.5,15.8,17.3,18.7,20.7,23.5,27.1,29.3,32.2,36.2,42.2,48.8,55.4,61,62.5,64.7,67.8,71.4,74.7,79.6,84.6,87.5,89.4,90.5,91.8,101.4,97.8,101,105.7,110.9,117.8,123.9,129.8
"14","7","    Farm","B1616C",0.8,0.8,0.7,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.8,0.9,0.9,1,1,1.2,1.4,1.8,2.1,2.3,2.7,2.9,2.9,3,3.1,3.2,3.3,3.5,3.5,3.6,3.6,3.7,3.8,3.9,4.1,4.3,4.6,4.9,5.3,5.6,6,6.4,7.1,8.2,9.7,10.7,11.8,13.2,15.1,17.4,19,20.1,20,19.9,19.5,19.3,19.1,19.2,19.8,20.4,20.8,21.6,21.6,21.8,22.6,23.3,24.1,25,26.3,26.1,26.8
"15","8","    Nonfarm","B1617C",1.2,1.2,1.1,1,0.9,0.9,0.9,0.9,1,1,1,1.1,1.2,1.3,1.2,1.3,1.3,1.6,2.1,2.6,2.8,3.1,3.6,3.8,3.9,4,4.3,4.8,5.2,5.3,5.5,5.6,5.7,5.8,5.9,6.2,6.6,7.1,7.7,8.4,9.2,10.2,11.3,12.3,13.6,15.4,17.5,18.7,20.3,23.1,27.1,31.4,36.4,40.9,42.6,44.8,48.3,52.1,55.6,60.4,64.8,67.1,68.6,68.9,70.2,79.6,75.2,77.8,81.6,85.9,91.5,97.8,102.9
"16","9","  Other private business","A1618C",1.4,1.4,1.2,1,1,1.1,1.1,1.2,1.3,1.3,1.4,1.5,1.6,1.8,1.9,2,2.2,2.4,3.1,3.6,3.8,4.1,4.7,5.1,5.3,5.6,6,6.6,7,7.2,7.5,7.9,8.3,8.7,9.1,9.6,10.3,11.2,12,13.1,14.4,15.5,17.1,19.7,21.7,24.9,28,30.7,34.7,40,46.3,52.7,58.3,63.1,65.8,68.7,73.9,77.2,82.7,88.5,98.8,100.9,107.4,123.8,119.8,130.5,133.6,137.4,145.2,153.3,164,173,188
"17","10","    Rental income of persons","B1620C",1.1,1.1,1,0.8,0.8,0.9,0.9,0.9,1.1,1.1,1.1,1.2,1.3,1.4,1.5,1.7,1.8,2,2.5,2.9,3.1,3.3,3.8,4.1,4.3,4.5,4.9,5.3,5.5,5.8,6,6.4,6.6,6.9,7.2,7.6,8.2,8.8,9.5,10.3,11.4,12.2,13.4,15.6,17,19.3,21.5,23.6,26.9,31.2,36.4,41.5,45.8,49.3,51.4,53.6,58.1,60.3,64.6,69.1,77.7,77.8,82.1,96.2,90.6,99.9,101.6,104.6,110.5,116,127.3,133.1,145.7
"18","11","      Nonfarm housing","B2606C",1.1,1.1,1,0.8,0.8,0.9,0.9,0.9,1,1.1,1.1,1.2,1.3,1.4,1.5,1.6,1.8,1.9,2.5,2.8,3,3.3,3.7,4,4.2,4.5,4.8,5.2,5.4,5.7,6,6.3,6.6,6.9,7.1,7.5,8.1,8.7,9.4,10.2,11.3,12,13.3,15.4,16.8,19.1,21.3,23.4,26.6,30.9,36.2,41.2,45.5,49,51,53.2,57.6,59.8,63.9,68.4,77,77,81.2,95.3,89.7,99,100.6,103.6,109.5,114.9,126.1,131.8,144.3
