"","Table 3#20# Relation of Commodity Credit Corporation Expenditure","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1960 To 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published October 16, 2002  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/20/2002 8:54:53 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
"8","1","Commodity Credit Corporation outlays in the budget","L32001",2.7,3.7,5,4.9,4.7,3.7,3.1,2.4,6.3,5,3.9,4,4.1,2.1,-0.5,1.9,2.7,7.1,5.9,2.2,3,7.3,16.6,9.1,9.9,23.8,22.8,21.2,9.4,8.3,8.4,9.4,12.1,14,12.5,2.9,7.7,8.7,15.3,25.5,26.4,26.9
"9","2","Less: Financial transactions","L32002",0.9,1.8,2.1,2.7,2.5,1.9,1.3,0.3,3,0.6,0.2,1,0.3,-0.4,-0.6,1.1,1.9,5,2.5,0.7,0.2,3.6,10.4,-4,1.8,11.9,2.1,0.3,-0.9,-1,-0.7,0.3,2.6,1,4.4,-3.8,-0.3,0.1,1.4,2.4,1.3,3.9
"10","3","      Netting differences","L32003",0,0,0,0,-0.2,-0.6,-0.5,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.2,0,0,0,0,0,0,0,0,0,-0.4,-0.9,-0.2,-0.5,-0.4,0,0,0,-0.1,-0.2,-0.3,-0.3,-0.3,-0.3,-0.3,-0.1,-0.1,0,0
"11","4","      Timing differences","L32004",0,-0.1,0,0,0,-0.1,0.2,0.1,-0.1,0.1,0.3,0.1,-0.1,0.4,0.2,-0.2,-0.2,0.1,0.5,0.1,-0.2,0.3,-0.1,-0.1,-0.3,-0.1,-0.4,-0.2,-0.2,-0.6,0,0,0,0,0,0,0,0,0,0,0,0
"12","5","      Other \1\","L32005",-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.1,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.1,-0.1,-0.1,-0.2,-0.2,-0.1,-0.1,-0.2,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","6","Equals: Commodity Credit Corporation current expenditures, national income and product accounts","L32006",1.9,2.1,3.1,2.4,2.6,2.7,2.2,2.6,4,4.9,4,3.5,4.5,2.5,0,1.1,1.1,2.2,3.1,1.5,3.1,3.6,6.4,13.6,9.4,12.3,21.7,21.6,10.5,9.9,9,9.2,9.7,13.3,8.4,7,8.3,8.9,14,23.2,25.1,23
