"","Table 8#21# Imputations in the National Income and Product Accou","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 09, 2002   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/20/2002 9:36:01 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
"8",NA,"          Gross national product"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","Gross national product","A001RC",104.5,92,77.1,59.2,56.7,66.3,73.7,84,92.3,86.5,92.5,101.7,127.2,162.2,198.8,220.1,223.4,223,245.6,271.1,269,295.8,341.5,360.7,381.9,383.3,417.8,440.8,464.7,470.7,510.3,530.6,549.3,590.7,623.2,669.4,725.5,794.5,839.5,917.6,991.5,1046.1,1136.2,1249.1,1398.2,1516.7,1648.4,1841,2052.1,2318,2599.3,2830.8,3166.1,3295.7,3571.8,3968.1,4238.4,4468.3,4756.2,5126.8,5509.4,5832.2,6010.9,6342.3,6666.7,7071.1,7420.9,7831.2,8325.4,8778.1,9297.1,9848,10104.1
"10","2","    Imputations (112-115+130+135+136+  139+143+144+145+146+147+151+  153)","A2040C",10.2,9.6,8.6,7.4,6.7,6.7,7.1,7.4,7.9,7.8,7.9,8.2,9.7,13,17.8,21.9,24.5,25.2,24.7,24.9,25,25.6,29.2,32.3,35.5,38.2,40.8,44.4,47.7,50.8,54,57.8,61.1,65.3,69,73.2,78,83.7,89.8,97.4,107.1,117.5,127.4,139.3,153.1,171,190.8,210.6,233.7,268.2,303.6,345.5,387.9,429.4,472.5,512.2,559.5,604.9,666.3,722.9,781.9,844.8,906.1,968.6,1018.5,1074.6,1117.1,1159.7,1206.9,1280.9,1364,1471.6,1531.2
"11","3","    Excluding imputations (1-2)","A2041C",94.3,82.4,68.5,51.8,50.1,59.6,66.5,76.7,84.4,78.6,84.6,93.5,117.5,149.2,181,198.2,198.9,197.8,220.9,246.1,244,270.2,312.3,328.5,346.4,345.1,376.9,396.5,417,419.9,456.3,472.8,488.2,525.5,554.3,596.2,647.5,710.7,749.7,820.2,884.4,928.6,1008.8,1109.8,1245.1,1345.7,1457.5,1630.4,1818.4,2049.8,2295.7,2485.3,2778.2,2866.3,3099.4,3455.8,3678.8,3863.5,4089.9,4403.9,4727.5,4987.4,5104.8,5373.8,5648.1,5996.5,6303.7,6671.5,7118.5,7497.2,7933.1,8376.4,8572.9
"12","4","  Personal consumption expenditures","A002RC",77.5,70.2,60.7,48.7,45.9,51.5,55.9,62.2,66.8,64.2,67.2,71.2,81,88.9,99.7,108.5,119.8,144.2,162.3,175.4,178.8,192.7,208.6,219.7,233.4,240.5,259,271.9,287,296.6,318.1,332.3,342.7,363.8,383.1,411.7,444.3,481.8,508.7,558.7,605.5,648.9,702.4,770.7,852.5,932.4,1030.3,1149.8,1278.4,1430.4,1596.3,1762.9,1944.2,2079.3,2286.4,2498.4,2712.6,2895.2,3105.3,3356.6,3596.7,3831.5,3971.2,4209.7,4454.7,4716.4,4969,5237.5,5529.3,5856,6246.5,6683.7,6987
"13","5","    Imputations (112-115-149-150+130+  135+139+143+144+145+146)","A2042C",6.6,6.8,6.3,5.9,5.3,5,5.1,5,5.2,5,4.5,4.4,4.9,8,10.5,11.7,12.3,5.7,2.6,0.8,2.4,-1.4,3,5.1,6.6,6.7,5.2,8.9,12.6,15.9,13.4,17.9,21.5,23.3,24,25.9,28.8,34.6,38.7,40.7,46.4,55.8,53,51.6,57,77,91.8,90.6,86,101.4,130,179.9,216,255.5,254.2,264.9,302.3,313.8,352.1,391,436.1,501.8,569.8,586.8,611.2,629.5,676.5,683.7,703.3,731.4,774.2,845.3,875.3
"14","6","    Excluding imputations (4-5)","A2086C",70.8,63.4,54.4,42.9,40.6,46.5,50.8,57.2,61.6,59.2,62.6,66.8,76.2,80.9,89.2,96.8,107.5,138.6,159.6,174.6,176.4,194.1,205.6,214.6,226.8,233.8,253.7,263,274.3,280.7,304.7,314.4,321.2,340.4,359.2,385.9,415.5,447.2,470,518,559.1,593.2,649.4,719.2,795.5,855.4,938.6,1059.2,1192.4,1329,1466.2,1583.1,1728.1,1823.8,2032.2,2233.5,2410.3,2581.3,2753.2,2965.6,3160.5,3329.7,3401.4,3622.9,3843.5,4086.9,4292.4,4553.8,4826,5124.7,5472.3,5838.4,6111.7
"15","7","  Gross private domestic investment","A006RC",16.5,10.8,5.9,1.3,1.7,3.7,6.7,8.6,12.2,7.1,9.3,13.6,18.1,10.4,6.1,7.8,10.8,31.1,35,48.1,36.9,54.1,60.2,54,56.4,53.8,69,72,70.5,64.5,78.5,78.9,78.2,88.1,93.8,102.1,118.2,131.3,128.6,141.2,156.4,152.4,178.2,207.6,244.5,249.4,230.2,292,361.3,436,490.6,477.9,570.8,516.1,564.2,735.5,736.3,747.2,781.5,821.1,872.9,861.7,800.2,866.6,955.1,1097.1,1143.8,1242.7,1390.5,1538.7,1636.7,1755.4,1586
"16","8","    Imputations (149+150+151)","A2087C",2.6,1.9,1.4,0.7,0.5,0.7,0.9,1.2,1.5,1.5,2,2.4,2.9,1.6,1.1,1.1,1.6,7.1,10.8,14.2,13.6,19.2,17.8,17.8,18.5,20.4,23.9,22.8,21.6,21,26.1,24.8,24,25.4,27.5,29.2,30.4,29.3,29.7,33.5,35.7,34.4,45.2,56.3,62.6,57,58.8,77.5,102.6,118.7,121.6,107.4,106.5,100.9,141.2,164.9,169.5,196.3,212.5,224.2,230.8,219.8,204.6,244.8,264.4,296.4,284,314,335.2,376.8,407.6,431.7,453.9
"17","9","    Excluding imputations (7-8)","A2088C",13.9,8.9,4.5,0.6,1.3,3,5.8,7.4,10.7,5.6,7.3,11.3,15.2,8.8,5,6.7,9.2,24,24.2,33.9,23.2,34.9,42.4,36.2,37.9,33.4,45.1,49.2,48.9,43.5,52.4,54.1,54.1,62.7,66.2,72.8,87.8,102,98.9,107.7,120.7,117.9,133,151.3,181.8,192.4,171.5,214.4,258.7,317.3,369,370.5,464.3,415.2,423,570.6,566.8,550.9,568.9,596.9,642,642,595.6,621.9,690.7,800.8,859.8,928.7,1055.3,1162,1229.1,1323.6,1132.1
"18","10","  Net exports of goods and services and income","A1072C",1.1,1,0.5,0.4,0.4,0.6,0.1,0.1,0.4,1.3,1.2,1.8,1.4,0.2,-1.9,-1.7,-0.5,7.8,11.9,6.9,6.5,2.2,4.4,3.1,1.2,2.5,2.9,5.2,7.1,3.2,1.2,5.6,7,6.7,7.9,10.5,9.3,7,6.9,4.9,4.9,7.6,4.7,0.7,13.3,12.6,26.8,14.8,-3,-4,8.9,20.4,19.7,15.9,-14.8,-66.7,-88.9,-116.4,-128.6,-87.8,-60.3,-42.5,4,-4.4,-36.1,-70.3,-63.9,-70.9,-82.3,-155.2,-227.2,-342.1,-326.9
