"","Table 4#5B# Relation of Foreign Transactions in the National Inc","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1986 To 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 09, 2002   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/20/2002 8:56:45 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
"8","1","Exports of goods, ITA's","B1232C1B",223.3,250.2,320.2,359.9,387.4,414.1,439.6,456.9,502.9,575.2,612.1,678.4,670.4,684,772,718.8
"9","2","Less: Gold, ITA's \1\","B1087C1B",5.7,2.6,5.8,3,3.7,3.6,4.5,9.1,5.8,5.1,6.9,5.7,5.5,5.3,6,4.9
"10","3","      Statistical differences \2\","B1233C1B",0,0,0,-2.2,-1.9,-2.8,-0.7,0.1,0.5,-0.6,0.1,-1.3,0,0,0,0
"11","4","Plus: Adjustment for U.S. territories and Puerto Rico \3\","B1234C1B",8.3,10,11.4,12.5,13,13,12.9,12.1,13,13.1,13.3,15,16.4,18.6,19.1,19.7
"12","5","Equals: Exports of goods, NIPA's","A253RC1B",226,257.5,325.8,371.7,398.5,426.4,448.7,459.7,509.6,583.8,618.4,688.9,681.3,697.3,785,733.5
"13","6","Exports of services, ITA's","B1235C1B",86.7,98.7,110.9,127.1,147.8,164.3,176.9,185.9,201,219.2,240,256.6,262.3,273.2,292.2,279.3
