"","Table 5U# BEA Retail and Food Service Sales","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26"
"1","[Millions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1992 To 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 28, 2015   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/27/2015 11:49:21 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"8","1","S1       Retail and food services","T050010",2092794,2242470,2424695,2553976,2703048,2839430,2970172,3210152,3415853,3516024,3597913,3758057,3993331,4256291,4486061,4631752,4577449,4252161,4488780,4811430,5041149,5236420,5435974
"9","2","S1 Retail trade","T050020",1878301,2014484,2186684,2307183,2447103,2566734,2682906,2909652,3094584,3180581,3248065,3388024,3599145,3836444,4037605,4159486,4093434,3772619,3994037,4290390,4489280,4664620,4828956
"10","3","S1   Motor vehicle and parts dealers","T050030",431240,489140,559683,600550,646903,676668,712005,789614,821491,842884,845440,869552,894463,918560,935496,941504,810353,698375,777267,852348,925626,1003423,1077764
"11","4","S4     Automobile dealers","T050040",369094,420703,484040,519357,560149,583983,613410,683436,708757,730679,728858,745027,761343,777833,789491,792960,669952,573553,650829,719416,787250,858535,927098
"12","5","S4     Other motor vehicle dealers","T050050",18767,21913,24448,27189,29198,31861,36259,41054,46798,48742,51571,57633,63618,67454,70162,70482,61099,47391,45248,46716,51458,57178,61796
"13","6","S2     Automotive parts, accessories and tire stores","T050060",43380,46524,51196,54004,57556,60824,62336,65124,65936,63463,65011,66891,69502,73273,75843,78062,79302,77432,81189,86216,86918,87710,88870
"14","7","S1   Furniture, home furnishings, electronics and appliance stores","T050070",100474,110204,124383,136190,144200,151525,161230,172811,183795,181789,189069,193965,210330,224435,236677,237321,223751,197591,200036,204384,210695,215934,221949
"15","8","S1     Furniture and home furnishings stores","T050080",55005,58374,63491,66907,71086,76531,81507,88586,96042,96336,99464,102129,109448,115607,120188,118095,105811,91658,92881,95516,100018,103740,107299
"16","9","S4       Furniture Stores","T050090",33354,35252,37571,39226,41417,44371,46804,49803,53605,53606,54458,55044,59229,62523,64403,63292,56389,49313,50403,51405,53884,54805,57300
"17","10","S4       Home furnishings stores","T050100",21651,23122,25920,27681,29669,32160,34703,38783,42436,42731,45006,47085,50218,53084,55785,54802,49422,42345,42478,44112,46134,48935,49999
"18","11","S1     Electronics and appliance stores","T050110",45470,51830,60892,69283,73114,74995,79723,84225,87753,85453,89605,91836,100883,108828,116488,119226,117940,105933,107155,108867,110678,112194,114651
"19","12","S1   Building material and garden equipment and supplies dealers","T050120",137515,148424,165395,173898,185284,201161,213092,230088,241861,251221,261251,278000,311602,339464,354275,339927,321947,283494,285093,296457,311487,332977,351032
"20","13","S2     Building material and supplies dealers","T050130",116313,127240,142742,149580,158367,171307,182025,198702,209150,218598,229064,244825,276754,304362,318550,301850,280867,245924,244510,252068,263625,282020,296993
"21","14","S3     Lawn and garden equipment and supplies stores","T050140",21203,21183,22654,24318,26918,29854,31067,31386,32711,32623,32186,33175,34848,35102,35725,38078,41080,37570,40583,44389,47861,50956,54039
"22","15","S1   Food and beverage stores","T050150",380103,384996,394288,400804,410647,419555,426488,443908,454191,473577,476025,485455,501982,521936,541066,563414,584167,584643,596596,626166,645938,660983,679314
